StateCode,StatVar,Date,unit,value
IN-AP,Annual_Generation_Coal_NonCokingCoal,2006-03-01,MetricTon,36138000.0
IN-AP,Annual_Generation_Coal_NonCokingCoal,2007-03-01,MetricTon,37707000.0
IN-AP,Annual_Generation_Coal_NonCokingCoal,2008-03-01,MetricTon,40604000.0
IN-AP,Annual_Generation_Coal_NonCokingCoal,2009-03-01,MetricTon,44546000.0
IN-AP,Annual_Generation_Coal_NonCokingCoal,2010-03-01,MetricTon,50429000.0
IN-AP,Annual_Generation_Coal_NonCokingCoal,2011-03-01,MetricTon,51333000.0
IN-AP,Annual_Generation_Coal_NonCokingCoal,2012-03-01,MetricTon,52211000.0
IN-AP,Annual_Generation_Coal_NonCokingCoal,2013-03-01,MetricTon,53190000.0
IN-AP,Annual_Generation_Coal_NonCokingCoal,2014-03-01,MetricTon,50469000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2006-03-01,MetricTon,17145600000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2007-03-01,MetricTon,17714460000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2008-03-01,MetricTon,18696590000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2009-03-01,MetricTon,18926920000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2010-03-01,MetricTon,22016240000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2011-03-01,MetricTon,22054580000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2012-03-01,MetricTon,22154860000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2013-03-01,MetricTon,22206960000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2014-03-01,MetricTon,22468150000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2015-03-01,MetricTon,1580700000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2016-03-01,MetricTon,1580700000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2017-03-01,MetricTon,1580700000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2018-03-01,MetricTon,1580700000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2019-03-01,MetricTon,1607210000.0
IN-AP,Annual_Reserves_Coal_NonCokingCoal,2020-03-01,MetricTon,1607210000.0
IN-AR,Annual_Generation_Coal_NonCokingCoal,2008-03-01,MetricTon,79000.0
IN-AR,Annual_Generation_Coal_NonCokingCoal,2009-03-01,MetricTon,142000.0
IN-AR,Annual_Generation_Coal_NonCokingCoal,2010-03-01,MetricTon,251000.0
IN-AR,Annual_Generation_Coal_NonCokingCoal,2011-03-01,MetricTon,299000.0
IN-AR,Annual_Generation_Coal_NonCokingCoal,2012-03-01,MetricTon,221000.0
