table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Wyoming: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"493,786","494,300","494,657","500,017","503,453","509,106","514,157","522,667","534,876","546,043","559,851","563,626","564,460"
.Under 5 years,"30,937","30,890","30,891","31,572","32,033","32,665","33,438","34,747","36,862","38,177","39,978","40,203","40,190"
.5 to 9 years,"34,126","33,938","32,786","32,457","32,163","31,954","32,303","32,939","34,079","35,372","36,643","37,213","37,305"
.10 to 14 years,"38,374","38,454","37,573","36,994","36,411","36,332","35,448","34,764","34,776","35,210","35,772","35,955","36,034"
.15 to 19 years,"41,906","42,004","41,632","40,947","40,157","39,553","38,916","38,760","38,640","38,839","39,062","38,142","38,047"
.20 to 24 years,"33,458","33,627","35,140","37,471","39,157","40,438","40,610","40,907","40,998","40,892","40,941","40,318","40,527"
.25 to 29 years,"30,079","29,767","28,731","28,894","28,976","30,233","31,794","34,117","36,938","38,737","41,218","41,276","41,505"
.30 to 34 years,"29,769","29,727","29,888","30,614","30,647","30,802","30,850","30,737","31,512","32,703","34,996","36,373","36,722"
.35 to 39 years,"36,478","36,303","34,198","32,453","31,133","30,375","30,506","31,309","32,604","33,394","33,966","33,861","33,557"
.40 to 44 years,"42,282","42,348","41,666","40,716","39,372","38,218","36,622","35,236","33,947","33,396","33,129","33,105","33,018"
.45 to 49 years,"40,706","40,899","41,669","42,723","42,918","42,815","42,617","42,386","41,757","41,106","40,496","39,472","39,249"
.50 to 54 years,"33,382","33,658","35,957","36,629","37,974","39,499","40,741","42,001","43,339","43,873","44,045","44,105","44,139"
.55 to 59 years,"24,938","25,068","25,692","28,060","29,718","31,434","33,576","36,156","36,968","38,317","40,088","40,946","41,125"
.60 to 64 years,"19,665","19,733","20,329","21,348","22,599","23,612","24,549","25,298","27,692","29,349","30,910","32,567","32,817"
.65 to 69 years,"16,596","16,594","16,812","17,033","17,549","18,151","18,618","19,182","20,119","21,158","22,239","22,974","23,080"
.70 to 74 years,"14,742","14,760","14,827","14,997","14,944","14,722","14,814","15,109","15,248","15,808","16,318","16,594","16,646"
.75 to 79 years,"11,807","11,862","11,906","11,907","12,048","12,258","12,358","12,379","12,499","12,458","12,303","12,492","12,436"
.80 to 84 years,"7,807","7,882","8,068","8,283","8,596","8,857","8,932","8,919","9,013","9,103","9,340","9,428","9,410"
.85 years and over,"6,734","6,786","6,892","6,919","7,058","7,188","7,465","7,721","7,885","8,151","8,407","8,602","8,653"
.,,,,,,,,,,,,,
.Under 18 years,"128,868","128,774","126,212","125,495","124,182","123,974","124,022","125,525","128,760","131,511","134,960","135,402","135,542"
.Under 5 years,"30,937","30,890","30,891","31,572","32,033","32,665","33,438","34,747","36,862","38,177","39,978","40,203","40,190"
.5 to 13 years,"64,369","64,293","62,435","61,922","61,146","60,660","60,261","60,450","61,628","63,444","65,514","66,191","66,383"
.14 to 17 years,"33,562","33,591","32,886","32,001","31,003","30,649","30,323","30,328","30,270","29,890","29,468","29,008","28,969"
.18 to 64 years,"307,232","307,642","309,940","315,383","319,076","323,956","327,948","333,832","341,352","347,854","356,284","358,134","358,693"
.18 to 24 years,"49,933","50,139","51,810","53,946","55,739","56,968","56,693","56,592","56,595","56,979","57,436","56,429","56,561"
.25 to 44 years,"138,608","138,145","134,483","132,677","130,128","129,628","129,772","131,399","135,001","138,230","143,309","144,615","144,802"
.45 to 64 years,"118,691","119,358","123,647","128,760","133,209","137,360","141,483","145,841","149,756","152,645","155,539","157,090","157,330"
.65 years and over,"57,686","57,884","58,505","59,139","60,195","61,176","62,187","63,310","64,764","66,678","68,607","70,090","70,225"
.,,,,,,,,,,,,,
.16 years and over,"381,892","382,486","385,230","391,013","395,316","400,575","405,218","412,526","421,675","429,824","440,060","443,141","443,794"
.18 years and over,"364,918","365,526","368,445","374,522","379,271","385,132","390,135","397,142","406,116","414,532","424,891","428,224","428,918"
.15 to 44 years,"213,972","213,776","211,255","211,095","209,442","209,619","209,298","211,066","214,639","217,961","223,312","223,075","223,376"
.,,,,,,,,,,,,,
.Median age (years),36.2,36.3,36.7,36.9,37.1,37.1,37.2,37.2,37.0,37.0,36.7,36.8,36.8
MALE,"248,385","248,716","249,330","252,232","254,325","257,600","260,431","265,306","272,100","278,061","285,805","287,437","287,946"
.Under 5 years,"15,891","15,865","15,820","16,283","16,599","16,973","17,234","17,928","18,980","19,559","20,460","20,596","20,588"
.5 to 9 years,"17,524","17,428","16,830","16,639","16,421","16,333","16,551","17,020","17,724","18,443","19,055","19,203","19,254"
