table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Connecticut: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"3,405,650","3,411,777","3,432,835","3,458,749","3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807","3,574,097","3,577,073"
.Under 5 years,"223,349","223,181","220,088","217,269","216,866","214,447","211,315","208,812","207,326","205,536","203,201","202,106","201,838"
.5 to 9 years,"244,148","243,110","240,158","238,119","234,623","232,092","228,703","226,250","223,656","223,384","222,900","222,571","222,734"
.10 to 14 years,"241,602","242,756","248,552","252,593","255,025","254,589","250,704","248,202","246,009","243,282","241,669","240,265","240,151"
.15 to 19 years,"216,629","217,105","225,932","232,848","237,584","242,118","248,504","251,840","253,564","254,565","253,688","250,834","249,748"
.20 to 24 years,"187,577","188,617","189,619","193,805","199,807","204,471","210,846","215,159","218,128","220,127","224,524","227,898","228,509"
.25 to 29 years,"201,474","200,230","191,917","190,223","191,110","192,328","193,585","195,543","198,786","206,261","210,390","214,145","214,520"
.30 to 34 years,"250,176","250,194","245,375","241,267","234,457","225,636","215,637","207,734","203,854","202,930","204,925","206,232","207,420"
.35 to 39 years,"290,871","289,835","284,856","277,934","272,111","263,204","258,112","253,158","247,350","239,823","230,386","222,401","220,994"
.40 to 44 years,"290,196","290,915","295,329","296,765","295,708","295,746","292,554","287,782","280,423","274,541","266,135","262,037","261,818"
.45 to 49 years,"252,765","254,260","262,459","270,509","278,447","283,749","288,872","292,896","293,852","292,469","293,027","291,272","290,092"
.50 to 54 years,"228,061","230,442","237,960","234,718","237,481","242,798","249,490","257,563","265,268","273,577","279,713","284,325","284,848"
.55 to 59 years,"176,966","178,114","184,458","199,907","205,114","211,572","219,671","226,873","223,556","227,680","234,384","240,157","241,360"
.60 to 64 years,"131,655","132,266","135,156","141,107","151,753","158,717","163,544","169,373","183,958","188,810","196,400","203,295","205,204"
.65 to 69 years,"117,559","117,244","115,464","114,970","116,564","118,352","119,503","121,626","127,540","137,635","144,712","149,281","150,211"
.70 to 74 years,"114,003","113,864","113,083","111,006","108,662","106,082","104,199","102,369","101,848","102,945","104,495","105,663","105,980"
.75 to 79 years,"101,098","101,283","100,597","99,954","99,921","98,592","97,292","96,247","94,384","92,130","89,981","89,252","88,959"
.80 to 84 years,"73,249","73,756","75,652","77,377","78,161","79,235","79,731","78,986","78,681","78,571","77,982","77,465","77,354"
.85 years and over,"64,272","64,605","66,180","68,378","70,942","72,366","74,694","77,047","79,087","81,313","83,295","84,898","85,333"
.,,,,,,,,,,,,,
.Under 18 years,"841,714","842,242","845,850","848,877","851,115","848,979","844,034","839,372","833,484","826,626","820,839","817,015","816,237"
.Under 5 years,"223,349","223,181","220,088","217,269","216,866","214,447","211,315","208,812","207,326","205,536","203,201","202,106","201,838"
.5 to 13 years,"439,092","439,296","441,627","442,002","439,536","434,083","428,153","424,315","419,804","417,313","415,869","414,059","414,413"
.14 to 17 years,"179,273","179,765","184,135","189,606","194,713","200,449","204,566","206,245","206,354","203,777","201,769","200,850","199,986"
.18 to 64 years,"2,093,755","2,098,783","2,116,009","2,138,187","2,158,971","2,172,488","2,187,503","2,201,813","2,212,246","2,226,359","2,240,503","2,250,523","2,252,999"
.18 to 24 years,"271,591","272,527","278,499","285,757","292,790","298,738","306,038","310,891","315,199","320,268","325,143","326,659","326,743"
.25 to 44 years,"1,032,717","1,031,174","1,017,477","1,006,189","993,386","976,914","959,888","944,217","930,413","923,555","911,836","904,815","904,752"
.45 to 64 years,"789,447","795,082","820,033","846,241","872,795","896,836","921,577","946,705","966,634","982,536","1,003,524","1,019,049","1,021,504"
.65 years and over,"470,181","470,752","470,976","471,685","474,250","474,627","475,419","476,275","481,540","492,594","500,465","506,559","507,837"
.,,,,,,,,,,,,,
.16 years and over,"2,651,515","2,657,201","2,677,045","2,703,296","2,728,545","2,744,438","2,763,064","2,782,246","2,799,263","2,822,505","2,843,549","2,859,207","2,862,392"
.18 years and over,"2,563,936","2,569,535","2,586,985","2,609,872","2,633,221","2,647,115","2,662,922","2,678,088","2,693,786","2,718,953","2,740,968","2,757,082","2,760,836"
.15 to 44 years,"1,436,923","1,436,896","1,433,028","1,432,842","1,430,777","1,423,503","1,419,238","1,411,216","1,402,105","1,398,247","1,390,048","1,383,547","1,383,009"
.,,,,,,,,,,,,,
.Median age (years),37.4,37.5,37.8,38.0,38.3,38.6,38.8,39.1,39.3,39.5,39.8,40.0,40.0
MALE,"1,649,359","1,652,459","1,663,876","1,678,249","1,690,868","1,698,016","1,704,888","1,709,785","1,715,653","1,724,830","1,733,028","1,739,614","1,741,464"
.Under 5 years,"114,133","114,028","112,664","111,332","111,267","110,054","108,196","106,965","106,046","105,096","103,801","103,475","103,325"
.5 to 9 years,"125,003","124,470","122,709","121,708","119,854","118,730","116,982","115,788","114,845","114,611","114,056","113,763","113,848"
.10 to 14 years,"123,712","124,279","127,408","129,399","130,628","130,328","128,290","126,795","125,775","124,242","123,609","122,924","122,850"
.15 to 19 years,"111,288","111,633","116,252","120,012","122,271","124,474","127,917","129,561","130,472","131,117","130,644","128,949","128,395"
.20 to 24 years,"95,107","95,595","96,079","98,980","102,404","105,396","109,140","110,893","112,151","113,392","115,105","117,117","117,441"
.25 to 29 years,"99,981","99,338","95,530","94,986","95,594","96,058","96,936","97,730","99,831","103,358","106,352","107,986","108,329"
.30 to 34 years,"122,736","122,722","120,457","118,330","114,710","110,790","106,294","102,484","100,729","100,428","101,173","102,038","102,646"
.35 to 39 years,"142,483","141,977","139,376","135,767","132,976","128,445","125,950","123,574","120,527","116,642","112,274","108,637","107,981"
.40 to 44 years,"142,758","143,074","145,259","145,849","144,729","144,627","143,063","140,562","136,808","134,115","129,570","127,555","127,464"
.45 to 49 years,"123,877","124,612","128,631","132,579","136,720","139,248","141,486","143,524","143,872","142,602","142,772","141,757","141,230"
.50 to 54 years,"110,245","111,390","115,050","114,010","115,462","118,389","122,056","125,963","129,637","133,974","136,792","138,961","139,218"
.55 to 59 years,"85,625","86,199","89,095","96,375","98,706","101,720","105,498","109,030","107,977","110,175","113,705","116,699","117,290"
.60 to 64 years,"62,410","62,725","64,286","67,108","72,383","75,730","78,228","80,867","87,741","89,927","93,714","96,939","97,852"
.65 to 69 years,"54,053","53,938","53,144","52,962","53,753","54,831","55,337","56,563","59,355","64,477","67,830","70,258","70,727"
.70 to 74 years,"49,949","49,967","50,083","49,367","48,133","47,028","46,241","45,423","45,267","45,903","46,799","47,331","47,503"
.75 to 79 years,"41,215","41,334","41,050","40,987","41,296","40,898","40,530","40,615","40,063","39,001","38,137","37,908","37,815"
.80 to 84 years,"26,852","27,102","28,028","28,767","29,218","29,907","30,364","30,016","30,189","30,422","30,459","30,369","30,393"
.85 years and over,"17,932","18,076","18,775","19,731","20,764","21,363","22,380","23,432","24,368","25,348","26,236","26,948","27,157"
.,,,,,,,,,,,,,
.Under 18 years,"431,096","431,334","433,333","434,805","435,917","435,008","432,236","429,823","427,075","423,382","419,995","418,196","417,785"
.Under 5 years,"114,133","114,028","112,664","111,332","111,267","110,054","108,196","106,965","106,046","105,096","103,801","103,475","103,325"
.5 to 13 years,"224,830","224,932","226,010","226,150","224,813","222,118","218,877","217,037","215,071","213,589","212,841","211,782","211,961"
.14 to 17 years,"92,133","92,374","94,659","97,323","99,837","102,836","105,163","105,821","105,958","104,697","103,353","102,939","102,499"
.18 to 64 years,"1,028,262","1,030,708","1,039,463","1,051,630","1,061,787","1,068,981","1,077,800","1,083,913","1,089,336","1,096,297","1,103,572","1,108,604","1,110,084"
.18 to 24 years,"138,147","138,671","141,779","146,626","150,507","153,974","158,289","160,179","162,214","165,076","167,220","168,032","168,074"
.25 to 44 years,"507,958","507,111","500,622","494,932","488,009","479,920","472,243","464,350","457,895","454,543","449,369","446,216","446,420"
.45 to 64 years,"382,157","384,926","397,062","410,072","423,271","435,087","447,268","459,384","469,227","476,678","486,983","494,356","495,590"
.65 years and over,"190,001","190,417","191,080","191,814","193,164","194,027","194,852","196,049","199,242","205,151","209,461","212,814","213,595"
.,,,,,,,,,,,,,
.16 years and over,"1,263,329","1,266,243","1,277,069","1,291,486","1,303,861","1,312,996","1,324,125","1,333,463","1,342,973","1,354,771","1,365,687","1,373,924","1,375,906"
.18 years and over,"1,218,263","1,221,125","1,230,543","1,243,444","1,254,951","1,263,008","1,272,652","1,279,962","1,288,578","1,301,448","1,313,033","1,321,418","1,323,679"
.15 to 44 years,"714,353","714,339","712,953","713,924","712,684","709,790","709,300","704,804","700,518","699,052","695,118","692,282","692,256"
.,,,,,,,,,,,,,
.Median age (years),36.1,36.2,36.5,36.7,37.0,37.2,37.4,37.6,37.8,38.1,38.4,38.5,38.6
FEMALE,"1,756,291","1,759,318","1,768,959","1,780,500","1,793,468","1,798,078","1,802,068","1,807,675","1,811,617","1,820,749","1,828,779","1,834,483","1,835,609"
.Under 5 years,"109,216","109,153","107,424","105,937","105,599","104,393","103,119","101,847","101,280","100,440","99,400","98,631","98,513"
.5 to 9 years,"119,145","118,640","117,449","116,411","114,769","113,362","111,721","110,462","108,811","108,773","108,844","108,808","108,886"
.10 to 14 years,"117,890","118,477","121,144","123,194","124,397","124,261","122,414","121,407","120,234","119,040","118,060","117,341","117,301"
