table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for California: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"33,871,653","33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,253,956","37,349,363"
.Under 5 years,"2,486,975","2,490,848","2,489,298","2,492,281","2,517,741","2,541,765","2,555,615","2,539,421","2,545,743","2,561,061","2,544,721","2,531,333","2,532,142"
.5 to 9 years,"2,725,881","2,717,425","2,671,134","2,607,616","2,548,508","2,486,084","2,426,913","2,408,374","2,398,296","2,423,440","2,465,467","2,505,839","2,514,416"
.10 to 14 years,"2,570,829","2,587,669","2,668,867","2,739,123","2,781,873","2,799,010","2,775,085","2,734,680","2,681,413","2,640,937","2,606,631","2,590,930","2,597,792"
.15 to 19 years,"2,450,891","2,459,982","2,484,581","2,515,883","2,559,499","2,616,866","2,683,940","2,743,849","2,793,601","2,823,230","2,834,241","2,823,940","2,819,014"
.20 to 24 years,"2,381,282","2,402,521","2,500,519","2,567,429","2,605,156","2,636,763","2,648,417","2,645,442","2,658,718","2,685,532","2,725,786","2,765,949","2,776,676"
.25 to 29 years,"2,543,531","2,538,599","2,511,761","2,503,790","2,514,926","2,552,577","2,598,001","2,657,935","2,692,305","2,729,493","2,744,863","2,744,409","2,745,869"
.30 to 34 years,"2,685,528","2,691,610","2,722,640","2,721,499","2,696,223","2,648,724","2,572,421","2,512,058","2,488,229","2,497,578","2,534,696","2,573,468","2,584,202"
.35 to 39 years,"2,814,747","2,812,409","2,786,905","2,744,578","2,710,998","2,681,027","2,682,400","2,689,290","2,674,758","2,650,671","2,614,976","2,573,579","2,567,473"
.40 to 44 years,"2,670,605","2,681,664","2,729,412","2,755,721","2,774,875","2,793,165","2,766,179","2,719,455","2,664,103","2,628,234","2,599,362","2,609,131","2,614,454"
.45 to 49 years,"2,331,789","2,345,152","2,411,423","2,484,389","2,546,721","2,584,689","2,630,116","2,658,317","2,671,568","2,683,057","2,702,241","2,689,819","2,687,313"
.50 to 54 years,"1,999,827","2,021,350","2,122,855","2,137,942","2,188,695","2,244,577","2,296,710","2,351,923","2,415,918","2,475,459","2,518,202","2,562,552","2,572,712"
.55 to 59 years,"1,467,261","1,477,507","1,540,553","1,676,464","1,763,722","1,854,291","1,952,482","2,037,929","2,043,625","2,094,639","2,156,126","2,204,296","2,216,679"
.60 to 64 years,"1,146,851","1,152,792","1,187,864","1,233,023","1,298,841","1,351,654","1,400,411","1,449,951","1,574,798","1,654,246","1,749,424","1,832,197","1,850,931"
.65 to 69 years,"984,539","984,993","993,690","1,008,072","1,033,339","1,057,084","1,078,678","1,099,377","1,140,443","1,204,606","1,261,765","1,303,558","1,312,332"
.70 to 74 years,"903,278","905,056","904,187","899,390","896,323","893,251","893,815","893,496","905,608","928,138","954,464","971,778","977,105"
.75 to 79 years,"779,347","782,675","785,430","783,379","781,302","771,676","772,166","765,946","762,259","761,030","763,593","766,971","767,471"
.80 to 84 years,"502,832","507,401","531,112","554,814","573,411","590,328","601,355","600,752","601,524","602,079","599,827","603,239","605,612"
.85 years and over,"425,660","428,324","437,227","446,450","461,006","471,045","493,239","513,007","537,402","560,907","584,844","600,968","607,170"
.,,,,,,,,,,,,,
.Under 18 years,"9,249,835","9,267,089","9,325,466","9,365,142","9,404,594","9,418,497","9,405,565","9,370,884","9,335,620","9,321,621","9,294,501","9,295,040","9,309,727"
.Under 5 years,"2,486,975","2,490,848","2,489,298","2,492,281","2,517,741","2,541,765","2,555,615","2,539,421","2,545,743","2,561,061","2,544,721","2,531,333","2,532,142"
.5 to 13 years,"4,802,459","4,810,671","4,838,087","4,827,315","4,795,829","4,720,416","4,636,753","4,582,874","4,533,284","4,522,381","4,531,633","4,561,764","4,578,970"
.14 to 17 years,"1,960,401","1,965,570","1,998,081","2,045,546","2,091,024","2,156,316","2,213,197","2,248,589","2,256,593","2,238,179","2,218,147","2,201,943","2,198,615"
.18 to 64 years,"21,026,162","21,112,439","21,502,346","21,814,596","22,103,184","22,372,695","22,583,125","22,777,740","22,967,455","23,225,956","23,502,235","23,712,402","23,769,946"
.18 to 24 years,"3,366,023","3,391,356","3,488,933","3,557,190","3,608,183","3,661,991","3,684,405","3,700,882","3,742,151","3,812,579","3,882,345","3,922,951","3,930,313"
.25 to 44 years,"10,714,411","10,724,282","10,750,718","10,725,588","10,697,022","10,675,493","10,619,001","10,578,738","10,519,395","10,505,976","10,493,897","10,500,587","10,511,998"
.45 to 64 years,"6,945,728","6,996,801","7,262,695","7,531,818","7,797,979","8,035,211","8,279,719","8,498,120","8,705,909","8,907,401","9,125,993","9,288,864","9,327,635"
.65 years and over,"3,595,656","3,608,449","3,651,646","3,692,105","3,745,381","3,783,384","3,839,253","3,872,578","3,947,236","4,056,760","4,164,493","4,246,514","4,269,690"
.,,,,,,,,,,,,,
.16 years and over,"25,599,276","25,698,409","26,149,592","26,524,914","26,879,411","27,208,141","27,501,988","27,770,202","28,061,485","28,426,739","28,795,908","29,079,048","29,156,926"
.18 years and over,"24,621,818","24,720,888","25,153,992","25,506,701","25,848,565","26,156,079","26,422,378","26,650,318","26,914,691","27,282,716","27,666,728","27,958,916","28,039,636"
.15 to 44 years,"15,546,584","15,586,785","15,735,818","15,808,900","15,861,677","15,929,122","15,951,358","15,968,029","15,971,714","16,014,738","16,053,924","16,090,476","16,107,688"
.,,,,,,,,,,,,,
.Median age (years),33.3,33.3,33.5,33.7,33.9,34.1,34.4,34.6,34.7,34.9,35.0,35.2,35.2
MALE,"16,874,875","16,937,562","17,185,235","17,373,381","17,543,650","17,703,161","17,831,713","17,923,731","18,035,385","18,207,365","18,378,154","18,517,830","18,568,878"
.Under 5 years,"1,272,877","1,274,819","1,274,169","1,274,912","1,288,254","1,299,939","1,306,586","1,297,428","1,301,521","1,309,307","1,300,980","1,294,056","1,294,323"
.5 to 9 years,"1,396,482","1,391,980","1,367,558","1,334,823","1,303,437","1,270,794","1,240,455","1,231,589","1,225,563","1,238,904","1,259,676","1,279,563","1,283,982"
.10 to 14 years,"1,317,134","1,325,664","1,367,635","1,403,048","1,424,907","1,433,959","1,421,246","1,399,844","1,372,695","1,351,121","1,333,293","1,325,915","1,329,466"
.15 to 19 years,"1,271,627","1,277,698","1,293,087","1,308,453","1,327,978","1,356,493","1,390,427","1,419,714","1,443,997","1,458,088","1,462,796","1,455,082","1,452,533"
.20 to 24 years,"1,245,526","1,258,133","1,306,724","1,339,562","1,352,138","1,372,791","1,384,388","1,384,451","1,392,768","1,403,785","1,422,179","1,440,785","1,446,529"
.25 to 29 years,"1,311,438","1,309,119","1,295,367","1,288,551","1,290,737","1,307,573","1,329,820","1,357,992","1,376,569","1,397,352","1,408,147","1,408,698","1,410,840"
.30 to 34 years,"1,382,355","1,385,574","1,397,761","1,394,749","1,377,207","1,350,391","1,308,978","1,277,634","1,264,026","1,268,756","1,285,607","1,304,347","1,310,062"
.35 to 39 years,"1,430,294","1,429,498","1,418,540","1,395,033","1,376,384","1,360,828","1,360,247","1,359,935","1,350,736","1,335,374","1,314,900","1,291,370","1,288,502"
.40 to 44 years,"1,342,202","1,347,785","1,372,812","1,387,700","1,396,097","1,404,804","1,390,433","1,368,953","1,339,874","1,322,933","1,308,423","1,313,323","1,316,359"
.45 to 49 years,"1,152,950","1,159,885","1,193,750","1,231,130","1,264,955","1,286,041","1,311,232","1,326,493","1,334,957","1,339,492","1,348,861","1,341,984","1,341,292"
.50 to 54 years,"980,795","991,293","1,041,193","1,047,921","1,072,253","1,100,779","1,128,235","1,156,218","1,188,881","1,220,699","1,243,253","1,266,543","1,271,734"
.55 to 59 years,"711,210","716,298","746,797","813,760","856,849","899,806","948,322","989,671","991,650","1,015,503","1,045,795","1,069,976","1,076,335"
.60 to 64 years,"546,108","549,353","566,843","588,994","619,792","645,029","668,608","692,634","753,683","793,585","838,414","879,171","888,083"
.65 to 69 years,"456,778","457,172","461,182","467,639","480,304","492,532","503,096","513,217","532,796","562,683","589,972","610,224","614,486"
.70 to 74 years,"397,924","399,183","402,534","403,587","404,049","403,526","404,530","404,353","409,932","421,286","434,899","443,402","446,239"
.75 to 79 years,"327,684","329,378","329,515","328,451","328,362","325,764","329,285","329,888","330,839","332,628","334,815","337,174","337,697"
.80 to 84 years,"197,306","199,435","210,247","221,013","228,990","235,942","240,235","239,336","239,870","240,779","241,491","245,402","246,866"
.85 years and over,"134,185","135,295","139,521","144,055","150,957","156,170","165,590","174,381","185,028","195,090","204,653","210,815","213,550"
.,,,,,,,,,,,,,
.Under 18 years,"4,744,531","4,753,028","4,781,760","4,799,391","4,819,213","4,824,851","4,816,945","4,797,924","4,779,540","4,771,463","4,756,544","4,756,592","4,764,083"
.Under 5 years,"1,272,877","1,274,819","1,274,169","1,274,912","1,288,254","1,299,939","1,306,586","1,297,428","1,301,521","1,309,307","1,300,980","1,294,056","1,294,323"
.5 to 13 years,"2,460,140","2,464,235","2,477,867","2,471,362","2,454,372","2,414,875","2,371,183","2,344,372","2,317,599","2,311,529","2,315,811","2,330,858","2,339,899"
.14 to 17 years,"1,011,514","1,013,974","1,029,724","1,053,117","1,076,587","1,110,037","1,139,176","1,156,124","1,160,420","1,150,627","1,139,753","1,131,678","1,129,861"
.18 to 64 years,"10,616,467","10,664,071","10,860,476","11,009,245","11,131,775","11,264,376","11,372,032","11,464,632","11,557,380","11,683,436","11,815,780","11,914,221","11,945,957"
.18 to 24 years,"1,759,115","1,775,266","1,827,413","1,861,407","1,877,501","1,909,125","1,926,157","1,935,102","1,957,004","1,989,742","2,022,380","2,038,809","2,042,750"
.25 to 44 years,"5,466,289","5,471,976","5,484,480","5,466,033","5,440,425","5,423,596","5,389,478","5,364,514","5,331,205","5,324,415","5,317,077","5,317,738","5,325,763"
.45 to 64 years,"3,391,063","3,416,829","3,548,583","3,681,805","3,813,849","3,931,655","4,056,397","4,165,016","4,269,171","4,369,279","4,476,323","4,557,674","4,577,444"
.65 years and over,"1,513,877","1,520,463","1,542,999","1,564,745","1,592,662","1,613,934","1,642,736","1,661,175","1,698,465","1,752,466","1,805,830","1,847,017","1,858,838"
.,,,,,,,,,,,,,
.16 years and over,"12,637,936","12,692,064","12,918,784","13,099,875","13,257,072","13,421,807","13,571,739","13,703,017","13,847,244","14,024,665","14,202,787","14,337,992","14,380,255"
.18 years and over,"12,130,344","12,184,534","12,403,475","12,573,990","12,724,437","12,878,310","13,014,768","13,125,807","13,255,845","13,435,902","13,621,610","13,761,238","13,804,795"
.15 to 44 years,"7,983,442","8,007,807","8,084,291","8,114,048","8,120,541","8,152,880","8,164,293","8,168,679","8,167,970","8,186,288","8,202,052","8,213,605","8,224,825"
.,,,,,,,,,,,,,
.Median age (years),32.2,32.2,32.4,32.6,32.9,33.1,33.3,33.4,33.6,33.7,33.9,34.0,34.0
FEMALE,"16,996,778","17,050,415","17,294,223","17,498,462","17,709,509","17,871,415","17,996,230","18,097,471","18,214,926","18,396,972","18,583,075","18,736,126","18,780,485"
.Under 5 years,"1,214,098","1,216,029","1,215,129","1,217,369","1,229,487","1,241,826","1,249,029","1,241,993","1,244,222","1,251,754","1,243,741","1,237,277","1,237,819"
.5 to 9 years,"1,329,399","1,325,445","1,303,576","1,272,793","1,245,071","1,215,290","1,186,458","1,176,785","1,172,733","1,184,536","1,205,791","1,226,276","1,230,434"
.10 to 14 years,"1,253,695","1,262,005","1,301,232","1,336,075","1,356,966","1,365,051","1,353,839","1,334,836","1,308,718","1,289,816","1,273,338","1,265,015","1,268,326"
.15 to 19 years,"1,179,264","1,182,284","1,191,494","1,207,430","1,231,521","1,260,373","1,293,513","1,324,135","1,349,604","1,365,142","1,371,445","1,368,858","1,366,481"
.20 to 24 years,"1,135,756","1,144,388","1,193,795","1,227,867","1,253,018","1,263,972","1,264,029","1,260,991","1,265,950","1,281,747","1,303,607","1,325,164","1,330,147"
.25 to 29 years,"1,232,093","1,229,480","1,216,394","1,215,239","1,224,189","1,245,004","1,268,181","1,299,943","1,315,736","1,332,141","1,336,716","1,335,711","1,335,029"
.30 to 34 years,"1,303,173","1,306,036","1,324,879","1,326,750","1,319,016","1,298,333","1,263,443","1,234,424","1,224,203","1,228,822","1,249,089","1,269,121","1,274,140"
.35 to 39 years,"1,384,453","1,382,911","1,368,365","1,349,545","1,334,614","1,320,199","1,322,153","1,329,355","1,324,022","1,315,297","1,300,076","1,282,209","1,278,971"
.40 to 44 years,"1,328,403","1,333,879","1,356,600","1,368,021","1,378,778","1,388,361","1,375,746","1,350,502","1,324,229","1,305,301","1,290,939","1,295,808","1,298,095"
.45 to 49 years,"1,178,839","1,185,267","1,217,673","1,253,259","1,281,766","1,298,648","1,318,884","1,331,824","1,336,611","1,343,565","1,353,380","1,347,835","1,346,021"
.50 to 54 years,"1,019,032","1,030,057","1,081,662","1,090,021","1,116,442","1,143,798","1,168,475","1,195,705","1,227,037","1,254,760","1,274,949","1,296,009","1,300,978"
.55 to 59 years,"756,051","761,209","793,756","862,704","906,873","954,485","1,004,160","1,048,258","1,051,975","1,079,136","1,110,331","1,134,320","1,140,344"
.60 to 64 years,"600,743","603,439","621,021","644,029","679,049","706,625","731,803","757,317","821,115","860,661","911,010","953,026","962,848"
.65 to 69 years,"527,761","527,821","532,508","540,433","553,035","564,552","575,582","586,160","607,647","641,923","671,793","693,334","697,846"
.70 to 74 years,"505,354","505,873","501,653","495,803","492,274","489,725","489,285","489,143","495,676","506,852","519,565","528,376","530,866"
.75 to 79 years,"451,663","453,297","455,915","454,928","452,940","445,912","442,881","436,058","431,420","428,402","428,778","429,797","429,774"
.80 to 84 years,"305,526","307,966","320,865","333,801","344,421","354,386","361,120","361,416","361,654","361,300","358,336","357,837","358,746"
.85 years and over,"291,475","293,029","297,706","302,395","310,049","314,875","327,649","338,626","352,374","365,817","380,191","390,153","393,620"
.,,,,,,,,,,,,,
.Under 18 years,"4,505,304","4,514,061","4,543,706","4,565,751","4,585,381","4,593,646","4,588,620","4,572,960","4,556,080","4,550,158","4,537,957","4,538,448","4,545,644"
.Under 5 years,"1,214,098","1,216,029","1,215,129","1,217,369","1,229,487","1,241,826","1,249,029","1,241,993","1,244,222","1,251,754","1,243,741","1,237,277","1,237,819"
.5 to 13 years,"2,342,319","2,346,436","2,360,220","2,355,953","2,341,457","2,305,541","2,265,570","2,238,502","2,215,685","2,210,852","2,215,822","2,230,906","2,239,071"
.14 to 17 years,"948,887","951,596","968,357","992,429","1,014,437","1,046,279","1,074,021","1,092,465","1,096,173","1,087,552","1,078,394","1,070,265","1,068,754"
.18 to 64 years,"10,409,695","10,448,368","10,641,870","10,805,351","10,971,409","11,108,319","11,211,093","11,313,108","11,410,075","11,542,520","11,686,455","11,798,181","11,823,989"
.18 to 24 years,"1,606,908","1,616,090","1,661,520","1,695,783","1,730,682","1,752,866","1,758,248","1,765,780","1,785,147","1,822,837","1,859,965","1,884,142","1,887,563"
.25 to 44 years,"5,248,122","5,252,306","5,266,238","5,259,555","5,256,597","5,251,897","5,229,523","5,214,224","5,188,190","5,181,561","5,176,820","5,182,849","5,186,235"
.45 to 64 years,"3,554,665","3,579,972","3,714,112","3,850,013","3,984,130","4,103,556","4,223,322","4,333,104","4,436,738","4,538,122","4,649,670","4,731,190","4,750,191"
.65 years and over,"2,081,779","2,087,986","2,108,647","2,127,360","2,152,719","2,169,450","2,196,517","2,211,403","2,248,771","2,304,294","2,358,663","2,399,497","2,410,852"
.,,,,,,,,,,,,,
.16 years and over,"12,961,340","13,006,345","13,230,808","13,425,039","13,622,339","13,786,334","13,930,249","14,067,185","14,214,241","14,402,074","14,593,121","14,741,056","14,776,671"
.18 years and over,"12,491,474","12,536,354","12,750,517","12,932,711","13,124,128","13,277,769","13,407,610","13,524,511","13,658,846","13,846,814","14,045,118","14,197,678","14,234,841"
.15 to 44 years,"7,563,142","7,578,978","7,651,527","7,694,852","7,741,136","7,776,242","7,787,065","7,799,350","7,803,744","7,828,450","7,851,872","7,876,871","7,882,863"
.,,,,,,,,,,,,,
.Median age (years),34.4,34.5,34.6,34.8,35.0,35.2,35.4,35.6,35.9,36.1,36.2,36.3,36.4
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
