table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Arizona: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,130,247","5,160,586","5,273,477","5,396,255","5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154","6,392,017","6,413,737"
.Under 5 years,"382,380","384,100","394,064","405,018","416,609","430,031","447,107","459,747","469,680","473,811","463,418","455,715","456,273"
.5 to 9 years,"389,867","389,520","388,279","388,857","389,350","393,245","401,892","417,038","427,998","440,171","446,994","453,680","455,584"
.10 to 14 years,"378,209","381,738","392,683","402,889","411,193","418,167","425,230","433,201","439,161","442,701","445,967","448,664","450,023"
.15 to 19 years,"367,719","370,484","371,612","378,885","389,173","402,508","419,514","435,349","448,264","458,137","461,505","461,582","460,735"
.20 to 24 years,"362,853","367,199","388,395","401,696","407,205","411,699","415,766","421,518","428,652","435,282","438,897","442,584","444,760"
.25 to 29 years,"374,105","373,244","371,096","376,202","383,859","398,820","418,966","441,876","450,343","452,605","447,102","439,998","441,304"
.30 to 34 years,"368,557","369,534","377,471","385,105","387,476","389,610","392,959","396,538","400,894","406,053","412,192","416,695","419,553"
.35 to 39 years,"392,687","392,930","389,659","384,764","381,549","382,433","393,196","408,786","418,635","422,417","420,284","415,693","414,490"
.40 to 44 years,"376,115","378,698","388,232","397,313","401,649","409,227","414,897","417,023","412,888","409,294","405,504","406,801","407,632"
.45 to 49 years,"331,904","335,059","346,161","358,936","371,404","382,225","397,557","411,281","420,635","424,958","428,173","427,022","426,523"
.50 to 54 years,"295,977","300,140","318,243","323,517","331,827","344,145","358,467","373,257","387,167","400,520","407,844","415,524","417,411"
.55 to 59 years,"238,618","241,181","251,367","273,288","288,991","306,685","328,711","350,991","356,562","361,835","369,424","375,268","377,915"
.60 to 64 years,"203,607","205,427","212,982","223,663","238,395","252,985","268,283","282,272","303,835","320,414","335,404","350,960","354,930"
.65 to 69 years,"188,931","189,473","191,895","196,606","202,879","212,176","222,232","232,855","243,729","259,777","273,341","282,866","285,123"
.70 to 74 years,"174,765","175,520","177,017","178,713","180,432","182,719","186,584","191,110","195,856","202,209","209,841","215,026","216,521"
.75 to 79 years,"144,169","145,023","146,970","147,829","149,940","151,003","154,910","156,984","158,624","159,753","161,072","162,261","162,245"
.80 to 84 years,"91,262","92,262","96,357","100,369","102,729","106,529","110,622","112,528","113,548","115,594","116,341","118,278","118,453"
.85 years and over,"68,522","69,054","70,994","72,605","75,704","78,197","82,184","86,787","91,210","94,831","99,851","103,400","104,262"
.,,,,,,,,,,,,,
.Under 18 years,"1,366,934","1,373,414","1,399,015","1,427,938","1,453,671","1,484,454","1,529,168","1,574,867","1,607,895","1,628,651","1,627,343","1,629,014","1,632,606"
.Under 5 years,"382,380","384,100","394,064","405,018","416,609","430,031","447,107","459,747","469,680","473,811","463,418","455,715","456,273"
.5 to 13 years,"694,246","697,172","705,643","713,974","720,612","725,751","741,269","763,159","779,015","795,194","804,080","813,507","817,021"
.14 to 17 years,"290,308","292,142","299,308","308,946","316,450","328,672","340,792","351,961","359,200","359,646","359,845","359,792","359,312"
.18 to 64 years,"3,095,664","3,115,840","3,191,229","3,272,195","3,345,009","3,437,326","3,553,377","3,674,010","3,756,819","3,819,547","3,855,365","3,881,172","3,894,527"
.18 to 24 years,"514,094","519,627","536,018","549,407","559,859","571,196","580,341","591,986","605,860","621,451","629,438","633,211","634,769"
.25 to 44 years,"1,511,464","1,514,406","1,526,458","1,543,384","1,554,533","1,580,090","1,620,018","1,664,223","1,682,760","1,690,369","1,685,082","1,679,187","1,682,979"
.45 to 64 years,"1,070,106","1,081,807","1,128,753","1,179,404","1,230,617","1,286,040","1,353,018","1,417,801","1,468,199","1,507,727","1,540,845","1,568,774","1,576,779"
.65 years and over,"667,649","671,332","683,233","696,122","711,684","730,624","756,532","780,264","802,967","832,164","860,446","881,831","886,604"
.,,,,,,,,,,,,,
.16 years and over,"3,907,152","3,931,562","4,022,842","4,122,645","4,214,027","4,329,182","4,477,090","4,630,842","4,741,793","4,833,812","4,898,029","4,944,481","4,962,129"
.18 years and over,"3,763,313","3,787,172","3,874,462","3,968,317","4,056,693","4,167,950","4,309,909","4,454,274","4,559,786","4,651,711","4,715,811","4,763,003","4,781,131"
.15 to 44 years,"2,242,036","2,252,089","2,286,465","2,323,965","2,350,911","2,394,297","2,455,298","2,521,090","2,559,676","2,583,788","2,585,484","2,583,353","2,588,474"
.,,,,,,,,,,,,,
.Median age (years),34.2,34.2,34.3,34.4,34.6,34.8,35.0,35.1,35.2,35.4,35.7,35.9,35.9
MALE,"2,560,865","2,576,007","2,631,801","2,692,038","2,746,287","2,816,798","2,908,266","3,003,007","3,070,683","3,125,084","3,153,246","3,175,823","3,187,204"
.Under 5 years,"195,629","196,500","201,570","206,949","212,369","219,468","227,461","234,349","239,414","241,498","236,159","232,562","232,838"
.5 to 9 years,"199,476","199,318","198,533","199,002","199,628","201,849","206,255","213,558","218,850","224,569","228,217","231,246","232,213"
.10 to 14 years,"194,062","195,824","201,273","206,537","210,613","213,709","217,232","221,268","223,936","226,173","227,858","228,995","229,674"
.15 to 19 years,"190,607","192,069","193,221","197,399","202,553","209,474","218,017","225,967","232,399","236,980","237,592","237,280","236,876"
.20 to 24 years,"191,081","193,283","203,093","209,127","211,198","213,772","216,575","220,164","224,031","226,581","228,031","229,562","230,679"
.25 to 29 years,"195,401","194,847","193,754","196,050","199,558","206,836","215,866","226,402","230,336","231,555","228,836","225,608","226,500"
.30 to 34 years,"191,665","192,105","195,996","199,463","199,915","200,612","201,856","203,553","205,712","208,126","210,499","212,223","213,720"
.35 to 39 years,"199,664","199,775","198,530","195,998","194,518","195,138","200,928","208,825","213,202","214,831","213,047","210,224","209,648"
.40 to 44 years,"188,994","190,278","194,907","199,478","201,385","205,464","208,161","209,981","207,970","206,465","204,915","205,899","206,344"
.45 to 49 years,"163,478","165,061","170,558","177,143","183,323","189,172","196,857","203,661","208,898","211,218","213,070","212,499","212,335"
.50 to 54 years,"144,302","146,343","154,977","157,231","160,887","166,074","173,163","180,491","187,568","194,502","198,530","202,411","203,335"
.55 to 59 years,"113,459","114,707","119,927","131,000","138,883","147,555","158,020","168,309","170,571","172,496","175,630","178,665","179,955"
.60 to 64 years,"96,883","97,795","101,122","105,953","112,415","119,218","126,700","133,575","144,258","152,579","159,621","166,954","168,856"
.65 to 69 years,"90,231","90,537","91,637","93,610","96,687","101,180","105,811","110,786","115,594","122,428","128,972","133,599","134,728"
.70 to 74 years,"81,375","81,875","83,041","84,441","85,589","86,571","88,724","91,078","93,140","96,416","100,288","102,628","103,400"
.75 to 79 years,"63,404","63,866","65,155","65,857","67,650","68,943","71,503","72,775","74,034","74,853","75,334","76,221","76,269"
.80 to 84 years,"38,127","38,595","40,463","41,922","42,965","44,612","46,053","47,174","47,914","49,507","50,330","51,509","51,688"
.85 years and over,"23,027","23,229","24,044","24,878","26,151","27,151","29,084","31,091","32,856","34,307","36,317","37,738","38,146"
.,,,,,,,,,,,,,
.Under 18 years,"701,305","704,578","717,443","731,982","744,880","760,789","782,984","806,222","822,274","832,614","831,449","831,904","833,748"
.Under 5 years,"195,629","196,500","201,570","206,949","212,369","219,468","227,461","234,349","239,414","241,498","236,159","232,562","232,838"
.5 to 13 years,"355,633","357,140","361,299","365,634","369,172","371,594","379,556","390,296","397,884","406,342","410,561","414,779","416,581"
.14 to 17 years,"150,043","150,938","154,574","159,399","163,339","169,727","175,967","181,577","184,976","184,774","184,729","184,563","184,329"
.18 to 64 years,"1,563,396","1,573,327","1,610,018","1,649,348","1,682,365","1,727,552","1,784,107","1,843,881","1,884,871","1,914,959","1,930,556","1,942,224","1,949,225"
.18 to 24 years,"269,550","272,416","280,247","287,032","291,481","297,483","302,556","309,084","316,356","323,187","326,408","327,741","328,532"
.25 to 44 years,"775,724","777,005","783,187","790,989","795,376","808,050","826,811","848,761","857,220","860,977","857,297","853,954","856,212"
.45 to 64 years,"518,122","523,906","546,584","571,327","595,508","622,019","654,740","686,036","711,295","730,795","746,851","760,529","764,481"
.65 years and over,"296,164","298,102","304,340","310,708","319,042","328,457","341,175","352,904","363,538","377,511","391,241","401,695","404,231"
.,,,,,,,,,,,,,
.16 years and over,"1,934,280","1,946,400","1,991,474","2,040,090","2,082,880","2,139,567","2,212,072","2,288,370","2,342,659","2,386,788","2,415,705","2,437,034","2,446,371"
.18 years and over,"1,859,560","1,871,429","1,914,358","1,960,056","2,001,407","2,056,009","2,125,282","2,196,785","2,248,409","2,292,470","2,321,797","2,343,919","2,353,456"
.15 to 44 years,"1,157,412","1,162,357","1,179,501","1,197,515","1,209,127","1,231,296","1,261,403","1,294,892","1,313,650","1,324,538","1,322,920","1,320,796","1,323,767"
.,,,,,,,,,,,,,
.Median age (years),32.9,32.9,33.1,33.2,33.4,33.6,33.8,33.9,34.0,34.2,34.5,34.8,34.8
FEMALE,"2,569,382","2,584,579","2,641,676","2,704,217","2,764,077","2,835,606","2,930,811","3,026,134","3,096,998","3,155,278","3,189,908","3,216,194","3,226,533"
.Under 5 years,"186,751","187,600","192,494","198,069","204,240","210,563","219,646","225,398","230,266","232,313","227,259","223,153","223,435"
.5 to 9 years,"190,391","190,202","189,746","189,855","189,722","191,396","195,637","203,480","209,148","215,602","218,777","222,434","223,371"
.10 to 14 years,"184,147","185,914","191,410","196,352","200,580","204,458","207,998","211,933","215,225","216,528","218,109","219,669","220,349"
.15 to 19 years,"177,112","178,415","178,391","181,486","186,620","193,034","201,497","209,382","215,865","221,157","223,913","224,302","223,859"
.20 to 24 years,"171,772","173,916","185,302","192,569","196,007","197,927","199,191","201,354","204,621","208,701","210,866","213,022","214,081"
.25 to 29 years,"178,704","178,397","177,342","180,152","184,301","191,984","203,100","215,474","220,007","221,050","218,266","214,390","214,804"
.30 to 34 years,"176,892","177,429","181,475","185,642","187,561","188,998","191,103","192,985","195,182","197,927","201,693","204,472","205,833"
.35 to 39 years,"193,023","193,155","191,129","188,766","187,031","187,295","192,268","199,961","205,433","207,586","207,237","205,469","204,842"
.40 to 44 years,"187,121","188,420","193,325","197,835","200,264","203,763","206,736","207,042","204,918","202,829","200,589","200,902","201,288"
.45 to 49 years,"168,426","169,998","175,603","181,793","188,081","193,053","200,700","207,620","211,737","213,740","215,103","214,523","214,188"
.50 to 54 years,"151,675","153,797","163,266","166,286","170,940","178,071","185,304","192,766","199,599","206,018","209,314","213,113","214,076"
.55 to 59 years,"125,159","126,474","131,440","142,288","150,108","159,130","170,691","182,682","185,991","189,339","193,794","196,603","197,960"
.60 to 64 years,"106,724","107,632","111,860","117,710","125,980","133,767","141,583","148,697","159,577","167,835","175,783","184,006","186,074"
.65 to 69 years,"98,700","98,936","100,258","102,996","106,192","110,996","116,421","122,069","128,135","137,349","144,369","149,267","150,395"
.70 to 74 years,"93,390","93,645","93,976","94,272","94,843","96,148","97,860","100,032","102,716","105,793","109,553","112,398","113,121"
.75 to 79 years,"80,765","81,157","81,815","81,972","82,290","82,060","83,407","84,209","84,590","84,900","85,738","86,040","85,976"
.80 to 84 years,"53,135","53,667","55,894","58,447","59,764","61,917","64,569","65,354","65,634","66,087","66,011","66,769","66,765"
.85 years and over,"45,495","45,825","46,950","47,727","49,553","51,046","53,100","55,696","58,354","60,524","63,534","65,662","66,116"
.,,,,,,,,,,,,,
.Under 18 years,"665,629","668,836","681,572","695,956","708,791","723,665","746,184","768,645","785,621","796,037","795,894","797,110","798,858"
.Under 5 years,"186,751","187,600","192,494","198,069","204,240","210,563","219,646","225,398","230,266","232,313","227,259","223,153","223,435"
.5 to 13 years,"338,613","340,032","344,344","348,340","351,440","354,157","361,713","372,863","381,131","388,852","393,519","398,728","400,440"
.14 to 17 years,"140,265","141,204","144,734","149,547","153,111","158,945","164,825","170,384","174,224","174,872","175,116","175,229","174,983"
.18 to 64 years,"1,532,268","1,542,513","1,581,211","1,622,847","1,662,644","1,709,774","1,769,270","1,830,129","1,871,948","1,904,588","1,924,809","1,938,948","1,945,302"
.18 to 24 years,"244,544","247,211","255,771","262,375","268,378","273,713","277,785","282,902","289,504","298,264","303,030","305,470","306,237"
.25 to 44 years,"735,740","737,401","743,271","752,395","759,157","772,040","793,207","815,462","825,540","829,392","827,785","825,233","826,767"
.45 to 64 years,"551,984","557,901","582,169","608,077","635,109","664,021","698,278","731,765","756,904","776,932","793,994","808,245","812,298"
.65 years and over,"371,485","373,230","378,893","385,414","392,642","402,167","415,357","427,360","439,429","454,653","469,205","480,136","482,373"
.,,,,,,,,,,,,,
.16 years and over,"1,972,872","1,985,162","2,031,368","2,082,555","2,131,147","2,189,615","2,265,018","2,342,472","2,399,134","2,447,024","2,482,324","2,507,447","2,515,758"
.18 years and over,"1,903,753","1,915,743","1,960,104","2,008,261","2,055,286","2,111,941","2,184,627","2,257,489","2,311,377","2,359,241","2,394,014","2,419,084","2,427,675"
.15 to 44 years,"1,084,624","1,089,732","1,106,964","1,126,450","1,141,784","1,163,001","1,193,895","1,226,198","1,246,026","1,259,250","1,262,564","1,262,557","1,264,707"
.,,,,,,,,,,,,,
.Median age (years),35.5,35.5,35.7,35.8,35.9,36.1,36.1,36.3,36.4,36.6,36.9,37.2,37.2
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Arizona: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-04)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
