Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1931",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"124,039,648 ","62,725,503 ","61,314,145 ","111,433,404 ","56,462,405 ","54,970,999 ","12,606,244 ","6,263,098 ","6,343,146 "
,,,,,,,,,
0,"2,138,681 ","1,087,341 ","1,051,340 ","1,902,140 ","970,079 ","932,061 ","236,541 ","117,262 ","119,279 "
1,"2,140,300 ","1,083,155 ","1,057,145 ","1,903,378 ","965,694 ","937,684 ","236,922 ","117,461 ","119,461 "
2,"2,225,565 ","1,125,772 ","1,099,793 ","1,974,464 ","1,001,488 ","972,976 ","251,101 ","124,284 ","126,817 "
3,"2,300,649 ","1,180,976 ","1,119,673 ","2,028,157 ","1,045,191 ","982,966 ","272,492 ","135,785 ","136,707 "
4,"2,374,212 ","1,205,680 ","1,168,532 ","2,092,923 ","1,066,386 ","1,026,537 ","281,289 ","139,294 ","141,995 "
5,"2,444,300 ","1,248,266 ","1,196,034 ","2,150,290 ","1,099,796 ","1,050,494 ","294,010 ","148,470 ","145,540 "
6,"2,480,998 ","1,261,280 ","1,219,718 ","2,191,978 ","1,116,722 ","1,075,256 ","289,020 ","144,558 ","144,462 "
7,"2,505,440 ","1,266,910 ","1,238,530 ","2,211,881 ","1,121,582 ","1,090,299 ","293,559 ","145,328 ","148,231 "
8,"2,480,593 ","1,252,653 ","1,227,940 ","2,192,964 ","1,110,418 ","1,082,546 ","287,629 ","142,235 ","145,394 "
9,"2,557,405 ","1,289,352 ","1,268,053 ","2,265,687 ","1,144,897 ","1,120,790 ","291,718 ","144,455 ","147,263 "
10,"2,522,846 ","1,275,649 ","1,247,197 ","2,243,998 ","1,137,307 ","1,106,691 ","278,848 ","138,342 ","140,506 "
