Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1925",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
11,"2,333,000 ","1,173,000 ","1,160,000 ","2,068,000 ","1,043,000 ","1,025,000 ","265,000 ","130,000 ","135,000 "
12,"2,307,000 ","1,158,000 ","1,149,000 ","2,043,000 ","1,029,000 ","1,014,000 ","264,000 ","129,000 ","135,000 "
13,"2,279,000 ","1,141,000 ","1,138,000 ","2,016,000 ","1,013,000 ","1,003,000 ","263,000 ","128,000 ","135,000 "
14,"2,250,000 ","1,124,000 ","1,126,000 ","1,989,000 ","997,000 ","992,000 ","261,000 ","127,000 ","134,000 "
15,"2,222,000 ","1,107,000 ","1,115,000 ","1,962,000 ","981,000 ","981,000 ","260,000 ","126,000 ","134,000 "
16,"2,193,000 ","1,090,000 ","1,103,000 ","1,935,000 ","965,000 ","970,000 ","258,000 ","125,000 ","133,000 "
17,"2,160,000 ","1,072,000 ","1,088,000 ","1,905,000 ","949,000 ","956,000 ","255,000 ","123,000 ","132,000 "
18,"2,124,000 ","1,054,000 ","1,070,000 ","1,873,000 ","933,000 ","940,000 ","251,000 ","121,000 ","130,000 "
19,"2,085,000 ","1,034,000 ","1,051,000 ","1,839,000 ","916,000 ","923,000 ","246,000 ","118,000 ","128,000 "
20,"2,047,000 ","1,016,000 ","1,031,000 ","1,807,000 ","901,000 ","906,000 ","240,000 ","115,000 ","125,000 "
21,"2,012,000 ","1,000,000 ","1,012,000 ","1,776,000 ","887,000 ","889,000 ","236,000 ","113,000 ","123,000 "
22,"1,978,000 ","984,000 ","994,000 ","1,748,000 ","874,000 ","874,000 ","230,000 ","110,000 ","120,000 "
23,"1,947,000 ","968,000 ","979,000 ","1,725,000 ","862,000 ","863,000 ","222,000 ","106,000 ","116,000 "
24,"1,923,000 ","955,000 ","968,000 ","1,707,000 ","852,000 ","855,000 ","216,000 ","103,000 ","113,000 "
25,"1,896,000 ","941,000 ","955,000 ","1,688,000 ","842,000 ","846,000 ","208,000 ","99,000 ","109,000 "
26,"1,866,000 ","925,000 ","941,000 ","1,666,000 ","830,000 ","836,000 ","200,000 ","95,000 ","105,000 "
27,"1,852,000 ","919,000 ","933,000 ","1,657,000 ","826,000 ","831,000 ","195,000 ","93,000 ","102,000 "
28,"1,859,000 ","924,000 ","935,000 ","1,664,000 ","831,000 ","833,000 ","195,000 ","93,000 ","102,000 "
29,"1,877,000 ","936,000 ","941,000 ","1,680,000 ","842,000 ","838,000 ","197,000 ","94,000 ","103,000 "
30,"1,893,000 ","947,000 ","946,000 ","1,694,000 ","852,000 ","842,000 ","199,000 ","95,000 ","104,000 "
31,"1,915,000 ","961,000 ","954,000 ","1,713,000 ","864,000 ","849,000 ","202,000 ","97,000 ","105,000 "
32,"1,909,000 ","961,000 ","948,000 ","1,709,000 ","865,000 ","844,000 ","200,000 ","96,000 ","104,000 "
33,"1,863,000 ","941,000 ","922,000 ","1,672,000 ","849,000 ","823,000 ","191,000 ","92,000 ","99,000 "
34,"1,790,000 ","907,000 ","883,000 ","1,614,000 ","822,000 ","792,000 ","176,000 ","85,000 ","91,000 "
35,"1,720,000 ","875,000 ","845,000 ","1,557,000 ","796,000 ","761,000 ","163,000 ","79,000 ","84,000 "
36,"1,644,000 ","839,000 ","805,000 ","1,496,000 ","767,000 ","729,000 ","148,000 ","72,000 ","76,000 "
37,"1,588,000 ","814,000 ","774,000 ","1,449,000 ","746,000 ","703,000 ","139,000 ","68,000 ","71,000 "
38,"1,564,000 ","806,000 ","758,000 ","1,425,000 ","737,000 ","688,000 ","139,000 ","69,000 ","70,000 "
39,"1,560,000 ","808,000 ","752,000 ","1,416,000 ","736,000 ","680,000 ","144,000 ","72,000 ","72,000 "
40,"1,551,000 ","808,000 ","743,000 ","1,403,000 ","733,000 ","670,000 ","148,000 ","75,000 ","73,000 "
41,"1,540,000 ","806,000 ","734,000 ","1,389,000 ","729,000 ","660,000 ","151,000 ","77,000 ","74,000 "
42,"1,518,000 ","797,000 ","721,000 ","1,366,000 ","719,000 ","647,000 ","152,000 ","78,000 ","74,000 "
43,"1,474,000 ","774,000 ","700,000 ","1,327,000 ","698,000 ","629,000 ","147,000 ","76,000 ","71,000 "
44,"1,417,000 ","742,000 ","675,000 ","1,278,000 ","670,000 ","608,000 ","139,000 ","72,000 ","67,000 "
45,"1,363,000 ","712,000 ","651,000 ","1,231,000 ","643,000 ","588,000 ","132,000 ","69,000 ","63,000 "
46,"1,309,000 ","681,000 ","628,000 ","1,185,000 ","616,000 ","569,000 ","124,000 ","65,000 ","59,000 "
47,"1,256,000 ","652,000 ","604,000 ","1,140,000 ","591,000 ","549,000 ","116,000 ","61,000 ","55,000 "
48,"1,209,000 ","629,000 ","580,000 ","1,099,000 ","570,000 ","529,000 ","110,000 ","59,000 ","51,000 "
49,"1,167,000 ","610,000 ","557,000 ","1,063,000 ","553,000 ","510,000 ","104,000 ","57,000 ","47,000 "
50,"1,123,000 ","590,000 ","533,000 ","1,025,000 ","535,000 ","490,000 ","98,000 ","55,000 ","43,000 "
51,"1,079,000 ","569,000 ","510,000 ","987,000 ","516,000 ","471,000 ","92,000 ","53,000 ","39,000 "
52,"1,039,000 ","550,000 ","489,000 ","952,000 ","499,000 ","453,000 ","87,000 ","51,000 ","36,000 "
53,"1,003,000 ","532,000 ","471,000 ","921,000 ","484,000 ","437,000 ","82,000 ","48,000 ","34,000 "
54,"973,000 ","516,000 ","457,000 ","894,000 ","470,000 ","424,000 ","79,000 ","46,000 ","33,000 "
55,"944,000 ","501,000 ","443,000 ","868,000 ","457,000 ","411,000 ","76,000 ","44,000 ","32,000 "
56,"916,000 ","487,000 ","429,000 ","843,000 ","445,000 ","398,000 ","73,000 ","42,000 ","31,000 "
57,"882,000 ","468,000 ","414,000 ","812,000 ","428,000 ","384,000 ","70,000 ","40,000 ","30,000 "
58,"837,000 ","443,000 ","394,000 ","772,000 ","406,000 ","366,000 ","65,000 ","37,000 ","28,000 "
59,"783,000 ","412,000 ","371,000 ","725,000 ","379,000 ","346,000 ","58,000 ","33,000 ","25,000 "
60,"733,000 ","383,000 ","350,000 ","681,000 ","354,000 ","327,000 ","52,000 ","29,000 ","23,000 "
61,"681,000 ","354,000 ","327,000 ","635,000 ","328,000 ","307,000 ","46,000 ","26,000 ","20,000 "
62,"637,000 ","329,000 ","308,000 ","596,000 ","306,000 ","290,000 ","41,000 ","23,000 ","18,000 "
63,"607,000 ","313,000 ","294,000 ","569,000 ","292,000 ","277,000 ","38,000 ","21,000 ","17,000 "
64,"585,000 ","302,000 ","283,000 ","549,000 ","282,000 ","267,000 ","36,000 ","20,000 ","16,000 "
65,"562,000 ","290,000 ","272,000 ","527,000 ","271,000 ","256,000 ","35,000 ","19,000 ","16,000 "
66,"536,000 ","277,000 ","259,000 ","503,000 ","259,000 ","244,000 ","33,000 ","18,000 ","15,000 "
67,"509,000 ","263,000 ","246,000 ","478,000 ","246,000 ","232,000 ","31,000 ","17,000 ","14,000 "
68,"481,000 ","249,000 ","232,000 ","452,000 ","233,000 ","219,000 ","29,000 ","16,000 ","13,000 "
69,"449,000 ","232,000 ","217,000 ","422,000 ","217,000 ","205,000 ","27,000 ","15,000 ","12,000 "
70,"415,000 ","214,000 ","201,000 ","389,000 ","200,000 ","189,000 ","26,000 ","14,000 ","12,000 "
71,"376,000 ","193,000 ","183,000 ","352,000 ","180,000 ","172,000 ","24,000 ","13,000 ","11,000 "
72,"329,000 ","168,000 ","161,000 ","309,000 ","157,000 ","152,000 ","20,000 ","11,000 ","9,000 "
73,"279,000 ","140,000 ","139,000 ","262,000 ","131,000 ","131,000 ","17,000 ","9,000 ","8,000 "
74,"219,000 ","107,000 ","112,000 ","206,000 ","100,000 ","106,000 ","13,000 ","7,000 ","6,000 "
75+,"1,631,000 ","779,000 ","852,000 ","1,513,000 ","722,000 ","791,000 ","118,000 ","57,000 ","61,000 "
,,,,,,,,,
"Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979",,,,,,,,,
,,,,,,,,,
"The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.",,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Population Division",,,,,,,,,
"Internet Release date:  October 1, 2004",,,,,,,,,
