Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1925",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"115,829,000 ","58,813,000 ","57,016,000 ","104,061,000 ","52,931,000 ","51,130,000 ","11,768,000 ","5,882,000 ","5,886,000 "
,,,,,,,,,
0,"2,460,000 ","1,252,000 ","1,208,000 ","2,194,000 ","1,119,000 ","1,075,000 ","266,000 ","133,000 ","133,000 "
1,"2,465,000 ","1,254,000 ","1,211,000 ","2,200,000 ","1,121,000 ","1,079,000 ","265,000 ","133,000 ","132,000 "
2,"2,467,000 ","1,254,000 ","1,213,000 ","2,202,000 ","1,121,000 ","1,081,000 ","265,000 ","133,000 ","132,000 "
3,"2,465,000 ","1,252,000 ","1,213,000 ","2,200,000 ","1,119,000 ","1,081,000 ","265,000 ","133,000 ","132,000 "
4,"2,459,000 ","1,248,000 ","1,211,000 ","2,194,000 ","1,115,000 ","1,079,000 ","265,000 ","133,000 ","132,000 "
5,"2,449,000 ","1,242,000 ","1,207,000 ","2,184,000 ","1,109,000 ","1,075,000 ","265,000 ","133,000 ","132,000 "
6,"2,436,000 ","1,233,000 ","1,203,000 ","2,171,000 ","1,101,000 ","1,070,000 ","265,000 ","132,000 ","133,000 "
7,"2,420,000 ","1,224,000 ","1,196,000 ","2,155,000 ","1,092,000 ","1,063,000 ","265,000 ","132,000 ","133,000 "
8,"2,401,000 ","1,213,000 ","1,188,000 ","2,136,000 ","1,081,000 ","1,055,000 ","265,000 ","132,000 ","133,000 "
9,"2,381,000 ","1,201,000 ","1,180,000 ","2,116,000 ","1,070,000 ","1,046,000 ","265,000 ","131,000 ","134,000 "
10,"2,358,000 ","1,188,000 ","1,170,000 ","2,093,000 ","1,057,000 ","1,036,000 ","265,000 ","131,000 ","134,000 "
