table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Idaho: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,293,957","1,299,430","1,319,962","1,340,372","1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439","1,567,582","1,571,450"
.Under 5 years,"97,640","97,916","99,882","101,754","104,308","107,239","111,036","114,699","118,768","121,572","121,829","121,772","121,761"
.5 to 9 years,"100,758","100,671","100,523","100,876","101,115","102,760","106,074","109,864","113,374","117,013","119,586","121,195","121,461"
.10 to 14 years,"104,606","105,354","106,539","107,847","108,782","109,000","109,718","110,946","112,826","113,774","115,442","116,955","117,168"
.15 to 19 years,"110,854","111,578","112,006","111,048","110,272","110,861","112,402","113,920","115,488","116,463","115,965","115,359","114,986"
.20 to 24 years,"93,997","94,698","98,407","101,176","105,120","107,204","108,543","109,168","108,915","108,852","108,429","108,209","108,693"
.25 to 29 years,"85,132","84,670","83,480","84,996","86,757","90,505","94,216","99,649","103,453","107,103","107,098","106,734","107,200"
.30 to 34 years,"84,303","84,512","86,420","87,440","88,655","89,633","91,047","91,630","94,913","96,907","100,627","102,231","103,142"
.35 to 39 years,"94,909","94,757","92,645","90,400","88,609","88,809","90,335","93,824","95,972","97,527","97,398","96,845","96,380"
.40 to 44 years,"98,051","98,523","99,609","99,629","99,740","99,971","99,181","98,164","96,942","95,229","94,547","94,764","94,946"
.45 to 49 years,"92,167","92,930","95,053","97,189","98,546","99,430","101,642","103,951","104,831","105,115","104,871","103,560","103,364"
.50 to 54 years,"78,074","78,986","83,858","85,711","88,476","91,946","95,684","98,891","101,632","103,339","104,027","104,977","105,230"
.55 to 59 years,"60,024","60,535","62,735","68,178","72,015","76,265","81,601","87,352","89,862","92,268","95,052","96,997","97,575"
.60 to 64 years,"47,513","47,842","49,957","52,303","55,895","59,118","62,630","65,865","71,768","75,980","79,845","83,316","84,106"
.65 to 69 years,"40,180","40,184","41,280","42,506","44,108","46,256","48,463","51,523","54,416","58,262","61,325","63,428","63,840"
.70 to 74 years,"35,807","35,863","36,039","36,481","36,694","37,245","38,311","39,955","41,242","42,952","44,808","46,106","46,343"
.75 to 79 years,"30,439","30,577","30,535","30,737","31,167","31,424","31,927","32,437","32,781","32,969","33,621","34,278","34,214"
.80 to 84 years,"21,446","21,647","22,427","23,082","23,355","23,924","24,359","24,730","24,910","25,311","25,398","25,614","25,614"
.85 years and over,"18,057","18,187","18,567","19,019","19,766","20,212","21,072","22,101","23,012","23,684","24,571","25,242","25,427"
.,,,,,,,,,,,,,
.Under 18 years,"369,023","370,430","373,145","375,986","379,241","384,692","394,651","404,753","415,024","422,347","426,076","429,072","429,437"
.Under 5 years,"97,640","97,916","99,882","101,754","104,308","107,239","111,036","114,699","118,768","121,572","121,829","121,772","121,761"
.5 to 13 years,"184,027","184,665","185,992","187,335","188,066","189,174","193,090","198,252","203,349","208,194","212,279","215,012","215,578"
.14 to 17 years,"87,356","87,849","87,271","86,897","86,867","88,279","90,525","91,802","92,907","92,581","91,968","92,288","92,098"
.18 to 64 years,"779,005","782,542","797,969","812,561","829,049","848,049","869,458","893,170","913,720","928,795","938,640","943,842","946,575"
.18 to 24 years,"138,832","139,787","144,212","146,715","150,356","152,372","153,122","153,844","154,347","155,327","155,175","154,418","154,632"
.25 to 44 years,"362,395","362,462","362,154","362,465","363,761","368,918","374,779","383,267","391,280","396,766","399,670","400,574","401,668"
.45 to 64 years,"277,778","280,293","291,603","303,381","314,932","326,759","341,557","356,059","368,093","376,702","383,795","388,850","390,275"
.65 years and over,"145,929","146,458","148,848","151,825","155,090","159,061","164,132","170,746","176,361","183,178","189,723","194,668","195,438"
.,,,,,,,,,,,,,
.16 years and over,"969,173","973,407","991,396","1,008,653","1,027,592","1,050,736","1,078,384","1,110,144","1,137,198","1,158,842","1,174,904","1,184,858","1,188,202"
.18 years and over,"924,934","929,000","946,817","964,386","984,139","1,007,110","1,033,590","1,063,916","1,090,081","1,111,973","1,128,363","1,138,510","1,142,013"
.15 to 44 years,"567,246","568,738","572,567","574,689","579,153","586,983","595,724","606,355","615,683","622,081","624,064","624,142","625,347"
.,,,,,,,,,,,,,
.Median age (years),33.2,33.2,33.4,33.5,33.7,33.9,34.0,34.2,34.2,34.2,34.4,34.6,34.6
MALE,"648,661","651,446","661,919","671,686","683,503","698,616","716,258","736,565","754,978","769,528","779,041","785,324","787,407"
.Under 5 years,"50,047","50,186","51,288","52,111","53,226","54,893","56,822","58,601","60,903","62,344","62,352","62,468","62,452"
.5 to 9 years,"51,861","51,823","51,651","51,684","51,991","52,857","54,466","56,468","58,092","59,807","61,211","61,887","62,022"
.10 to 14 years,"53,696","54,074","54,604","55,450","55,924","56,213","56,826","57,294","58,080","58,684","59,449","60,104","60,215"
.15 to 19 years,"56,129","56,545","57,070","56,383","56,129","56,230","57,016","57,797","58,867","59,431","59,142","58,936","58,761"
