Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1944",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"138,397,345 ","69,377,719 ","69,019,626 ","124,009,212 ","62,249,895 ","61,759,317 ","14,388,133 ","7,127,824 ","7,260,309 "
44,"1,812,377 ","909,509 ","902,868 ","1,646,697 ","825,734 ","820,963 ","165,680 ","83,775 ","81,905 "
45,"1,789,572 ","897,395 ","892,177 ","1,624,611 ","814,386 ","810,225 ","164,961 ","83,009 ","81,952 "
46,"1,763,704 ","885,301 ","878,403 ","1,600,852 ","803,457 ","797,395 ","162,852 ","81,844 ","81,008 "
47,"1,740,255 ","875,760 ","864,495 ","1,580,246 ","795,288 ","784,958 ","160,009 ","80,472 ","79,537 "
48,"1,714,974 ","866,265 ","848,709 ","1,559,128 ","787,756 ","771,372 ","155,846 ","78,509 ","77,337 "
49,"1,691,549 ","857,397 ","834,152 ","1,540,205 ","781,074 ","759,131 ","151,344 ","76,323 ","75,021 "
50,"1,650,563 ","839,722 ","810,841 ","1,507,241 ","766,729 ","740,512 ","143,322 ","72,993 ","70,329 "
51,"1,599,007 ","814,387 ","784,620 ","1,463,461 ","744,899 ","718,562 ","135,546 ","69,488 ","66,058 "
52,"1,544,016 ","787,171 ","756,845 ","1,415,557 ","720,858 ","694,699 ","128,459 ","66,313 ","62,146 "
53,"1,487,193 ","758,519 ","728,674 ","1,365,589 ","695,407 ","670,182 ","121,604 ","63,112 ","58,492 "
54,"1,438,636 ","734,168 ","704,468 ","1,323,379 ","674,071 ","649,308 ","115,257 ","60,097 ","55,160 "
55,"1,389,876 ","708,732 ","681,144 ","1,280,261 ","651,603 ","628,658 ","109,615 ","57,129 ","52,486 "
56,"1,338,704 ","682,862 ","655,842 ","1,233,852 ","628,177 ","605,675 ","104,852 ","54,685 ","50,167 "
57,"1,284,000 ","654,242 ","629,758 ","1,183,613 ","601,861 ","581,752 ","100,387 ","52,381 ","48,006 "
58,"1,228,022 ","624,181 ","603,841 ","1,131,916 ","574,109 ","557,807 ","96,106 ","50,072 ","46,034 "
59,"1,170,184 ","593,446 ","576,738 ","1,078,554 ","545,760 ","532,794 ","91,630 ","47,686 ","43,944 "
60,"1,126,025 ","570,624 ","555,401 ","1,038,816 ","525,117 ","513,699 ","87,209 ","45,507 ","41,702 "
61,"1,094,925 ","553,230 ","541,695 ","1,012,035 ","509,857 ","502,178 ","82,890 ","43,373 ","39,517 "
62,"1,064,449 ","536,094 ","528,355 ","985,682 ","494,764 ","490,918 ","78,767 ","41,330 ","37,437 "
63,"1,031,183 ","517,671 ","513,512 ","956,730 ","478,499 ","478,231 ","74,453 ","39,172 ","35,281 "
64,"991,120 ","495,212 ","495,908 ","918,794 ","457,338 ","461,456 ","72,326 ","37,874 ","34,452 "
65,"944,294 ","469,022 ","475,272 ","876,322 ","433,541 ","442,781 ","67,972 ","35,481 ","32,491 "
66,"891,344 ","441,340 ","450,004 ","828,656 ","408,635 ","420,021 ","62,688 ","32,705 ","29,983 "
67,"842,549 ","416,096 ","426,453 ","784,164 ","385,677 ","398,487 ","58,385 ","30,419 ","27,966 "
68,"797,542 ","392,832 ","404,710 ","742,118 ","364,114 ","378,004 ","55,424 ","28,718 ","26,706 "
69,"755,432 ","370,887 ","384,545 ","702,267 ","343,481 ","358,786 ","53,165 ","27,406 ","25,759 "
70,"701,525 ","344,243 ","357,282 ","652,366 ","318,877 ","333,489 ","49,159 ","25,366 ","23,793 "
71,"639,873 ","313,350 ","326,523 ","596,390 ","290,901 ","305,489 ","43,483 ","22,449 ","21,034 "
72,"579,248 ","282,954 ","296,294 ","540,809 ","263,182 ","277,627 ","38,439 ","19,772 ","18,667 "
73,"519,526 ","252,959 ","266,567 ","485,766 ","235,709 ","250,057 ","33,760 ","17,250 ","16,510 "
74,"465,006 ","225,558 ","239,448 ","435,453 ","210,601 ","224,852 ","29,553 ","14,957 ","14,596 "
75,"419,783 ","201,981 ","217,802 ","394,177 ","189,076 ","205,101 ","25,606 ","12,905 ","12,701 "
76,"381,690 ","182,161 ","199,529 ","358,678 ","170,568 ","188,110 ","23,012 ","11,593 ","11,419 "
77,"344,797 ","162,992 ","181,805 ","324,091 ","152,594 ","171,497 ","20,706 ","10,398 ","10,308 "
78,"309,167 ","144,648 ","164,519 ","290,260 ","135,170 ","155,090 ","18,907 ","9,478 ","9,429 "
79,"260,065 ","120,849 ","139,216 ","244,739 ","113,358 ","131,381 ","15,326 ","7,491 ","7,835 "
80,"223,119 ","103,220 ","119,899 ","209,724 ","96,783 ","112,941 ","13,395 ","6,437 ","6,958 "
81,"196,055 ","89,903 ","106,152 ","183,946 ","84,126 ","99,820 ","12,109 ","5,777 ","6,332 "
82,"171,428 ","77,874 ","93,554 ","160,584 ","72,741 ","87,843 ","10,844 ","5,133 ","5,711 "
83,"148,768 ","66,946 ","81,822 ","139,099 ","62,398 ","76,701 ","9,669 ","4,548 ","5,121 "
84,"125,987 ","55,998 ","69,989 ","117,840 ","52,230 ","65,610 ","8,147 ","3,768 ","4,379 "
85+,"430,325 ","183,312 ","247,013 ","395,013 ","169,073 ","225,940 ","35,312 ","14,239 ","21,073 "
,,,,,,,,,
"Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979",,,,,,,,,
,,,,,,,,,
"The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.",,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Population Division",,,,,,,,,
"Internet Release date:  October 1, 2004",,,,,,,,,
