Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1929",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"121,767,000 ","61,680,000 ","60,087,000 ","109,383,000 ","55,509,000 ","53,874,000 ","12,384,000 ","6,171,000 ","6,213,000 "
,,,,,,,,,
0,"2,142,000 ","1,090,000 ","1,052,000 ","1,909,000 ","974,000 ","935,000 ","233,000 ","116,000 ","117,000 "
1,"2,274,000 ","1,155,000 ","1,119,000 ","2,019,000 ","1,028,000 ","991,000 ","255,000 ","127,000 ","128,000 "
2,"2,374,000 ","1,205,000 ","1,169,000 ","2,104,000 ","1,070,000 ","1,034,000 ","270,000 ","135,000 ","135,000 "
3,"2,447,000 ","1,241,000 ","1,206,000 ","2,166,000 ","1,101,000 ","1,065,000 ","281,000 ","140,000 ","141,000 "
4,"2,497,000 ","1,266,000 ","1,231,000 ","2,209,000 ","1,122,000 ","1,087,000 ","288,000 ","144,000 ","144,000 "
5,"2,526,000 ","1,280,000 ","1,246,000 ","2,235,000 ","1,135,000 ","1,100,000 ","291,000 ","145,000 ","146,000 "
6,"2,535,000 ","1,284,000 ","1,251,000 ","2,244,000 ","1,139,000 ","1,105,000 ","291,000 ","145,000 ","146,000 "
7,"2,529,000 ","1,281,000 ","1,248,000 ","2,241,000 ","1,137,000 ","1,104,000 ","288,000 ","144,000 ","144,000 "
8,"2,512,000 ","1,272,000 ","1,240,000 ","2,228,000 ","1,130,000 ","1,098,000 ","284,000 ","142,000 ","142,000 "
9,"2,485,000 ","1,257,000 ","1,228,000 ","2,206,000 ","1,118,000 ","1,088,000 ","279,000 ","139,000 ","140,000 "
10,"2,446,000 ","1,237,000 ","1,209,000 ","2,175,000 ","1,102,000 ","1,073,000 ","271,000 ","135,000 ","136,000 "
