Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1951",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"154,877,889 ","77,101,263 ","77,776,626 ","138,220,962 ","68,924,398 ","69,296,564 ","16,656,927 ","8,176,865 ","8,480,062 "
,,,,,,,,,
0,"3,315,027 ","1,684,949 ","1,630,078 ","2,861,706 ","1,459,601 ","1,402,105 ","453,321 ","225,348 ","227,973 "
1,"3,306,360 ","1,690,292 ","1,616,068 ","2,874,954 ","1,472,205 ","1,402,749 ","431,406 ","218,087 ","213,319 "
2,"3,458,209 ","1,756,869 ","1,701,340 ","2,990,748 ","1,523,213 ","1,467,535 ","467,461 ","233,656 ","233,805 "
3,"3,495,214 ","1,777,711 ","1,717,503 ","3,055,986 ","1,558,366 ","1,497,620 ","439,228 ","219,345 ","219,883 "
4,"3,758,637 ","1,921,043 ","1,837,594 ","3,335,120 ","1,707,018 ","1,628,102 ","423,517 ","214,025 ","209,492 "
5,"2,673,394 ","1,360,232 ","1,313,162 ","2,339,479 ","1,194,340 ","1,145,139 ","333,915 ","165,892 ","168,023 "
6,"2,720,557 ","1,385,225 ","1,335,332 ","2,374,536 ","1,213,068 ","1,161,468 ","346,021 ","172,157 ","173,864 "
7,"2,777,810 ","1,418,529 ","1,359,281 ","2,435,802 ","1,247,337 ","1,188,465 ","342,008 ","171,192 ","170,816 "
8,"2,919,475 ","1,486,158 ","1,433,317 ","2,577,116 ","1,314,669 ","1,262,447 ","342,359 ","171,489 ","170,870 "
9,"2,576,394 ","1,310,725 ","1,265,669 ","2,245,648 ","1,145,088 ","1,100,560 ","330,746 ","165,637 ","165,109 "
10,"2,447,996 ","1,247,365 ","1,200,631 ","2,127,865 ","1,086,518 ","1,041,347 ","320,131 ","160,847 ","159,284 "
