table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Hawaii: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,211,497","1,213,519","1,225,948","1,239,613","1,251,154","1,273,569","1,292,729","1,309,731","1,315,675","1,332,213","1,346,717","1,360,301","1,363,621"
.Under 5 years,"78,166","78,087","77,624","78,444","79,522","81,943","83,131","84,376","86,092","87,854","87,877","87,407","87,180"
.5 to 9 years,"84,979","84,497","82,564","80,570","78,766","77,604","76,612","76,190","76,473","77,674","81,222","83,361","83,269"
.10 to 14 years,"83,107","83,278","84,878","85,911","86,609","88,085","86,988","85,712","84,203","82,836","81,754","81,539","81,629"
.15 to 19 years,"81,000","81,028","81,642","81,762","82,422","83,420","84,394","86,486","86,731","86,803","86,740","85,994","85,649"
.20 to 24 years,"83,408","84,531","88,395","91,543","93,818","95,485","97,507","98,038","94,550","94,464","94,145","95,829","95,834"
.25 to 29 years,"84,003","83,391","81,567","81,985","82,256","84,549","89,461","93,138","93,805","96,871","97,489","97,302","96,929"
.30 to 34 years,"87,156","87,066","86,993","86,924","85,224","84,611","83,547","82,917","81,701","83,398","85,750","88,031","88,280"
.35 to 39 years,"95,934","95,554","93,624","90,941","88,323","87,117","87,674","88,861","88,356","88,096","87,957","86,756","86,374"
.40 to 44 years,"95,240","95,410","95,087","94,964","94,684","95,309","94,531","93,395","91,708","90,431","88,896","89,617","89,757"
.45 to 49 years,"90,401","90,632","92,368","93,689","94,638","95,879","96,587","96,670","96,616","96,427","96,076","95,787","95,595"
.50 to 54 years,"80,568","81,366","84,994","87,277","89,142","92,359","93,393","95,208","96,530","97,395","97,353","97,978","98,262"
.55 to 59 years,"60,554","60,944","64,623","69,772","74,707","79,165","83,406","87,025","89,192","90,399","92,530","93,340","93,653"
.60 to 64 years,"46,392","46,620","48,203","50,378","53,072","57,576","61,262","64,908","70,144","75,104","78,549","82,222","83,116"
.65 to 69 years,"42,844","42,820","42,665","42,770","43,518","44,594","46,225","47,707","49,759","52,540","56,486","59,170","59,670"
.70 to 74 years,"42,411","42,440","42,175","41,556","40,934","40,201","39,841","39,473","39,169","39,838","40,580","41,353","41,757"
.75 to 79 years,"35,383","35,501","36,250","36,851","37,133","37,166","36,919","36,572","35,876","35,513","34,962","34,675","35,048"
.80 to 84 years,"22,387","22,611","23,555","24,684","25,809","26,917","28,298","28,913","29,369","29,678","29,842","29,702","30,716"
.85 years and over,"17,564","17,743","18,741","19,592","20,577","21,589","22,953","24,142","25,401","26,892","28,509","30,238","30,903"
.,,,,,,,,,,,,,
.Under 18 years,"295,768","295,352","294,133","293,600","294,519","298,103","298,497","299,313","300,207","301,094","302,796","303,818","303,472"
.Under 5 years,"78,166","78,087","77,624","78,444","79,522","81,943","83,131","84,376","86,092","87,854","87,877","87,407","87,180"
.5 to 13 years,"151,841","151,584","151,190","149,848","148,763","147,844","145,739","144,656","143,475","143,432","146,444","148,299","148,406"
.14 to 17 years,"65,761","65,681","65,319","65,308","66,234","68,316","69,627","70,281","70,640","69,808","68,475","68,112","67,886"
.18 to 64 years,"755,140","757,052","768,429","780,560","788,664","804,999","819,996","833,611","835,894","846,658","853,542","861,345","862,055"
.18 to 24 years,"114,892","116,069","120,970","124,630","126,618","128,434","130,135","131,489","127,842","128,537","128,942","130,312","130,089"
.25 to 44 years,"362,333","361,421","357,271","354,814","350,487","351,586","355,213","358,311","355,570","358,796","360,092","361,706","361,340"
.45 to 64 years,"277,915","279,562","290,188","301,116","311,559","324,979","334,648","343,811","352,482","359,325","364,508","369,327","370,626"
.65 years and over,"160,589","161,115","163,386","165,453","167,971","170,467","174,236","176,807","179,574","184,461","190,379","195,138","198,094"
.,,,,,,,,,,,,,
.16 years and over,"949,142","951,525","964,618","978,377","989,444","1,009,008","1,028,053","1,045,444","1,051,469","1,066,461","1,078,612","1,091,079","1,094,619"
.18 years and over,"915,729","918,167","931,815","946,013","956,635","975,466","994,232","1,010,418","1,015,468","1,031,119","1,043,921","1,056,483","1,060,149"
.15 to 44 years,"526,741","526,980","527,308","528,119","526,727","530,491","537,114","542,835","536,851","540,063","540,977","543,529","542,823"
.,,,,,,,,,,,,,
.Median age (years),36.2,36.3,36.6,36.9,37.2,37.4,37.5,37.6,38.0,38.2,38.4,38.6,38.7
MALE,"608,651","610,025","616,759","623,421","627,401","636,705","647,916","657,380","658,490","666,900","673,642","681,243","682,892"
.Under 5 years,"40,110","40,066","39,930","40,221","40,904","42,100","42,690","43,498","44,657","45,253","45,304","45,019","44,890"
.5 to 9 years,"43,739","43,481","42,569","41,282","40,344","39,716","39,239","39,085","39,098","39,923","41,623","42,847","42,811"
.10 to 14 years,"42,740","42,833","43,513","44,198","44,572","45,333","44,798","44,133","43,056","42,329","41,769","41,699","41,751"
.15 to 19 years,"42,199","42,243","42,853","43,004","43,248","43,599","43,805","44,944","45,130","45,079","44,985","44,590","44,420"
.20 to 24 years,"45,709","46,610","48,977","50,736","51,507","51,908","53,966","54,298","51,737","51,656","50,932","51,981","52,001"
.25 to 29 years,"44,018","43,667","42,751","42,899","42,830","43,567","46,338","48,421","48,368","49,939","50,548","50,683","50,562"
.30 to 34 years,"44,389","44,358","44,595","44,493","43,322","42,871","42,668","42,642","41,625","42,679","43,916","44,921","45,053"
.35 to 39 years,"48,760","48,622","47,436","45,962","44,471","43,697","44,271","45,009","44,501","44,554","44,545","43,994","43,779"
.40 to 44 years,"47,816","47,930","47,745","47,782","47,340","47,386","47,207","46,656","45,990","45,599","44,806","45,253","45,343"
.45 to 49 years,"45,129","45,260","46,234","46,752","47,112","47,861","47,982","48,217","48,469","48,144","48,061","48,213","48,104"
.50 to 54 years,"40,520","40,936","42,768","43,966","44,889","46,282","46,810","47,712","48,060","48,697","48,668","48,831","49,004"
.55 to 59 years,"29,902","30,068","31,903","34,642","37,147","39,562","41,741","43,463","44,470","44,960","45,739","46,148","46,302"
.60 to 64 years,"22,290","22,441","23,311","24,547","25,926","28,155","30,139","32,018","34,674","37,188","39,020","40,879","41,315"
.65 to 69 years,"19,501","19,495","19,534","19,790","20,398","20,964","21,933","22,726","23,843","25,314","27,308","28,849","29,086"
.70 to 74 years,"18,917","18,921","18,653","18,349","17,975","17,844","17,750","17,691","17,764","18,266","18,649","19,140","19,355"
.75 to 79 years,"16,018","16,063","16,247","16,321","16,240","16,069","15,794","15,545","15,215","14,966","15,003","14,940","15,143"
.80 to 84 years,"9,624","9,704","10,169","10,702","11,173","11,468","12,027","12,143","12,146","12,124","12,016","11,904","12,341"
.85 years and over,"7,270","7,327","7,571","7,775","8,003","8,323","8,758","9,179","9,687","10,230","10,750","11,352","11,632"
.,,,,,,,,,,,,,
.Under 18 years,"152,224","152,018","151,273","150,734","151,241","152,994","153,149","153,737","154,249","154,659","155,532","156,012","155,851"
.Under 5 years,"40,110","40,066","39,930","40,221","40,904","42,100","42,690","43,498","44,657","45,253","45,304","45,019","44,890"
.5 to 13 years,"78,119","77,974","77,692","76,932","76,377","75,914","74,919","74,176","73,243","73,494","74,909","76,113","76,201"
.14 to 17 years,"33,995","33,978","33,651","33,581","33,960","34,980","35,540","36,063","36,349","35,912","35,319","34,880","34,760"
.18 to 64 years,"385,097","386,497","393,312","399,750","402,371","409,043","418,505","426,359","425,586","431,341","434,384","439,046","439,484"
