table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Indiana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.70 to 74 years,"191,673","191,514","189,760","186,640","183,968","180,958","180,098","181,071","182,378","185,480","190,610","193,278","194,114"
.75 to 79 years,"159,851","160,182","160,308","160,626","161,639","160,161","159,467","158,700","156,746","154,550","152,195","151,843","151,537"
.80 to 84 years,"106,051","106,803","109,414","112,543","114,736","117,390","119,499","120,473","121,405","122,555","121,941","121,658","121,624"
.85 years and over,"91,562","92,044","93,347","94,209","95,922","97,216","99,691","103,320","106,803","109,917","113,118","115,272","115,938"
.,,,,,,,,,,,,,
.Under 18 years,"1,574,462","1,574,989","1,579,527","1,580,814","1,582,560","1,586,281","1,593,898","1,603,107","1,609,494","1,611,494","1,609,704","1,608,298","1,606,686"
.Under 5 years,"423,220","422,866","425,239","425,714","426,699","428,845","429,617","429,937","433,395","436,073","434,729","434,075","433,559"
.5 to 13 years,"798,345","798,235","800,900","799,588","798,488","794,088","794,635","799,090","800,675","803,137","805,919","806,177","806,657"
.14 to 17 years,"352,897","353,888","353,388","355,512","357,373","363,348","369,646","374,080","375,424","372,284","369,056","368,046","366,470"
.18 to 64 years,"3,753,466","3,763,065","3,792,138","3,817,196","3,849,741","3,877,489","3,908,457","3,942,125","3,970,197","3,995,680","4,018,873","4,034,396","4,040,155"
.18 to 24 years,"614,869","618,678","628,372","631,917","639,311","642,292","639,669","638,724","637,509","643,543","648,815","650,310","650,289"
.25 to 44 years,"1,791,848","1,787,894","1,769,492","1,749,881","1,734,492","1,720,907","1,711,914","1,705,535","1,699,363","1,690,585","1,676,552","1,668,175","1,669,174"
.45 to 64 years,"1,346,749","1,356,493","1,394,274","1,435,398","1,475,938","1,514,290","1,556,874","1,597,866","1,633,325","1,661,552","1,693,506","1,715,911","1,720,692"
.65 years and over,"752,899","753,812","756,095","757,957","764,337","769,237","776,261","787,437","799,908","817,632","830,748","841,108","843,780"
.,,,,,,,,,,,,,
.16 years and over,"4,682,711","4,693,434","4,725,398","4,754,114","4,791,864","4,825,084","4,866,193","4,917,227","4,960,745","5,002,040","5,036,636","5,061,394","5,068,777"
.18 years and over,"4,506,365","4,516,877","4,548,233","4,575,153","4,614,078","4,646,726","4,684,718","4,729,562","4,770,105","4,813,312","4,849,621","4,875,504","4,883,935"
.15 to 44 years,"2,671,255","2,672,311","2,663,736","2,648,757","2,640,977","2,632,532","2,628,407","2,626,167","2,621,038","2,615,700","2,604,644","2,595,716","2,595,686"
.,,,,,,,,,,,,,
.Median age (years),35.2,35.3,35.4,35.6,35.8,35.9,36.1,36.3,36.5,36.7,36.8,37.0,37.0
MALE,"2,982,736","2,988,697","3,007,602","3,022,625","3,044,272","3,064,055","3,087,135","3,114,466","3,138,145","3,160,843","3,177,848","3,189,737","3,193,637"
.Under 5 years,"216,574","216,359","217,266","217,292","217,849","219,382","219,722","220,080","221,815","223,103","222,013","221,819","221,510"
.5 to 9 years,"227,614","226,550","225,204","222,423","220,868","220,084","221,254","223,055","224,737","226,326","227,705","227,736","227,783"
.10 to 14 years,"227,188","228,074","230,927","233,555","235,014","235,413","233,435","233,490","231,735","230,811","230,678","230,960","230,835"
.15 to 19 years,"232,854","233,999","233,172","231,449","232,285","233,965","237,578","240,969","243,821","245,693","245,574","243,490","242,313"
.20 to 24 years,"216,456","218,014","223,084","227,102","230,584","231,101","230,723","229,594","226,627","226,276","227,086","228,268","228,938"
.25 to 29 years,"206,839","205,318","198,849","196,167","196,583","198,698","202,035","207,000","211,105","212,359","211,924","210,811","211,730"
.30 to 34 years,"212,767","212,757","214,278","214,067","213,808","210,445","206,740","201,267","199,550","200,003","202,696","204,713","206,177"
.35 to 39 years,"238,149","237,281","231,362","225,724","219,984","215,161","213,152","215,781","216,723","216,057","212,076","208,907","207,537"
.40 to 44 years,"240,167","240,691","242,574","241,757","239,739","239,688","236,606","230,945","225,366","219,656","214,481","212,134","212,014"
.45 to 49 years,"217,541","218,861","223,340","227,767","232,415","234,091","236,744","239,343","238,914","237,304","237,017","234,880","233,988"
.50 to 54 years,"186,581","188,518","198,033","198,384","202,486","207,736","213,408","218,459","223,826","229,184","231,533","233,891","234,374"
.55 to 59 years,"143,254","144,288","146,657","157,813","163,260","171,654","180,530","190,171","191,343","195,705","200,922","205,257","206,433"
.60 to 64 years,"112,918","113,518","116,070","120,200","126,421","129,882","133,758","136,546","147,699","153,683","162,149","168,979","170,594"
.65 to 69 years,"93,457","93,284","93,747","94,383","96,730","99,633","101,849","104,984","109,201","115,388","119,041","122,090","122,846"
.70 to 74 years,"83,415","83,487","83,112","81,933","80,834","79,818","79,940","80,836","81,827","83,806","86,550","88,090","88,521"
.75 to 79 years,"64,048","64,254","64,771","65,313","66,287","66,255","66,164","66,273","65,831","65,242","64,622","64,775","64,706"
.80 to 84 years,"37,622","37,970","39,200","40,843","41,909","43,161","44,660","45,317","46,077","46,900","47,180","47,290","47,387"
.85 years and over,"25,292","25,474","25,956","26,453","27,216","27,888","28,837","30,356","31,948","33,347","34,601","35,647","35,951"
.,,,,,,,,,,,,,
.Under 18 years,"807,771","808,028","810,031","810,445","810,862","813,268","817,133","821,619","824,805","825,178","824,307","823,106","822,234"
.Under 5 years,"216,574","216,359","217,266","217,292","217,849","219,382","219,722","220,080","221,815","223,103","222,013","221,819","221,510"
.5 to 13 years,"409,779","409,762","411,285","410,507","409,861","407,082","407,369","409,217","409,714","410,823","412,529","412,108","412,346"
.14 to 17 years,"181,418","181,907","181,480","182,646","183,152","186,804","190,042","192,322","193,276","191,252","189,765","189,179","188,378"
.18 to 64 years,"1,871,131","1,876,200","1,890,785","1,903,255","1,920,434","1,934,032","1,948,552","1,965,081","1,978,456","1,990,982","2,001,547","2,008,739","2,011,992"
.18 to 24 years,"312,915","314,968","319,622","321,376","325,738","326,677","325,579","325,569","323,930","327,031","328,749","329,167","329,145"
.25 to 44 years,"897,922","896,047","887,063","877,715","870,114","863,992","858,533","854,993","852,744","848,075","841,177","836,565","837,458"
.45 to 64 years,"660,294","665,185","684,100","704,164","724,582","743,363","764,440","784,519","801,782","815,876","831,621","843,007","845,389"
.65 years and over,"303,834","304,469","306,786","308,925","312,976","316,755","321,450","327,766","334,884","344,683","351,994","357,892","359,411"
.,,,,,,,,,,,,,
.16 years and over,"2,265,853","2,271,682","2,288,975","2,304,154","2,324,519","2,342,525","2,363,376","2,389,505","2,411,492","2,432,705","2,449,989","2,462,243","2,466,498"
.18 years and over,"2,174,965","2,180,669","2,197,571","2,212,180","2,233,410","2,250,787","2,270,002","2,292,847","2,313,340","2,335,665","2,353,541","2,366,631","2,371,403"
.15 to 44 years,"1,347,232","1,348,060","1,343,319","1,336,266","1,332,983","1,329,058","1,326,834","1,325,556","1,323,192","1,320,044","1,313,837","1,308,323","1,308,709"
.,,,,,,,,,,,,,
.Median age (years),33.9,33.9,34.1,34.3,34.4,34.6,34.8,35.0,35.2,35.4,35.5,35.7,35.7
FEMALE,"3,098,091","3,103,169","3,120,158","3,133,342","3,152,366","3,168,952","3,191,481","3,218,203","3,241,454","3,263,963","3,281,477","3,294,065","3,296,984"
.Under 5 years,"206,646","206,507","207,973","208,422","208,850","209,463","209,895","209,857","211,580","212,970","212,716","212,256","212,049"
.5 to 9 years,"215,663","214,620","212,686","210,900","210,194","209,919","211,388","214,064","215,674","216,673","217,093","217,085","217,134"
.10 to 14 years,"216,239","217,140","219,599","221,263","222,611","222,687","221,380","220,653","219,787","220,039","220,222","221,211","221,152"
.15 to 19 years,"220,763","221,363","220,557","219,382","220,090","222,520","225,603","228,677","231,272","233,197","233,337","232,025","230,839"
.20 to 24 years,"209,334","211,041","217,431","220,943","223,526","224,039","222,589","221,392","219,955","219,949","222,095","223,758","224,422"
.25 to 29 years,"202,197","200,648","194,322","191,676","192,750","194,963","199,981","205,971","209,192","211,001","210,545","208,719","209,001"
.30 to 34 years,"209,326","209,193","210,443","210,094","209,122","206,621","202,989","198,022","196,474","197,785","200,014","203,102","204,590"
.35 to 39 years,"240,063","239,080","232,426","225,943","219,619","213,369","211,705","213,808","214,322","213,502","211,181","208,104","206,597"
.40 to 44 years,"242,340","242,926","245,238","244,453","242,887","241,962","238,706","232,741","226,631","220,222","213,635","211,685","211,528"
.45 to 49 years,"219,591","220,912","225,593","230,397","234,798","237,468","240,510","243,477","243,277","241,987","241,529","239,066","238,021"
.50 to 54 years,"193,179","195,147","204,698","204,499","207,967","212,397","217,176","222,360","228,150","233,258","236,321","238,931","239,445"
.55 to 59 years,"150,918","151,909","153,764","165,813","171,716","180,121","190,031","200,368","200,600","204,736","209,634","213,258","214,450"
.60 to 64 years,"122,767","123,340","126,119","130,525","136,875","140,941","144,717","147,142","159,516","165,695","174,401","181,649","183,387"
.65 to 69 years,"110,305","109,985","109,519","109,556","111,342","113,879","115,657","118,889","123,375","129,742","133,843","136,967","137,721"
.70 to 74 years,"108,258","108,027","106,648","104,707","103,134","101,140","100,158","100,235","100,551","101,674","104,060","105,188","105,593"
.75 to 79 years,"95,803","95,928","95,537","95,313","95,352","93,906","93,303","92,427","90,915","89,308","87,573","87,068","86,831"
.80 to 84 years,"68,429","68,833","70,214","71,700","72,827","74,229","74,839","75,156","75,328","75,655","74,761","74,368","74,237"
.85 years and over,"66,270","66,570","67,391","67,756","68,706","69,328","70,854","72,964","74,855","76,570","78,517","79,625","79,987"
.,,,,,,,,,,,,,
.Under 18 years,"766,691","766,961","769,496","770,369","771,698","773,013","776,765","781,488","784,689","786,316","785,397","785,192","784,452"
.Under 5 years,"206,646","206,507","207,973","208,422","208,850","209,463","209,895","209,857","211,580","212,970","212,716","212,256","212,049"
.5 to 13 years,"388,566","388,473","389,615","389,081","388,627","387,006","387,266","389,873","390,961","392,314","393,390","394,069","394,311"
.14 to 17 years,"171,479","171,981","171,908","172,866","174,221","176,544","179,604","181,758","182,148","181,032","179,291","178,867","178,092"
.18 to 64 years,"1,882,335","1,886,865","1,901,353","1,913,941","1,929,307","1,943,457","1,959,905","1,977,044","1,991,741","2,004,698","2,017,326","2,025,657","2,028,163"
.18 to 24 years,"301,954","303,710","308,750","310,541","313,573","315,615","314,090","313,155","313,579","316,512","320,066","321,143","321,144"
.25 to 44 years,"893,926","891,847","882,429","872,166","864,378","856,915","853,381","850,542","846,619","842,510","835,375","831,610","831,716"
.45 to 64 years,"686,455","691,308","710,174","731,234","751,356","770,927","792,434","813,347","831,543","845,676","861,885","872,904","875,303"
.65 years and over,"449,065","449,343","449,309","449,032","451,361","452,482","454,811","459,671","465,024","472,949","478,754","483,216","484,369"
.,,,,,,,,,,,,,
.16 years and over,"2,416,858","2,421,752","2,436,423","2,449,960","2,467,345","2,482,559","2,502,817","2,527,722","2,549,253","2,569,335","2,586,647","2,599,151","2,602,279"
.18 years and over,"2,331,400","2,336,208","2,350,662","2,362,973","2,380,668","2,395,939","2,414,716","2,436,715","2,456,765","2,477,647","2,496,080","2,508,873","2,512,532"
.15 to 44 years,"1,324,023","1,324,251","1,320,417","1,312,491","1,307,994","1,303,474","1,301,573","1,300,611","1,297,846","1,295,656","1,290,807","1,287,393","1,286,977"
.,,,,,,,,,,,,,
.Median age (years),36.5,36.5,36.7,37.0,37.2,37.3,37.4,37.5,37.7,37.8,38.1,38.2,38.2
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Indiana: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-18)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
