table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Massachusetts: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"6,349,364","6,361,104","6,397,634","6,417,206","6,422,565","6,412,281","6,403,290","6,410,084","6,431,559","6,468,967","6,517,613","6,547,629","6,557,254"
.Under 5 years,"397,272","397,079","395,425","392,593","388,710","383,878","377,549","371,784","369,009","368,289","367,582","367,087","366,759"
.5 to 9 years,"430,872","429,119","420,696","412,366","403,279","395,380","388,264","385,676","384,671","384,968","385,866","385,687","386,146"
.10 to 14 years,"431,258","433,272","441,121","444,119","443,466","438,525","429,288","420,942","414,745","409,756","407,451","405,613","405,668"
.15 to 19 years,"415,751","416,959","425,772","434,511","442,891","450,717","459,816","465,986","468,978","469,548","467,237","462,756","461,016"
.20 to 24 years,"404,294","407,324","416,761","421,862","428,008","428,705","432,774","442,959","451,254","458,792","469,770","475,668","476,982"
.25 to 29 years,"434,021","431,516","420,872","415,083","412,829","413,687","414,426","416,486","419,757","428,870","436,469","441,525","442,670"
.30 to 34 years,"492,781","492,661","486,504","475,323","458,426","439,126","417,592","401,913","394,990","394,280","400,058","403,616","406,300"
.35 to 39 years,"540,613","538,597","530,191","519,060","504,500","486,516","475,568","466,382","455,329","442,995","429,955","418,195","415,647"
.40 to 44 years,"522,418","523,551","530,248","531,345","529,760","527,700","521,079","511,005","499,666","488,473","474,958","468,954","468,882"
.45 to 49 years,"461,971","464,657","473,772","484,600","493,214","500,324","506,191","511,381","513,270","514,728","517,144","515,434","513,608"
.50 to 54 years,"411,442","415,692","434,247","429,219","433,331","439,110","447,608","455,794","467,531","478,565","489,554","497,001","498,192"
.55 to 59 years,"310,024","312,133","322,304","350,766","363,125","378,338","394,370","411,603","407,031","414,285","423,739","432,822","435,301"
.60 to 64 years,"236,430","237,646","242,374","251,347","267,397","279,369","288,750","296,941","325,145","338,244","356,144","370,547","374,187"
.65 to 69 years,"216,514","215,817","213,650","212,118","212,395","213,805","214,484","218,254","226,873","242,829","255,514","264,459","266,207"
.70 to 74 years,"211,342","211,009","207,392","202,865","198,436","193,253","190,173","187,316","186,159","187,230","190,357","192,001","192,934"
.75 to 79 years,"184,957","185,194","183,877","183,610","182,251","179,252","176,944","173,645","170,355","167,004","163,438","162,592","162,253"
.80 to 84 years,"130,708","131,584","134,254","136,918","137,755","139,877","140,388","140,329","141,056","140,799","139,206","138,473","138,440"
.85 years and over,"116,696","117,294","118,174","119,501","122,792","124,719","128,026","131,688","135,740","139,312","143,171","145,199","146,062"
.,,,,,,,,,,,,,
.Under 18 years,"1,500,092","1,501,334","1,505,028","1,502,652","1,493,372","1,479,541","1,464,140","1,450,202","1,439,757","1,429,727","1,422,935","1,418,923","1,418,335"
.Under 5 years,"397,272","397,079","395,425","392,593","388,710","383,878","377,549","371,784","369,009","368,289","367,582","367,087","366,759"
.5 to 13 years,"778,349","778,728","777,381","769,391","758,833","742,041","727,943","720,108","712,979","710,771","709,011","707,984","708,934"
.14 to 17 years,"324,471","325,527","332,222","340,668","345,829","353,622","358,648","358,310","357,769","350,667","346,342","343,852","342,642"
.18 to 64 years,"3,989,055","3,998,872","4,035,259","4,059,542","4,075,564","4,081,834","4,089,135","4,108,650","4,131,619","4,162,066","4,202,992","4,225,982","4,233,023"
.18 to 24 years,"579,355","582,419","594,747","602,799","612,982","617,664","623,551","637,145","648,900","661,626","674,971","677,888","678,236"
.25 to 44 years,"1,989,833","1,986,325","1,967,815","1,940,811","1,905,515","1,867,029","1,828,665","1,795,786","1,769,742","1,754,618","1,741,440","1,732,290","1,733,499"
.45 to 64 years,"1,419,867","1,430,128","1,472,697","1,515,932","1,557,067","1,597,141","1,636,919","1,675,719","1,712,977","1,745,822","1,786,581","1,815,804","1,821,288"
.65 years and over,"860,217","860,898","857,347","855,012","853,629","850,906","850,015","851,232","860,183","877,174","891,686","902,724","905,896"
.,,,,,,,,,,,,,
.16 years and over,"5,008,248","5,018,991","5,056,143","5,083,233","5,099,503","5,106,138","5,115,703","5,141,266","5,175,670","5,218,264","5,271,348","5,303,787","5,313,155"
.18 years and over,"4,849,272","4,859,770","4,892,606","4,914,554","4,929,193","4,932,740","4,939,150","4,959,882","4,991,802","5,039,240","5,094,678","5,128,706","5,138,919"
.15 to 44 years,"2,809,878","2,810,608","2,810,348","2,797,184","2,776,414","2,746,451","2,721,255","2,704,731","2,689,974","2,682,958","2,678,447","2,670,714","2,671,497"
.,,,,,,,,,,,,,
.Median age (years),36.5,36.6,36.8,37.1,37.4,37.7,38.0,38.2,38.4,38.7,38.9,39.1,39.1
MALE,"3,058,957","3,064,859","3,085,067","3,097,770","3,101,748","3,097,647","3,094,280","3,098,899","3,109,906","3,128,237","3,151,754","3,166,628","3,171,892"
.Under 5 years,"203,063","202,942","201,916","200,158","198,310","195,772","192,409","189,679","188,303","188,060","187,826","187,605","187,402"
.5 to 9 years,"221,149","220,239","215,727","211,472","206,464","202,074","198,465","196,721","195,837","196,217","196,663","196,547","196,792"
.10 to 14 years,"221,174","222,178","226,070","227,665","227,549","225,385","220,487","216,100","213,100","209,953","208,459","207,419","207,414"
.15 to 19 years,"210,469","211,348","216,120","220,249","224,528","228,267","232,943","236,140","237,762","238,408","237,429","234,880","233,982"
.20 to 24 years,"198,767","200,230","205,275","209,185","212,900","213,257","215,967","221,454","224,783","228,441","233,452","236,256","236,936"
.25 to 29 years,"213,374","212,089","207,441","204,415","203,571","204,393","204,645","205,567","207,985","212,199","215,663","218,255","219,151"
.30 to 34 years,"242,395","242,273","238,888","233,766","225,211","215,767","205,037","197,721","193,788","193,453","196,447","198,338","199,647"
.35 to 39 years,"266,515","265,516","261,163","255,617","247,738","238,474","232,460","227,443","222,218","215,973","209,669","203,757","202,564"
.40 to 44 years,"255,848","256,300","260,002","261,081","260,307","259,213","256,177","250,924","245,164","238,853","231,962","228,652","228,630"
.45 to 49 years,"225,040","226,300","230,741","235,729","240,309","243,627","246,415","249,423","250,941","251,623","252,601","251,937","251,113"
.50 to 54 years,"199,216","201,277","210,340","207,929","210,106","212,984","217,385","221,657","226,925","232,836","238,086","241,668","242,241"
.55 to 59 years,"148,856","149,896","154,684","168,769","174,542","181,727","189,658","197,989","195,805","199,372","204,038","208,594","209,806"
.60 to 64 years,"111,521","112,140","114,444","118,787","126,417","132,235","136,760","140,741","154,390","160,739","169,146","176,295","178,033"
.65 to 69 years,"98,890","98,637","98,016","97,408","97,848","98,638","99,055","100,856","105,011","112,547","118,797","123,127","123,977"
.70 to 74 years,"91,425","91,424","90,121","88,472","86,928","84,965","84,014","83,052","82,702","83,498","84,985","85,791","86,266"
.75 to 79 years,"73,833","73,995","73,876","74,480","74,360","73,998","73,272","72,121","71,100","70,109","68,939","68,931","68,861"
.80 to 84 years,"46,472","46,878","48,245","49,584","50,164","51,237","51,993","52,572","53,466","53,786","53,779","53,551","53,659"
.85 years and over,"30,950","31,197","31,998","33,004","34,496","35,634","37,138","38,739","40,626","42,170","43,813","45,025","45,418"
.,,,,,,,,,,,,,
.Under 18 years,"769,157","769,747","771,125","769,697","764,667","757,201","749,290","741,905","736,616","731,244","727,585","725,399","725,057"
.Under 5 years,"203,063","202,942","201,916","200,158","198,310","195,772","192,409","189,679","188,303","188,060","187,826","187,605","187,402"
.5 to 13 years,"399,149","399,340","398,486","394,440","389,114","380,169","372,889","368,579","364,378","362,964","361,876","361,128","361,618"
.14 to 17 years,"166,945","167,465","170,723","175,099","177,243","181,260","183,992","183,647","183,935","180,220","177,883","176,666","176,037"
.18 to 64 years,"1,948,230","1,952,981","1,971,686","1,985,125","1,993,285","1,995,974","1,999,518","2,009,654","2,020,385","2,034,883","2,053,856","2,064,804","2,068,654"
.18 to 24 years,"285,465","287,190","293,983","299,032","305,084","307,554","310,981","318,189","323,169","329,835","336,244","337,308","337,469"
.25 to 44 years,"978,132","976,178","967,494","954,879","936,827","917,847","898,319","881,655","869,155","860,478","853,741","849,002","849,992"
.45 to 64 years,"684,633","689,613","710,209","731,214","751,374","770,573","790,218","809,810","828,061","844,570","863,871","878,494","881,193"
.65 years and over,"341,570","342,131","342,256","342,948","343,796","344,472","345,472","347,340","352,905","362,110","370,313","376,425","378,181"
.,,,,,,,,,,,,,
.16 years and over,"2,371,445","2,376,886","2,398,026","2,414,916","2,424,480","2,429,273","2,435,277","2,449,908","2,467,822","2,488,747","2,514,796","2,531,101","2,536,291"
.18 years and over,"2,289,800","2,295,112","2,313,942","2,328,073","2,337,081","2,340,446","2,344,990","2,356,994","2,373,290","2,396,993","2,424,169","2,441,229","2,446,835"
.15 to 44 years,"1,387,368","1,387,756","1,388,889","1,384,313","1,374,255","1,359,371","1,347,229","1,339,249","1,331,700","1,327,327","1,324,622","1,320,138","1,320,910"
.,,,,,,,,,,,,,
.Median age (years),35.4,35.4,35.6,35.9,36.1,36.4,36.7,36.9,37.1,37.4,37.5,37.7,37.7
FEMALE,"3,290,407","3,296,245","3,312,567","3,319,436","3,320,817","3,314,634","3,309,010","3,311,185","3,321,653","3,340,730","3,365,859","3,381,001","3,385,362"
.Under 5 years,"194,209","194,137","193,509","192,435","190,400","188,106","185,140","182,105","180,706","180,229","179,756","179,482","179,357"
.5 to 9 years,"209,723","208,880","204,969","200,894","196,815","193,306","189,799","188,955","188,834","188,751","189,203","189,140","189,354"
.10 to 14 years,"210,084","211,094","215,051","216,454","215,917","213,140","208,801","204,842","201,645","199,803","198,992","198,194","198,254"
.15 to 19 years,"205,282","205,611","209,652","214,262","218,363","222,450","226,873","229,846","231,216","231,140","229,808","227,876","227,034"
.20 to 24 years,"205,527","207,094","211,486","212,677","215,108","215,448","216,807","221,505","226,471","230,351","236,318","239,412","240,046"
.25 to 29 years,"220,647","219,427","213,431","210,668","209,258","209,294","209,781","210,919","211,772","216,671","220,806","223,270","223,519"
.30 to 34 years,"250,386","250,388","247,616","241,557","233,215","223,359","212,555","204,192","201,202","200,827","203,611","205,278","206,653"
.35 to 39 years,"274,098","273,081","269,028","263,443","256,762","248,042","243,108","238,939","233,111","227,022","220,286","214,438","213,083"
.40 to 44 years,"266,570","267,251","270,246","270,264","269,453","268,487","264,902","260,081","254,502","249,620","242,996","240,302","240,252"
.45 to 49 years,"236,931","238,357","243,031","248,871","252,905","256,697","259,776","261,958","262,329","263,105","264,543","263,497","262,495"
.50 to 54 years,"212,226","214,415","223,907","221,290","223,225","226,126","230,223","234,137","240,606","245,729","251,468","255,333","255,951"
.55 to 59 years,"161,168","162,237","167,620","181,997","188,583","196,611","204,712","213,614","211,226","214,913","219,701","224,228","225,495"
.60 to 64 years,"124,909","125,506","127,930","132,560","140,980","147,134","151,990","156,200","170,755","177,505","186,998","194,252","196,154"
.65 to 69 years,"117,624","117,180","115,634","114,710","114,547","115,167","115,429","117,398","121,862","130,282","136,717","141,332","142,230"
.70 to 74 years,"119,917","119,585","117,271","114,393","111,508","108,288","106,159","104,264","103,457","103,732","105,372","106,210","106,668"
.75 to 79 years,"111,124","111,199","110,001","109,130","107,891","105,254","103,672","101,524","99,255","96,895","94,499","93,661","93,392"
.80 to 84 years,"84,236","84,706","86,009","87,334","87,591","88,640","88,395","87,757","87,590","87,013","85,427","84,922","84,781"
.85 years and over,"85,746","86,097","86,176","86,497","88,296","89,085","90,888","92,949","95,114","97,142","99,358","100,174","100,644"
.,,,,,,,,,,,,,
.Under 18 years,"730,935","731,587","733,903","732,955","728,705","722,340","714,850","708,297","703,141","698,483","695,350","693,524","693,278"
