table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Montana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.5 to 13 years,"116,746","116,676","114,681","112,514","110,951","109,337","108,328","107,978","108,390","109,249","109,344","109,490","109,639"
.14 to 17 years,"58,443","58,574","57,997","57,658","56,643","56,489","56,297","55,879","55,385","53,887","52,673","51,650","51,478"
.18 to 64 years,"551,188","552,418","557,318","563,099","571,323","580,734","588,986","597,980","605,556","612,270","616,380","619,110","620,224"
.18 to 24 years,"85,760","86,160","89,343","91,911","95,495","97,456","98,622","99,357","96,964","97,094","95,647","94,611","94,687"
.25 to 44 years,"245,217","244,578","238,899","234,222","230,567","229,675","228,195","228,548","231,371","233,215","234,399","235,809","236,230"
.45 to 64 years,"220,211","221,680","229,076","236,966","245,261","253,603","262,169","270,075","277,221","281,961","286,334","288,690","289,307"
.65 years and over,"120,951","121,288","122,525","123,796","125,295","127,276","129,431","132,782","136,015","140,331","143,927","146,742","147,181"
.,,,,,,,,,,,,,
.16 years and over,"701,428","703,023","709,374","716,535","725,561","736,612","746,807","759,447","770,394","780,648","787,668","792,520","793,945"
.18 years and over,"672,139","673,706","679,843","686,895","696,618","708,010","718,417","730,762","741,571","752,601","760,307","765,852","767,405"
.15 to 44 years,"374,907","374,838","372,271","369,728","369,126","369,386","369,498","370,296","370,664","371,491","370,093","369,671","370,049"
.,,,,,,,,,,,,,
.Median age (years),37.5,37.6,38.0,38.4,38.7,38.9,39.1,39.3,39.4,39.5,39.7,39.8,39.9
MALE,"449,477","450,348","452,278","454,955","459,514","465,009","470,322","477,351","483,767","489,938","493,860","496,667","497,502"
.Under 5 years,"28,211","28,182","27,938","28,117","28,474","28,830","29,074","29,807","30,441","31,152","31,693","32,129","32,097"
.5 to 9 years,"31,819","31,659","30,860","29,944","29,632","29,465","29,564","29,853","30,348","30,730","30,864","30,932","30,967"
.10 to 14 years,"35,659","35,757","35,181","34,842","34,196","33,886","33,209","32,727","32,308","32,141","31,732","31,620","31,626"
.15 to 19 years,"36,788","36,958","38,033","37,541","37,575","37,158","36,792","36,340","36,069","35,652","35,187","34,515","34,360"
.20 to 24 years,"30,346","30,472","31,348","32,970","34,761","35,631","36,639","37,308","36,308","36,115","35,221","34,939","35,059"
.25 to 29 years,"26,389","26,138","25,069","24,762","24,866","25,728","26,556","28,267","30,214","31,803","32,525","33,135","33,333"
.30 to 34 years,"26,061","26,060","26,450","26,590","27,034","27,452","27,625","27,189","27,708","28,119","29,640","30,209","30,491"
.35 to 39 years,"32,873","32,737","31,005","29,393","28,010","27,274","27,151","27,872","28,288","28,615","28,479","28,355","28,204"
.40 to 44 years,"37,065","37,155","36,777","36,584","35,710","35,196","33,860","32,531","31,129","30,111","29,124","28,848","28,783"
.45 to 49 years,"36,909","37,125","37,491","37,568","37,637","37,526","37,834","37,733","37,641","36,961","36,250","35,234","35,064"
.50 to 54 years,"31,615","31,914","33,833","34,442","35,676","36,670","37,578","38,203","38,578","38,788","38,643","38,747","38,793"
.55 to 59 years,"23,863","24,027","24,710","26,969","28,357","30,281","32,220","34,487","35,450","36,538","37,419","37,835","38,020"
.60 to 64 years,"18,937","19,034","19,744","20,510","21,951","23,082","24,050","25,013","27,331","28,881","30,673","32,124","32,391"
.65 to 69 years,"15,812","15,800","16,012","16,505","17,022","17,691","18,395","19,283","20,098","21,671","22,776","23,455","23,592"
.70 to 74 years,"14,046","14,076","14,247","14,293","14,242","14,204","14,240","14,577","15,175","15,662","16,265","16,806","16,888"
.75 to 79 years,"10,943","10,988","11,111","11,037","11,241","11,481","11,754","11,902","11,991","11,959","11,919","11,987","11,966"
.80 to 84 years,"7,261","7,336","7,432","7,639","7,739","7,827","7,931","8,142","8,184","8,412","8,634","8,781","8,791"
.85 years and over,"4,880","4,930","5,037","5,249","5,391","5,627","5,850","6,117","6,506","6,628","6,816","7,016","7,077"
.,,,,,,,,,,,,,
.Under 18 years,"118,242","118,241","116,720","115,430","114,619","113,944","113,634","113,988","114,664","115,022","114,952","114,909","114,862"
.Under 5 years,"28,211","28,182","27,938","28,117","28,474","28,830","29,074","29,807","30,441","31,152","31,693","32,129","32,097"
.5 to 13 years,"59,950","59,914","58,810","57,535","56,831","56,113","55,808","55,617","55,968","56,129","56,072","56,116","56,190"
.14 to 17 years,"30,081","30,145","29,972","29,778","29,314","29,001","28,752","28,564","28,255","27,741","27,187","26,664","26,575"
.18 to 64 years,"278,293","278,977","281,719","284,802","289,260","294,235","298,518","303,342","307,149","310,584","312,498","313,713","314,326"
.18 to 24 years,"44,581","44,787","46,640","47,984","50,019","51,026","51,644","52,047","50,810","50,768","49,745","49,226","49,247"
.25 to 44 years,"122,388","122,090","119,301","117,329","115,620","115,650","115,192","115,859","117,339","118,648","119,768","120,547","120,811"
.45 to 64 years,"111,324","112,100","115,778","119,489","123,621","127,559","131,682","135,436","139,000","141,168","142,985","143,940","144,268"
.65 years and over,"52,942","53,130","53,839","54,723","55,635","56,830","58,170","60,021","61,954","64,332","66,410","68,045","68,314"
.,,,,,,,,,,,,,
.16 years and over,"346,291","347,179","350,810","354,838","359,963","365,881","371,306","378,062","383,818","389,307","392,985","395,598","396,421"
.18 years and over,"331,235","332,107","335,558","339,525","344,895","351,065","356,688","363,363","369,103","374,916","378,908","381,758","382,640"
.15 to 44 years,"189,522","189,520","188,682","187,840","187,956","188,439","188,623","189,507","189,716","190,415","190,176","190,001","190,230"
.,,,,,,,,,,,,,
.Median age (years),36.6,36.6,37.0,37.4,37.5,37.7,37.9,38.0,38.2,38.4,38.6,38.8,38.8
FEMALE,"452,723","453,425","454,683","456,712","460,116","465,000","469,780","475,341","480,939","486,477","490,122","492,748","493,396"
.Under 5 years,"26,661","26,635","26,502","26,483","26,944","27,343","27,986","28,266","28,919","29,526","29,965","30,294","30,279"
.5 to 9 years,"30,142","29,991","29,190","28,592","28,011","28,138","27,938","28,296","28,589","29,275","29,567","29,833","29,869"
.10 to 14 years,"33,639","33,743","33,418","33,199","32,691","32,082","31,233","30,590","30,201","29,808","29,807","29,504","29,523"
.15 to 19 years,"34,521","34,633","35,308","34,800","34,643","34,384","34,338","34,158","34,037","33,698","32,930","32,209","32,076"
.20 to 24 years,"28,035","28,197","28,683","30,195","31,580","32,538","33,534","33,942","32,879","32,811","32,356","32,199","32,324"
.25 to 29 years,"24,717","24,482","23,568","23,141","23,532","24,417","25,075","26,264","28,448","29,617","30,411","30,988","31,096"
.30 to 34 years,"26,114","26,111","26,228","26,336","26,300","26,229","26,212","25,827","26,000","26,884","27,893","28,532","28,814"
.35 to 39 years,"33,703","33,542","31,590","30,092","28,579","27,570","27,356","27,657","27,965","27,842","27,442","27,220","27,043"
.40 to 44 years,"38,295","38,353","38,212","37,324","36,536","35,809","34,360","32,941","31,619","30,224","28,885","28,522","28,466"
.45 to 49 years,"36,492","36,680","37,349","38,099","38,491","38,597","38,755","38,884","38,398","37,701","36,968","35,787","35,586"
.50 to 54 years,"30,076","30,353","32,268","33,027","34,554","35,949","37,153","38,201","39,123","39,722","39,907","40,064","40,121"
.55 to 59 years,"23,310","23,457","23,996","25,942","26,967","28,839","30,993","33,231","34,353","35,908","37,194","38,080","38,263"
.60 to 64 years,"19,009","19,090","19,685","20,409","21,628","22,659","23,586","24,323","26,347","27,462","29,280","30,819","31,069"
.65 to 69 years,"16,733","16,701","16,966","17,147","17,568","18,115","18,547","19,362","20,204","21,564","22,472","23,101","23,219"
.70 to 74 years,"15,934","15,915","15,926","15,946","15,807","15,632","15,598","15,861","16,091","16,550","17,087","17,380","17,445"
.75 to 79 years,"13,761","13,788","13,739","13,712","13,792","13,827","14,039","14,103","14,070","13,919","13,687","13,650","13,602"
.80 to 84 years,"11,125","11,209","11,226","11,295","11,284","11,374","11,271","11,348","11,382","11,408","11,422","11,561","11,535"
.85 years and over,"10,456","10,545","10,829","10,973","11,209","11,498","11,806","12,087","12,314","12,558","12,849","13,005","13,066"
.,,,,,,,,,,,,,
.Under 18 years,"111,819","111,826","110,398","109,342","108,393","108,055","108,051","107,942","108,471","108,792","108,723","108,654","108,631"
.Under 5 years,"26,661","26,635","26,502","26,483","26,944","27,343","27,986","28,266","28,919","29,526","29,965","30,294","30,279"
.5 to 13 years,"56,796","56,762","55,871","54,979","54,120","53,224","52,520","52,361","52,422","53,120","53,272","53,374","53,449"
.14 to 17 years,"28,362","28,429","28,025","27,880","27,329","27,488","27,545","27,315","27,130","26,146","25,486","24,986","24,903"
.18 to 64 years,"272,895","273,441","275,599","278,297","282,063","286,499","290,468","294,638","298,407","301,686","303,882","305,397","305,898"
.18 to 24 years,"41,179","41,373","42,703","43,927","45,476","46,430","46,978","47,310","46,154","46,326","45,902","45,385","45,440"
.25 to 44 years,"122,829","122,488","119,598","116,893","114,947","114,025","113,003","112,689","114,032","114,567","114,631","115,262","115,419"
.45 to 64 years,"108,887","109,580","113,298","117,477","121,640","126,044","130,487","134,639","138,221","140,793","143,349","144,750","145,039"
.65 years and over,"68,009","68,158","68,686","69,073","69,660","70,446","71,261","72,761","74,061","75,999","77,517","78,697","78,867"
.,,,,,,,,,,,,,
.16 years and over,"355,137","355,844","358,564","361,697","365,598","370,731","375,501","381,385","386,576","391,341","394,683","396,922","397,524"
.18 years and over,"340,904","341,599","344,285","347,370","351,723","356,945","361,729","367,399","372,468","377,685","381,399","384,094","384,765"
.15 to 44 years,"185,385","185,318","183,589","181,888","181,170","180,947","180,875","180,789","180,948","181,076","179,917","179,670","179,819"
.,,,,,,,,,,,,,
.Median age (years),38.5,38.5,39.0,39.3,39.7,40.0,40.2,40.5,40.6,40.7,40.9,41.0,41.0
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Montana: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-30)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
