Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1971",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,,,,
All ages,"207,660,677 ","101,567,006 ","106,093,671 ","181,663,094 ","89,080,570 ","92,582,524 ","23,239,524 ","11,114,200 ","12,125,324 ","2,758,059 ","1,372,236 ","1,385,823 "
,,,,,,,,,,,,
0,"3,601,094 ","1,842,884 ","1,758,210 ","3,032,993 ","1,555,643 ","1,477,350 ","504,943 ","255,006 ","249,937 ","63,158 ","32,235 ","30,923 "
1,"3,489,276 ","1,778,185 ","1,711,091 ","2,945,610 ","1,505,785 ","1,439,825 ","486,123 ","243,472 ","242,651 ","57,543 ","28,928 ","28,615 "
2,"3,348,331 ","1,707,607 ","1,640,724 ","2,813,652 ","1,439,608 ","1,374,044 ","481,152 ","240,957 ","240,195 ","53,527 ","27,042 ","26,485 "
3,"3,337,236 ","1,702,135 ","1,635,101 ","2,807,310 ","1,436,485 ","1,370,825 ","477,666 ","239,390 ","238,276 ","52,260 ","26,260 ","26,000 "
4,"3,468,031 ","1,765,616 ","1,702,415 ","2,920,058 ","1,491,480 ","1,428,578 ","495,388 ","247,797 ","247,591 ","52,585 ","26,339 ","26,246 "
5,"3,556,777 ","1,814,863 ","1,741,914 ","2,981,915 ","1,526,124 ","1,455,791 ","515,712 ","258,770 ","256,942 ","59,150 ","29,969 ","29,181 "
6,"3,787,320 ","1,924,328 ","1,862,992 ","3,189,026 ","1,625,015 ","1,564,011 ","540,822 ","270,333 ","270,489 ","57,472 ","28,980 ","28,492 "
7,"3,977,564 ","2,029,736 ","1,947,828 ","3,365,653 ","1,722,538 ","1,643,115 ","554,709 ","278,301 ","276,408 ","57,202 ","28,897 ","28,305 "
8,"3,974,264 ","2,026,653 ","1,947,611 ","3,373,338 ","1,724,405 ","1,648,933 ","544,983 ","273,860 ","271,123 ","55,943 ","28,388 ","27,555 "
9,"4,099,362 ","2,090,131 ","2,009,231 ","3,481,498 ","1,779,570 ","1,701,928 ","560,437 ","281,658 ","278,779 ","57,427 ","28,903 ","28,524 "
10,"4,333,927 ","2,211,594 ","2,122,333 ","3,672,023 ","1,879,452 ","1,792,571 ","599,756 ","300,794 ","298,962 ","62,148 ","31,348 ","30,800 "
11,"4,139,134 ","2,109,649 ","2,029,485 ","3,519,087 ","1,799,428 ","1,719,659 ","563,400 ","281,844 ","281,556 ","56,647 ","28,377 ","28,270 "
12,"4,174,936 ","2,125,557 ","2,049,379 ","3,547,694 ","1,811,341 ","1,736,353 ","571,325 ","286,068 ","285,257 ","55,917 ","28,148 ","27,769 "
13,"4,192,739 ","2,134,607 ","2,058,132 ","3,579,030 ","1,827,259 ","1,751,771 ","559,170 ","279,945 ","279,225 ","54,539 ","27,403 ","27,136 "
14,"4,254,445 ","2,167,846 ","2,086,599 ","3,623,993 ","1,851,726 ","1,772,267 ","574,993 ","288,293 ","286,700 ","55,459 ","27,827 ","27,632 "
15,"4,100,796 ","2,090,576 ","2,010,220 ","3,493,207 ","1,785,438 ","1,707,769 ","550,086 ","276,016 ","274,070 ","57,503 ","29,122 ","28,381 "
16,"4,019,319 ","2,047,164 ","1,972,155 ","3,432,723 ","1,753,291 ","1,679,432 ","532,816 ","266,815 ","266,001 ","53,780 ","27,058 ","26,722 "
17,"3,953,863 ","2,009,499 ","1,944,364 ","3,386,582 ","1,725,595 ","1,660,987 ","513,818 ","256,884 ","256,934 ","53,463 ","27,020 ","26,443 "
18,"3,878,359 ","1,961,661 ","1,916,698 ","3,344,162 ","1,696,060 ","1,648,102 ","481,662 ","238,960 ","242,702 ","52,535 ","26,641 ","25,894 "
19,"3,836,171 ","1,939,069 ","1,897,102 ","3,318,147 ","1,684,123 ","1,634,024 ","464,345 ","227,797 ","236,548 ","53,679 ","27,149 ","26,530 "
20,"3,796,605 ","1,924,352 ","1,872,253 ","3,268,393 ","1,662,529 ","1,605,864 ","473,618 ","233,116 ","240,502 ","54,594 ","28,707 ","25,887 "
21,"3,553,466 ","1,798,547 ","1,754,919 ","3,072,562 ","1,562,839 ","1,509,723 ","424,821 ","207,374 ","217,447 ","56,083 ","28,334 ","27,749 "
22,"3,509,578 ","1,759,447 ","1,750,131 ","3,048,586 ","1,538,196 ","1,510,390 ","405,052 ","194,008 ","211,044 ","55,940 ","27,243 ","28,697 "
23,"3,459,578 ","1,728,507 ","1,731,071 ","3,031,672 ","1,524,440 ","1,507,232 ","373,261 ","177,753 ","195,508 ","54,645 ","26,314 ","28,331 "
24,"3,839,808 ","1,919,125 ","1,920,683 ","3,414,330 ","1,718,122 ","1,696,208 ","370,404 ","174,740 ","195,664 ","55,074 ","26,263 ","28,811 "
25,"2,756,978 ","1,379,621 ","1,377,357 ","2,412,000 ","1,217,040 ","1,194,960 ","301,614 ","141,632 ","159,982 ","43,364 ","20,949 ","22,415 "
26,"2,773,244 ","1,380,257 ","1,392,987 ","2,427,079 ","1,218,529 ","1,208,550 ","299,634 ","139,782 ","159,852 ","46,531 ","21,946 ","24,585 "
27,"2,847,814 ","1,410,743 ","1,437,071 ","2,496,087 ","1,246,485 ","1,249,602 ","304,678 ","142,062 ","162,616 ","47,049 ","22,196 ","24,853 "
28,"3,003,167 ","1,489,382 ","1,513,785 ","2,665,307 ","1,331,879 ","1,333,428 ","291,185 ","135,005 ","156,180 ","46,675 ","22,498 ","24,177 "
29,"2,660,149 ","1,319,618 ","1,340,531 ","2,330,148 ","1,164,742 ","1,165,406 ","285,038 ","133,050 ","151,988 ","44,963 ","21,826 ","23,137 "
30,"2,631,233 ","1,305,577 ","1,325,656 ","2,280,169 ","1,141,291 ","1,138,878 ","304,355 ","141,210 ","163,145 ","46,709 ","23,076 ","23,633 "
31,"2,367,317 ","1,171,201 ","1,196,116 ","2,071,207 ","1,033,820 ","1,037,387 ","255,216 ","117,267 ","137,949 ","40,894 ","20,114 ","20,780 "
32,"2,343,542 ","1,154,965 ","1,188,577 ","2,050,445 ","1,019,713 ","1,030,732 ","253,263 ","115,768 ","137,495 ","39,834 ","19,484 ","20,350 "
33,"2,293,383 ","1,128,265 ","1,165,118 ","2,003,349 ","995,112 ","1,008,237 ","250,254 ","113,924 ","136,330 ","39,780 ","19,229 ","20,551 "
34,"2,281,467 ","1,120,468 ","1,160,999 ","1,989,645 ","986,796 ","1,002,849 ","253,680 ","115,457 ","138,223 ","38,142 ","18,215 ","19,927 "
35,"2,252,836 ","1,105,625 ","1,147,211 ","1,973,701 ","977,851 ","995,850 ","244,864 ","111,513 ","133,351 ","34,271 ","16,261 ","18,010 "
36,"2,222,348 ","1,092,536 ","1,129,812 ","1,942,877 ","964,356 ","978,521 ","244,929 ","111,938 ","132,991 ","34,542 ","16,242 ","18,300 "
37,"2,184,977 ","1,070,786 ","1,114,191 ","1,907,478 ","944,589 ","962,889 ","242,481 ","109,985 ","132,496 ","35,018 ","16,212 ","18,806 "
38,"2,219,512 ","1,085,605 ","1,133,907 ","1,938,691 ","957,490 ","981,201 ","244,797 ","111,563 ","133,234 ","36,024 ","16,552 ","19,472 "
39,"2,240,196 ","1,099,596 ","1,140,600 ","1,972,578 ","977,534 ","995,044 ","231,870 ","105,574 ","126,296 ","35,748 ","16,488 ","19,260 "
40,"2,304,588 ","1,132,411 ","1,172,177 ","2,030,921 ","1,007,122 ","1,023,799 ","237,921 ","108,953 ","128,968 ","35,746 ","16,336 ","19,410 "
41,"2,422,420 ","1,185,216 ","1,237,204 ","2,127,362 ","1,050,254 ","1,077,108 ","258,272 ","118,221 ","140,051 ","36,786 ","16,741 ","20,045 "
42,"2,361,689 ","1,153,960 ","1,207,729 ","2,089,477 ","1,029,817 ","1,059,660 ","237,780 ","108,419 ","129,361 ","34,432 ","15,724 ","18,708 "
43,"2,386,965 ","1,165,284 ","1,221,681 ","2,118,583 ","1,042,343 ","1,076,240 ","235,251 ","107,671 ","127,580 ","33,131 ","15,270 ","17,861 "
44,"2,382,516 ","1,158,852 ","1,223,664 ","2,121,183 ","1,039,107 ","1,082,076 ","229,347 ","104,920 ","124,427 ","31,986 ","14,825 ","17,161 "
45,"2,405,799 ","1,164,862 ","1,240,937 ","2,140,389 ","1,042,973 ","1,097,416 ","234,550 ","107,319 ","127,231 ","30,860 ","14,570 ","16,290 "
46,"2,450,645 ","1,183,946 ","1,266,699 ","2,186,848 ","1,061,036 ","1,125,812 ","233,619 ","108,340 ","125,279 ","30,178 ","14,570 ","15,608 "
47,"2,423,579 ","1,169,314 ","1,254,265 ","2,173,218 ","1,053,214 ","1,120,004 ","222,070 ","102,404 ","119,666 ","28,291 ","13,696 ","14,595 "
48,"2,407,120 ","1,158,749 ","1,248,371 ","2,150,409 ","1,039,494 ","1,110,915 ","229,001 ","105,619 ","123,382 ","27,710 ","13,636 ","14,074 "
49,"2,454,763 ","1,185,351 ","1,269,412 ","2,207,606 ","1,070,067 ","1,137,539 ","220,735 ","102,063 ","118,672 ","26,422 ","13,221 ","13,201 "
50,"2,374,820 ","1,148,649 ","1,226,171 ","2,137,036 ","1,037,627 ","1,099,409 ","213,362 ","98,858 ","114,504 ","24,422 ","12,164 ","12,258 "
51,"2,426,681 ","1,169,835 ","1,256,846 ","2,162,646 ","1,046,581 ","1,116,065 ","239,149 ","110,897 ","128,252 ","24,886 ","12,357 ","12,529 "
52,"2,288,583 ","1,097,877 ","1,190,706 ","2,057,671 ","990,227 ","1,067,444 ","208,917 ","96,705 ","112,212 ","21,995 ","10,945 ","11,050 "
53,"2,180,835 ","1,049,095 ","1,131,740 ","1,972,705 ","952,057 ","1,020,648 ","188,177 ","87,128 ","101,049 ","19,953 ","9,910 ","10,043 "
54,"2,105,749 ","1,011,693 ","1,094,056 ","1,910,811 ","921,660 ","989,151 ","176,239 ","80,671 ","95,568 ","18,699 ","9,362 ","9,337 "
55,"2,082,108 ","998,805 ","1,083,303 ","1,891,323 ","910,606 ","980,717 ","172,428 ","78,880 ","93,548 ","18,357 ","9,319 ","9,038 "
56,"2,081,236 ","996,362 ","1,084,874 ","1,884,942 ","904,525 ","980,417 ","178,137 ","82,483 ","95,654 ","18,157 ","9,354 ","8,803 "
57,"2,024,298 ","968,525 ","1,055,773 ","1,838,125 ","881,097 ","957,028 ","169,118 ","78,588 ","90,530 ","17,055 ","8,840 ","8,215 "
58,"1,982,253 ","941,549 ","1,040,704 ","1,792,415 ","853,461 ","938,954 ","172,758 ","79,013 ","93,745 ","17,080 ","9,075 ","8,005 "
59,"1,919,926 ","910,284 ","1,009,642 ","1,740,456 ","826,183 ","914,273 ","163,006 ","75,036 ","87,970 ","16,464 ","9,065 ","7,399 "
60,"1,856,716 ","875,491 ","981,225 ","1,670,167 ","788,148 ","882,019 ","170,304 ","78,128 ","92,176 ","16,245 ","9,215 ","7,030 "
61,"1,885,972 ","886,880 ","999,092 ","1,698,717 ","798,908 ","899,809 ","171,129 ","78,753 ","92,376 ","16,126 ","9,219 ","6,907 "
62,"1,772,301 ","825,184 ","947,117 ","1,608,868 ","749,428 ","859,440 ","148,846 ","67,400 ","81,446 ","14,587 ","8,356 ","6,231 "
63,"1,724,388 ","797,520 ","926,868 ","1,560,673 ","722,123 ","838,550 ","149,880 ","67,368 ","82,512 ","13,835 ","8,029 ","5,806 "
64,"1,633,125 ","748,868 ","884,257 ","1,479,850 ","679,232 ","800,618 ","140,247 ","62,091 ","78,156 ","13,028 ","7,545 ","5,483 "
65,"1,585,875 ","720,541 ","865,334 ","1,429,992 ","649,758 ","780,234 ","142,899 ","63,356 ","79,543 ","12,984 ","7,427 ","5,557 "
66,"1,532,190 ","688,795 ","843,395 ","1,373,942 ","617,221 ","756,721 ","145,661 ","64,266 ","81,395 ","12,587 ","7,308 ","5,279 "
67,"1,445,724 ","645,396 ","800,328 ","1,308,891 ","583,640 ","725,251 ","124,654 ","54,867 ","69,787 ","12,179 ","6,889 ","5,290 "
68,"1,367,181 ","605,096 ","762,085 ","1,239,926 ","547,492 ","692,434 ","115,587 ","51,251 ","64,336 ","11,668 ","6,353 ","5,315 "
69,"1,238,556 ","544,330 ","694,226 ","1,132,989 ","496,933 ","636,056 ","93,916 ","41,196 ","52,720 ","11,651 ","6,201 ","5,450 "
70,"1,239,995 ","531,810 ","708,185 ","1,117,244 ","476,865 ","640,379 ","111,308 ","48,714 ","62,594 ","11,443 ","6,231 ","5,212 "
