table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Missouri: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.10 to 14 years,"211,386","212,239","212,889","213,982","214,455","213,414","210,197","208,264","205,651","204,015","203,342","203,213","203,059"
.15 to 19 years,"210,844","211,896","213,561","213,272","213,877","215,578","217,843","219,107","220,407","220,839","219,508","216,939","215,838"
.20 to 24 years,"184,819","186,055","191,802","198,485","203,380","207,383","208,889","209,522","208,327","207,139","207,103","207,793","208,423"
.25 to 29 years,"180,471","179,103","173,641","172,206","172,666","176,672","181,279","188,355","194,754","198,865","201,283","201,438","202,393"
.30 to 34 years,"187,733","187,810","189,298","189,698","188,589","185,646","181,583","177,309","176,359","177,555","182,214","186,306","187,697"
.35 to 39 years,"220,246","219,563","212,523","204,831","196,468","191,035","189,343","191,023","191,030","190,122","186,620","183,144","181,936"
.40 to 44 years,"219,681","220,223","223,021","223,863","223,964","222,792","218,984","212,354","204,942","196,561","191,020","188,854","188,727"
.45 to 49 years,"193,783","195,038","200,516","205,795","211,270","214,978","219,046","222,449","223,941","224,003","223,399","220,099","219,301"
.50 to 54 years,"168,761","170,618","179,466","179,708","182,745","187,461","193,133","199,140","204,849","210,636","214,567","218,081","218,553"
.55 to 59 years,"134,470","135,482","137,540","147,311","153,004","159,563","167,077","176,189","176,887","179,991","184,389","188,437","189,549"
.60 to 64 years,"108,848","109,467","111,783","116,010","121,700","125,738","129,360","131,708","141,446","147,130","153,664","159,520","161,084"
.65 to 69 years,"94,901","94,702","95,536","96,041","97,155","99,391","101,074","103,770","108,327","114,049","118,227","121,239","121,989"
.70 to 74 years,"83,216","83,264","82,747","82,040","81,657","81,395","82,141","83,450","84,325","85,317","87,566","88,753","89,194"
.75 to 79 years,"64,160","64,373","65,200","65,709","66,473","66,468","66,526","66,590","66,447","66,468","66,617","67,506","67,453"
.80 to 84 years,"38,048","38,399","39,533","41,066","42,282","43,671","44,680","45,588","46,258","46,795","47,100","47,180","47,282"
.85 years and over,"26,945","27,141","27,363","27,577","28,097","28,552","29,583","30,906","32,313","33,483","34,759","35,856","36,163"
.,,,,,,,,,,,,,
.Under 18 years,"731,617","731,993","730,680","729,414","727,975","727,432","728,167","730,697","732,230","730,907","730,157","729,698","728,809"
.Under 5 years,"189,251","189,039","189,187","189,970","190,227","191,793","193,127","194,619","197,123","198,927","199,035","199,528","199,263"
.5 to 13 years,"372,414","372,459","371,134","368,726","366,343","362,848","360,601","360,401","360,121","359,645","361,526","362,221","362,351"
.14 to 17 years,"169,952","170,495","170,359","170,718","171,405","172,791","174,439","175,677","174,986","172,335","169,596","167,949","167,195"
.18 to 64 years,"1,682,714","1,687,626","1,704,607","1,722,502","1,739,208","1,758,147","1,775,259","1,794,140","1,810,219","1,822,060","1,834,641","1,843,245","1,846,607"
.18 to 24 years,"268,721","270,322","276,819","283,080","288,802","294,262","295,454","295,613","296,011","297,197","297,485","297,366","297,367"
.25 to 44 years,"808,131","806,699","798,483","790,598","781,687","776,145","771,189","769,041","767,085","763,103","761,137","759,742","760,753"
.45 to 64 years,"605,862","610,605","629,305","648,824","668,719","687,740","708,616","729,486","747,123","761,760","776,019","786,137","788,487"
.65 years and over,"307,270","307,879","310,379","312,433","315,664","319,477","324,004","330,304","337,670","346,112","354,269","360,534","362,081"
.,,,,,,,,,,,,,
.16 years and over,"2,074,655","2,080,367","2,100,442","2,121,443","2,140,866","2,162,793","2,185,700","2,213,412","2,237,088","2,255,813","2,275,555","2,289,523","2,293,951"
.18 years and over,"1,989,984","1,995,505","2,014,986","2,034,935","2,054,872","2,077,624","2,099,263","2,124,444","2,147,889","2,168,172","2,188,910","2,203,779","2,208,688"
.15 to 44 years,"1,203,794","1,204,650","1,203,846","1,202,355","1,198,944","1,199,106","1,197,921","1,197,670","1,195,819","1,191,081","1,187,748","1,184,474","1,185,014"
.,,,,,,,,,,,,,
.Median age (years),34.8,34.9,35.1,35.2,35.4,35.5,35.7,35.9,36.1,36.3,36.4,36.5,36.5
FEMALE,"2,874,963","2,879,787","2,895,476","2,910,476","2,926,556","2,942,685","2,962,870","2,987,563","3,007,493","3,024,837","3,042,021","3,055,450","3,058,734"
.Under 5 years,"180,651","180,497","181,043","181,794","182,117","183,423","185,119","186,629","188,677","190,163","190,674","190,709","190,531"
.5 to 9 years,"194,855","193,902","190,764","187,545","185,703","184,651","184,726","186,359","187,732","188,645","189,569","190,872","190,853"
.10 to 14 years,"200,695","201,584","202,843","204,264","204,821","203,655","200,794","198,643","195,948","194,353","193,718","193,712","193,633"
.15 to 19 years,"202,461","203,011","202,718","202,060","202,666","204,264","206,534","208,453","209,941","210,491","209,478","206,847","205,781"
.20 to 24 years,"184,807","186,243","194,330","199,909","204,557","206,915","207,122","205,621","204,232","203,911","203,946","205,496","206,137"
.25 to 29 years,"182,020","180,577","174,965","174,185","174,703","178,291","183,848","192,538","197,448","200,800","202,675","201,801","202,111"
.30 to 34 years,"188,986","188,878","190,007","189,937","189,059","186,298","182,725","177,834","177,268","177,688","181,709","185,922","187,353"
.35 to 39 years,"223,311","222,397","214,710","207,126","199,363","193,096","190,707","192,009","192,164","190,737","188,152","184,926","183,564"
.40 to 44 years,"224,855","225,421","228,612","228,277","227,652","226,720","222,759","215,704","208,344","200,509","193,980","191,692","191,538"
.45 to 49 years,"201,934","203,174","207,438","213,006","218,346","221,233","225,081","228,669","228,827","228,650","227,751","224,667","223,746"
.50 to 54 years,"178,162","180,074","189,230","189,425","192,756","197,648","202,994","207,795","214,037","219,498","222,828","225,725","226,245"
.55 to 59 years,"144,615","145,598","147,986","158,566","163,626","170,191","178,671","188,436","188,994","192,603","197,647","201,548","202,721"
.60 to 64 years,"119,502","120,079","123,025","127,353","133,481","138,229","141,858","144,565","155,206","160,566","167,187","173,773","175,527"
.65 to 69 years,"110,474","110,111","109,732","109,499","110,688","112,300","113,840","117,188","121,482","127,921","132,848","135,814","136,584"
.70 to 74 years,"104,634","104,386","103,687","102,666","101,351","100,831","100,585","100,679","100,891","101,926","103,562","104,684","105,102"
.75 to 79 years,"93,052","93,177","92,860","92,151","91,982","90,727","89,821","89,654","88,827","87,971","87,660","87,765","87,553"
.80 to 84 years,"68,322","68,737","69,745","71,226","71,980","72,558","73,161","73,008","72,500","72,553","71,782","71,574","71,466"
.85 years and over,"71,627","71,941","71,781","71,487","71,705","71,655","72,525","73,779","74,975","75,852","76,855","77,923","78,289"
.,,,,,,,,,,,,,
.Under 18 years,"696,070","696,390","695,895","695,099","693,952","693,524","694,811","697,627","699,116","698,038","696,446","695,738","694,977"
.Under 5 years,"180,651","180,497","181,043","181,794","182,117","183,423","185,119","186,629","188,677","190,163","190,674","190,709","190,531"
.5 to 13 years,"355,143","355,122","353,706","351,748","349,875","346,177","343,674","343,693","343,167","343,487","344,602","345,592","345,717"
.14 to 17 years,"160,276","160,771","161,146","161,557","161,960","163,924","166,018","167,305","167,272","164,388","161,170","159,437","158,729"
.18 to 64 years,"1,730,784","1,735,045","1,751,776","1,768,348","1,784,898","1,801,090","1,818,127","1,835,628","1,849,702","1,860,576","1,872,868","1,881,952","1,884,763"
.18 to 24 years,"267,399","268,847","275,803","280,473","285,912","289,384","289,484","288,078","287,414","289,525","290,939","291,898","291,958"
.25 to 44 years,"819,172","817,273","808,294","799,525","790,777","784,405","780,039","778,085","775,224","769,734","766,516","764,341","764,566"
.45 to 64 years,"644,213","648,925","667,679","688,350","708,209","727,301","748,604","769,465","787,064","801,317","815,413","825,713","828,239"
.65 years and over,"448,109","448,352","447,805","447,029","447,706","448,071","449,932","454,308","458,675","466,223","472,707","477,760","478,994"
.,,,,,,,,,,,,,
.16 years and over,"2,258,640","2,263,236","2,280,234","2,296,763","2,313,536","2,330,062","2,349,644","2,373,637","2,393,452","2,410,785","2,428,147","2,440,978","2,444,540"
.18 years and over,"2,178,893","2,183,397","2,199,581","2,215,377","2,232,604","2,249,161","2,268,059","2,289,936","2,308,377","2,326,799","2,345,575","2,359,712","2,363,757"
.15 to 44 years,"1,206,440","1,206,527","1,205,342","1,201,494","1,198,000","1,195,584","1,193,695","1,192,159","1,189,397","1,184,136","1,179,940","1,176,684","1,176,484"
.,,,,,,,,,,,,,
.Median age (years),37.4,37.4,37.7,37.9,38.2,38.3,38.4,38.6,38.7,38.8,39.0,39.2,39.2
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Missouri: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-29)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
