table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Rhode Island: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,048,259","1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646","1,052,567","1,052,886"
.Under 5 years,"63,895","63,916","63,460","63,372","63,289","63,118","61,665","60,286","59,745","59,081","57,731","57,448","57,361"
.5 to 9 years,"71,907","71,629","70,064","68,726","67,516","65,871","64,089","62,766","61,614","60,974","60,799","60,440","60,474"
.10 to 14 years,"71,367","71,691","73,424","74,373","74,532","73,730","71,505","69,179","67,375","65,974","64,521","63,824","63,792"
.15 to 19 years,"75,443","75,568","76,109","77,667","78,591","80,581","81,389","82,755","82,277","82,103","81,936","80,046","79,710"
.20 to 24 years,"71,815","72,428","75,229","77,308","77,550","78,101","78,879","79,150","79,734","80,076","81,277","82,167","82,381"
.25 to 29 years,"64,728","64,439","62,697","62,673","64,712","66,436","66,415","67,202","66,971","66,627","65,435","65,799","65,928"
.30 to 34 years,"75,590","75,503","74,335","73,546","71,354","68,807","65,268","61,673","59,928","60,561","61,216","61,163","61,541"
.35 to 39 years,"85,360","84,985","83,761","81,824","80,193","78,176","76,167","73,913","72,067","68,863","65,958","63,730","63,284"
.40 to 44 years,"84,944","85,142","86,119","86,773","86,453","85,796","84,244","81,882","78,857","76,560","74,265","73,130","73,059"
.45 to 49 years,"75,423","75,898","78,184","80,347","82,350","83,550","83,561","84,040","83,684","82,860","82,018","81,300","80,963"
.50 to 54 years,"66,425","67,123","70,182","69,872","71,128","72,481","74,271","75,956","77,519","79,247","80,658","81,050","81,204"
.55 to 59 years,"49,975","50,321","52,264","57,369","59,634","62,256","64,813","67,162","66,245","67,195","68,918","70,634","70,902"
.60 to 64 years,"38,999","39,195","39,870","41,318","43,992","45,973","47,377","49,016","53,481","55,180","57,794","59,955","60,369"
.65 to 69 years,"36,021","35,874","35,173","35,005","35,159","35,459","35,548","36,203","37,387","39,768","41,637","42,802","42,937"
.70 to 74 years,"37,659","37,567","36,545","35,019","33,712","32,543","31,599","30,693","30,490","30,647","30,881","31,077","31,110"
.75 to 79 years,"34,070","34,091","33,882","33,589","33,038","32,472","31,417","30,656","29,180","28,076","26,994","26,645","26,489"
.80 to 84 years,"23,742","23,893","24,555","25,318","25,593","25,955","26,110","26,008","25,730","25,528","25,261","24,607","24,519"
.85 years and over,"20,896","21,005","21,289","21,896","22,546","23,274","23,599","24,556","25,031","25,683","26,347","26,750","26,863"
.,,,,,,,,,,,,,
.Under 18 years,"247,821","248,065","248,296","248,690","248,075","246,228","241,932","237,348","233,655","229,798","225,902","223,956","223,715"
.Under 5 years,"63,895","63,916","63,460","63,372","63,289","63,118","61,665","60,286","59,745","59,081","57,731","57,448","57,361"
.5 to 13 years,"129,658","129,726","129,410","128,726","127,467","124,104","120,647","117,552","114,845","113,114","111,868","111,085","111,173"
.14 to 17 years,"54,268","54,423","55,426","56,592","57,319","59,006","59,620","59,510","59,065","57,603","56,303","55,423","55,181"
.18 to 64 years,"648,050","649,773","657,402","666,478","673,219","678,648","677,711","677,632","675,842","675,503","676,624","676,730","677,253"
.18 to 24 years,"106,606","107,167","109,990","112,756","113,403","115,173","115,595","116,788","117,090","118,410","120,362","119,969","120,003"
.25 to 44 years,"310,622","310,069","306,912","304,816","302,712","299,215","292,094","284,670","277,823","272,611","266,874","263,822","263,812"
.45 to 64 years,"230,822","232,537","240,500","248,906","257,104","264,260","270,022","276,174","280,929","284,482","289,388","292,939","293,438"
.65 years and over,"152,388","152,430","151,444","150,827","150,048","149,703","148,273","148,116","147,818","149,702","151,120","151,881","151,918"
.,,,,,,,,,,,,,
.16 years and over,"827,416","829,212","836,506","845,353","851,509","857,255","855,182","855,940","854,153","854,747","856,649","857,232","857,634"
.18 years and over,"800,438","802,203","808,846","817,305","823,267","828,351","825,984","825,748","823,660","825,205","827,744","828,611","829,171"
.15 to 44 years,"457,880","458,065","458,250","459,791","458,853","457,897","452,362","446,575","439,834","434,790","430,087","426,035","425,903"
.,,,,,,,,,,,,,
.Median age (years),36.7,36.8,37.0,37.2,37.5,37.7,37.9,38.3,38.6,38.8,39.2,39.4,39.4
MALE,"503,603","504,494","508,168","512,905","515,752","518,204","515,084","512,962","510,456","509,591","508,882","508,400","508,643"
.Under 5 years,"32,601","32,605","32,433","32,401","32,279","32,325","31,618","30,780","30,540","30,161","29,520","29,396","29,342"
.5 to 9 years,"36,912","36,771","35,897","35,148","34,597","33,660","32,782","32,233","31,750","31,316","31,360","31,051","31,068"
.10 to 14 years,"36,764","36,926","37,787","38,199","38,314","37,793","36,567","35,373","34,364","33,791","32,944","32,673","32,651"
.15 to 19 years,"38,197","38,259","38,658","39,425","39,861","40,892","41,182","41,781","41,494","41,419","41,160","40,157","39,981"
.20 to 24 years,"35,596","35,823","37,072","38,362","38,465","39,300","39,762","40,074","40,152","40,472","40,865","41,229","41,330"
.25 to 29 years,"31,791","31,675","31,062","31,048","31,989","32,705","32,659","33,027","33,405","33,217","32,906","33,126","33,243"
.30 to 34 years,"36,819","36,739","35,968","35,663","34,679","33,653","32,079","30,526","29,633","29,929","30,115","30,056","30,247"
.35 to 39 years,"41,810","41,588","41,058","39,974","39,166","38,191","37,176","35,742","35,056","33,550","32,127","31,185","30,975"
.40 to 44 years,"41,451","41,527","41,972","42,476","42,208","42,065","41,309","40,315","38,612","37,566","36,244","35,635","35,595"
.45 to 49 years,"36,700","36,939","38,013","39,057","40,055","40,580","40,535","40,690","40,573","40,044","39,813","39,435","39,283"
.50 to 54 years,"32,655","32,996","34,451","34,178","34,706","35,249","35,844","36,659","37,399","38,274","38,935","39,138","39,199"
.55 to 59 years,"24,020","24,194","25,291","27,842","28,965","30,333","31,701","32,776","32,142","32,560","33,235","33,908","34,038"
.60 to 64 years,"18,292","18,388","18,732","19,485","20,840","21,803","22,529","23,516","25,769","26,485","27,884","28,969","29,171"
.65 to 69 years,"16,407","16,352","15,993","15,923","16,087","16,213","16,254","16,618","17,293","18,498","19,358","19,999","20,066"
.70 to 74 years,"16,141","16,129","15,719","15,084","14,594","14,151","13,990","13,544","13,395","13,565","13,727","13,805","13,830"
.75 to 79 years,"13,636","13,661","13,592","13,541","13,405","13,269","12,773","12,558","11,903","11,503","11,187","11,219","11,161"
.80 to 84 years,"8,390","8,461","8,866","9,224","9,341","9,553","9,657","9,620","9,591","9,547","9,533","9,262","9,250"
.85 years and over,"5,421","5,461","5,604","5,875","6,201","6,469","6,667","7,130","7,385","7,694","7,969","8,157","8,213"
.,,,,,,,,,,,,,
.Under 18 years,"127,198","127,314","127,483","127,630","127,240","126,245","123,955","121,719","119,751","117,735","115,753","114,676","114,538"
.Under 5 years,"32,601","32,605","32,433","32,401","32,279","32,325","31,618","30,780","30,540","30,161","29,520","29,396","29,342"
.5 to 13 years,"66,600","66,639","66,394","66,061","65,344","63,548","61,662","60,196","58,942","58,076","57,523","56,987","57,031"
.14 to 17 years,"27,997","28,070","28,656","29,168","29,617","30,372","30,675","30,743","30,269","29,498","28,710","28,293","28,165"
.18 to 64 years,"316,410","317,116","320,911","325,628","328,884","332,304","331,788","331,773","331,138","331,049","331,355","331,282","331,585"
.18 to 24 years,"52,872","53,070","54,364","55,905","56,276","57,725","57,956","58,522","58,549","59,424","60,096","59,830","59,834"
.25 to 44 years,"151,871","151,529","150,060","149,161","148,042","146,614","143,223","139,610","136,706","134,262","131,392","130,002","130,060"
.45 to 64 years,"111,667","112,517","116,487","120,562","124,566","127,965","130,609","133,641","135,883","137,363","139,867","141,450","141,691"
.65 years and over,"59,995","60,064","59,774","59,647","59,628","59,655","59,341","59,470","59,567","60,807","61,774","62,442","62,520"
.,,,,,,,,,,,,,
.16 years and over,"390,290","391,079","394,964","399,820","403,194","406,800","406,150","406,863","406,357","407,061","407,929","408,324","408,624"
.18 years and over,"376,405","377,180","380,685","385,275","388,512","391,959","391,129","391,243","390,705","391,856","393,129","393,724","394,105"
.15 to 44 years,"225,664","225,611","225,790","226,948","226,368","226,806","224,167","221,465","218,352","216,153","213,417","211,388","211,371"
.,,,,,,,,,,,,,
.Median age (years),35.4,35.4,35.7,35.9,36.0,36.2,36.5,36.8,37.0,37.3,37.6,37.8,37.8
FEMALE,"544,656","545,774","548,974","553,090","555,590","556,375","552,832","550,134","546,859","545,412","544,764","544,167","544,243"
.Under 5 years,"31,294","31,311","31,027","30,971","31,010","30,793","30,047","29,506","29,205","28,920","28,211","28,052","28,019"
.5 to 9 years,"34,995","34,858","34,167","33,578","32,919","32,211","31,307","30,533","29,864","29,658","29,439","29,389","29,406"
.10 to 14 years,"34,603","34,765","35,637","36,174","36,218","35,937","34,938","33,806","33,011","32,183","31,577","31,151","31,141"
.15 to 19 years,"37,246","37,309","37,451","38,242","38,730","39,689","40,207","40,974","40,783","40,684","40,776","39,889","39,729"
.20 to 24 years,"36,219","36,605","38,157","38,946","39,085","38,801","39,117","39,076","39,582","39,604","40,412","40,938","41,051"
.25 to 29 years,"32,937","32,764","31,635","31,625","32,723","33,731","33,756","34,175","33,566","33,410","32,529","32,673","32,685"
.30 to 34 years,"38,771","38,764","38,367","37,883","36,675","35,154","33,189","31,147","30,295","30,632","31,101","31,107","31,294"
.35 to 39 years,"43,550","43,397","42,703","41,850","41,027","39,985","38,991","38,171","37,011","35,313","33,831","32,545","32,309"
.40 to 44 years,"43,493","43,615","44,147","44,297","44,245","43,731","42,935","41,567","40,245","38,994","38,021","37,495","37,464"
