table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Delaware: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.75 to 79 years,"21,243","21,359","21,470","21,777","22,029","22,160","22,435","23,206","23,510","23,800","23,620","23,885","23,809"
.80 to 84 years,"13,514","13,661","14,285","14,826","15,154","15,744","16,115","16,536","16,764","17,146","17,176","17,195","17,170"
.85 years and over,"10,549","10,624","10,865","11,329","11,781","12,228","12,854","13,306","13,984","14,596","15,195","15,744","15,843"
.,,,,,,,,,,,,,
.Under 18 years,"194,577","194,914","196,038","196,946","198,045","199,631","201,988","203,729","205,155","206,116","206,213","205,765","205,937"
.Under 5 years,"51,525","51,542","51,699","52,372","53,020","53,893","54,816","55,214","55,997","56,387","56,359","55,886","55,958"
.5 to 13 years,"100,126","100,258","100,636","100,178","99,845","99,264","99,070","99,474","99,694","100,576","101,432","101,893","102,155"
.14 to 17 years,"42,926","43,114","43,703","44,396","45,180","46,474","48,102","49,041","49,464","49,153","48,422","47,986","47,824"
.18 to 64 years,"487,268","489,290","496,225","504,161","512,904","521,765","531,083","539,711","547,389","554,042","558,766","562,892","564,246"
.18 to 24 years,"75,331","75,953","78,530","80,679","82,204","82,812","83,750","84,759","86,897","88,587","89,792","90,905","91,092"
.25 to 44 years,"236,433","236,255","233,890","232,409","231,993","232,563","232,763","232,516","231,339","230,357","228,638","227,504","228,043"
.45 to 64 years,"175,504","177,082","183,805","191,073","198,707","206,390","214,570","222,436","229,153","235,098","240,336","244,483","245,111"
.65 years and over,"101,714","102,169","103,436","105,062","107,054","109,407","112,079","115,828","119,205","123,716","126,751","129,277","129,586"
.,,,,,,,,,,,,,
.16 years and over,"610,236","612,769","621,470","631,421","642,241","653,783","666,701","680,211","691,870","702,965","710,529","716,853","718,404"
.18 years and over,"588,982","591,459","599,661","609,223","619,958","631,172","643,162","655,539","666,594","677,758","685,517","692,169","693,832"
.15 to 44 years,"343,733","344,375","345,284","346,263","347,874","349,770","352,502","354,423","355,820","356,518","355,429","354,954","355,585"
.,,,,,,,,,,,,,
.Median age (years),36.0,36.1,36.4,36.7,37.0,37.3,37.5,37.8,38.0,38.3,38.6,38.8,38.8
MALE,"380,525","381,926","386,350","391,517","397,201","403,483","409,923","416,502","422,351","428,393","431,935","434,939","435,972"
.Under 5 years,"26,275","26,280","26,420","26,822","27,182","27,638","28,016","28,108","28,351","28,503","28,591","28,415","28,453"
.5 to 9 years,"28,709","28,597","27,932","27,306","26,841","26,723","26,810","27,230","27,705","28,235","28,644","28,777","28,841"
.10 to 14 years,"28,303","28,470","29,240","29,749","30,105","30,216","30,125","29,728","29,216","29,127","28,945","28,953","28,989"
.15 to 19 years,"27,947","28,127","28,646","29,137","29,550","30,124","30,919","31,744","32,489","32,949","32,812","32,652","32,543"
.20 to 24 years,"25,618","25,869","26,891","27,694","28,355","28,916","29,275","29,832","30,635","30,809","31,007","31,493","31,666"
.25 to 29 years,"25,439","25,299","24,275","24,287","25,110","26,094","27,225","27,779","28,245","28,370","28,847","28,719","28,889"
.30 to 34 years,"28,433","28,421","28,187","27,679","27,195","26,548","25,647","24,884","24,593","25,310","25,766","26,409","26,668"
.35 to 39 years,"31,754","31,696","31,435","30,842","30,139","29,419","29,218","29,241","28,967","28,692","27,749","27,059","26,942"
.40 to 44 years,"30,928","31,050","31,312","31,635","31,687","31,869","31,818","31,768","31,112","30,402","29,638","29,390","29,420"
.45 to 49 years,"26,498","26,712","27,521","28,848","29,915","30,909","31,590","32,056","32,444","32,534","32,823","32,764","32,660"
.50 to 54 years,"23,777","24,088","25,408","24,946","25,405","26,123","27,061","27,973","29,394","30,453","31,330","31,713","31,759"
.55 to 59 years,"18,765","18,915","19,466","21,276","22,360","23,328","24,580","25,895","25,548","26,008","26,559","27,147","27,277"
.60 to 64 years,"15,220","15,322","15,858","16,687","17,669","18,679","19,479","20,274","22,002","23,182","23,874","24,916","25,153"
.65 to 69 years,"14,081","14,103","13,977","13,971","14,334","14,908","15,302","16,171","17,137","18,116","19,024","19,446","19,547"
.70 to 74 years,"11,936","11,984","12,239","12,494","12,674","12,645","12,930","13,014","13,047","13,535","13,862","14,139","14,194"
.75 to 79 years,"8,763","8,817","8,955","9,117","9,355","9,603","9,783","10,180","10,443","10,625","10,483","10,656","10,632"
.80 to 84 years,"5,130","5,198","5,482","5,711","5,758","6,032","6,240","6,535","6,648","6,932","7,132","7,177","7,182"
.85 years and over,"2,949","2,978","3,106","3,316","3,567","3,709","3,905","4,090","4,375","4,611","4,849","5,114","5,157"
.,,,,,,,,,,,,,
.Under 18 years,"99,895","100,061","100,610","100,951","101,329","102,155","103,338","104,210","104,649","105,178","105,099","104,835","104,931"
.Under 5 years,"26,275","26,280","26,420","26,822","27,182","27,638","28,016","28,108","28,351","28,503","28,591","28,415","28,453"
.5 to 13 years,"51,392","51,455","51,633","51,363","51,055","50,758","50,629","50,762","50,896","51,381","51,673","51,879","52,015"
.14 to 17 years,"22,228","22,326","22,557","22,766","23,092","23,759","24,693","25,340","25,402","25,294","24,835","24,541","24,463"
.18 to 64 years,"237,771","238,785","241,981","245,957","250,184","254,431","258,425","262,302","266,052","269,396","271,486","273,572","274,329"
.18 to 24 years,"36,957","37,282","38,519","39,757","40,704","41,462","41,807","42,432","43,747","44,445","44,900","45,455","45,561"
.25 to 44 years,"116,554","116,466","115,209","114,443","114,131","113,930","113,908","113,672","112,917","112,774","112,000","111,577","111,919"
.45 to 64 years,"84,260","85,037","88,253","91,757","95,349","99,039","102,710","106,198","109,388","112,177","114,586","116,540","116,849"
.65 years and over,"42,859","43,080","43,759","44,609","45,688","46,897","48,160","49,990","51,650","53,819","55,350","56,532","56,712"
.,,,,,,,,,,,,,
.16 years and over,"291,653","292,922","297,088","302,045","307,266","312,884","318,629","324,950","330,709","336,296","339,635","342,696","343,585"
.18 years and over,"280,630","281,865","285,740","290,566","295,872","301,328","306,585","312,292","317,702","323,215","326,836","330,104","331,041"
.15 to 44 years,"170,119","170,462","170,746","171,274","172,036","172,970","174,102","175,248","176,041","176,532","175,819","175,722","176,128"
.,,,,,,,,,,,,,
.Median age (years),34.9,35.0,35.3,35.5,35.8,36.0,36.2,36.5,36.7,37.0,37.2,37.4,37.3
FEMALE,"403,034","404,447","409,349","414,652","420,802","427,320","435,227","442,766","449,398","455,481","459,795","462,995","463,797"
.Under 5 years,"25,250","25,262","25,279","25,550","25,838","26,255","26,800","27,106","27,646","27,884","27,768","27,471","27,505"
.5 to 9 years,"27,099","26,994","26,643","26,126","25,726","25,586","25,645","25,848","26,445","26,894","27,340","27,709","27,774"
.10 to 14 years,"26,972","27,144","27,660","28,218","28,676","28,818","28,603","28,561","28,208","27,899","27,926","27,895","27,925"
.15 to 19 years,"27,686","27,775","27,974","28,404","28,962","29,555","30,564","31,131","31,719","32,277","32,283","31,931","31,810"
.20 to 24 years,"26,049","26,349","27,883","28,619","29,014","28,612","28,981","29,200","29,638","30,126","30,689","31,374","31,523"
.25 to 29 years,"25,783","25,643","24,663","24,617","25,561","27,210","28,209","29,359","29,625","29,408","28,823","28,884","28,960"
.30 to 34 years,"29,187","29,178","28,880","28,408","27,632","27,120","26,507","25,851","25,760","26,292","27,255","27,405","27,636"
.35 to 39 years,"32,892","32,823","32,273","31,772","31,242","30,549","30,361","30,238","29,927","29,364","28,938","28,270","28,137"
.40 to 44 years,"32,017","32,145","32,865","33,169","33,427","33,754","33,778","33,396","33,110","32,519","31,622","31,368","31,391"
.45 to 49 years,"28,278","28,489","29,414","30,381","31,394","32,319","33,145","33,979","34,385","34,571","34,895","34,792","34,667"
.50 to 54 years,"25,441","25,764","27,220","27,318","27,827","28,470","29,647","30,704","31,703","32,763","33,634","34,285","34,338"
.55 to 59 years,"20,546","20,714","21,295","23,112","24,472","25,739","27,114","28,784","29,034","29,452","29,981","30,669","30,806"
.60 to 64 years,"16,979","17,078","17,623","18,505","19,665","20,823","21,954","22,771","24,643","26,135","27,240","28,197","28,451"
.65 to 69 years,"15,868","15,886","15,934","15,962","16,273","16,838","17,329","18,266","19,409","20,680","21,681","22,363","22,469"
.70 to 74 years,"14,523","14,552","14,666","14,703","14,809","14,884","15,114","15,329","15,354","15,843","16,193","16,505","16,554"
.75 to 79 years,"12,480","12,542","12,515","12,660","12,674","12,557","12,652","13,026","13,067","13,175","13,137","13,229","13,177"
.80 to 84 years,"8,384","8,463","8,803","9,115","9,396","9,712","9,875","10,001","10,116","10,214","10,044","10,018","9,988"
.85 years and over,"7,600","7,646","7,759","8,013","8,214","8,519","8,949","9,216","9,609","9,985","10,346","10,630","10,686"
.,,,,,,,,,,,,,
.Under 18 years,"94,682","94,853","95,428","95,995","96,716","97,476","98,650","99,519","100,506","100,938","101,114","100,930","101,006"
.Under 5 years,"25,250","25,262","25,279","25,550","25,838","26,255","26,800","27,106","27,646","27,884","27,768","27,471","27,505"
.5 to 13 years,"48,734","48,803","49,003","48,815","48,790","48,506","48,441","48,712","48,798","49,195","49,759","50,014","50,140"
.14 to 17 years,"20,698","20,788","21,146","21,630","22,088","22,715","23,409","23,701","24,062","23,859","23,587","23,445","23,361"
.18 to 64 years,"249,497","250,505","254,244","258,204","262,720","267,334","272,658","277,409","281,337","284,646","287,280","289,320","289,917"
.18 to 24 years,"38,374","38,671","40,011","40,922","41,500","41,350","41,943","42,327","43,150","44,142","44,892","45,450","45,531"
.25 to 44 years,"119,879","119,789","118,681","117,966","117,862","118,633","118,855","118,844","118,422","117,583","116,638","115,927","116,124"
.45 to 64 years,"91,244","92,045","95,552","99,316","103,358","107,351","111,860","116,238","119,765","122,921","125,750","127,943","128,262"
.65 years and over,"58,855","59,089","59,677","60,453","61,366","62,510","63,919","65,838","67,555","69,897","71,401","72,745","72,874"
.,,,,,,,,,,,,,
.16 years and over,"318,583","319,847","324,382","329,376","334,975","340,899","348,072","355,261","361,161","366,669","370,894","374,157","374,819"
.18 years and over,"308,352","309,594","313,921","318,657","324,086","329,844","336,577","343,247","348,892","354,543","358,681","362,065","362,791"
.15 to 44 years,"173,614","173,913","174,538","174,989","175,838","176,800","178,400","179,175","179,779","179,986","179,610","179,232","179,457"
.,,,,,,,,,,,,,
.Median age (years),37.1,37.1,37.5,37.8,38.1,38.4,38.7,39.0,39.3,39.6,39.8,40.1,40.1
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Delaware: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-10)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
