Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1913",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"97,225,000 ","49,957,000 ","47,268,000 ","86,705,000 ","44,663,000 ","42,042,000 ","10,520,000 ","5,294,000 ","5,226,000 "
,,,,,,,,,
0,"2,279,000 ","1,160,000 ","1,119,000 ","2,027,000 ","1,033,000 ","994,000 ","252,000 ","127,000 ","125,000 "
1,"2,249,000 ","1,141,000 ","1,108,000 ","1,993,000 ","1,013,000 ","980,000 ","256,000 ","128,000 ","128,000 "
2,"2,217,000 ","1,122,000 ","1,095,000 ","1,958,000 ","993,000 ","965,000 ","259,000 ","129,000 ","130,000 "
3,"2,185,000 ","1,103,000 ","1,082,000 ","1,924,000 ","974,000 ","950,000 ","261,000 ","129,000 ","132,000 "
4,"2,152,000 ","1,086,000 ","1,066,000 ","1,890,000 ","956,000 ","934,000 ","262,000 ","130,000 ","132,000 "
5,"2,120,000 ","1,069,000 ","1,051,000 ","1,857,000 ","939,000 ","918,000 ","263,000 ","130,000 ","133,000 "
6,"2,088,000 ","1,053,000 ","1,035,000 ","1,826,000 ","923,000 ","903,000 ","262,000 ","130,000 ","132,000 "
7,"2,055,000 ","1,036,000 ","1,019,000 ","1,795,000 ","907,000 ","888,000 ","260,000 ","129,000 ","131,000 "
8,"2,026,000 ","1,022,000 ","1,004,000 ","1,767,000 ","893,000 ","874,000 ","259,000 ","129,000 ","130,000 "
9,"1,996,000 ","1,008,000 ","988,000 ","1,740,000 ","880,000 ","860,000 ","256,000 ","128,000 ","128,000 "
10,"1,968,000 ","995,000 ","973,000 ","1,715,000 ","868,000 ","847,000 ","253,000 ","127,000 ","126,000 "
11,"1,943,000 ","984,000 ","959,000 ","1,693,000 ","858,000 ","835,000 ","250,000 ","126,000 ","124,000 "
