table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Arkansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.55 to 59 years,"66,983","67,473","68,590","73,393","76,126","79,355","82,717","86,321","86,099","86,832","87,934","88,935","89,455"
.60 to 64 years,"55,875","56,172","57,402","59,399","61,830","64,279","65,920","67,513","72,412","75,229","77,926","80,356","81,156"
.65 to 69 years,"48,738","48,662","49,370","49,852","51,121","51,847","53,243","55,119","57,084","59,631","61,858","62,929","63,330"
.70 to 74 years,"41,164","41,200","41,086","40,901","41,159","41,747","42,480","43,642","44,321","45,632","46,377","47,209","47,452"
.75 to 79 years,"31,464","31,567","31,544","32,115","32,093","32,161","32,346","32,726","32,846","33,044","33,460","33,929","33,905"
.80 to 84 years,"19,496","19,678","19,861","20,074","20,452","20,704","21,087","21,373","21,884","22,008","22,365","22,391","22,443"
.85 years and over,"13,561","13,644","13,557","13,534","13,653","13,863","14,299","14,836","15,105","15,617","16,054","16,534","16,686"
.,,,,,,,,,,,,,
.Under 18 years,"349,262","349,271","348,764","348,037","348,213","350,149","353,520","357,447","360,052","361,265","362,301","363,937","363,912"
.Under 5 years,"92,647","92,538","93,199","93,440","94,363","95,789","97,390","98,603","99,921","100,629","101,093","100,950","100,951"
.5 to 13 years,"175,174","175,107","174,650","173,877","173,291","172,955","173,420","175,327","176,768","178,528","180,293","181,874","182,142"
.14 to 17 years,"81,441","81,626","80,915","80,720","80,559","81,405","82,710","83,517","83,363","82,108","80,915","81,113","80,819"
.18 to 64 years,"800,961","803,551","810,544","818,175","826,602","836,167","845,827","858,190","866,000","873,137","879,415","884,708","886,998"
.18 to 24 years,"132,480","133,549","135,869","137,938","139,919","140,026","139,031","138,931","140,115","141,388","142,667","143,759","143,913"
.25 to 44 years,"374,383","373,622","370,795","368,111","366,852","367,936","370,006","373,245","372,699","372,439","371,444","371,130","371,950"
.45 to 64 years,"294,098","296,380","303,880","312,126","319,831","328,205","336,790","346,014","353,186","359,310","365,304","369,819","371,135"
.65 years and over,"154,423","154,751","155,418","156,476","158,478","160,322","163,455","167,696","171,240","175,932","180,114","182,992","183,816"
.,,,,,,,,,,,,,
.16 years and over,"996,621","999,574","1,007,205","1,015,722","1,025,473","1,037,044","1,050,553","1,067,960","1,079,965","1,091,560","1,101,062","1,108,864","1,111,789"
.18 years and over,"955,384","958,302","965,962","974,651","985,080","996,489","1,009,282","1,025,886","1,037,240","1,049,069","1,059,529","1,067,700","1,070,814"
.15 to 44 years,"568,248","568,810","568,046","566,732","567,301","568,764","571,090","575,179","576,192","576,372","575,166","576,109","576,914"
.,,,,,,,,,,,,,
.Median age (years),34.6,34.7,34.9,35.0,35.1,35.3,35.4,35.6,35.8,35.9,36.0,36.1,36.1
FEMALE,"1,368,647","1,371,015","1,376,845","1,383,239","1,391,523","1,403,048","1,418,295","1,438,428","1,451,358","1,464,220","1,475,013","1,484,281","1,486,880"
.Under 5 years,"88,933","88,848","88,827","89,270","89,724","90,821","92,367","94,106","95,020","96,524","96,894","96,739","96,757"
.5 to 9 years,"91,278","90,790","90,155","89,683","89,476","89,937","91,224","92,122","93,277","93,839","95,032","96,006","96,100"
.10 to 14 years,"93,631","94,030","94,665","94,872","95,384","95,364","94,616","94,925","95,020","95,380","95,861","96,663","96,717"
.15 to 19 years,"96,654","96,902","94,804","94,010","94,148","94,768","96,279","97,758","98,544","99,407","99,470","99,627","99,172"
.20 to 24 years,"89,836","90,737","94,653","97,191","97,837","97,880","97,189","96,435","96,034","96,757","97,614","98,849","99,246"
.25 to 29 years,"87,635","86,956","85,142","84,625","86,011","88,688","92,360","96,388","98,159","97,839","97,357","95,998","96,222"
.30 to 34 years,"87,925","87,776","88,140","88,441","88,242","87,877","87,213","86,295","85,904","87,138","89,380","91,462","92,202"
.35 to 39 years,"101,055","100,651","98,222","95,522","92,574","90,303","89,850","91,533","92,510","93,015","92,855","92,130","91,594"
.40 to 44 years,"99,945","100,196","101,016","100,451","101,284","102,069","101,584","100,043","97,890","94,923","92,247","91,380","91,398"
.45 to 49 years,"92,819","93,397","95,423","97,704","98,983","99,586","100,885","102,447","102,449","103,551","104,463","104,162","103,823"
.50 to 54 years,"85,447","86,356","89,921","88,996","89,968","91,923","94,074","96,662","99,562","100,962","101,582","102,576","102,878"
.55 to 59 years,"72,395","72,853","73,622","78,266","80,649","83,792","87,216","91,263","90,954","91,995","93,634","95,025","95,566"
.60 to 64 years,"61,506","61,770","63,114","65,413","67,990","70,232","72,218","73,596","78,458","81,256","84,155","86,675","87,545"
.65 to 69 years,"56,440","56,281","56,605","56,724","57,535","58,643","59,522","61,563","63,944","66,771","69,104","70,438","70,846"
.70 to 74 years,"51,993","51,871","51,187","50,785","50,626","50,518","51,008","51,801","51,932","52,618","53,475","54,026","54,247"
.75 to 79 years,"45,048","45,127","44,755","44,515","44,452","44,022","43,807","43,472","43,387","43,630","43,378","43,812","43,718"
.80 to 84 years,"33,175","33,385","33,684","34,039","34,021","34,074","34,054","34,450","34,209","34,180","33,938","33,845","33,796"
.85 years and over,"32,932","33,089","32,910","32,732","32,619","32,551","32,829","33,569","34,105","34,435","34,574","34,868","35,053"
.,,,,,,,,,,,,,
.Under 18 years,"331,076","331,107","330,842","330,761","331,366","333,017","336,267","340,395","342,685","344,460","345,585","347,538","347,505"
.Under 5 years,"88,933","88,848","88,827","89,270","89,724","90,821","92,367","94,106","95,020","96,524","96,894","96,739","96,757"
.5 to 13 years,"166,126","166,072","166,067","165,954","165,980","165,693","166,310","167,946","169,182","170,598","172,265","173,632","173,880"
.14 to 17 years,"76,017","76,187","75,948","75,537","75,662","76,503","77,590","78,343","78,483","77,338","76,426","77,167","76,868"
.18 to 64 years,"817,983","820,155","826,862","833,683","840,904","850,223","860,808","873,178","881,096","888,126","894,959","899,754","901,715"
.18 to 24 years,"129,256","130,200","132,262","134,265","135,203","135,753","135,408","134,951","135,210","137,447","139,286","140,346","140,487"
.25 to 44 years,"376,560","375,579","372,520","369,039","368,111","368,937","371,007","374,259","374,463","372,915","371,839","370,970","371,416"
.45 to 64 years,"312,167","314,376","322,080","330,379","337,590","345,533","354,393","363,968","371,423","377,764","383,834","388,438","389,812"
.65 years and over,"219,588","219,753","219,141","218,795","219,253","219,808","221,220","224,855","227,577","231,634","234,469","236,989","237,660"
.,,,,,,,,,,,,,
.16 years and over,"1,075,920","1,078,269","1,084,275","1,090,657","1,098,254","1,107,961","1,120,300","1,137,576","1,148,807","1,159,308","1,168,512","1,175,880","1,178,299"
.18 years and over,"1,037,571","1,039,908","1,046,003","1,052,478","1,060,157","1,070,031","1,082,028","1,098,033","1,108,673","1,119,760","1,129,428","1,136,743","1,139,375"
.15 to 44 years,"563,050","563,218","561,977","560,240","560,096","561,585","564,475","568,452","569,041","569,079","568,923","569,446","569,834"
.,,,,,,,,,,,,,
.Median age (years),37.4,37.5,37.7,37.9,38.1,38.2,38.2,38.3,38.4,38.5,38.6,38.7,38.7
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Arkansas: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-05)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
