table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Mississippi: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.16 years and over,"2,160,239","2,164,676","2,173,854","2,184,199","2,195,607","2,214,315","2,232,187","2,238,447","2,257,973","2,276,410","2,289,622","2,299,852","2,303,118"
.18 years and over,"2,069,543","2,074,000","2,084,576","2,095,533","2,108,865","2,128,600","2,145,073","2,147,988","2,167,179","2,187,234","2,200,235","2,211,742","2,215,650"
.15 to 44 years,"1,253,346","1,253,536","1,244,322","1,234,157","1,225,686","1,224,133","1,220,739","1,208,119","1,207,984","1,206,723","1,201,346","1,197,713","1,197,759"
.,,,,,,,,,,,,,
.Median age (years),33.8,33.9,34.1,34.4,34.6,34.8,35.1,35.4,35.5,35.7,35.9,36.0,36.0
MALE,"1,373,601","1,375,800","1,379,508","1,383,269","1,388,701","1,398,895","1,407,981","1,408,665","1,421,279","1,430,851","1,436,774","1,441,240","1,442,847"
.Under 5 years,"104,525","104,181","104,558","104,363","104,394","105,284","105,716","104,354","106,973","108,631","108,433","107,465","107,480"
.5 to 9 years,"110,516","109,719","107,266","105,165","103,259","102,983","102,820","103,200","103,799","103,987","104,678","105,042","104,958"
.10 to 14 years,"111,599","112,016","112,228","112,506","113,624","113,301","111,665","110,019","108,827","107,200","106,595","106,606","106,428"
.15 to 19 years,"118,729","118,970","116,711","114,741","113,019","113,232","113,696","114,092","115,395","116,360","115,402","114,145","113,472"
.20 to 24 years,"106,800","107,712","110,990","112,727","114,061","113,564","112,143","109,262","107,334","105,482","105,340","105,433","105,865"
.25 to 29 years,"94,047","93,275","90,389","88,708","88,014","89,902","92,291","94,849","97,590","99,863","99,466","98,610","99,033"
.30 to 34 years,"92,368","92,344","92,602","93,173","93,035","92,384","91,081","88,183","87,818","88,459","90,554","92,461","93,199"
.35 to 39 years,"103,072","102,769","100,113","97,112","94,654","92,542","91,951","91,890","93,250","93,294","92,267","91,364","90,849"
.40 to 44 years,"103,427","103,819","104,286","103,850","102,998","103,132","102,103","99,648","96,921","94,762","92,346","91,664","91,540"
.45 to 49 years,"93,043","93,600","95,843","98,525","101,085","102,216","103,059","103,292","103,066","102,354","102,072","101,271","100,927"
.50 to 54 years,"82,977","83,924","87,787","87,415","88,342","90,239","92,723","94,609","97,353","99,837","100,515","100,994","101,258"
.55 to 59 years,"63,300","63,706","65,289","70,906","74,021","77,818","81,996","85,823","85,446","86,236","87,617","89,321","89,724"
.60 to 64 years,"53,305","53,571","54,296","55,542","57,749","59,396","60,916","62,364","67,746","70,808","74,213","77,111","77,836"
.65 to 69 years,"44,171","44,150","44,660","45,481","46,689","48,578","49,826","50,656","51,781","53,755","55,202","56,200","56,472"
.70 to 74 years,"37,359","37,407","37,601","37,245","37,275","37,131","37,909","38,177","38,988","39,969","41,723","42,228","42,395"
.75 to 79 years,"26,614","26,710","27,123","27,853","28,256","28,629","28,874","28,860","28,559","28,620","28,439","28,913","28,859"
.80 to 84 years,"15,969","16,109","16,275","16,707","17,102","17,381","17,650","17,815","18,546","18,967","19,295","19,366","19,398"
.85 years and over,"11,780","11,818","11,491","11,250","11,124","11,183","11,562","11,572","11,887","12,267","12,617","13,046","13,154"
.,,,,,,,,,,,,,
.Under 18 years,"395,638","395,161","392,067","389,177","387,273","387,742","388,023","386,398","388,811","388,367","387,150","385,763","385,160"
.Under 5 years,"104,525","104,181","104,558","104,363","104,394","105,284","105,716","104,354","106,973","108,631","108,433","107,465","107,480"
.5 to 13 years,"199,505","199,211","197,608","195,923","194,592","192,892","191,810","190,672","189,762","189,560","189,786","190,377","190,319"
.14 to 17 years,"91,608","91,769","89,901","88,891","88,287","89,566","90,497","91,372","92,076","90,176","88,931","87,921","87,361"
.18 to 64 years,"842,070","844,445","850,291","855,556","860,982","868,251","874,137","875,187","882,707","888,906","892,348","895,724","897,409"
.18 to 24 years,"156,531","157,437","159,686","160,325","161,084","160,622","158,017","154,529","153,517","153,293","153,298","152,928","153,043"
.25 to 44 years,"392,914","392,207","387,390","382,843","378,701","377,960","377,426","374,570","375,579","376,378","374,633","374,099","374,621"
.45 to 64 years,"292,625","294,801","303,215","312,388","321,197","329,669","338,694","346,088","353,611","359,235","364,417","368,697","369,745"
.65 years and over,"135,893","136,194","137,150","138,536","140,446","142,902","145,821","147,080","149,761","153,578","157,276","159,753","160,278"
.,,,,,,,,,,,,,
.16 years and over,"1,024,166","1,026,849","1,033,018","1,039,506","1,045,699","1,054,954","1,064,348","1,068,353","1,079,039","1,088,125","1,095,418","1,100,634","1,102,527"
.18 years and over,"977,963","980,639","987,441","994,092","1,001,428","1,011,153","1,019,958","1,022,267","1,032,468","1,042,484","1,049,624","1,055,477","1,057,687"
.15 to 44 years,"618,443","618,889","615,091","610,311","605,781","604,756","603,265","597,924","598,308","598,220","595,375","593,677","593,958"
.,,,,,,,,,,,,,
.Median age (years),32.2,32.2,32.5,32.8,33.1,33.4,33.7,33.9,34.0,34.2,34.3,34.5,34.5
FEMALE,"1,471,153","1,472,553","1,473,486","1,475,412","1,479,611","1,490,115","1,497,962","1,496,313","1,507,071","1,516,955","1,522,000","1,526,057","1,527,189"
.Under 5 years,"99,846","99,576","99,889","100,128","100,207","101,335","101,617","100,314","102,545","104,440","104,054","103,491","103,503"
.5 to 9 years,"106,418","105,636","103,644","101,302","99,590","98,896","98,572","98,232","99,428","99,457","100,530","100,630","100,547"
.10 to 14 years,"107,141","107,593","107,642","108,252","108,942","108,623","107,107","105,894","103,981","102,633","101,817","101,642","101,520"
.15 to 19 years,"114,466","114,558","111,872","109,580","108,329","108,876","109,922","110,113","111,494","112,452","111,688","110,474","109,805"
.20 to 24 years,"106,159","106,886","109,861","111,640","112,443","112,881","110,951","107,586","105,679","104,927","104,760","105,461","105,890"
.25 to 29 years,"98,486","97,714","94,289","92,490","92,016","93,570","96,111","98,011","100,532","101,507","101,821","100,472","100,567"
.30 to 34 years,"96,913","96,769","97,182","97,794","98,073","97,394","95,973","92,762","91,997","92,136","93,728","95,710","96,410"
.35 to 39 years,"109,243","108,808","105,719","102,454","99,239","97,155","96,266","96,681","97,854","98,340","97,127","96,004","95,345"
.40 to 44 years,"109,636","109,912","110,308","109,888","109,805","109,501","108,251","105,042","102,120","99,141","96,847","95,915","95,784"
.45 to 49 years,"99,076","99,606","101,767","104,270","106,247","107,750","108,742","109,140","108,849","108,924","108,143","107,098","106,703"
.50 to 54 years,"86,898","87,816","92,075","92,197","93,573","96,407","99,082","101,112","103,778","105,828","106,975","107,613","107,898"
.55 to 59 years,"68,912","69,309","70,683","75,857","79,168","82,724","87,049","91,314","91,477","93,037","95,438","97,248","97,696"
.60 to 64 years,"60,317","60,546","61,143","62,696","64,498","66,585","67,941","68,995","74,142","77,395","80,380","83,645","84,427"
.65 to 69 years,"54,005","53,905","54,240","54,424","55,350","56,655","57,701","58,425","60,041","61,734","63,484","64,323","64,618"
.70 to 74 years,"50,180","50,100","50,085","49,352","49,018","48,420","48,792","48,964","49,188","50,233","51,151","51,718","51,865"
.75 to 79 years,"41,947","42,048","41,788","42,121","42,204","41,998","42,201","42,147","41,526","41,514","40,854","40,963","40,861"
.80 to 84 years,"30,397","30,570","30,868","31,135","31,502","31,976","31,766","31,432","31,936","32,474","32,141","32,337","32,269"
.85 years and over,"31,113","31,201","30,431","29,832","29,407","29,369","29,918","30,149","30,504","30,783","31,062","31,313","31,481"
.,,,,,,,,,,,,,
.Under 18 years,"379,573","379,192","376,351","373,971","372,174","372,668","372,847","370,592","372,360","372,205","371,389","369,792","369,226"
.Under 5 years,"99,846","99,576","99,889","100,128","100,207","101,335","101,617","100,314","102,545","104,440","104,054","103,491","103,503"
.5 to 13 years,"192,083","191,812","190,338","188,766","187,031","185,144","184,270","182,602","181,954","181,380","182,116","181,988","181,942"
.14 to 17 years,"87,644","87,804","86,124","85,077","84,936","86,189","86,960","87,676","87,861","86,385","85,219","84,313","83,781"
.18 to 64 years,"883,938","885,537","889,723","894,577","899,956","909,029","914,737","914,604","921,516","928,012","931,919","935,611","936,869"
.18 to 24 years,"154,457","155,057","156,557","156,931","157,337","157,943","155,322","151,547","150,767","151,704","151,460","151,906","152,039"
.25 to 44 years,"414,278","413,203","407,498","402,626","399,133","397,620","396,601","392,496","392,503","391,124","389,523","388,101","388,106"
.45 to 64 years,"315,203","317,277","325,668","335,020","343,486","353,466","362,814","370,561","378,246","385,184","390,936","395,604","396,724"
.65 years and over,"207,642","207,824","207,412","206,864","207,481","208,418","210,378","211,117","213,195","216,738","218,692","220,654","221,094"
.,,,,,,,,,,,,,
.16 years and over,"1,136,073","1,137,827","1,140,836","1,144,693","1,149,908","1,159,361","1,167,839","1,170,094","1,178,934","1,188,285","1,194,204","1,199,218","1,200,591"
.18 years and over,"1,091,580","1,093,361","1,097,135","1,101,441","1,107,437","1,117,447","1,125,115","1,125,721","1,134,711","1,144,750","1,150,611","1,156,265","1,157,963"
.15 to 44 years,"634,903","634,647","629,231","623,846","619,905","619,377","617,474","610,195","609,676","608,503","605,971","604,036","603,801"
.,,,,,,,,,,,,,
.Median age (years),35.3,35.4,35.6,35.9,36.1,36.2,36.5,36.8,36.9,37.1,37.3,37.5,37.5
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Mississippi: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-28)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
