table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for South Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,012,023","4,024,223","4,064,995","4,107,795","4,150,297","4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872","4,625,364","4,636,312"
.Under 5 years,"264,684","264,500","268,388","272,167","274,275","277,529","279,623","283,666","291,718","299,731","302,351","302,297","302,621"
.5 to 9 years,"285,259","283,789","277,807","273,081","270,513","270,258","273,450","279,705","285,880","290,385","294,559","295,853","296,145"
.10 to 14 years,"290,475","292,066","298,166","302,007","304,439","302,629","298,023","295,459","293,680","293,622","295,405","297,286","297,313"
.15 to 19 years,"295,372","297,302","296,211","297,916","300,721","307,970","315,965","323,385","329,135","333,269","333,129","328,989","327,552"
.20 to 24 years,"281,716","284,165","293,673","298,332","300,212","305,918","306,537","308,596","314,912","319,659","326,539","332,494","334,045"
.25 to 29 years,"276,862","275,154","266,421","265,169","266,535","272,755","280,169","291,713","296,489","302,815","304,740","304,378","305,512"
.30 to 34 years,"283,982","283,782","284,915","286,700","285,760","283,538","278,267","273,229","274,024","277,774","282,140","287,678","290,086"
.35 to 39 years,"314,577","313,802","309,101","302,256","296,858","291,570","291,357","296,162","301,338","304,406","301,847","296,682","295,109"
.40 to 44 years,"310,565","311,718","315,350","315,953","316,197","320,333","319,740","318,451","315,060","311,670","306,381","304,610","304,625"
.45 to 49 years,"287,780","289,774","295,222","302,211","307,785","312,017","316,618","322,637","326,083","329,178","333,638","332,766","331,926"
.50 to 54 years,"262,525","265,697","278,124","277,467","281,250","287,452","294,244","302,012","311,258","318,795","323,319","326,662","327,832"
.55 to 59 years,"206,764","208,217","215,003","233,550","245,203","257,518","271,500","286,075","288,801","293,738","299,390","303,240","305,282"
.60 to 64 years,"166,153","167,050","172,679","180,509","191,765","201,901","211,500","221,587","242,138","256,976","269,502","280,555","283,742"
.65 to 69 years,"145,593","145,859","148,978","151,366","154,656","159,246","164,578","174,260","184,227","197,044","208,367","215,561","216,911"
.70 to 74 years,"124,441","124,741","124,623","125,440","126,518","128,394","132,561","138,107","141,409","145,779","150,357","153,482","154,248"
.75 to 79 years,"101,437","101,973","102,426","102,356","103,270","103,081","103,812","105,668","107,322","109,312","110,805","113,248","113,193"
.80 to 84 years,"63,567","64,122","66,497","69,104","71,034","73,654","74,893","76,579","76,945","78,248","78,469","78,866","78,929"
.85 years and over,"50,271","50,512","51,411","52,211","53,306","55,158","57,313","60,556","63,691","66,595","68,934","70,717","71,241"
.,,,,,,,,,,,,,
.Under 18 years,"1,009,654","1,010,641","1,016,134","1,020,531","1,023,785","1,029,111","1,036,941","1,050,042","1,064,190","1,074,116","1,079,729","1,080,474","1,080,429"
.Under 5 years,"264,684","264,500","268,388","272,167","274,275","277,529","279,623","283,666","291,718","299,731","302,351","302,297","302,621"
.5 to 13 years,"518,965","519,191","518,928","517,161","514,488","509,445","509,340","513,914","519,040","524,929","530,904","534,447","535,172"
.14 to 17 years,"226,005","226,950","228,818","231,203","235,022","242,137","247,978","252,462","253,432","249,456","246,474","243,730","242,636"
.18 to 64 years,"2,517,060","2,526,375","2,554,926","2,586,787","2,617,728","2,662,277","2,700,052","2,752,635","2,806,326","2,857,902","2,893,211","2,913,016","2,921,361"
.18 to 24 years,"407,852","411,181","418,111","422,972","426,375","435,193","436,657","440,769","451,135","462,550","472,254","476,445","477,247"
.25 to 44 years,"1,185,986","1,184,456","1,175,787","1,170,078","1,165,350","1,168,196","1,169,533","1,179,555","1,186,911","1,196,665","1,195,108","1,193,348","1,195,332"
.45 to 64 years,"923,222","930,738","961,028","993,737","1,026,003","1,058,888","1,093,862","1,132,311","1,168,280","1,198,687","1,225,849","1,243,223","1,248,782"
.65 years and over,"485,309","487,207","493,935","500,477","508,784","519,533","533,157","555,170","573,594","596,978","616,932","631,874","634,522"
.,,,,,,,,,,,,,
.16 years and over,"3,115,126","3,126,714","3,163,509","3,203,070","3,242,642","3,299,396","3,354,721","3,435,843","3,510,447","3,583,428","3,637,289","3,669,965","3,680,277"
.18 years and over,"3,002,369","3,013,582","3,048,861","3,087,264","3,126,512","3,181,810","3,233,209","3,307,805","3,379,920","3,454,880","3,510,143","3,544,890","3,555,883"
.15 to 44 years,"1,763,074","1,765,923","1,765,671","1,766,326","1,766,283","1,782,084","1,792,035","1,811,536","1,830,958","1,849,593","1,854,776","1,854,831","1,856,929"
.,,,,,,,,,,,,,
.Median age (years),35.4,35.5,35.8,36.0,36.3,36.5,36.7,37.0,37.2,37.5,37.7,37.9,37.9
MALE,"1,948,945","1,955,596","1,975,032","1,996,726","2,016,330","2,048,616","2,077,805","2,120,192","2,163,318","2,203,949","2,232,842","2,250,101","2,255,787"
.Under 5 years,"135,878","135,736","137,712","139,278","139,776","141,341","142,314","144,269","148,424","152,301","153,444","153,432","153,593"
.5 to 9 years,"145,896","145,134","141,634","139,864","138,982","138,990","140,281","143,068","145,907","147,488","149,583","150,301","150,448"
.10 to 14 years,"148,111","148,873","152,292","153,805","155,098","154,208","152,036","150,600","150,377","150,633","151,619","152,166","152,153"
.15 to 19 years,"150,790","152,232","152,099","153,637","154,364","157,923","162,296","166,058","168,653","170,517","170,407","168,250","167,538"
.20 to 24 years,"143,231","144,477","148,172","150,042","150,472","154,844","155,718","157,581","161,091","162,531","165,687","168,546","169,320"
.25 to 29 years,"138,125","137,392","132,862","132,402","132,740","135,689","138,988","144,176","146,362","150,248","151,354","151,620","152,430"
.30 to 34 years,"140,600","140,541","141,306","142,489","141,924","141,177","138,182","135,702","136,281","138,033","140,072","142,881","144,102"
.35 to 39 years,"154,789","154,444","151,852","148,377","145,692","143,573","143,391","146,125","148,782","150,446","148,685","145,905","145,197"
.40 to 44 years,"151,217","151,793","153,925","154,380","154,575","156,542","156,512","155,695","154,161","152,605","150,086","149,319","149,325"
.45 to 49 years,"138,873","139,855","142,287","145,638","148,846","151,230","153,399","156,497","158,503","160,162","162,065","161,848","161,465"
.50 to 54 years,"126,993","128,551","134,458","133,969","135,339","137,837","140,848","144,256","148,666","152,762","155,072","156,907","157,455"
.55 to 59 years,"99,389","100,099","103,305","112,179","117,705","123,624","129,880","136,462","137,394","138,963","141,150","142,682","143,646"
.60 to 64 years,"78,319","78,784","81,711","85,636","91,051","95,941","100,722","105,549","115,155","122,041","127,858","132,762","134,276"
.65 to 69 years,"66,893","67,049","68,496","69,813","71,603","74,133","76,915","81,714","86,770","92,793","98,289","101,727","102,388"
.70 to 74 years,"53,920","54,141","54,669","55,350","56,106","57,273","59,440","62,159","64,022","66,381","68,743","70,340","70,727"
.75 to 79 years,"40,388","40,637","40,930","41,092","41,838","42,246","43,215","44,607","45,525","46,748","47,934","49,294","49,302"
.80 to 84 years,"22,393","22,640","23,727","24,813","25,631","26,793","27,511","28,425","28,725","29,591","30,081","30,710","30,805"
.85 years and over,"13,140","13,218","13,595","13,962","14,588","15,252","16,157","17,249","18,520","19,706","20,713","21,411","21,617"
.,,,,,,,,,,,,,
.Under 18 years,"516,511","516,934","519,464","521,620","522,833","525,653","529,342","535,828","543,379","547,663","550,067","550,638","550,603"
.Under 5 years,"135,878","135,736","137,712","139,278","139,776","141,341","142,314","144,269","148,424","152,301","153,444","153,432","153,593"
.5 to 13 years,"265,114","265,190","264,673","264,251","263,229","260,679","260,338","262,626","265,330","267,983","270,603","272,347","272,712"
.14 to 17 years,"115,519","116,008","117,079","118,091","119,828","123,633","126,690","128,933","129,625","127,379","126,020","124,859","124,298"
.18 to 64 years,"1,235,700","1,240,977","1,254,151","1,270,076","1,283,731","1,307,266","1,325,225","1,350,210","1,376,377","1,401,067","1,417,015","1,425,981","1,430,345"
.18 to 24 years,"207,395","209,518","212,445","215,006","215,859","221,653","223,303","225,748","231,073","235,807","240,673","242,057","242,449"
