table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New York: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"18,977,026","19,001,780","19,082,838","19,137,800","19,175,939","19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066","19,378,102","19,392,283"
.Under 5 years,"1,239,428","1,237,078","1,222,011","1,212,221","1,204,454","1,197,698","1,180,745","1,160,997","1,157,021","1,159,239","1,157,343","1,155,822","1,153,787"
.5 to 9 years,"1,351,862","1,344,149","1,314,915","1,280,742","1,245,951","1,212,272","1,180,763","1,164,565","1,154,883","1,154,965","1,161,715","1,163,955","1,164,475"
.10 to 14 years,"1,332,431","1,337,562","1,359,680","1,373,601","1,374,781","1,358,837","1,326,966","1,297,452","1,265,844","1,240,752","1,222,418","1,211,456","1,210,369"
.15 to 19 years,"1,287,557","1,288,087","1,297,172","1,311,291","1,324,282","1,341,862","1,364,644","1,378,904","1,387,788","1,390,597","1,380,777","1,366,278","1,359,646"
.20 to 24 years,"1,244,323","1,251,399","1,281,069","1,291,779","1,307,078","1,311,375","1,317,098","1,324,873","1,344,141","1,363,442","1,388,775","1,410,935","1,414,260"
.25 to 29 years,"1,304,765","1,298,254","1,266,709","1,265,507","1,278,915","1,294,342","1,309,477","1,326,593","1,335,918","1,357,609","1,373,104","1,380,177","1,381,044"
.30 to 34 years,"1,452,661","1,452,273","1,439,209","1,413,944","1,377,591","1,330,171","1,274,472","1,234,210","1,229,096","1,240,874","1,262,714","1,279,160","1,285,237"
.35 to 39 years,"1,566,133","1,561,224","1,539,037","1,507,528","1,471,595","1,429,534","1,403,066","1,381,743","1,353,206","1,321,322","1,284,954","1,254,124","1,246,795"
.40 to 44 years,"1,508,240","1,511,463","1,530,608","1,532,264","1,531,183","1,529,508","1,505,481","1,475,057","1,439,224","1,404,934","1,369,265","1,355,893","1,354,726"
.45 to 49 years,"1,341,149","1,347,282","1,366,906","1,394,318","1,419,538","1,440,172","1,458,302","1,470,367","1,468,966","1,467,841","1,469,881","1,458,763","1,453,522"
.50 to 54 years,"1,211,838","1,223,534","1,271,156","1,261,054","1,270,747","1,283,911","1,299,978","1,318,003","1,344,831","1,373,374","1,399,663","1,419,928","1,422,584"
.55 to 59 years,"932,026","937,243","961,533","1,031,712","1,063,571","1,107,453","1,156,512","1,199,399","1,187,485","1,201,432","1,219,492","1,237,408","1,242,928"
.60 to 64 years,"756,009","758,770","770,006","789,441","825,258","846,208","860,978","880,240","946,384","976,786","1,024,755","1,066,260","1,075,809"
.65 to 69 years,"657,631","656,417","654,364","655,960","663,799","672,612","677,270","680,803","700,038","734,378","757,209","773,211","777,297"
.70 to 74 years,"618,495","618,172","612,774","604,745","592,823","581,611","573,661","566,146","566,103","572,754","582,195","587,391","589,756"
.75 to 79 years,"514,179","515,490","517,025","519,295","519,376","515,154","510,680","502,443","495,440","485,305","477,347","474,807","474,269"
.80 to 84 years,"346,734","349,578","360,940","370,501","376,737","386,701","389,818","390,279","392,901","394,016","392,114","391,660","392,507"
.85 years and over,"311,565","313,805","317,724","321,897","328,260","332,146","342,699","352,557","363,066","372,816","383,345","390,874","393,272"
.,,,,,,,,,,,,,
.Under 18 years,"4,690,124","4,687,374","4,672,425","4,652,232","4,619,506","4,574,065","4,514,456","4,457,777","4,410,949","4,372,170","4,342,926","4,324,929","4,318,967"
.Under 5 years,"1,239,428","1,237,078","1,222,011","1,212,221","1,204,454","1,197,698","1,180,745","1,160,997","1,157,021","1,159,239","1,157,343","1,155,822","1,153,787"
.5 to 13 years,"2,425,320","2,423,377","2,414,944","2,388,915","2,350,013","2,289,007","2,233,948","2,194,897","2,159,331","2,141,552","2,129,961","2,124,885","2,126,030"
.14 to 17 years,"1,025,376","1,026,919","1,035,470","1,051,096","1,065,039","1,087,360","1,099,763","1,101,883","1,094,597","1,071,379","1,055,622","1,044,222","1,039,150"
.18 to 64 years,"11,838,298","11,860,944","11,947,586","12,013,170","12,075,438","12,109,278","12,124,026","12,154,626","12,203,838","12,280,997","12,371,930","12,435,230","12,446,215"
.18 to 24 years,"1,765,477","1,770,901","1,802,422","1,817,402","1,837,040","1,847,979","1,855,760","1,869,014","1,898,728","1,936,825","1,968,102","1,983,517","1,983,570"
.25 to 44 years,"5,831,799","5,823,214","5,775,563","5,719,243","5,659,284","5,583,555","5,492,496","5,417,603","5,357,444","5,324,739","5,290,037","5,269,354","5,267,802"
.45 to 64 years,"4,241,022","4,266,829","4,369,601","4,476,525","4,579,114","4,677,744","4,775,770","4,868,009","4,947,666","5,019,433","5,113,791","5,182,359","5,194,843"
.65 years and over,"2,448,604","2,453,462","2,462,827","2,472,398","2,480,995","2,488,224","2,494,128","2,492,228","2,517,548","2,559,269","2,592,210","2,617,943","2,627,101"
.,,,,,,,,,,,,,
.16 years and over,"14,797,838","14,825,134","14,926,132","15,009,644","15,083,760","15,130,596","15,160,907","15,206,140","15,285,087","15,392,412","15,507,182","15,588,804","15,605,793"
.18 years and over,"14,286,902","14,314,406","14,410,413","14,485,568","14,556,433","14,597,502","14,618,154","14,646,854","14,721,386","14,840,266","14,964,140","15,053,173","15,073,316"
.15 to 44 years,"8,363,679","8,362,700","8,353,804","8,322,313","8,290,644","8,236,792","8,174,238","8,121,380","8,089,373","8,078,778","8,059,589","8,046,567","8,041,708"
.,,,,,,,,,,,,,
.Median age (years),35.9,35.9,36.2,36.5,36.7,36.9,37.1,37.3,37.6,37.7,37.9,38.0,38.0
MALE,"9,147,053","9,159,719","9,204,125","9,234,873","9,258,129","9,258,040","9,245,143","9,233,230","9,250,825","9,293,595","9,340,446","9,377,147","9,385,652"
.Under 5 years,"634,089","632,808","624,841","620,035","616,385","612,858","603,961","593,715","591,548","592,656","591,967","590,879","589,788"
.5 to 9 years,"691,024","687,035","672,134","654,903","636,216","619,158","603,322","594,996","589,825","589,970","593,123","594,362","594,633"
.10 to 14 years,"682,852","685,391","696,667","703,623","704,571","695,762","678,708","663,110","647,308","633,713","624,524","619,243","618,626"
.15 to 19 years,"661,630","662,667","667,395","673,732","679,604","687,847","699,618","707,054","711,166","712,984","707,376","699,548","696,143"
.20 to 24 years,"623,038","626,623","643,154","650,280","660,134","661,870","666,809","669,663","679,502","688,412","700,761","712,002","713,790"
.25 to 29 years,"640,351","637,067","621,906","622,049","629,323","637,444","645,670","653,645","658,940","669,894","676,207","680,203","681,570"
.30 to 34 years,"715,357","715,113","708,153","694,877","676,214","651,922","623,130","604,307","602,755","610,243","621,516","629,759","632,878"
.35 to 39 years,"770,347","768,114","756,890","740,214","722,321","701,668","688,638","677,576","663,703","647,813","629,686","613,775","610,374"
.40 to 44 years,"738,990","740,542","750,007","751,365","750,463","749,451","737,220","722,418","704,227","687,078","670,107","663,333","662,840"
.45 to 49 years,"649,536","652,532","663,124","676,796","690,230","700,875","710,764","716,036","715,846","714,842","715,470","709,523","707,150"
.50 to 54 years,"577,414","582,929","607,115","603,203","608,812","616,811","626,440","636,160","649,472","664,508","677,362","687,779","689,057"
.55 to 59 years,"436,372","438,910","450,461","484,819","501,120","522,459","547,319","569,265","564,370","571,998","581,962","591,847","594,557"
.60 to 64 years,"349,837","351,327","356,440","365,374","381,912","391,942","399,178","408,401","440,810","456,454","479,631","500,359","504,775"
.65 to 69 years,"296,378","295,982","295,501","296,879","300,846","305,027","307,255","308,793","318,039","333,610","344,469","352,255","354,216"
.70 to 74 years,"264,916","265,148","264,368","261,518","256,905","253,268","250,709","247,957","248,595","252,000","256,350","258,616","259,871"
.75 to 79 years,"204,177","204,840","206,183","208,767","210,293","209,995","209,992","208,144","205,984","202,501","200,328","200,049","200,018"
.80 to 84 years,"123,667","124,876","130,394","134,752","138,105","142,486","144,562","145,697","148,024","149,585","150,008","150,993","151,697"
.85 years and over,"87,078","87,815","89,392","91,687","94,675","97,197","101,848","106,293","110,711","115,334","119,599","122,622","123,669"
.,,,,,,,,,,,,,
.Under 18 years,"2,402,669","2,401,073","2,392,419","2,381,804","2,364,570","2,340,547","2,309,898","2,280,526","2,256,089","2,235,750","2,220,451","2,211,281","2,208,188"
.Under 5 years,"634,089","632,808","624,841","620,035","616,385","612,858","603,961","593,715","591,548","592,656","591,967","590,879","589,788"
.5 to 13 years,"1,240,928","1,239,894","1,236,090","1,222,566","1,202,147","1,170,240","1,141,606","1,121,710","1,102,772","1,093,867","1,087,998","1,085,364","1,085,966"
.14 to 17 years,"527,652","528,371","531,488","539,203","546,038","557,449","564,331","565,101","561,769","549,227","540,486","535,038","532,434"
.18 to 64 years,"5,768,168","5,779,985","5,825,868","5,859,466","5,892,735","5,909,520","5,920,879","5,935,820","5,963,383","6,004,815","6,049,241","6,081,331","6,087,993"
.18 to 24 years,"889,964","893,451","911,772","920,769","932,340","936,948","942,520","948,012","963,260","981,985","997,300","1,004,753","1,004,792"
.25 to 44 years,"2,865,045","2,860,836","2,836,956","2,808,505","2,778,321","2,740,485","2,694,658","2,657,946","2,629,625","2,615,028","2,597,516","2,587,070","2,587,662"
.45 to 64 years,"2,013,159","2,025,698","2,077,140","2,130,192","2,182,074","2,232,087","2,283,701","2,329,862","2,370,498","2,407,802","2,454,425","2,489,508","2,495,539"
.65 years and over,"976,216","978,661","985,838","993,603","1,000,824","1,007,973","1,014,366","1,016,884","1,031,353","1,053,030","1,070,754","1,084,535","1,089,471"
.,,,,,,,,,,,,,
