table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Jersey: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"8,414,764","8,430,621","8,492,671","8,552,643","8,601,402","8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602","8,791,894","8,801,624"
.Under 5 years,"563,808","563,792","561,791","562,778","566,466","569,178","563,833","555,882","551,276","546,507","541,263","541,020","540,428"
.5 to 9 years,"604,549","601,770","596,437","589,990","582,075","574,101","567,678","561,481","558,388","560,357","565,485","564,750","565,183"
.10 to 14 years,"590,590","593,328","608,241","619,466","624,294","622,552","614,396","607,070","599,124","592,753","588,494","587,335","587,180"
.15 to 19 years,"525,242","526,522","536,779","546,520","557,471","571,069","586,192","595,929","602,132","603,910","601,962","598,099","595,406"
.20 to 24 years,"480,105","482,953","489,964","496,074","503,682","507,651","510,334","515,222","518,641","523,909","532,943","541,238","542,855"
.25 to 29 years,"544,937","542,142","527,519","524,707","525,255","527,910","534,300","536,270","540,877","548,528","552,276","553,139","553,667"
.30 to 34 years,"644,136","644,279","637,357","626,959","612,795","595,797","573,894","555,430","547,730","548,197","551,333","556,662","559,382"
.35 to 39 years,"727,943","725,877","717,149","703,757","686,883","667,565","654,761","644,938","631,757","617,501","602,816","588,379","585,345"
.40 to 44 years,"707,222","709,273","721,322","726,523","728,368","728,970","722,087","709,951","693,174","675,290","657,836","649,918","649,749"
.45 to 49 years,"611,392","614,689","630,489","650,456","667,941","682,993","694,889","703,150","705,176","705,963","707,455","704,516","702,289"
.50 to 54 years,"547,578","553,333","573,590","566,513","571,058","582,215","594,806","609,455","628,350","646,177","663,084","674,680","676,270"
.55 to 59 years,"423,387","426,133","438,790","472,550","485,454","502,481","523,117","541,278","533,290","539,846","553,975","565,623","568,417"
.60 to 64 years,"330,673","332,160","338,389","350,476","371,110","382,779","391,034","401,047","432,451","444,247","463,059","480,542","485,141"
.65 to 69 years,"293,228","292,481","289,620","288,661","291,692","295,841","299,404","303,183","313,523","332,516","343,315","350,972","353,097"
.70 to 74 years,"281,489","281,108","278,139","273,720","268,125","261,919","256,353","253,167","251,286","253,763","257,505","260,462","261,721"
.75 to 79 years,"240,145","240,567","239,074","238,930","238,302","235,328","232,728","230,280","226,689","222,177","217,930","215,715","215,717"
.80 to 84 years,"162,339","163,504","169,064","173,081","175,352","179,372","180,278","179,547","180,286","180,582","179,738","179,233","179,112"
.85 years and over,"136,001","136,710","138,957","141,482","145,079","146,840","151,890","158,399","163,735","168,867","175,133","179,611","180,665"
.,,,,,,,,,,,,,
.Under 18 years,"2,087,630","2,088,885","2,102,838","2,116,591","2,126,014","2,129,051","2,121,878","2,106,403","2,091,023","2,076,366","2,068,684","2,065,214","2,063,520"
.Under 5 years,"563,808","563,792","561,791","562,778","566,466","569,178","563,833","555,882","551,276","546,507","541,263","541,020","540,428"
.5 to 13 years,"1,082,116","1,082,282","1,089,902","1,090,229","1,083,050","1,068,786","1,056,859","1,045,666","1,036,229","1,033,089","1,034,173","1,032,744","1,033,763"
.14 to 17 years,"441,706","442,811","451,145","463,584","476,498","491,087","501,186","504,855","503,518","496,770","493,248","491,450","489,329"
.18 to 64 years,"5,213,932","5,227,366","5,274,979","5,320,178","5,356,838","5,386,210","5,409,443","5,430,700","5,451,343","5,476,819","5,513,297","5,540,687","5,547,792"
.18 to 24 years,"676,664","679,480","690,374","698,237","707,974","715,500","720,555","729,181","738,538","751,070","761,463","767,228","767,532"
.25 to 44 years,"2,624,238","2,621,571","2,603,347","2,581,946","2,553,301","2,520,242","2,485,042","2,446,589","2,413,538","2,389,516","2,364,261","2,348,098","2,348,143"
.45 to 64 years,"1,913,030","1,926,315","1,981,258","2,039,995","2,095,563","2,150,468","2,203,846","2,254,930","2,299,267","2,336,233","2,387,573","2,425,361","2,432,117"
.65 years and over,"1,113,202","1,114,370","1,114,854","1,115,874","1,118,550","1,119,300","1,120,653","1,124,576","1,135,519","1,157,905","1,173,621","1,185,993","1,190,312"
.,,,,,,,,,,,,,
.16 years and over,"6,545,824","6,560,571","6,612,258","6,664,560","6,708,129","6,744,188","6,776,895","6,810,387","6,844,357","6,888,006","6,937,818","6,976,489","6,986,560"
.18 years and over,"6,327,134","6,341,736","6,389,833","6,436,052","6,475,388","6,505,510","6,530,096","6,555,276","6,586,862","6,634,724","6,686,918","6,726,680","6,738,104"
.15 to 44 years,"3,629,585","3,631,046","3,630,090","3,624,540","3,614,454","3,598,962","3,581,568","3,557,740","3,534,311","3,517,335","3,499,166","3,487,435","3,486,404"
.,,,,,,,,,,,,,
.Median age (years),36.7,36.8,37.0,37.3,37.5,37.7,37.9,38.1,38.3,38.5,38.8,39.0,39.0
MALE,"4,083,038","4,090,509","4,122,739","4,153,842","4,179,438","4,197,597","4,208,429","4,213,580","4,222,737","4,241,189","4,262,096","4,279,600","4,285,192"
.Under 5 years,"288,098","288,038","287,260","287,542","289,750","290,633","288,175","283,903","281,993","279,252","276,341","276,269","275,938"
.5 to 9 years,"309,572","308,127","305,410","302,146","297,922","294,090","290,366","287,448","285,570","286,772","289,149","288,621","288,844"
.10 to 14 years,"302,712","304,055","311,358","317,116","319,590","318,742","314,863","310,986","306,679","303,325","301,139","300,316","300,207"
.15 to 19 years,"271,035","271,931","277,490","281,970","287,520","294,517","302,449","307,243","310,809","311,834","311,238","309,344","307,953"
.20 to 24 years,"244,640","245,959","250,093","254,386","258,914","261,571","263,232","266,241","267,569","270,734","275,079","279,430","280,301"
.25 to 29 years,"272,884","271,417","264,382","263,556","264,481","265,885","268,964","269,435","272,156","276,022","277,812","277,775","278,418"
.30 to 34 years,"319,040","318,943","315,197","310,316","303,131","294,642","284,437","275,549","271,929","272,457","273,201","275,366","276,731"
.35 to 39 years,"360,238","359,122","354,131","345,985","337,010","327,610","320,943","315,890","309,986","303,556","296,477","289,398","288,010"
.40 to 44 years,"348,084","348,998","355,313","358,177","358,861","358,853","355,333","348,713","339,350","330,080","321,560","317,703","317,675"
.45 to 49 years,"297,864","299,437","307,823","317,914","326,822","333,919","339,997","344,280","345,538","345,942","346,353","344,613","343,644"
.50 to 54 years,"263,379","266,086","275,985","272,869","274,815","281,517","288,211","295,928","305,374","314,557","322,289","328,135","328,924"
.55 to 59 years,"202,584","203,918","209,689","225,967","231,964","239,547","249,271","258,266","254,864","258,174","266,203","272,186","273,572"
.60 to 64 years,"156,090","156,879","159,322","164,855","174,974","180,067","184,352","188,936","204,229","209,679","218,585","227,010","229,154"
.65 to 69 years,"132,577","132,319","131,700","131,653","133,183","135,814","137,640","138,991","143,722","153,000","157,656","161,604","162,630"
.70 to 74 years,"121,649","121,649","120,559","118,820","116,934","114,205","111,820","111,079","110,606","111,972","114,310","115,666","116,315"
.75 to 79 years,"95,567","95,804","95,716","96,255","96,533","96,224","95,986","95,306","94,052","92,814","91,064","90,298","90,428"
.80 to 84 years,"58,292","58,822","61,383","63,423","64,511","66,209","66,867","67,275","67,949","68,695","69,018","69,529","69,635"
.85 years and over,"38,733","39,005","39,928","40,892","42,523","43,552","45,523","48,111","50,362","52,324","54,622","56,337","56,813"
.,,,,,,,,,,,,,
.Under 18 years,"1,069,510","1,070,018","1,076,946","1,083,480","1,088,620","1,089,755","1,086,462","1,078,198","1,070,210","1,062,640","1,058,522","1,056,477","1,055,572"
