table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Michigan: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.45 to 49 years,"363,480","365,295","371,796","378,769","385,935","389,357","390,734","390,747","386,204","379,239","374,346","367,747","365,733"
.50 to 54 years,"311,868","314,902","331,140","331,938","337,073","344,306","351,601","357,972","364,796","371,296","374,192","376,056","376,162"
.55 to 59 years,"237,750","239,291","244,700","262,890","271,587","284,408","299,130","314,482","315,345","320,431","327,565","333,377","334,625"
.60 to 64 years,"180,994","181,847","185,807","194,264","206,292","214,126","220,384","225,447","243,078","251,377","264,077","275,260","277,390"
.65 to 69 years,"151,169","150,929","151,098","151,652","155,139","160,088","162,853","166,869","175,310","186,944","193,978","199,261","200,211"
.70 to 74 years,"139,504","139,650","138,430","135,831","132,836","129,937","129,638","130,282","131,064","134,040","138,745","140,775","141,353"
.75 to 79 years,"106,408","106,801","108,294","109,704","111,222","111,460","111,319","110,856","109,232","106,800","104,442","104,920","104,767"
.80 to 84 years,"63,220","63,832","66,083","68,700","70,584","72,652","74,806","76,604","78,222","80,015","80,469","80,635","80,676"
.85 years and over,"40,754","41,090","42,288","43,512","45,301","46,915","48,726","51,462","54,201","56,522","59,280","61,593","62,041"
.,,,,,,,,,,,,,
.Under 18 years,"1,331,742","1,331,840","1,330,077","1,325,201","1,317,115","1,308,541","1,297,828","1,283,118","1,265,629","1,238,943","1,215,029","1,200,311","1,196,646"
.Under 5 years,"343,823","343,477","342,577","340,216","337,224","334,968","330,971","324,854","320,163","314,079","307,689","304,587","303,691"
.5 to 13 years,"689,795","689,516","686,965","680,932","674,741","661,256","649,434","639,179","627,882","616,612","606,700","601,059","600,163"
.14 to 17 years,"298,124","298,847","300,535","304,053","305,150","312,317","317,423","319,085","317,584","308,252","300,640","294,665","292,792"
.18 to 64 years,"3,040,488","3,046,126","3,065,561","3,080,939","3,098,434","3,107,793","3,111,647","3,110,269","3,096,591","3,077,726","3,065,310","3,060,619","3,060,269"
.18 to 24 years,"470,790","473,491","483,964","490,796","499,571","501,223","499,134","496,464","491,871","492,847","493,643","494,025","493,230"
.25 to 44 years,"1,475,606","1,471,300","1,448,154","1,422,282","1,397,976","1,374,373","1,350,664","1,325,157","1,295,297","1,262,536","1,231,487","1,214,154","1,213,129"
.45 to 64 years,"1,094,092","1,101,335","1,133,443","1,167,861","1,200,887","1,232,197","1,261,849","1,288,648","1,309,423","1,322,343","1,340,180","1,352,440","1,353,910"
.65 years and over,"501,055","502,302","506,193","509,399","515,082","521,052","527,342","536,073","548,029","564,321","576,914","587,184","589,048"
.,,,,,,,,,,,,,
.16 years and over,"3,688,688","3,695,723","3,721,594","3,742,813","3,764,902","3,781,063","3,793,020","3,806,442","3,807,684","3,800,704","3,796,128","3,798,521","3,798,911"
.18 years and over,"3,541,543","3,548,428","3,571,754","3,590,338","3,613,516","3,628,845","3,638,989","3,646,342","3,644,620","3,642,047","3,642,224","3,647,803","3,649,317"
.15 to 44 years,"2,168,856","2,168,236","2,157,675","2,140,773","2,125,665","2,105,190","2,086,888","2,062,278","2,028,914","1,990,052","1,953,017","1,932,200","1,929,132"
.,,,,,,,,,,,,,
.Median age (years),34.3,34.4,34.6,34.8,35.1,35.4,35.7,36.1,36.5,37.0,37.4,37.6,37.6
FEMALE,"5,065,538","5,072,182","5,089,289","5,100,171","5,110,521","5,117,929","5,114,320","5,106,621","5,091,035","5,065,899","5,044,338","5,035,526","5,031,611"
.Under 5 years,"328,197","327,975","326,684","324,016","321,479","319,523","315,581","310,606","305,958","300,790","294,104","291,699","290,910"
.5 to 9 years,"363,054","361,169","353,080","345,087","339,302","334,687","329,796","326,962","323,131","318,029","314,802","311,639","311,034"
.10 to 14 years,"363,719","365,198","371,291","375,285","375,194","373,351","365,027","355,922","346,866","339,679","333,817","329,658","328,901"
.15 to 19 years,"351,129","351,877","352,560","354,231","357,363","360,756","366,583","370,740","373,289","370,741","366,494","360,122","357,609"
.20 to 24 years,"319,239","321,437","331,113","338,274","342,237","342,633","339,954","335,277","330,701","328,209","327,501","330,503","331,036"
.25 to 29 years,"326,865","324,349","309,571","299,133","295,212","295,319","297,919","303,211","304,687","302,088","297,583","294,260","294,088"
.30 to 34 years,"353,000","352,771","354,140","351,522","346,089","336,779","324,266","307,617","295,383","289,323","287,794","289,056","290,617"
.35 to 39 years,"395,634","393,782","383,297","373,178","362,733","352,457","348,197","346,989","341,376","331,898","319,881","309,591","306,816"
.40 to 44 years,"409,521","410,262","410,527","405,338","399,813","395,852","387,144","375,781","364,318","351,372","339,488","335,062","334,157"
.45 to 49 years,"371,448","373,401","380,321","389,350","396,280","400,138","401,583","401,198","395,414","388,489","383,434","376,834","374,557"
.50 to 54 years,"321,195","324,330","341,456","341,769","347,287","354,666","362,800","369,612","378,269","384,613","387,936","389,396","389,552"
.55 to 59 years,"248,173","249,663","254,724","273,678","282,906","296,253","311,852","328,813","329,652","335,886","343,350","349,809","351,086"
.60 to 64 years,"196,206","196,971","200,459","208,546","221,134","229,524","235,694","240,523","258,782","268,082","281,445","293,551","295,865"
.65 to 69 years,"177,742","177,275","176,083","175,634","177,868","181,500","183,118","186,564","194,424","206,273","214,270","219,364","220,297"
.70 to 74 years,"174,605","174,286","172,274","169,340","165,626","162,467","160,505","159,431","159,436","161,147","164,033","165,309","165,813"
.75 to 79 years,"153,777","154,098","153,730","153,206","153,214","151,196","149,451","148,360","146,064","142,878","140,145","139,165","138,693"
.80 to 84 years,"110,323","111,084","113,951","116,727","117,944","120,336","121,546","121,458","121,973","122,275","120,815","120,220","119,834"
.85 years and over,"101,711","102,254","104,028","105,857","108,840","110,492","113,304","117,557","121,312","124,127","127,446","130,288","130,746"
.,,,,,,,,,,,,,
.Under 18 years,"1,264,082","1,264,274","1,263,233","1,259,109","1,251,965","1,244,773","1,234,011","1,220,430","1,204,434","1,179,936","1,157,574","1,143,757","1,140,326"
.Under 5 years,"328,197","327,975","326,684","324,016","321,479","319,523","315,581","310,606","305,958","300,790","294,104","291,699","290,910"
.5 to 13 years,"655,221","654,937","653,068","647,668","642,003","630,192","618,603","608,653","598,775","588,144","580,220","574,405","573,553"
.14 to 17 years,"280,664","281,362","283,481","287,425","288,483","295,058","299,827","301,171","299,701","291,002","283,250","277,653","275,863"
.18 to 64 years,"3,083,298","3,088,911","3,105,990","3,120,298","3,135,064","3,147,165","3,152,385","3,152,821","3,143,392","3,129,263","3,120,055","3,117,423","3,115,902"
.18 to 24 years,"461,256","463,382","471,495","477,784","483,610","486,177","482,930","479,077","475,511","477,512","479,144","479,864","479,164"
.25 to 44 years,"1,485,020","1,481,164","1,457,535","1,429,171","1,403,847","1,380,407","1,357,526","1,333,598","1,305,764","1,274,681","1,244,746","1,227,969","1,225,678"
.45 to 64 years,"1,137,022","1,144,365","1,176,960","1,213,343","1,247,607","1,280,581","1,311,929","1,340,146","1,362,117","1,377,070","1,396,165","1,409,590","1,411,060"
