Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1949",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"149,188,130 ","74,335,435 ","74,852,695 ","133,598,298 ","66,677,722 ","66,920,576 ","15,589,832 ","7,657,713 ","7,932,119 "
,,,,,,,,,
0,"3,169,644 ","1,619,499 ","1,550,145 ","2,766,342 ","1,416,977 ","1,349,365 ","403,302 ","202,522 ","200,780 "
1,"3,269,273 ","1,671,192 ","1,598,081 ","2,885,761 ","1,476,869 ","1,408,892 ","383,512 ","194,323 ","189,189 "
2,"3,706,727 ","1,884,808 ","1,821,919 ","3,286,239 ","1,675,131 ","1,611,108 ","420,488 ","209,677 ","210,811 "
3,"2,710,023 ","1,374,748 ","1,335,275 ","2,371,754 ","1,207,415 ","1,164,339 ","338,269 ","167,333 ","170,936 "
4,"2,751,429 ","1,403,439 ","1,347,990 ","2,405,452 ","1,229,606 ","1,175,846 ","345,977 ","173,833 ","172,144 "
5,"2,727,530 ","1,387,787 ","1,339,743 ","2,400,380 ","1,224,402 ","1,175,978 ","327,150 ","163,385 ","163,765 "
6,"2,889,816 ","1,471,481 ","1,418,335 ","2,560,557 ","1,306,843 ","1,253,714 ","329,259 ","164,638 ","164,621 "
7,"2,546,627 ","1,295,147 ","1,251,480 ","2,230,990 ","1,137,528 ","1,093,462 ","315,637 ","157,619 ","158,018 "
8,"2,376,632 ","1,207,108 ","1,169,524 ","2,076,885 ","1,058,231 ","1,018,654 ","299,747 ","148,877 ","150,870 "
9,"2,261,929 ","1,148,402 ","1,113,527 ","1,971,543 ","1,004,623 ","966,920 ","290,386 ","143,779 ","146,607 "
10,"2,280,422 ","1,163,486 ","1,116,936 ","1,985,263 ","1,014,299 ","970,964 ","295,159 ","149,187 ","145,972 "
