Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1917",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"103,268,000 ","52,788,000 ","50,480,000 ","92,435,000 ","47,339,000 ","45,096,000 ","10,833,000 ","5,449,000 ","5,384,000 "
,,,,,,,,,
0,"2,329,000 ","1,185,000 ","1,144,000 ","2,092,000 ","1,066,000 ","1,026,000 ","237,000 ","119,000 ","118,000 "
1,"2,320,000 ","1,176,000 ","1,144,000 ","2,076,000 ","1,054,000 ","1,022,000 ","244,000 ","122,000 ","122,000 "
2,"2,308,000 ","1,167,000 ","1,141,000 ","2,058,000 ","1,043,000 ","1,015,000 ","250,000 ","124,000 ","126,000 "
3,"2,294,000 ","1,159,000 ","1,135,000 ","2,039,000 ","1,032,000 ","1,007,000 ","255,000 ","127,000 ","128,000 "
4,"2,276,000 ","1,148,000 ","1,128,000 ","2,018,000 ","1,020,000 ","998,000 ","258,000 ","128,000 ","130,000 "
5,"2,257,000 ","1,138,000 ","1,119,000 ","1,995,000 ","1,008,000 ","987,000 ","262,000 ","130,000 ","132,000 "
6,"2,235,000 ","1,127,000 ","1,108,000 ","1,972,000 ","996,000 ","976,000 ","263,000 ","131,000 ","132,000 "
7,"2,210,000 ","1,115,000 ","1,095,000 ","1,947,000 ","984,000 ","963,000 ","263,000 ","131,000 ","132,000 "
8,"2,185,000 ","1,103,000 ","1,082,000 ","1,922,000 ","972,000 ","950,000 ","263,000 ","131,000 ","132,000 "
9,"2,158,000 ","1,090,000 ","1,068,000 ","1,896,000 ","959,000 ","937,000 ","262,000 ","131,000 ","131,000 "
10,"2,129,000 ","1,076,000 ","1,053,000 ","1,869,000 ","946,000 ","923,000 ","260,000 ","130,000 ","130,000 "
