SUMLEV,STATE,STNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
040,06,California,1,37253956,18517830,18736126,2531333,1294056,1237277,4561764,2330858,2230906,2201943,1131678,1070265,3922951,2038809,1884142,29079048,14337992,14741056,27958916,13761238,14197678,16090476,8213605,7876871,10500587,5317738,5182849,9288864,4557674,4731190,4246514,1847017,2399497,2531333,1294056,1237277,2505839,1279563,1226276,2590930,1325915,1265015,2823940,1455082,1368858,2765949,1440785,1325164,2744409,1408698,1335711,2573468,1304347,1269121,2573579,1291370,1282209,2609131,1313323,1295808,2689819,1341984,1347835,2562552,1266543,1296009,2204296,1069976,1134320,1832197,879171,953026,1303558,610224,693334,971778,443402,528376,766971,337174,429797,603239,245402,357837,600968,210815,390153,35.2,34.0,36.3
040,06,California,2,37254522,18518142,18736380,2531336,1294056,1237280,4561772,2330862,2230910,2201953,1131688,1070265,3922983,2038831,1884152,29079603,14338300,14741303,27959461,13761536,14197925,16090623,8213714,7876909,10500692,5317815,5182877,9289018,4557781,4731237,4246768,1847109,2399659,2531336,1294056,1237280,2505842,1279564,1226278,2590935,1325918,1265017,2823960,1455101,1368859,2765971,1440798,1325173,2744431,1408715,1335716,2573487,1304358,1269129,2573604,1291390,1282214,2609170,1313352,1295818,2689856,1342008,1347848,2562590,1266568,1296022,2204333,1070005,1134328,1832239,879200,953039,1303590,610235,693355,971812,443424,528388,767024,337193,429831,603279,245420,357859,601063,210837,390226,35.2,34.0,36.3
040,06,California,3,37319550,18546274,18773276,2530228,1293474,1236754,4557841,2328457,2229384,2192538,1126223,1066315,3931634,2040974,1890660,29156109,14373123,14782986,28038943,13798120,14240823,16102120,8216362,7885758,10508838,5321234,5187604,9325168,4575627,4749541,4273303,1860285,2413018,2530228,1293474,1236754,2504784,1278772,1226012,2583947,1321754,1262193,2808271,1446591,1361680,2785011,1448537,1336474,2748712,1411160,1337552,2584545,1310137,1274408,2563184,1285720,1277464,2612397,1314217,1298180,2682402,1338670,1343732,2571433,1271107,1300326,2219875,1077772,1142103,1851458,888078,963380,1316027,616365,699662,978476,446746,531730,767115,337323,429792,604932,246954,357978,606753,212897,393856,35.2,34.1,36.4
040,06,California,4,37636311,18694789,18941522,2533447,1295084,1238363,4553836,2325887,2227949,2157859,1105683,1052176,3968854,2055133,1913721,29495252,14534782,14960470,28391169,13968135,14423034,16167648,8242781,7924867,10562598,5348416,5214182,9468396,4646272,4822124,4391321,1918314,2473007,2533447,1295084,1238363,2512962,1282799,1230163,2562537,1309539,1252998,2745491,1412954,1332537,2859559,1481411,1378148,2773689,1426710,1346979,2636023,1336931,1299092,2519123,1263094,1256029,2633763,1321681,1312082,2645352,1321676,1323676,2602087,1287199,1314888,2281990,1108538,1173452,1938967,928859,1010108,1369222,642648,726574,1008841,460863,547978,776708,342134,434574,609074,251662,357412,627476,221007,406469,35.4,34.2,36.6
040,06,California,5,37944551,18847274,19097277,2515114,1285517,1229597,4561825,2329924,2231901,2117579,1082882,1034697,4004175,2070199,1933976,29830889,14702551,15128338,28750033,14148951,14601082,16241936,8280807,7961129,10634120,5389985,5244135,9522096,4673747,4848349,4589642,2015020,2574622,2515114,1285517,1229597,2538442,1296386,1242056,2537321,1295797,1241524,2697946,1385244,1312702,2909870,1505578,1404292,2794701,1441419,1353282,2691202,1367331,1323871,2512819,1260649,1252170,2635398,1320586,1314812,2607773,1304002,1303771,2614431,1294099,1320332,2347663,1141727,1205936,1952229,933919,1018310,1489265,700987,788278,1049766,480113,569653,791543,349030,442513,612370,255755,356615,646698,229135,417563,35.6,34.4,36.8
040,06,California,6,38253768,18996586,19257182,2501474,1277942,1223532,4573789,2335542,2238247,2083522,1064459,1019063,4002901,2066353,1936548,30154540,14860332,15294208,29094983,14318643,14776340,16305583,8311110,7994473,10728060,5440230,5287830,9597139,4712433,4884706,4766883,2099627,2667256,2501474,1277942,1223532,2556700,1306615,1250085,2525989,1288859,1237130,2656464,1360798,1295666,2921059,1510082,1410977,2836879,1464326,1372553,2750122,1399800,1350322,2523598,1267788,1255810,2617461,1308316,1309145,2575787,1289364,1286423,2626223,1299957,1326266,2399494,1169360,1230134,1995635,953752,1041883,1566812,737823,828989,1107869,507002,600867,813628,359821,453807,615832,258858,356974,662742,236123,426619,35.7,34.6,36.9
040,06,California,7,38586706,19164689,19422017,2506300,1281484,1224816,4559726,2326815,2232911,2069954,1057597,1012357,3981004,2055159,1925845,30494046,15031406,15462640,29450726,14498793,14951933,16375957,8351700,8024257,10841299,5503132,5338167,9679642,4755391,4924251,4948781,2185111,2763670,2506300,1281484,1224816,2551638,1303937,1247701,2524388,1287066,1237322,2617587,1338897,1278690,2917071,1509671,1407400,2908317,1501587,1406730,2798973,1427405,1371568,2549056,1283275,1265781,2584953,1290865,1294088,2555287,1279601,1275686,2636625,1305433,1331192,2436570,1189850,1246720,2051160,980507,1070653,1648539,776220,872319,1159347,530162,629185,839771,372525,467246,619963,261439,358524,681161,244765,436396,35.9,34.8,37.1
040,06,California,8,38904296,19328315,19575981,2509288,1284166,1225122,4551072,2322505,2228567,2058459,1051859,1006600,3921766,2023402,1898364,30816934,15196616,15620318,29785477,14669785,15115692,16428660,8384510,8044150,10957584,5569197,5388387,9770376,4803496,4966880,5135751,2273690,2862061,2509288,1284166,1225122,2542123,1298932,1243191,2518098,1283521,1234577,2598584,1328813,1269771,2872492,1486500,1385992,2990961,1545289,1445672,2828840,1444641,1384199,2597272,1311313,1285959,2540511,1267954,1272557,2569133,1286134,1282999,2614105,1295366,1318739,2477721,1212815,1264906,2109417,1009181,1100236,1731563,815278,916285,1211730,554577,657153,865215,384645,480570,625766,264332,361434,701477,254858,446619,36.1,35.0,37.3
040,06,California,9,39149186,19453155,19696031,2486861,1272948,1213913,4562245,2329183,2233062,2039437,1041849,997588,3842114,1980032,1862082,31094222,15337786,15756436,30060643,14809175,15251468,16469781,8411234,8058547,11083646,5641822,5441824,9826109,4832878,4993231,5308774,2354443,2954331,2486861,1272948,1213913,2537093,1296394,1240699,2520568,1285258,1235310,2579327,1318078,1261249,2806808,1451334,1355474,3074167,1587586,1486581,2862267,1467432,1394835,2648440,1338842,1309598,2498772,1247962,1250810,2586790,1292393,1294397,2573671,1277898,1295773,2503271,1226688,1276583,2162377,1035899,1126478,1807255,849737,957518,1258389,576823,681566,891536,396363,495173,634585,268835,365750,717009,262685,454324,36.3,35.2,37.4
040,06,California,10,39337785,19553823,19783962,2467483,1263370,1204113,4551750,2325338,2226412,2030857,1036597,994260,3776182,1942545,1833637,31320680,15456903,15863777,30287695,14928518,15359177,16500390,8433829,8066561,11194835,5709836,5484999,9840208,4842957,4997251,5476470,2433180,3043290,2467483,1263370,1204113,2513348,1284235,1229113,2539886,1296252,1243634,2555320,1305222,1250098,2750235,1418771,1331464,3122056,1613212,1508844,2882778,1483007,1399771,2700615,1369185,1331430,2489386,1244432,1244954,2582988,1289412,1293576,2531978,1258809,1273169,2508821,1230947,1277874,2216421,1063789,1152632,1813150,851156,961994,1362501,626445,736056,925884,412209,513675,646733,274256,372477,728202,269114,459088,36.5,35.4,37.6
