table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for District of Columbia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"572,086","572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228","601,723","604,453"
.Under 5 years,"32,536","32,321","32,396","32,340","31,553","31,843","32,051","31,357","31,858","32,724","32,707","32,613","32,804"
.5 to 9 years,"35,385","34,997","33,830","32,237","30,040","27,748","26,004","25,968","25,107","24,698","26,105","26,147","26,294"
.10 to 14 years,"30,020","30,137","31,528","32,419","33,225","33,268","31,544","30,048","28,552","26,935","25,724","25,041","25,181"
.15 to 19 years,"37,871","37,829","37,576","37,837","37,582","37,805","38,560","39,473","39,934","40,510","40,713","39,919","39,902"
.20 to 24 years,"51,826","52,303","51,863","50,795","50,398","51,436","53,327","55,644","57,203","59,153","61,793","64,110","64,476"
.25 to 29 years,"52,852","52,579","52,189","51,782","51,863","52,960","54,019","56,351","59,129","61,925","65,193","69,649","70,021"
.30 to 34 years,"48,910","48,832","50,231","50,849","50,671","50,295","48,752","48,803","48,747","50,168","53,032","55,096","55,708"
.35 to 39 years,"45,952","45,754","45,854","44,983","43,577","42,396","42,904","43,247","43,535","42,923","43,847","42,925","42,884"
.40 to 44 years,"41,731","41,785","41,977","41,504","41,133","40,852","39,944","39,469","38,720","37,883","37,021","37,734","37,859"
.45 to 49 years,"39,400","39,542","39,238","39,402","38,801","38,353","38,304","38,310","37,883","38,290","38,956","38,539","38,450"
.50 to 54 years,"35,909","36,283","37,887","37,434","37,206","37,210","36,876","36,200","36,606","36,618","36,587","37,164","37,302"
.55 to 59 years,"27,811","27,909","28,521","30,175","31,104","31,931","33,252","34,626","34,041","33,949","34,246","34,274","34,464"
.60 to 64 years,"21,982","22,011","22,569","23,387","23,977","24,803","24,997","25,219","26,857","27,675","28,504","29,703","30,047"
.65 to 69 years,"18,524","18,439","18,116","17,988","18,068","18,170","18,508","18,803","19,548","20,174","21,139","21,488","21,593"
.70 to 74 years,"17,395","17,328","16,828","16,188","15,833","15,399","15,034","14,796","14,704","14,970","15,031","15,481","15,522"
.75 to 79 years,"14,977","14,992","14,778","14,565","14,088","13,776","13,359","12,766","12,188","11,954","11,806","11,820","11,813"
.80 to 84 years,"10,029","10,047","10,254","10,434","10,642","10,694","10,626","10,427","10,313","9,932","9,785","9,705","9,707"
.85 years and over,"8,976","8,958","8,869","8,839","8,741","8,815","9,075","9,174","9,479","9,755","10,039","10,315","10,426"
.,,,,,,,,,,,,,
.Under 18 years,"114,996","114,503","114,625","113,822","111,403","109,756","107,187","105,651","104,126","102,257","102,098","100,815","101,283"
.Under 5 years,"32,536","32,321","32,396","32,340","31,553","31,843","32,051","31,357","31,858","32,724","32,707","32,613","32,804"
.5 to 13 years,"59,931","59,685","59,675","59,067","57,391","54,313","51,312","49,909","47,574","45,989","46,606","46,048","46,356"
.14 to 17 years,"22,529","22,497","22,554","22,415","22,459","23,600","23,824","24,385","24,694","23,544","22,785","22,154","22,123"
.18 to 64 years,"387,189","387,779","391,034","391,322","389,727","391,144","393,347","399,064","404,046","411,194","422,330","432,099","434,109"
.18 to 24 years,"72,642","73,084","72,568","71,806","71,395","72,344","74,299","76,839","78,528","81,763","84,944","87,015","87,374"
.25 to 44 years,"189,445","188,950","190,251","189,118","187,244","186,503","185,619","187,870","190,131","192,899","199,093","205,404","206,472"
.45 to 64 years,"125,102","125,745","128,215","130,398","131,088","132,297","133,429","134,355","135,387","136,532","138,293","139,680","140,263"
.65 years and over,"69,901","69,764","68,845","68,014","67,372","66,854","66,602","65,966","66,232","66,785","67,800","68,809","69,061"
.,,,,,,,,,,,,,
.16 years and over,"468,598","468,998","471,322","470,513","468,166","469,110","470,980","477,150","482,819","489,910","502,055","512,575","514,809"
.18 years and over,"457,090","457,543","459,879","459,336","457,099","457,998","459,949","465,030","470,278","477,979","490,130","500,908","503,170"
.15 to 44 years,"279,142","279,082","279,690","277,750","275,224","275,744","277,506","282,987","287,268","292,562","301,599","309,433","310,850"
.,,,,,,,,,,,,,
.Median age (years),34.6,34.7,34.7,34.8,34.9,34.9,34.9,34.7,34.6,34.3,34.0,33.8,33.7
MALE,"269,382","269,403","270,764","270,012","267,895","267,470","267,523","269,359","271,455","273,971","280,400","284,222","285,626"
.Under 5 years,"16,483","16,367","16,465","16,433","16,010","16,202","16,296","15,892","16,308","16,588","16,709","16,533","16,635"
.5 to 9 years,"17,760","17,553","16,960","16,056","15,169","13,878","13,183","13,093","12,600","12,338","13,140","13,198","13,272"
.10 to 14 years,"15,098","15,150","15,723","16,308","16,795","16,810","15,796","15,095","14,216","13,655","12,859","12,641","12,715"
.15 to 19 years,"18,017","18,015","17,982","18,045","17,775","17,985","18,306","18,701","19,055","19,329","19,372","18,951","18,961"
.20 to 24 years,"23,620","23,857","23,897","23,430","23,137","23,363","24,536","25,445","26,156","26,557","27,908","28,801","28,978"
.25 to 29 years,"25,234","25,098","24,570","23,972","24,071","24,656","25,040","26,134","27,556","28,623","30,216","32,167","32,390"
.30 to 34 years,"24,520","24,479","24,927","25,142","24,898","24,632","23,586","23,577","23,362","24,322","25,644","26,617","26,940"
.35 to 39 years,"23,393","23,299","23,441","22,935","22,177","21,535","21,717","21,840","22,151","21,638","22,261","21,447","21,429"
.40 to 44 years,"20,618","20,653","20,814","20,755","20,606","20,551","20,388","20,188","19,685","19,247","18,814","19,136","19,202"
.45 to 49 years,"18,749","18,820","18,735","18,950","18,683","18,543","18,638","18,837","18,833","19,097","19,716","19,534","19,492"
.50 to 54 years,"16,613","16,798","17,624","17,362","17,383","17,497","17,376","17,054","17,443","17,668","17,668","18,114","18,178"
.55 to 59 years,"12,678","12,728","13,006","13,813","14,290","14,647","15,281","15,940","15,577","15,656","15,994","15,994","16,082"
.60 to 64 years,"10,054","10,075","10,307","10,694","10,810","11,109","11,242","11,393","12,117","12,557","12,828","13,398","13,557"
.65 to 69 years,"8,162","8,134","8,085","8,013","8,093","8,223","8,303","8,450","8,828","8,969","9,422","9,605","9,649"
.70 to 74 years,"6,942","6,928","6,827","6,682","6,612","6,481","6,450","6,420","6,360","6,503","6,545","6,671","6,693"
.75 to 79 years,"5,602","5,605","5,475","5,383","5,313","5,248","5,154","5,030","4,812","4,746","4,711","4,782","4,777"
.80 to 84 years,"3,415","3,423","3,543","3,609","3,647","3,640","3,608","3,590","3,605","3,593","3,577","3,516","3,525"
.85 years and over,"2,424","2,421","2,383","2,430","2,426","2,470","2,623","2,680","2,791","2,885","3,016","3,117","3,151"
.,,,,,,,,,,,,,
.Under 18 years,"57,922","57,648","57,659","57,239","56,155","55,313","54,032","53,270","52,528","51,620","51,594","50,889","51,145"
.Under 5 years,"16,483","16,367","16,465","16,433","16,010","16,202","16,296","15,892","16,308","16,588","16,709","16,533","16,635"
.5 to 13 years,"30,098","29,958","29,884","29,628","29,009","27,355","25,905","25,099","23,866","23,241","23,498","23,319","23,476"
.14 to 17 years,"11,341","11,323","11,310","11,178","11,136","11,756","11,831","12,279","12,354","11,791","11,387","11,037","11,034"
.18 to 64 years,"184,915","185,244","186,792","186,656","185,649","186,095","187,353","189,919","192,531","195,655","201,535","205,642","206,686"
.18 to 24 years,"33,056","33,294","33,368","33,033","32,731","32,925","34,085","34,956","35,807","36,847","38,394","39,235","39,416"
.25 to 44 years,"93,765","93,529","93,752","92,804","91,752","91,374","90,731","91,739","92,754","93,830","96,935","99,367","99,961"
.45 to 64 years,"58,094","58,421","59,672","60,819","61,166","61,796","62,537","63,224","63,970","64,978","66,206","67,040","67,309"
.65 years and over,"26,545","26,511","26,313","26,117","26,091","26,062","26,138","26,170","26,396","26,696","27,271","27,691","27,795"
.,,,,,,,,,,,,,
.16 years and over,"217,209","217,480","218,908","218,415","217,226","217,662","218,990","222,202","225,194","228,434","234,872","239,203","240,347"
.18 years and over,"211,460","211,755","213,105","212,773","211,740","212,157","213,491","216,089","218,927","222,351","228,806","233,333","234,481"
.15 to 44 years,"135,402","135,401","135,631","134,279","132,664","132,722","133,573","135,885","137,965","139,716","144,215","147,119","147,900"
.,,,,,,,,,,,,,
.Median age (years),33.7,33.8,33.8,34.0,34.1,34.3,34.4,34.3,34.2,33.9,33.7,33.6,33.5
FEMALE,"302,704","302,643","303,740","303,146","300,607","300,284","299,613","301,322","302,949","306,265","311,828","317,501","318,827"
.Under 5 years,"16,053","15,954","15,931","15,907","15,543","15,641","15,755","15,465","15,550","16,136","15,998","16,080","16,169"
.5 to 9 years,"17,625","17,444","16,870","16,181","14,871","13,870","12,821","12,875","12,507","12,360","12,965","12,949","13,022"
.10 to 14 years,"14,922","14,987","15,805","16,111","16,430","16,458","15,748","14,953","14,336","13,280","12,865","12,400","12,466"
.15 to 19 years,"19,854","19,814","19,594","19,792","19,807","19,820","20,254","20,772","20,879","21,181","21,341","20,968","20,941"
.20 to 24 years,"28,206","28,446","27,966","27,365","27,261","28,073","28,791","30,199","31,047","32,596","33,885","35,309","35,498"
.25 to 29 years,"27,618","27,481","27,619","27,810","27,792","28,304","28,979","30,217","31,573","33,302","34,977","37,482","37,631"
.30 to 34 years,"24,390","24,353","25,304","25,707","25,773","25,663","25,166","25,226","25,385","25,846","27,388","28,479","28,768"
.35 to 39 years,"22,559","22,455","22,413","22,048","21,400","20,861","21,187","21,407","21,384","21,285","21,586","21,478","21,455"
.40 to 44 years,"21,113","21,132","21,163","20,749","20,527","20,301","19,556","19,281","19,035","18,636","18,207","18,598","18,657"
.45 to 49 years,"20,651","20,722","20,503","20,452","20,118","19,810","19,666","19,473","19,050","19,193","19,240","19,005","18,958"
.50 to 54 years,"19,296","19,485","20,263","20,072","19,823","19,713","19,500","19,146","19,163","18,950","18,919","19,050","19,124"
.55 to 59 years,"15,133","15,181","15,515","16,362","16,814","17,284","17,971","18,686","18,464","18,293","18,252","18,280","18,382"
.60 to 64 years,"11,928","11,936","12,262","12,693","13,167","13,694","13,755","13,826","14,740","15,118","15,676","16,305","16,490"
.65 to 69 years,"10,362","10,305","10,031","9,975","9,975","9,947","10,205","10,353","10,720","11,205","11,717","11,883","11,944"
.70 to 74 years,"10,453","10,400","10,001","9,506","9,221","8,918","8,584","8,376","8,344","8,467","8,486","8,810","8,829"
.75 to 79 years,"9,375","9,387","9,303","9,182","8,775","8,528","8,205","7,736","7,376","7,208","7,095","7,038","7,036"
.80 to 84 years,"6,614","6,624","6,711","6,825","6,995","7,054","7,018","6,837","6,708","6,339","6,208","6,189","6,182"
.85 years and over,"6,552","6,537","6,486","6,409","6,315","6,345","6,452","6,494","6,688","6,870","7,023","7,198","7,275"
.,,,,,,,,,,,,,
.Under 18 years,"57,074","56,855","56,966","56,583","55,248","54,443","53,155","52,381","51,598","50,637","50,504","49,926","50,138"
