table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nevada: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.55 to 59 years,"52,502","53,258","55,968","61,756","65,341","69,946","73,896","78,169","78,202","78,682","79,834","80,947","81,383"
.60 to 64 years,"43,082","43,645","46,107","49,326","52,987","56,356","59,115","60,730","66,060","68,923","71,700","74,291","75,019"
.65 to 69 years,"35,891","36,249","37,965","39,472","41,705","44,165","45,534","47,290","49,499","52,536","54,765","56,638","57,013"
.70 to 74 years,"29,277","29,639","30,673","31,766","32,960","33,761","34,356","35,424","36,315","37,658","39,452","40,470","40,759"
.75 to 79 years,"20,578","20,873","21,829","22,543","23,472","24,508","25,089","25,577","26,085","26,666","27,091","27,623","27,718"
.80 to 84 years,"10,581","10,799","11,648","12,660","13,468","14,249","14,949","15,240","15,691","16,057","16,692","17,239","17,242"
.85 years and over,"5,644","5,740","6,171","6,595","7,016","7,437","7,991","8,612","9,348","10,009","10,486","11,017","11,113"
.,,,,,,,,,,,,,
.Under 18 years,"263,192","265,329","274,719","283,950","291,947","303,271","313,929","325,738","335,447","339,735","341,224","340,458","340,419"
.Under 5 years,"74,799","75,387","77,711","80,072","82,568","86,344","90,152","94,352","97,275","98,518","97,379","95,772","95,661"
.5 to 13 years,"134,336","135,366","139,928","144,131","147,197","150,991","154,589","158,383","162,763","165,186","167,612","168,513","168,846"
.14 to 17 years,"54,057","54,576","57,080","59,747","62,182","65,936","69,188","73,003","75,409","76,031","76,233","76,173","75,912"
.18 to 64 years,"652,885","659,797","684,544","707,041","730,147","762,245","791,449","820,784","844,635","860,368","867,337","870,171","871,647"
.18 to 24 years,"93,654","94,978","98,910","101,293","104,810","109,398","113,904","119,238","122,821","126,284","127,084","127,980","128,051"
