table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Iowa: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.85 years and over,"17,972","18,097","18,434","18,837","19,344","19,748","20,224","20,972","21,673","22,190","22,781","23,351","23,541"
.,,,,,,,,,,,,,
.Under 18 years,"376,716","376,555","373,928","371,623","369,416","368,637","368,347","369,938","371,022","372,050","372,573","373,390","373,029"
.Under 5 years,"96,724","96,570","96,254","96,080","96,445","96,720","96,981","98,624","100,311","101,815","102,932","103,401","103,223"
.5 to 13 years,"189,783","189,636","188,684","187,453","185,578","183,993","182,922","182,687","182,581","183,409","184,215","185,323","185,453"
.14 to 17 years,"90,209","90,349","88,990","88,090","87,393","87,924","88,444","88,627","88,130","86,826","85,426","84,666","84,353"
.18 to 64 years,"881,860","883,533","888,155","893,168","899,848","906,136","911,902","918,498","924,305","930,223","936,219","941,652","943,269"
.18 to 24 years,"151,617","152,395","154,753","156,654","159,964","161,122","160,487","159,976","157,655","157,464","157,218","156,713","156,721"
.25 to 44 years,"407,468","406,386","399,934","393,766","388,045","383,911","380,748","378,551","379,311","379,027","378,646","379,920","380,509"
.45 to 64 years,"322,775","324,752","333,468","342,748","351,839","361,103","370,667","379,971","387,339","393,732","400,355","405,019","406,039"
.65 years and over,"177,045","177,204","177,627","177,993","178,828","179,974","181,186","183,084","185,862","188,922","191,339","193,277","194,050"
.,,,,,,,,,,,,,
.16 years and over,"1,104,480","1,106,327","1,111,139","1,116,225","1,122,620","1,129,561","1,136,924","1,146,510","1,155,225","1,163,351","1,171,292","1,178,244","1,180,418"
.18 years and over,"1,058,905","1,060,737","1,065,782","1,071,161","1,078,676","1,086,110","1,093,088","1,101,582","1,110,167","1,119,145","1,127,558","1,134,929","1,137,319"
.15 to 44 years,"627,153","627,090","622,203","617,077","613,466","610,540","607,518","605,669","603,569","602,314","600,640","600,626","601,032"
.,,,,,,,,,,,,,
.Median age (years),35.2,35.3,35.5,35.7,35.9,36.0,36.2,36.4,36.5,36.6,36.6,36.6,36.6
FEMALE,"1,490,917","1,491,775","1,492,287","1,491,450","1,493,907","1,498,888","1,503,019","1,511,124","1,518,023","1,525,539","1,532,739","1,538,036","1,539,535"
.Under 5 years,"91,691","91,586","91,854","91,374","92,277","92,685","93,425","94,687","96,242","97,437","98,336","98,722","98,602"
.5 to 9 years,"98,780","98,254","96,542","94,786","93,870","93,794","93,571","94,545","95,083","96,569","97,388","97,977","98,001"
.10 to 14 years,"102,451","102,734","102,587","102,985","102,776","102,212","100,863","99,614","98,225","97,453","97,623","97,577","97,592"
.15 to 19 years,"110,650","110,837","111,022","109,173","107,851","107,419","107,179","107,353","107,724","107,606","106,721","105,598","105,116"
.20 to 24 years,"99,761","100,285","101,186","103,773","105,938","107,918","107,910","107,909","105,280","104,346","103,921","103,883","104,179"
.25 to 29 years,"87,003","86,248","83,400","81,968","81,954","82,585","84,188","86,562","90,790","93,442","95,867","96,334","96,511"
.30 to 34 years,"91,223","91,193","91,803","91,357","90,538","88,833","88,056","86,078","85,835","86,971","88,718","90,713","91,442"
.35 to 39 years,"109,084","108,488","104,093","99,624","95,479","92,697","91,409","92,204","91,532","90,469","88,289","87,574","86,947"
.40 to 44 years,"113,511","113,624","114,058","113,570","112,467","111,624","108,607","104,441","100,418","96,426","93,785","92,590","92,565"
.45 to 49 years,"105,307","105,799","107,539","109,026","110,266","110,954","112,005","112,931","112,651","111,696","110,863","108,606","108,153"
.50 to 54 years,"89,890","90,655","95,727","96,561","98,637","101,168","103,864","106,027","107,901","109,816","110,568","111,660","111,841"
.55 to 59 years,"70,754","71,137","71,860","77,458","80,361","84,267","88,529","93,779","94,959","97,418","100,040","102,084","102,603"
.60 to 64 years,"61,544","61,759","62,479","63,358","65,597","67,284","68,540","69,543","75,062","78,022","81,833","85,107","85,828"
.65 to 69 years,"57,749","57,449","57,108","56,828","57,169","57,982","58,267","58,995","60,018","62,312","63,800","64,723","65,071"
.70 to 74 years,"57,833","57,618","56,763","55,833","54,717","53,641","53,006","52,909","52,933","53,171","54,017","54,151","54,361"
.75 to 79 years,"53,651","53,648","53,038","52,309","52,107","51,580","50,918","50,281","49,838","48,652","47,650","47,275","47,125"
.80 to 84 years,"42,890","43,110","43,602","43,907","43,870","43,842","43,783","43,553","43,137","43,086","42,565","42,155","42,076"
.85 years and over,"47,145","47,351","47,626","47,560","48,033","48,403","48,899","49,713","50,395","50,647","50,755","51,307","51,522"
.,,,,,,,,,,,,,
.Under 18 years,"356,937","356,782","354,673","352,062","350,686","350,071","350,141","351,765","352,610","353,608","354,396","354,603","354,319"
.Under 5 years,"91,691","91,586","91,854","91,374","92,277","92,685","93,425","94,687","96,242","97,437","98,336","98,722","98,602"
.5 to 13 years,"180,213","180,021","178,790","177,493","176,105","174,870","173,638","173,589","173,133","174,384","175,369","176,209","176,343"
.14 to 17 years,"85,033","85,175","84,029","83,195","82,304","82,516","83,078","83,489","83,235","81,787","80,691","79,672","79,374"
.18 to 64 years,"874,712","875,817","879,477","882,951","887,325","893,369","898,005","903,908","909,092","914,063","919,556","923,822","925,061"
.18 to 24 years,"146,396","146,914","148,518","150,029","152,026","153,957","152,807","152,343","149,944","149,803","149,593","149,154","149,171"
.25 to 44 years,"400,821","399,553","393,354","386,519","380,438","375,739","372,260","369,285","368,575","367,308","366,659","367,211","367,465"
.45 to 64 years,"327,495","329,350","337,605","346,403","354,861","363,673","372,938","382,280","390,573","396,952","403,304","407,457","408,425"
.65 years and over,"259,268","259,176","258,137","256,437","255,896","255,448","254,873","255,451","256,321","257,868","258,787","259,611","260,155"
.,,,,,,,,,,,,,
.16 years and over,"1,176,727","1,177,734","1,180,285","1,181,899","1,184,627","1,189,556","1,193,893","1,201,275","1,207,686","1,213,729","1,219,528","1,223,956","1,225,520"
.18 years and over,"1,133,980","1,134,993","1,137,614","1,139,388","1,143,221","1,148,817","1,152,878","1,159,359","1,165,413","1,171,931","1,178,343","1,183,433","1,185,216"
.15 to 44 years,"611,232","610,675","605,562","599,465","594,227","591,076","587,349","584,547","581,579","579,260","577,301","576,692","576,760"
.,,,,,,,,,,,,,
.Median age (years),38.0,38.1,38.4,38.6,38.9,39.1,39.2,39.3,39.3,39.4,39.4,39.5,39.5
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Iowa: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-19)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
