Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1916",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"101,961,000 ","52,234,000 ","49,727,000 ","91,196,000 ","46,819,000 ","44,377,000 ","10,765,000 ","5,415,000 ","5,350,000 "
,,,,,,,,,
0,"2,325,000 ","1,183,000 ","1,142,000 ","2,084,000 ","1,062,000 ","1,022,000 ","241,000 ","121,000 ","120,000 "
1,"2,308,000 ","1,170,000 ","1,138,000 ","2,061,000 ","1,047,000 ","1,014,000 ","247,000 ","123,000 ","124,000 "
2,"2,291,000 ","1,159,000 ","1,132,000 ","2,038,000 ","1,033,000 ","1,005,000 ","253,000 ","126,000 ","127,000 "
3,"2,270,000 ","1,146,000 ","1,124,000 ","2,013,000 ","1,019,000 ","994,000 ","257,000 ","127,000 ","130,000 "
4,"2,248,000 ","1,134,000 ","1,114,000 ","1,988,000 ","1,005,000 ","983,000 ","260,000 ","129,000 ","131,000 "
5,"2,223,000 ","1,121,000 ","1,102,000 ","1,961,000 ","991,000 ","970,000 ","262,000 ","130,000 ","132,000 "
6,"2,199,000 ","1,109,000 ","1,090,000 ","1,936,000 ","978,000 ","958,000 ","263,000 ","131,000 ","132,000 "
7,"2,172,000 ","1,096,000 ","1,076,000 ","1,909,000 ","965,000 ","944,000 ","263,000 ","131,000 ","132,000 "
8,"2,146,000 ","1,083,000 ","1,063,000 ","1,883,000 ","952,000 ","931,000 ","263,000 ","131,000 ","132,000 "
9,"2,118,000 ","1,069,000 ","1,049,000 ","1,857,000 ","939,000 ","918,000 ","261,000 ","130,000 ","131,000 "
10,"2,088,000 ","1,055,000 ","1,033,000 ","1,830,000 ","926,000 ","904,000 ","258,000 ","129,000 ","129,000 "
