table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Oregon: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"3,421,524","3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600","3,831,074","3,838,957"
.Under 5 years,"223,006","223,147","223,999","224,849","225,577","224,518","226,117","228,634","232,935","236,053","237,520","237,556","237,435"
.5 to 9 years,"234,477","233,577","230,826","229,092","227,383","226,474","227,049","230,153","231,491","234,517","236,088","237,214","237,628"
.10 to 14 years,"242,109","243,176","245,956","248,112","248,885","246,098","243,214","242,105","241,373","241,418","242,019","242,553","242,786"
.15 to 19 years,"244,435","245,470","246,236","247,064","247,485","248,790","252,412","255,894","258,529","259,067","257,262","254,860","253,861"
.20 to 24 years,"230,405","232,059","239,003","246,588","250,274","249,676","249,979","250,395","250,519","251,488","252,916","253,048","253,903"
.25 to 29 years,"233,846","232,532","229,382","230,702","232,626","234,034","239,331","247,606","256,345","261,300","265,456","265,033","265,802"
.30 to 34 years,"236,853","237,151","243,274","247,580","248,435","245,397","242,488","241,351","243,190","248,520","254,873","259,111","260,918"
.35 to 39 years,"255,758","254,933","248,534","243,943","240,047","238,490","244,061","251,158","255,203","256,332","254,500","251,163","249,758"
.40 to 44 years,"270,828","271,531","271,593","269,597","266,641","263,910","259,676","254,628","249,968","246,407","245,786","248,362","248,504"
.45 to 49 years,"271,322","272,862","274,888","277,392","276,905","273,353","272,731","273,664","271,848","269,362","266,869","262,879","262,073"
.50 to 54 years,"235,849","238,121","252,835","255,384","262,008","268,636","273,304","276,739","279,780","279,624","276,990","276,196","276,946"
.55 to 59 years,"173,022","174,117","180,935","199,608","211,297","223,509","238,622","254,585","257,289","263,725","270,690","273,423","275,101"
.60 to 64 years,"131,396","132,050","138,043","145,538","155,670","165,124","174,136","182,251","200,645","212,891","224,891","236,143","238,488"
.65 to 69 years,"112,628","112,344","113,541","116,119","120,042","124,844","129,545","136,489","144,085","154,265","163,538","169,847","171,026"
.70 to 74 years,"106,737","106,670","105,960","105,174","104,649","104,546","105,782","107,453","109,541","112,897","117,203","120,194","120,922"
.75 to 79 years,"95,073","95,268","94,768","94,817","94,556","93,736","93,309","92,923","92,014","91,390","91,151","91,601","91,406"
.80 to 84 years,"66,349","66,871","68,936","71,365","72,474","74,169","75,311","75,798","76,055","75,513","74,512","74,019","74,010"
.85 years and over,"57,431","57,829","59,228","60,500","62,422","64,159","66,135","69,057","71,607","73,979","76,336","77,872","78,390"
.,,,,,,,,,,,,,
.Under 18 years,"846,547","847,511","848,663","850,733","850,251","846,786","849,323","857,003","862,161","865,664","866,194","866,453","866,629"
.Under 5 years,"223,006","223,147","223,999","224,849","225,577","224,518","226,117","228,634","232,935","236,053","237,520","237,556","237,435"
.5 to 13 years,"428,264","428,519","428,360","428,895","426,266","421,046","419,685","422,332","424,110","428,086","429,712","431,260","432,131"
.14 to 17 years,"195,277","195,845","196,304","196,989","198,408","201,222","203,521","206,037","205,116","201,525","198,962","197,637","197,063"
.18 to 64 years,"2,136,759","2,143,215","2,176,841","2,214,716","2,242,982","2,261,223","2,293,797","2,332,160","2,366,954","2,395,040","2,419,666","2,431,088","2,436,574"
.18 to 24 years,"327,885","329,918","337,357","344,972","349,353","348,770","349,448","350,178","352,686","356,879","359,611","358,778","358,984"
.25 to 44 years,"997,285","996,147","992,783","991,822","987,749","981,831","985,556","994,743","1,004,706","1,012,559","1,020,615","1,023,669","1,024,982"
.45 to 64 years,"811,589","817,150","846,701","877,922","905,880","930,622","958,793","987,239","1,009,562","1,025,602","1,039,440","1,048,641","1,052,608"
.65 years and over,"438,218","438,982","442,433","447,975","454,143","461,454","470,082","481,720","493,302","508,044","522,740","533,533","535,754"
.,,,,,,,,,,,,,
.16 years and over,"2,673,391","2,680,737","2,718,413","2,762,363","2,796,557","2,821,904","2,864,515","2,918,424","2,965,788","3,007,041","3,044,219","3,064,689","3,071,972"
.18 years and over,"2,574,977","2,582,197","2,619,274","2,662,691","2,697,125","2,722,677","2,763,879","2,813,880","2,860,256","2,903,084","2,942,406","2,964,621","2,972,328"
.15 to 44 years,"1,472,125","1,473,676","1,478,022","1,485,474","1,485,508","1,480,297","1,487,947","1,501,032","1,513,754","1,523,114","1,530,793","1,531,577","1,532,746"
.,,,,,,,,,,,,,
.Median age (years),36.3,36.4,36.6,36.8,37.0,37.3,37.5,37.7,37.8,38.0,38.2,38.4,38.4
MALE,"1,696,611","1,701,061","1,720,048","1,742,298","1,758,571","1,769,086","1,789,755","1,817,766","1,843,070","1,865,213","1,885,391","1,896,002","1,900,216"
.Under 5 years,"114,006","114,067","114,305","114,954","115,227","114,752","115,224","116,846","119,308","120,840","121,545","121,828","121,743"
.5 to 9 years,"120,117","119,662","118,242","117,345","116,306","115,751","116,007","117,543","118,283","119,891","120,823","121,159","121,372"
