table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Georgia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.18 years and over,"6,017,310","6,050,727","6,161,648","6,258,472","6,344,083","6,460,397","6,572,318","6,749,799","6,893,739","7,025,746","7,135,065","7,196,101","7,219,600"
.15 to 44 years,"3,841,311","3,855,206","3,893,748","3,912,872","3,919,372","3,962,206","3,984,276","4,057,130","4,098,670","4,130,357","4,138,547","4,123,179","4,129,267"
.,,,,,,,,,,,,,
.Median age (years),33.4,33.4,33.5,33.7,34.0,34.1,34.4,34.6,34.8,35.0,35.1,35.3,35.4
MALE,"4,027,209","4,047,070","4,120,876","4,180,322","4,227,841","4,305,728","4,370,659","4,485,207","4,572,416","4,647,859","4,703,090","4,729,171","4,742,276"
.Under 5 years,"304,117","304,618","313,586","320,970","327,165","334,152","341,559","346,564","354,372","357,761","354,040","350,673","351,229"
.5 to 9 years,"313,967","313,110","312,009","311,600","310,819","311,267","316,936","328,258","338,322","344,692","350,676","353,909","354,495"
.10 to 14 years,"311,660","314,156","322,116","329,030","334,653","337,113","338,187","342,003","346,026","347,406","349,066","352,577","352,822"
.15 to 19 years,"309,826","311,846","315,583","318,202","321,904","329,890","338,996","348,205","356,351","362,232","364,583","362,934","361,594"
.20 to 24 years,"306,460","309,330","319,017","322,364","321,106","332,037","325,141","333,813","334,088","338,168","344,616","344,477","346,255"
.25 to 29 years,"325,761","324,541","316,243","309,622","304,706","310,515","311,509","325,241","329,832","335,926","338,475","333,831","335,531"
.30 to 34 years,"330,795","331,689","338,080","340,976","339,210","338,256","329,239","324,901","320,176","320,070","322,356","324,379","327,152"
.35 to 39 years,"347,796","347,933","347,755","344,642","339,574","336,721","337,941","347,122","352,517","353,966","349,342","340,454","339,174"
.40 to 44 years,"322,715","324,746","332,530","337,267","340,805","347,044","350,392","352,580","351,283","349,389","344,586","344,098","344,329"
.45 to 49 years,"278,555","281,221","289,742","300,152","309,011","316,140","325,141","333,704","340,214","345,165","350,865","353,137","352,522"
.50 to 54 years,"246,416","250,048","261,939","261,961","265,281","271,242","279,442","289,307","301,515","311,135","318,237","324,343","325,618"
.55 to 59 years,"182,314","184,192","190,431","207,782","218,699","230,224","243,944","256,155","256,919","260,723","266,390","271,779","273,639"
.60 to 64 years,"135,598","136,835","142,350","149,208","159,798","167,757","175,289","182,450","200,897","212,476","224,479","234,550","237,246"
.65 to 69 years,"107,823","108,083","110,851","113,427","117,206","121,354","127,089","134,913","142,190","152,640","160,941","166,350","167,584"
.70 to 74 years,"84,860","85,220","86,414","87,995","89,605","90,881","93,857","97,965","101,028","105,114","109,199","112,713","113,516"
.75 to 79 years,"60,766","61,161","62,093","63,156","64,475","65,577","67,600","70,244","72,436","73,931","75,576","77,156","77,259"
.80 to 84 years,"35,389","35,805","37,243","38,541","39,730","40,687","41,809","43,539","44,741","46,037","47,396","48,500","48,666"
.85 years and over,"22,391","22,536","22,894","23,427","24,094","24,871","26,588","28,243","29,509","31,028","32,267","33,311","33,645"
.,,,,,,,,,,,,,
.Under 18 years,"1,111,652","1,115,252","1,134,019","1,151,040","1,164,779","1,179,258","1,202,451","1,229,115","1,254,759","1,265,989","1,269,140","1,272,361","1,273,119"
.Under 5 years,"304,117","304,618","313,586","320,970","327,165","334,152","341,559","346,564","354,372","357,761","354,040","350,673","351,229"
.5 to 13 years,"564,614","566,239","572,767","576,961","579,860","579,056","586,567","601,817","614,105","622,758","630,740","637,229","638,538"
.14 to 17 years,"242,921","244,395","247,666","253,109","257,754","266,050","274,325","280,734","286,282","285,470","284,360","284,459","283,352"
.18 to 64 years,"2,604,328","2,619,013","2,667,362","2,702,736","2,727,952","2,783,100","2,811,265","2,881,188","2,927,753","2,973,120","3,008,571","3,018,780","3,028,487"
.18 to 24 years,"434,378","437,808","448,292","451,126","450,868","465,201","458,368","469,728","474,400","484,270","493,841","492,209","493,276"
.25 to 44 years,"1,327,067","1,328,909","1,334,608","1,332,507","1,324,295","1,332,536","1,329,081","1,349,844","1,353,808","1,359,351","1,354,759","1,342,762","1,346,186"
.45 to 64 years,"842,883","852,296","884,462","919,103","952,789","985,363","1,023,816","1,061,616","1,099,545","1,129,499","1,159,971","1,183,809","1,189,025"
.65 years and over,"311,229","312,805","319,495","326,546","335,110","343,370","356,943","374,904","389,904","408,750","425,379","438,030","440,670"
.,,,,,,,,,,,,,
.16 years and over,"3,036,765","3,053,603","3,111,052","3,156,113","3,190,413","3,256,381","3,302,855","3,397,617","3,463,129","3,525,978","3,578,262","3,601,334","3,613,023"
.18 years and over,"2,915,557","2,931,818","2,986,857","3,029,282","3,063,062","3,126,470","3,168,208","3,256,092","3,317,657","3,381,870","3,433,950","3,456,810","3,469,157"
.15 to 44 years,"1,943,353","1,950,085","1,969,208","1,973,073","1,967,305","1,994,463","1,993,218","2,031,862","2,044,247","2,059,751","2,063,958","2,050,173","2,054,035"
.,,,,,,,,,,,,,
.Median age (years),32.1,32.1,32.3,32.6,32.9,33.0,33.3,33.4,33.6,33.7,33.9,34.1,34.1
FEMALE,"4,159,444","4,180,233","4,256,162","4,327,934","4,394,952","4,463,524","4,555,263","4,670,606","4,777,572","4,856,984","4,917,756","4,958,482","4,970,311"
.Under 5 years,"291,070","291,687","301,157","308,509","315,140","321,466","328,148","332,291","339,625","342,570","338,712","336,112","336,646"
.5 to 9 years,"301,651","300,863","299,453","298,305","297,304","299,332","304,464","315,753","325,555","332,784","337,741","341,252","341,818"
.10 to 14 years,"296,120","298,639","307,528","314,664","320,462","322,665","323,959","327,315","330,026","331,047","334,756","337,107","337,406"
.15 to 19 years,"286,470","288,056","288,837","292,612","298,811","307,138","318,344","329,203","338,772","345,304","347,660","347,065","345,655"
.20 to 24 years,"285,741","289,090","302,294","311,058","314,693","318,148","316,003","318,243","322,022","326,054","331,636","335,603","337,330"
.25 to 29 years,"316,016","315,072","307,756","303,928","303,606","308,494","318,063","332,533","341,780","345,372","344,746","340,104","340,785"
.30 to 34 years,"326,714","327,639","333,783","338,315","340,248","337,671","334,361","329,702","328,669","329,174","332,602","337,246","339,922"
.35 to 39 years,"350,947","351,001","350,032","347,103","343,221","339,969","343,246","353,202","361,126","365,308","362,240","357,605","355,962"
.40 to 44 years,"332,070","334,263","341,838","346,783","351,488","356,323","361,041","362,385","362,054","359,394","355,705","355,383","355,578"
.45 to 49 years,"294,472","297,302","305,000","315,101","323,609","330,524","339,853","348,856","356,168","361,866","367,182","369,524","368,737"
.50 to 54 years,"260,577","264,336","278,689","280,043","284,979","290,954","299,339","308,809","321,021","330,455","337,883","344,248","345,606"
.55 to 59 years,"193,330","195,246","202,751","221,908","234,342","248,253","264,370","280,259","283,744","289,224","296,053","301,772","303,798"
.60 to 64 years,"150,218","151,404","156,520","163,777","174,503","183,274","192,460","201,186","221,927","234,844","249,562","261,456","264,451"
.65 to 69 years,"128,800","128,976","131,718","133,689","137,064","141,109","146,229","154,561","162,323","173,851","183,177","189,657","190,971"
.70 to 74 years,"114,202","114,344","114,127","114,778","115,765","116,233","119,462","124,248","126,792","130,117","134,789","137,709","138,513"
.75 to 79 years,"96,807","97,279","97,696","97,953","98,446","98,536","99,447","100,865","102,105","102,856","103,653","105,579","105,557"
.80 to 84 years,"68,770","69,302","71,416","73,225","74,608","75,885","76,550","78,330","78,910","79,752","80,525","80,548","80,525"
.85 years and over,"65,469","65,734","65,567","66,183","66,663","67,550","69,924","72,865","74,953","77,012","79,134","80,512","81,051"
.,,,,,,,,,,,,,
.Under 18 years,"1,057,691","1,061,324","1,081,371","1,098,744","1,113,931","1,129,597","1,151,153","1,176,899","1,201,490","1,213,108","1,216,641","1,219,191","1,219,868"
.Under 5 years,"291,070","291,687","301,157","308,509","315,140","321,466","328,148","332,291","339,625","342,570","338,712","336,112","336,646"
.5 to 13 years,"540,528","542,149","548,170","552,475","555,106","556,212","562,404","576,465","588,393","597,917","606,329","612,019","613,257"
.14 to 17 years,"226,093","227,488","232,044","237,760","243,685","251,919","260,601","268,143","273,472","272,621","271,600","271,060","269,965"
.18 to 64 years,"2,627,705","2,643,274","2,694,267","2,743,362","2,788,475","2,834,614","2,892,498","2,962,838","3,030,999","3,080,288","3,119,837","3,145,286","3,153,826"
.18 to 24 years,"403,361","407,011","417,898","426,404","432,479","439,152","439,765","445,906","454,510","464,651","473,864","477,948","478,987"
.25 to 44 years,"1,325,747","1,327,975","1,333,409","1,336,129","1,338,563","1,342,457","1,356,711","1,377,822","1,393,629","1,399,248","1,395,293","1,390,338","1,392,247"
.45 to 64 years,"898,597","908,288","942,960","980,829","1,017,433","1,053,005","1,096,022","1,139,110","1,182,860","1,216,389","1,250,680","1,277,000","1,282,592"
.65 years and over,"474,048","475,635","480,524","485,828","492,546","499,313","511,612","530,869","545,083","563,588","581,278","594,005","596,617"
.,,,,,,,,,,,,,
.16 years and over,"3,214,045","3,231,643","3,289,865","3,346,792","3,400,681","3,456,632","3,531,393","3,627,417","3,713,973","3,781,975","3,839,364","3,876,861","3,887,289"
.18 years and over,"3,101,753","3,118,909","3,174,791","3,229,190","3,281,021","3,333,927","3,404,110","3,493,707","3,576,082","3,643,876","3,701,115","3,739,291","3,750,443"
.15 to 44 years,"1,897,958","1,905,121","1,924,540","1,939,799","1,952,067","1,967,743","1,991,058","2,025,268","2,054,423","2,070,606","2,074,589","2,073,006","2,075,232"
.,,,,,,,,,,,,,
.Median age (years),34.6,34.7,34.8,34.9,35.1,35.2,35.5,35.7,35.9,36.1,36.3,36.5,36.5
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Georgia: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-13)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
