Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1907",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"87,008,000 ","44,682,000 ","42,326,000 ","77,055,000 ","39,683,000 ","37,372,000 ","9,953,000 ","4,999,000 ","4,954,000 "
,,,,,,,,,
0,"2,086,000 ","1,059,000 ","1,027,000 ","1,829,000 ","930,000 ","899,000 ","257,000 ","129,000 ","128,000 "
1,"2,069,000 ","1,047,000 ","1,022,000 ","1,808,000 ","917,000 ","891,000 ","261,000 ","130,000 ","131,000 "
2,"2,049,000 ","1,035,000 ","1,014,000 ","1,785,000 ","904,000 ","881,000 ","264,000 ","131,000 ","133,000 "
3,"2,023,000 ","1,021,000 ","1,002,000 ","1,759,000 ","890,000 ","869,000 ","264,000 ","131,000 ","133,000 "
4,"1,993,000 ","1,005,000 ","988,000 ","1,730,000 ","875,000 ","855,000 ","263,000 ","130,000 ","133,000 "
5,"1,963,000 ","990,000 ","973,000 ","1,701,000 ","860,000 ","841,000 ","262,000 ","130,000 ","132,000 "
6,"1,930,000 ","973,000 ","957,000 ","1,670,000 ","844,000 ","826,000 ","260,000 ","129,000 ","131,000 "
7,"1,896,000 ","956,000 ","940,000 ","1,640,000 ","829,000 ","811,000 ","256,000 ","127,000 ","129,000 "
8,"1,861,000 ","939,000 ","922,000 ","1,610,000 ","814,000 ","796,000 ","251,000 ","125,000 ","126,000 "
9,"1,830,000 ","924,000 ","906,000 ","1,583,000 ","801,000 ","782,000 ","247,000 ","123,000 ","124,000 "
10,"1,797,000 ","908,000 ","889,000 ","1,555,000 ","787,000 ","768,000 ","242,000 ","121,000 ","121,000 "
11,"1,765,000 ","893,000 ","872,000 ","1,528,000 ","774,000 ","754,000 ","237,000 ","119,000 ","118,000 "
