table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for North Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.45 to 49 years,"277,692","279,902","287,955","296,572","304,774","309,712","317,601","325,722","332,278","336,659","341,363","341,432","340,751"
.50 to 54 years,"250,276","253,467","265,628","266,091","269,736","275,804","283,347","292,042","303,176","312,742","318,573","323,702","324,930"
.55 to 59 years,"192,330","193,922","201,338","219,677","231,384","243,119","256,426","269,027","271,620","274,884","280,862","285,244","287,230"
.60 to 64 years,"152,110","153,139","157,708","164,824","175,552","184,538","192,824","201,561","220,885","233,312","245,384","255,034","257,971"
.65 to 69 years,"128,900","129,114","131,887","134,877","138,220","142,411","146,510","153,615","161,427","172,886","182,077","188,125","189,565"
.70 to 74 years,"108,550","108,964","109,486","109,746","110,811","111,544","114,472","119,193","122,410","126,132","130,339","133,021","133,959"
.75 to 79 years,"79,748","80,227","81,241","82,912","84,934","86,169","87,322","89,596","90,676","92,150","92,908","94,981","95,116"
.80 to 84 years,"44,408","44,908","47,315","49,709","51,228","53,291","55,385","57,242","59,045","61,125","62,659","63,573","63,810"
.85 years and over,"27,364","27,556","28,205","29,027","30,428","31,805","33,409","35,991","38,115","39,886","42,374","44,256","44,703"
.,,,,,,,,,,,,,
.Under 18 years,"1,006,109","1,007,862","1,025,963","1,041,423","1,054,392","1,066,939","1,086,357","1,108,752","1,135,836","1,153,169","1,163,279","1,167,303","1,168,082"
.Under 5 years,"276,321","276,447","283,953","289,964","294,304","297,617","303,441","307,280","315,288","321,704","323,817","322,871","323,245"
.5 to 13 years,"515,381","516,074","521,893","525,124","528,373","529,311","534,095","545,547","558,746","569,609","577,859","583,910","585,220"
.14 to 17 years,"214,407","215,341","220,117","226,335","231,715","240,011","248,821","255,925","261,802","261,856","261,603","260,522","259,617"
.18 to 64 years,"2,546,575","2,563,949","2,598,708","2,628,328","2,638,587","2,684,923","2,724,763","2,789,729","2,833,215","2,892,725","2,929,429","2,954,233","2,963,734"
.18 to 24 years,"420,249","427,748","430,286","432,422","419,860","433,887","439,833","455,450","451,461","466,188","474,643","478,182","479,095"
.25 to 44 years,"1,253,918","1,255,771","1,255,793","1,248,742","1,237,281","1,237,863","1,234,732","1,245,927","1,253,795","1,268,940","1,268,604","1,270,639","1,273,757"
.45 to 64 years,"872,408","880,430","912,629","947,164","981,446","1,013,173","1,050,198","1,088,352","1,127,959","1,157,597","1,186,182","1,205,412","1,210,882"
.65 years and over,"388,970","390,769","398,134","406,271","415,621","425,220","437,098","455,637","471,673","492,179","510,357","523,956","527,153"
.,,,,,,,,,,,,,
.16 years and over,"3,041,644","3,061,117","3,106,295","3,147,278","3,168,360","3,227,157","3,283,166","3,372,820","3,437,750","3,518,404","3,572,640","3,610,138","3,622,267"
.18 years and over,"2,935,545","2,954,718","2,996,842","3,034,599","3,054,208","3,110,143","3,161,861","3,245,366","3,304,888","3,384,904","3,439,786","3,478,189","3,490,887"
.15 to 44 years,"1,834,283","1,844,638","1,850,642","1,850,181","1,829,479","1,848,969","1,859,909","1,893,664","1,903,415","1,933,509","1,940,669","1,945,558","1,949,075"
.,,,,,,,,,,,,,
.Median age (years),33.8,33.8,34.0,34.3,34.7,34.9,35.1,35.3,35.6,35.7,35.9,36.0,36.0
FEMALE,"4,104,692","4,119,034","4,187,317","4,250,179","4,313,901","4,376,070","4,457,189","4,563,152","4,677,313","4,771,376","4,846,501","4,889,991","4,902,589"
.Under 5 years,"263,177","263,419","271,317","276,956","281,474","285,825","289,940","294,086","301,657","308,096","310,204","309,169","309,578"
.5 to 9 years,"274,057","272,996","271,089","269,330","268,835","270,065","275,930","286,573","296,792","303,118","308,441","311,045","311,668"
.10 to 14 years,"270,174","271,962","280,468","286,940","291,795","293,658","293,568","294,286","297,814","300,494","304,578","308,309","308,674"
.15 to 19 years,"261,134","262,133","266,937","272,653","279,109","286,693","296,626","305,573","314,470","320,300","322,835","321,320","320,110"
.20 to 24 years,"273,276","276,065","282,439","285,973","287,849","289,591","292,509","298,583","304,871","311,379","319,143","324,925","326,508"
.25 to 29 years,"294,120","292,656","283,854","279,530","280,111","284,358","288,860","297,511","305,879","311,888","314,140","315,537","316,312"
.30 to 34 years,"302,586","302,961","310,669","314,644","314,898","313,025","309,482","304,696","304,586","308,678","313,575","314,750","317,310"
.35 to 39 years,"329,080","328,450","325,332","322,004","318,019","314,878","318,943","329,689","338,722","341,902","340,206","335,162","333,442"
.40 to 44 years,"320,738","322,192","328,645","332,109","336,441","339,777","342,062","340,828","341,490","339,499","337,147","337,656","337,871"
.45 to 49 years,"292,668","294,893","303,307","311,461","319,195","324,440","332,290","339,932","346,841","352,217","356,777","357,321","356,452"
.50 to 54 years,"264,433","267,717","281,512","283,084","288,723","296,069","304,689","314,706","325,804","334,887","341,228","346,191","347,523"
.55 to 59 years,"207,871","209,502","217,314","236,442","249,041","261,902","276,923","292,195","296,525","302,012","310,046","315,478","317,656"
.60 to 64 years,"171,369","172,370","176,292","184,141","195,017","204,467","213,845","223,306","244,246","258,388","271,888","283,005","286,248"
.65 to 69 years,"153,921","154,023","156,850","158,921","162,276","166,681","170,356","177,505","186,247","197,650","207,743","214,899","216,437"
.70 to 74 years,"142,367","142,490","142,348","142,135","142,025","141,490","143,818","148,713","151,103","155,170","159,346","161,522","162,479"
.75 to 79 years,"121,680","122,210","122,343","122,975","124,280","124,299","124,701","126,664","126,826","127,584","127,075","128,674","128,637"
.80 to 84 years,"83,948","84,587","87,133","90,212","92,255","94,842","96,305","97,811","99,268","100,979","101,408","101,823","101,814"
.85 years and over,"78,093","78,408","79,468","80,669","82,558","84,010","86,342","90,495","94,172","97,135","100,721","103,205","103,870"
.,,,,,,,,,,,,,
.Under 18 years,"957,892","959,764","977,819","993,028","1,006,446","1,018,226","1,036,128","1,057,641","1,083,332","1,098,932","1,109,676","1,114,332","1,115,151"
.Under 5 years,"263,177","263,419","271,317","276,956","281,474","285,825","289,940","294,086","301,657","308,096","310,204","309,169","309,578"
.5 to 13 years,"492,206","492,899","498,362","500,891","503,477","502,945","509,014","520,605","533,350","543,153","552,150","558,928","560,204"
.14 to 17 years,"202,509","203,446","208,140","215,181","221,495","229,456","237,174","242,950","248,325","247,683","247,322","246,235","245,369"
.18 to 64 years,"2,566,791","2,577,552","2,621,356","2,662,239","2,704,061","2,746,522","2,799,539","2,864,323","2,936,365","2,993,926","3,040,532","3,065,536","3,074,201"
.18 to 24 years,"383,926","386,811","394,431","398,824","402,616","407,606","412,445","421,460","432,272","444,455","455,525","460,436","461,387"
.25 to 44 years,"1,246,524","1,246,259","1,248,500","1,248,287","1,249,469","1,252,038","1,259,347","1,272,724","1,290,677","1,301,967","1,305,068","1,303,105","1,304,935"
.45 to 64 years,"936,341","944,482","978,425","1,015,128","1,051,976","1,086,878","1,127,747","1,170,139","1,213,416","1,247,504","1,279,939","1,301,995","1,307,879"
.65 years and over,"580,009","581,718","588,142","594,912","603,394","611,322","621,522","641,188","657,616","678,518","696,293","710,123","713,237"
.,,,,,,,,,,,,,
.16 years and over,"3,246,596","3,259,313","3,311,763","3,363,195","3,415,906","3,468,997","3,536,339","3,626,801","3,719,686","3,797,687","3,862,234","3,900,432","3,911,595"
.18 years and over,"3,146,800","3,159,270","3,209,498","3,257,151","3,307,455","3,357,844","3,421,061","3,505,511","3,593,981","3,672,444","3,736,825","3,775,659","3,787,438"
.15 to 44 years,"1,780,934","1,784,457","1,797,876","1,806,913","1,816,427","1,828,322","1,848,482","1,876,880","1,910,018","1,933,646","1,947,046","1,949,350","1,951,553"
.,,,,,,,,,,,,,
.Median age (years),36.7,36.8,37.0,37.3,37.5,37.7,37.8,38.0,38.1,38.2,38.5,38.7,38.7
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for North Carolina: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-37)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
