table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Kentucky: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,042,193","4,049,021","4,068,132","4,089,875","4,117,170","4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074","4,339,367","4,346,266"
.Under 5 years,"265,938","265,623","267,051","268,058","270,138","271,105","272,662","273,554","277,446","281,467","281,897","282,367","282,131"
.5 to 9 years,"279,299","277,905","274,560","271,537","270,774","270,177","271,115","274,947","277,128","280,030","281,273","282,888","283,026"
.10 to 14 years,"279,528","280,559","282,920","285,966","288,530","287,818","286,751","285,818","283,057","283,043","283,632","284,154","284,154"
.15 to 19 years,"288,949","290,057","285,310","284,083","283,425","284,360","288,741","291,818","295,381","298,442","297,544","296,795","295,390"
.20 to 24 years,"283,052","284,962","295,534","299,655","300,426","302,230","298,829","290,187","290,952","286,571","288,397","289,968","290,970"
.25 to 29 years,"281,185","278,770","268,522","262,975","262,367","266,871","273,526","282,467","288,005","287,967","288,637","285,296","286,336"
.30 to 34 years,"287,018","286,901","288,426","289,407","287,976","285,333","280,989","272,602","270,066","270,962","275,654","280,920","283,196"
.35 to 39 years,"321,986","320,703","313,491","306,192","298,435","293,116","289,885","292,945","294,678","293,111","289,005","285,411","283,513"
.40 to 44 years,"320,794","321,487","323,852","323,048","321,802","322,232","319,475","314,527","307,953","300,901","294,397","291,251","291,217"
.45 to 49 years,"294,015","295,867","300,584","307,095","314,054","317,466","320,751","324,805","324,881","324,724","324,971","323,642","322,471"
.50 to 54 years,"262,982","265,691","278,427","277,686","281,916","286,139","293,231","299,799","305,760","313,357","316,746","319,455","320,335"
.55 to 59 years,"204,505","205,915","209,278","225,926","235,622","247,717","260,877","274,714","274,363","279,013","283,002","288,027","289,764"
.60 to 64 years,"168,124","168,986","173,020","179,629","187,971","192,768","198,043","202,771","218,956","229,628","241,381","250,966","253,369"
.65 to 69 years,"144,671","144,387","145,638","146,696","150,161","153,922","157,803","162,739","169,278","176,939","182,020","185,664","186,836"
.70 to 74 years,"129,277","129,202","128,712","127,398","126,706","126,759","127,738","129,847","131,176","134,240","137,694","139,650","140,339"
.75 to 79 years,"104,767","105,010","104,661","104,644","104,991","104,236","105,199","106,045","105,365","105,001","105,110","105,392","105,244"
.80 to 84 years,"67,836","68,356","69,475","71,569","73,306","74,621","76,281","76,666","77,480","77,903","77,759","78,313","78,329"
.85 years and over,"58,267","58,640","58,671","58,311","58,570","59,231","60,846","62,988","64,747","66,579","67,955","69,208","69,646"
.,,,,,,,,,,,,,
.Under 18 years,"994,940","994,984","994,105","995,251","998,485","998,459","1,004,020","1,011,295","1,016,288","1,022,001","1,021,710","1,023,371","1,022,727"
.Under 5 years,"265,938","265,623","267,051","268,058","270,138","271,105","272,662","273,554","277,446","281,467","281,897","282,367","282,131"
.5 to 13 years,"502,823","502,610","501,989","502,166","502,500","499,158","499,478","502,268","502,798","506,373","507,704","510,751","511,213"
.14 to 17 years,"226,179","226,751","225,065","225,027","225,847","228,196","231,880","235,473","236,044","234,161","232,109","230,253","229,383"
.18 to 64 years,"2,542,435","2,548,442","2,566,870","2,586,006","2,604,951","2,628,873","2,650,855","2,669,659","2,692,338","2,707,215","2,724,826","2,737,769","2,743,145"
.18 to 24 years,"401,826","404,122","411,270","414,048","414,808","417,231","414,078","405,029","407,676","407,552","411,033","412,801","412,944"
.25 to 44 years,"1,210,983","1,207,861","1,194,291","1,181,622","1,170,580","1,167,552","1,163,875","1,162,541","1,160,702","1,152,941","1,147,693","1,142,878","1,144,262"
.45 to 64 years,"929,626","936,459","961,309","990,336","1,019,563","1,044,090","1,072,902","1,102,089","1,123,960","1,146,722","1,166,100","1,182,090","1,185,939"
.65 years and over,"504,818","505,595","507,157","508,618","513,734","518,769","527,867","538,285","548,046","560,662","570,538","578,227","580,394"
.,,,,,,,,,,,,,
