table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Colorado: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
MALE,"2,166,390","2,179,179","2,229,982","2,261,741","2,275,518","2,300,502","2,323,650","2,367,463","2,407,435","2,450,670","2,491,485","2,520,662","2,531,054"
.Under 5 years,"152,378","153,060","157,900","161,663","164,954","166,756","169,234","171,290","173,780","175,524","176,517","176,361","176,629"
.5 to 9 years,"158,146","158,158","158,011","156,623","155,076","154,655","155,911","160,017","164,878","170,188","174,777","177,782","178,533"
.10 to 14 years,"160,147","161,570","164,533","166,278","166,912","166,236","165,204","165,330","165,455","166,167","168,580","170,192","170,756"
.15 to 19 years,"160,007","161,258","166,418","169,231","170,187","170,166","172,217","173,697","175,173","176,448","176,675","175,730","175,495"
.20 to 24 years,"162,642","164,082","170,950","174,973","175,096","177,617","177,397","179,439","178,814","179,712","180,255","181,765","182,711"
.25 to 29 years,"175,623","175,274","173,708","172,056","167,814","170,321","169,042","174,160","178,266","184,869","188,121","192,007","193,090"
.30 to 34 years,"172,931","173,706","181,109","184,737","182,753","181,696","176,714","173,945","173,676","175,372","178,929","181,317","182,853"
.35 to 39 years,"185,744","185,894","182,947","177,985","173,084","171,972","173,791","179,557","183,436","184,936","184,263","182,350","181,803"
.40 to 44 years,"186,666","187,841","190,740","190,505","187,994","186,829","183,190","180,052","176,401","174,038","173,710","175,758","176,254"
.45 to 49 years,"167,918","169,536","173,483","177,701","180,318","181,738","184,545","186,936","187,722","187,603","187,440","185,148","185,048"
.50 to 54 years,"140,478","142,404","152,062","153,860","157,603","161,728","166,208","170,180","174,986","178,910","181,872","184,243","185,144"
.55 to 59 years,"96,360","97,373","102,262","113,492","121,264","128,771","137,574","146,968","149,289","153,533","158,514","161,766","163,096"
.60 to 64 years,"70,757","71,412","74,362","77,867","83,216","87,870","92,588","97,450","109,195","117,445","125,783","132,389","133,960"
.65 to 69 years,"57,681","57,798","58,713","59,617","61,439","63,800","66,283","69,726","73,516","78,730","83,856","87,734","88,579"
.70 to 74 years,"47,277","47,495","48,440","49,287","49,856","49,963","50,962","52,465","53,851","55,779","58,153","59,773","60,309"
.75 to 79 years,"36,048","36,300","36,651","36,707","37,212","37,867","38,849","40,298","41,372","41,984","42,538","43,456","43,504"
.80 to 84 years,"21,430","21,711","22,971","24,087","25,040","25,805","26,207","26,959","27,426","28,292","29,046","29,773","29,904"
.85 years and over,"14,157","14,307","14,722","15,072","15,700","16,712","17,734","18,994","20,199","21,140","22,456","23,118","23,386"
.,,,,,,,,,,,,,
.Under 18 years,"565,809","568,707","578,200","584,373","587,412","587,894","592,392","599,953","609,136","616,223","623,651","627,475","629,066"
.Under 5 years,"152,378","153,060","157,900","161,663","164,954","166,756","169,234","171,290","173,780","175,524","176,517","176,361","176,629"
.5 to 13 years,"286,424","287,797","289,820","290,021","289,160","286,694","287,512","291,495","296,829","303,381","309,747","314,361","315,769"
.14 to 17 years,"127,007","127,850","130,480","132,689","133,298","134,444","135,646","137,168","138,527","137,318","137,387","136,753","136,668"
.18 to 64 years,"1,423,988","1,432,861","1,470,285","1,492,598","1,498,859","1,518,461","1,531,223","1,559,068","1,581,935","1,608,522","1,631,785","1,649,333","1,656,306"
.18 to 24 years,"227,511","229,421","239,612","244,395","244,813","247,536","247,571","249,820","248,964","251,816","253,153","254,355","255,058"
.25 to 44 years,"720,964","722,715","728,504","725,283","711,645","710,818","702,737","707,714","711,779","719,215","725,023","731,432","734,000"
.45 to 64 years,"475,513","480,725","502,169","522,920","542,401","560,107","580,915","601,534","621,192","637,491","653,609","663,546","667,248"
.65 years and over,"176,593","177,611","181,497","184,770","189,247","194,147","200,035","208,442","216,364","225,925","236,049","243,854","245,682"
.,,,,,,,,,,,,,
.16 years and over,"1,664,028","1,674,211","1,717,006","1,743,960","1,755,213","1,779,765","1,798,427","1,836,466","1,868,580","1,904,458","1,937,810","1,962,109","1,970,787"
.18 years and over,"1,600,581","1,610,472","1,651,782","1,677,368","1,688,106","1,712,608","1,731,258","1,767,510","1,798,299","1,834,447","1,867,834","1,893,187","1,901,988"
.15 to 44 years,"1,043,613","1,048,055","1,065,872","1,069,487","1,056,928","1,058,601","1,052,351","1,060,850","1,065,766","1,075,375","1,081,953","1,088,927","1,092,206"
.,,,,,,,,,,,,,
.Median age (years),33.2,33.3,33.3,33.4,33.8,34.0,34.4,34.6,34.8,34.9,35.1,35.1,35.1
FEMALE,"2,135,696","2,147,742","2,195,705","2,228,665","2,253,214","2,274,511","2,308,238","2,352,960","2,396,433","2,439,060","2,480,710","2,508,534","2,518,017"
.Under 5 years,"145,174","145,853","151,329","154,516","157,388","159,230","161,623","163,180","166,062","167,333","167,211","167,599","167,901"
.5 to 9 years,"150,341","150,351","150,208","149,113","147,635","147,230","148,963","153,973","158,089","162,926","168,049","170,821","171,539"
.10 to 14 years,"151,410","152,796","155,788","157,508","158,678","158,221","157,518","157,638","157,872","158,568","160,452","162,462","163,028"
.15 to 19 years,"147,295","148,197","152,640","154,481","155,598","156,480","158,834","160,426","162,136","163,932","164,549","163,745","163,494"
.20 to 24 years,"143,640","145,016","152,582","157,988","159,739","161,168","162,159","164,229","163,106","163,995","165,458","166,850","167,741"
.25 to 29 years,"156,230","155,836","154,554","153,942","154,274","155,801","158,762","164,307","170,782","175,208","179,263","180,452","181,030"
.30 to 34 years,"159,366","160,076","165,274","168,076","167,995","165,807","162,822","161,002","162,083","165,195","168,934","172,502","173,975"
.35 to 39 years,"180,415","180,478","176,104","170,878","165,613","163,074","164,887","168,682","172,512","174,073","173,178","171,255","170,668"
.40 to 44 years,"184,127","185,344","188,184","188,735","188,128","186,278","183,478","178,746","174,065","170,563","169,243","170,281","170,715"
.45 to 49 years,"166,984","168,545","173,361","177,734","180,258","181,573","184,849","187,589","188,775","189,244","188,881","186,487","186,268"
.50 to 54 years,"138,843","140,724","150,367","152,466","157,745","162,414","167,016","172,258","177,408","181,146","184,241","186,820","187,757"
.55 to 59 years,"98,395","99,376","103,862","114,687","121,824","129,320","138,565","148,449","151,628","157,540","163,181","166,598","167,926"
.60 to 64 years,"73,862","74,475","77,508","81,514","87,371","91,999","97,213","101,857","113,320","121,127","129,739","136,891","138,510"
.65 to 69 years,"63,586","63,667","64,359","65,047","66,676","69,222","71,608","75,416","79,889","85,770","90,921","94,758","95,592"
.70 to 74 years,"57,857","57,979","58,030","58,000","58,081","58,161","58,924","60,313","61,440","63,190","66,015","67,695","68,205"
.75 to 79 years,"49,895","50,156","50,713","50,963","51,258","51,151","51,390","52,336","52,574","52,509","52,779","53,452","53,430"
.80 to 84 years,"34,209","34,562","36,030","37,667","38,590","40,147","41,059","42,157","42,536","42,983","43,126","43,371","43,398"
.85 years and over,"34,067","34,311","34,812","35,350","36,363","37,235","38,568","40,402","42,156","43,758","45,490","46,495","46,840"
.,,,,,,,,,,,,,
.Under 18 years,"535,187","537,969","548,447","553,900","557,185","558,475","564,007","571,879","580,298","587,066","593,562","598,134","599,683"
.Under 5 years,"145,174","145,853","151,329","154,516","157,388","159,230","161,623","163,180","166,062","167,333","167,211","167,599","167,901"
.5 to 13 years,"271,618","272,899","275,390","275,626","275,102","273,080","274,401","279,446","283,694","289,878","296,749","301,427","302,771"
.14 to 17 years,"118,395","119,217","121,728","123,758","124,695","126,165","127,983","129,253","130,542","129,855","129,602","129,108","129,011"
.18 to 64 years,"1,360,895","1,369,098","1,403,314","1,427,738","1,445,061","1,460,120","1,482,682","1,510,457","1,537,540","1,563,784","1,588,817","1,604,629","1,610,869"
.18 to 24 years,"202,673","204,244","214,100","219,706","221,853","223,854","225,090","227,567","226,967","229,688","232,157","233,343","234,020"
.25 to 44 years,"680,138","681,734","684,116","681,631","676,010","670,960","669,949","672,737","679,442","685,039","690,618","694,490","696,388"
.45 to 64 years,"478,084","483,120","505,098","526,401","547,198","565,306","587,643","610,153","631,131","649,057","666,042","676,796","680,461"
.65 years and over,"239,614","240,675","243,944","247,027","250,968","255,916","261,549","270,624","278,595","288,210","298,331","305,771","307,465"
.,,,,,,,,,,,,,
.16 years and over,"1,659,077","1,668,623","1,707,766","1,736,673","1,758,301","1,778,573","1,807,487","1,845,870","1,881,990","1,917,822","1,953,142","1,975,722","1,983,499"
.18 years and over,"1,600,509","1,609,773","1,647,258","1,674,765","1,696,029","1,716,036","1,744,231","1,781,081","1,816,135","1,851,994","1,887,148","1,910,400","1,918,334"
.15 to 44 years,"971,073","974,947","989,338","994,100","991,347","988,608","990,942","997,392","1,004,684","1,012,966","1,020,625","1,025,085","1,027,623"
.,,,,,,,,,,,,,
.Median age (years),35.4,35.5,35.5,35.6,35.8,36.0,36.2,36.5,36.7,36.9,37.0,37.1,37.1
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Colorado: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-08)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
