table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for North Dakota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"642,237","642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968","672,591","674,499"
.Under 5 years,"39,402","39,265","38,140","37,688","37,534","38,353","38,881","39,843","41,023","42,227","43,590","44,595","44,676"
.5 to 9 years,"42,985","42,674","41,482","40,437","39,866","39,155","38,755","38,214","38,304","38,530","39,284","40,076","40,225"
.10 to 14 years,"47,463","47,496","46,102","45,415","44,440","43,684","42,713","41,869","40,978","40,508","39,961","39,790","39,921"
.15 to 19 years,"53,616","53,733","55,360","54,264","53,051","52,541","51,351","50,296","49,571","48,731","48,054","47,474","47,390"
.20 to 24 years,"50,505","50,678","51,488","54,122","57,270","60,444","61,691","63,101","60,345","59,773","58,792","58,956","59,284"
.25 to 29 years,"38,796","38,359","36,604","35,694","35,166","35,776","35,991","37,963","42,104","44,815","47,584","49,596","49,890"
.30 to 34 years,"38,097","38,035","37,773","37,499","37,760","38,231","38,299","37,575","37,712","37,844","39,644","40,889","41,224"
.35 to 39 years,"46,987","46,679","43,956","41,727","39,372","38,063","37,321","37,177","37,167","37,068","36,994","37,065","36,794"
.40 to 44 years,"51,016","51,021","50,298","49,459","48,466","47,304","45,530","43,399","41,478","39,601","38,455","38,197","38,170"
.45 to 49 years,"47,437","47,600","48,781","49,267","49,558","49,849","49,879","49,518","48,906","48,213","47,365","46,380","46,202"
.50 to 54 years,"37,998","38,265","40,379","41,598","43,274","45,090","46,674","48,076","48,781","49,362","49,898","50,277","50,410"
.55 to 59 years,"28,932","29,055","29,817","32,011","33,427","35,079","37,218","39,287","40,811","42,662","44,607","45,946","46,236"
.60 to 64 years,"24,508","24,578","24,637","24,996","25,865","26,827","27,830","28,722","30,914","32,450","34,168","35,873","36,214"
.65 to 69 years,"23,148","23,067","23,021","23,005","23,013","23,233","23,057","23,195","23,589","24,409","25,286","26,028","26,204"
.70 to 74 years,"22,767","22,714","22,268","21,933","21,520","21,061","20,805","20,929","20,861","20,930","20,988","20,845","20,960"
.75 to 79 years,"19,085","19,101","19,169","19,091","19,254","19,493","19,509","19,139","19,018","18,822","18,421","18,368","18,344"
.80 to 84 years,"14,768","14,871","14,863","14,910","14,775","15,000","15,051","15,226","15,193","15,415","15,515","15,548","15,557"
.85 years and over,"14,727","14,832","14,924","15,052","15,206","15,522","15,534","15,893","16,067","16,209","16,362","16,688","16,798"
.,,,,,,,,,,,,,
.Under 18 years,"160,850","160,477","156,113","153,097","150,406","149,128","148,119","147,331","147,263","147,462","148,674","149,871","150,226"
.Under 5 years,"39,402","39,265","38,140","37,688","37,534","38,353","38,881","39,843","41,023","42,227","43,590","44,595","44,676"
.5 to 13 years,"80,407","80,181","78,207","76,621","75,134","73,667","72,669","71,395","70,978","70,710","71,151","71,789","72,076"
.14 to 17 years,"41,041","41,031","39,766","38,788","37,738","37,108","36,569","36,093","35,262","34,525","33,933","33,487","33,474"
.18 to 64 years,"386,892","386,961","388,704","391,080","394,643","401,268","404,014","407,709","410,831","414,322","419,722","425,243","426,410"
.18 to 24 years,"73,121","73,369","76,459","78,829","81,755","85,049","85,272","85,992","82,958","82,307","81,007","81,020","81,270"
.25 to 44 years,"174,896","174,094","168,631","164,379","160,764","159,374","157,141","156,114","158,461","159,328","162,677","165,747","166,078"
.45 to 64 years,"138,875","139,498","143,614","147,872","152,124","156,845","161,601","165,603","169,412","172,687","176,038","178,476","179,062"
.65 years and over,"94,495","94,585","94,245","93,991","93,768","94,309","93,956","94,382","94,728","95,785","96,572","97,477","97,863"
.,,,,,,,,,,,,,
.16 years and over,"502,210","502,338","503,367","505,230","507,781","514,266","516,543","520,692","523,759","527,982","533,689","539,946","541,464"
.18 years and over,"481,387","481,546","482,949","485,071","488,411","495,577","497,970","502,091","505,559","510,107","516,294","522,720","524,273"
.15 to 44 years,"279,017","278,505","275,479","272,765","271,085","272,359","270,183","269,511","268,377","267,832","269,523","272,177","272,752"
.,,,,,,,,,,,,,
.Median age (years),36.2,36.2,36.6,36.9,37.0,36.9,37.0,37.1,37.2,37.3,37.2,37.0,37.0
MALE,"320,545","320,468","319,275","319,151","319,921","323,697","324,546","326,839","328,756","331,438","335,294","339,864","340,878"
.Under 5 years,"20,187","20,116","19,500","19,321","19,317","19,625","19,876","20,403","21,140","21,714","22,407","22,821","22,859"
.5 to 9 years,"22,000","21,847","21,392","20,696","20,381","20,050","19,930","19,626","19,651","19,822","20,081","20,520","20,594"
.10 to 14 years,"24,498","24,510","23,670","23,411","22,801","22,462","21,864","21,515","20,952","20,671","20,403","20,361","20,422"
.15 to 19 years,"27,759","27,841","28,729","28,137","27,670","27,348","26,851","26,081","25,773","25,206","24,921","24,626","24,582"
.20 to 24 years,"26,831","26,909","27,404","28,982","30,553","32,526","32,906","33,896","32,371","32,104","31,348","31,530","31,690"
.25 to 29 years,"20,270","20,030","19,082","18,637","18,522","19,013","19,194","20,307","22,433","23,826","25,363","26,451","26,639"
.30 to 34 years,"19,535","19,489","19,458","19,289","19,407","19,633","19,767","19,398","19,556","19,727","20,704","21,601","21,774"
.35 to 39 years,"23,665","23,520","22,178","20,986","19,974","19,483","19,085","19,273","19,242","19,179","19,099","19,209","19,075"
.40 to 44 years,"25,580","25,596","25,177","24,790","24,245","23,759","22,886","21,862","20,833","20,154","19,659","19,617","19,600"
.45 to 49 years,"24,349","24,438","25,079","25,090","25,069","25,111","25,089","24,907","24,625","24,239","23,877","23,461","23,383"
.50 to 54 years,"19,525","19,663","20,815","21,599","22,437","23,335","23,995","24,739","24,871","25,007","25,117","25,306","25,369"
.55 to 59 years,"14,602","14,669","15,014","16,161","17,010","17,907","19,119","20,237","21,171","22,097","23,088","23,634","23,786"
.60 to 64 years,"11,853","11,893","11,963","12,257","12,763","13,368","13,974","14,400","15,545","16,432","17,379","18,300","18,468"
.65 to 69 years,"10,863","10,828","10,802","10,843","10,825","11,061","10,998","11,113","11,428","11,895","12,453","12,902","12,990"
.70 to 74 years,"10,480","10,471","10,217","9,928","9,795","9,534","9,473","9,515","9,554","9,545","9,689","9,635","9,692"
.75 to 79 years,"8,264","8,280","8,377","8,460","8,610","8,667","8,631","8,445","8,268","8,289","8,067","8,125","8,121"
.80 to 84 years,"5,716","5,765","5,799","5,863","5,791","5,949","6,058","6,159","6,226","6,349","6,337","6,314","6,332"
.85 years and over,"4,568","4,603","4,619","4,701","4,751","4,866","4,850","4,963","5,117","5,182","5,302","5,451","5,502"
.,,,,,,,,,,,,,
.Under 18 years,"82,573","82,388","80,141","78,561","77,311","76,569","76,116","75,513","75,652","75,664","76,293","76,788","76,964"
.Under 5 years,"20,187","20,116","19,500","19,321","19,317","19,625","19,876","20,403","21,140","21,714","22,407","22,821","22,859"
.5 to 13 years,"41,301","41,190","40,290","39,207","38,529","37,733","37,370","36,570","36,290","36,192","36,310","36,728","36,870"
.14 to 17 years,"21,085","21,082","20,351","20,033","19,465","19,211","18,870","18,540","18,222","17,758","17,576","17,239","17,235"
.18 to 64 years,"198,081","198,133","199,320","200,795","202,838","207,051","208,420","211,131","212,511","214,514","217,153","220,649","221,277"
.18 to 24 years,"38,702","38,835","40,554","41,986","43,411","45,442","45,311","46,008","44,235","43,853","42,867","43,070","43,183"
.25 to 44 years,"89,050","88,635","85,895","83,702","82,148","81,888","80,932","80,840","82,064","82,886","84,825","86,878","87,088"
.45 to 64 years,"70,329","70,663","72,871","75,107","77,279","79,721","82,177","84,283","86,212","87,775","89,461","90,701","91,006"
.65 years and over,"39,891","39,947","39,814","39,795","39,772","40,077","40,010","40,195","40,593","41,260","41,848","42,427","42,637"
.,,,,,,,,,,,,,
.16 years and over,"248,675","248,771","249,585","250,938","252,565","256,894","258,114","260,894","262,449","264,962","268,090","271,997","272,821"
.18 years and over,"237,972","238,080","239,134","240,590","242,610","247,128","248,430","251,326","253,104","255,774","259,001","263,076","263,914"
.15 to 44 years,"143,640","143,385","142,028","140,821","140,371","141,762","140,689","140,817","140,208","140,196","141,094","143,034","143,360"
.,,,,,,,,,,,,,
.Median age (years),34.8,34.9,35.1,35.3,35.4,35.3,35.5,35.6,35.7,35.7,35.7,35.5,35.5
FEMALE,"321,692","321,555","319,787","319,017","318,896","321,008","321,543","322,583","324,066","326,131","329,674","332,727","333,621"
.Under 5 years,"19,215","19,149","18,640","18,367","18,217","18,728","19,005","19,440","19,883","20,513","21,183","21,774","21,817"
.5 to 9 years,"20,985","20,827","20,090","19,741","19,485","19,105","18,825","18,588","18,653","18,708","19,203","19,556","19,631"
.10 to 14 years,"22,965","22,986","22,432","22,004","21,639","21,222","20,849","20,354","20,026","19,837","19,558","19,429","19,499"
.15 to 19 years,"25,857","25,892","26,631","26,127","25,381","25,193","24,500","24,215","23,798","23,525","23,133","22,848","22,808"
.20 to 24 years,"23,674","23,769","24,084","25,140","26,717","27,918","28,785","29,205","27,974","27,669","27,444","27,426","27,594"
.25 to 29 years,"18,526","18,329","17,522","17,057","16,644","16,763","16,797","17,656","19,671","20,989","22,221","23,145","23,251"
.30 to 34 years,"18,562","18,546","18,315","18,210","18,353","18,598","18,532","18,177","18,156","18,117","18,940","19,288","19,450"
.35 to 39 years,"23,322","23,159","21,778","20,741","19,398","18,580","18,236","17,904","17,925","17,889","17,895","17,856","17,719"
.40 to 44 years,"25,436","25,425","25,121","24,669","24,221","23,545","22,644","21,537","20,645","19,447","18,796","18,580","18,570"
.45 to 49 years,"23,088","23,162","23,702","24,177","24,489","24,738","24,790","24,611","24,281","23,974","23,488","22,919","22,819"
.50 to 54 years,"18,473","18,602","19,564","19,999","20,837","21,755","22,679","23,337","23,910","24,355","24,781","24,971","25,041"
.55 to 59 years,"14,330","14,386","14,803","15,850","16,417","17,172","18,099","19,050","19,640","20,565","21,519","22,312","22,450"
.60 to 64 years,"12,655","12,685","12,674","12,739","13,102","13,459","13,856","14,322","15,369","16,018","16,789","17,573","17,746"
.65 to 69 years,"12,285","12,239","12,219","12,162","12,188","12,172","12,059","12,082","12,161","12,514","12,833","13,126","13,214"
.70 to 74 years,"12,287","12,243","12,051","12,005","11,725","11,527","11,332","11,414","11,307","11,385","11,299","11,210","11,268"
.75 to 79 years,"10,821","10,821","10,792","10,631","10,644","10,826","10,878","10,694","10,750","10,533","10,354","10,243","10,223"
.80 to 84 years,"9,052","9,106","9,064","9,047","8,984","9,051","8,993","9,067","8,967","9,066","9,178","9,234","9,225"
.85 years and over,"10,159","10,229","10,305","10,351","10,455","10,656","10,684","10,930","10,950","11,027","11,060","11,237","11,296"
.,,,,,,,,,,,,,
.Under 18 years,"78,277","78,089","75,972","74,536","73,095","72,559","72,003","71,818","71,611","71,798","72,381","73,083","73,262"
.Under 5 years,"19,215","19,149","18,640","18,367","18,217","18,728","19,005","19,440","19,883","20,513","21,183","21,774","21,817"
