Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1934",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"126,373,773 ","63,726,196 ","62,647,577 ","113,527,128 ","57,369,149 ","56,157,979 ","12,846,645 ","6,357,047 ","6,489,598 "
,,,,,,,,,
0,"1,874,566 ","953,093 ","921,473 ","1,655,616 ","844,869 ","810,747 ","218,950 ","108,224 ","110,726 "
1,"1,917,215 ","969,990 ","947,225 ","1,697,258 ","861,389 ","835,869 ","219,957 ","108,601 ","111,356 "
2,"2,107,742 ","1,063,573 ","1,044,169 ","1,858,959 ","940,780 ","918,179 ","248,783 ","122,793 ","125,990 "
3,"2,204,350 ","1,115,475 ","1,088,875 ","1,945,440 ","987,391 ","958,049 ","258,910 ","128,084 ","130,826 "
4,"2,226,918 ","1,125,710 ","1,101,208 ","1,962,570 ","994,819 ","967,751 ","264,348 ","130,891 ","133,457 "
5,"2,314,488 ","1,178,761 ","1,135,727 ","2,031,915 ","1,036,945 ","994,970 ","282,573 ","141,816 ","140,757 "
6,"2,360,580 ","1,212,036 ","1,148,544 ","2,070,720 ","1,066,260 ","1,004,460 ","289,860 ","145,776 ","144,084 "
7,"2,418,028 ","1,232,465 ","1,185,563 ","2,125,019 ","1,085,836 ","1,039,183 ","293,009 ","146,629 ","146,380 "
8,"2,426,895 ","1,235,121 ","1,191,774 ","2,138,677 ","1,090,530 ","1,048,147 ","288,218 ","144,591 ","143,627 "
9,"2,461,216 ","1,247,884 ","1,213,332 ","2,176,373 ","1,106,173 ","1,070,200 ","284,843 ","141,711 ","143,132 "
10,"2,488,388 ","1,256,323 ","1,232,065 ","2,200,529 ","1,114,339 ","1,086,190 ","287,859 ","141,984 ","145,875 "
