table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Illinois: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"12,419,927","12,434,161","12,488,445","12,525,556","12,556,006","12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778","12,830,632","12,843,166"
.Under 5 years,"876,589","875,385","873,939","872,761","871,830","871,631","865,706","853,782","851,327","847,663","840,275","835,577","834,769"
.5 to 9 years,"929,895","924,569","911,716","895,265","878,647","862,340","849,518","847,980","849,196","851,542","857,360","859,405","859,918"
.10 to 14 years,"905,138","908,672","920,321","930,923","934,873","932,571","923,414","913,671","902,390","892,352","883,928","879,448","879,247"
.15 to 19 years,"894,026","897,721","897,214","895,240","895,952","905,172","914,275","921,587","928,377","931,065","928,201","922,092","917,777"
.20 to 24 years,"850,867","855,309","870,940","877,701","885,309","893,225","887,761","882,932","880,284","876,545","877,648","878,964","881,523"
.25 to 29 years,"891,789","886,378","864,728","855,133","851,314","855,707","866,083","885,291","896,088","910,258","914,697","910,273","911,605"
.30 to 34 years,"919,961","919,791","923,737","923,515","913,055","895,938","872,576","852,538","846,449","847,213","855,772","865,684","870,596"
.35 to 39 years,"996,929","992,982","969,687","944,575","921,738","901,438","894,288","896,374","895,616","886,700","871,430","855,790","850,956"
.40 to 44 years,"987,019","988,790","998,028","996,885","989,314","980,971","962,577","938,217","914,035","893,262","875,346","870,100","869,599"
.45 to 49 years,"873,836","877,971","894,624","914,730","932,188","944,741","956,112","964,149","963,025","956,686","951,529","940,094","936,561"
.50 to 54 years,"752,969","760,140","798,852","798,777","811,359","827,820","846,124","862,914","884,179","903,901","919,619","930,785","932,662"
.55 to 59 years,"577,806","581,134","592,146","633,979","655,253","683,028","720,161","756,726","757,044","773,071","792,394","807,778","811,729"
.60 to 64 years,"462,942","464,665","471,511","487,129","509,631","523,872","533,991","544,441","585,472","607,263","636,573","665,429","671,494"
.65 to 69 years,"397,484","396,176","394,996","395,915","403,600","412,331","416,992","422,623","438,209","459,748","475,070","485,060","487,847"
.70 to 74 years,"374,854","374,113","369,777","362,437","355,695","349,297","345,362","343,777","345,528","352,243","360,531","364,475","366,063"
.75 to 79 years,"316,980","317,375","316,711","315,212","314,438","310,471","309,059","305,729","300,856","295,130","290,359","289,385","289,154"
.80 to 84 years,"218,807","220,139","224,395","228,489","231,567","235,573","237,858","237,652","237,865","237,298","235,236","235,381","235,413"
.85 years and over,"192,036","192,851","195,123","196,890","200,243","203,647","208,046","213,572","219,926","225,098","230,810","234,912","236,253"
.,,,,,,,,,,,,,
.Under 18 years,"3,245,589","3,244,944","3,243,617","3,238,362","3,225,547","3,211,599","3,197,318","3,181,246","3,170,134","3,153,401","3,138,406","3,129,179","3,126,563"
.Under 5 years,"876,589","875,385","873,939","872,761","871,830","871,631","865,706","853,782","851,327","847,663","840,275","835,577","834,769"
.5 to 13 years,"1,656,695","1,655,369","1,656,083","1,645,921","1,629,882","1,604,975","1,585,803","1,577,632","1,568,673","1,562,769","1,560,450","1,559,643","1,561,126"
.14 to 17 years,"712,305","714,190","713,595","719,680","723,835","734,993","745,809","749,832","750,134","742,969","737,681","733,959","730,668"
.18 to 64 years,"7,674,177","7,688,563","7,743,826","7,788,251","7,824,916","7,866,855","7,895,268","7,939,356","7,983,348","8,024,120","8,066,366","8,092,240","8,101,873"
.18 to 24 years,"1,210,926","1,216,712","1,230,513","1,233,528","1,241,064","1,253,340","1,243,356","1,238,706","1,241,440","1,245,766","1,249,006","1,246,307","1,246,671"
