Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1964",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,,,,
All ages,"191,888,791 ","94,517,752 ","97,371,039 ","169,256,724 ","83,539,369 ","85,717,355 ","20,671,914 ","9,972,854 ","10,699,060 ","1,960,153 ","1,005,529 ","954,624 "
,,,,,,,,,,,,
0,"3,946,853 ","2,011,685 ","1,935,168 ","3,343,925 ","1,709,194 ","1,634,731 ","551,381 ","276,653 ","274,728 ","51,547 ","25,838 ","25,709 "
1,"3,998,118 ","2,034,643 ","1,963,475 ","3,395,028 ","1,732,359 ","1,662,669 ","550,688 ","275,654 ","275,034 ","52,402 ","26,630 ","25,772 "
2,"4,013,585 ","2,042,873 ","1,970,712 ","3,411,144 ","1,741,069 ","1,670,075 ","551,122 ","275,731 ","275,391 ","51,319 ","26,073 ","25,246 "
3,"4,115,310 ","2,091,903 ","2,023,407 ","3,506,908 ","1,788,424 ","1,718,484 ","558,058 ","278,117 ","279,941 ","50,344 ","25,362 ","24,982 "
4,"4,090,999 ","2,081,351 ","2,009,648 ","3,489,516 ","1,781,179 ","1,708,337 ","553,300 ","276,062 ","277,238 ","48,183 ","24,110 ","24,073 "
5,"4,114,053 ","2,091,078 ","2,022,975 ","3,504,951 ","1,786,309 ","1,718,642 ","558,759 ","279,419 ","279,340 ","50,343 ","25,350 ","24,993 "
6,"4,119,428 ","2,092,928 ","2,026,500 ","3,521,189 ","1,793,513 ","1,727,676 ","548,410 ","274,326 ","274,084 ","49,829 ","25,089 ","24,740 "
7,"4,144,687 ","2,108,654 ","2,036,033 ","3,537,685 ","1,804,648 ","1,733,037 ","556,903 ","278,734 ","278,169 ","50,099 ","25,272 ","24,827 "
8,"3,935,856 ","2,002,719 ","1,933,137 ","3,369,459 ","1,718,524 ","1,650,935 ","519,834 ","260,635 ","259,199 ","46,563 ","23,560 ","23,003 "
9,"3,921,848 ","1,998,582 ","1,923,266 ","3,363,855 ","1,718,792 ","1,645,063 ","514,120 ","257,655 ","256,465 ","43,873 ","22,135 ","21,738 "
10,"3,933,774 ","2,002,242 ","1,931,532 ","3,376,726 ","1,723,645 ","1,653,081 ","514,331 ","257,097 ","257,234 ","42,717 ","21,500 ","21,217 "
11,"3,786,885 ","1,927,425 ","1,859,460 ","3,267,510 ","1,667,518 ","1,599,992 ","479,398 ","239,795 ","239,603 ","39,977 ","20,112 ","19,865 "
12,"3,707,388 ","1,888,335 ","1,819,053 ","3,200,809 ","1,635,779 ","1,565,030 ","468,003 ","233,175 ","234,828 ","38,576 ","19,381 ","19,195 "
13,"3,580,494 ","1,817,407 ","1,763,087 ","3,085,063 ","1,570,735 ","1,514,328 ","457,965 ","227,841 ","230,124 ","37,466 ","18,831 ","18,635 "
14,"3,538,419 ","1,797,575 ","1,740,844 ","3,054,818 ","1,555,716 ","1,499,102 ","445,113 ","222,389 ","222,724 ","38,488 ","19,470 ","19,018 "
15,"3,513,943 ","1,786,888 ","1,727,055 ","3,051,375 ","1,554,916 ","1,496,459 ","425,289 ","213,059 ","212,230 ","37,279 ","18,913 ","18,366 "
16,"3,462,482 ","1,760,388 ","1,702,094 ","3,033,387 ","1,545,567 ","1,487,820 ","394,105 ","197,108 ","196,997 ","34,990 ","17,713 ","17,277 "
17,"3,758,932 ","1,908,243 ","1,850,689 ","3,334,082 ","1,696,323 ","1,637,759 ","390,488 ","194,458 ","196,030 ","34,362 ","17,462 ","16,900 "
18,"2,762,842 ","1,398,204 ","1,364,638 ","2,427,290 ","1,232,268 ","1,195,022 ","305,909 ","150,872 ","155,037 ","29,643 ","15,064 ","14,579 "
19,"2,752,014 ","1,387,456 ","1,364,558 ","2,416,046 ","1,222,976 ","1,193,070 ","306,002 ","149,146 ","156,856 ","29,966 ","15,334 ","14,632 "
20,"2,846,740 ","1,434,533 ","1,412,207 ","2,504,080 ","1,266,593 ","1,237,487 ","311,714 ","151,473 ","160,241 ","30,946 ","16,467 ","14,479 "
21,"2,984,824 ","1,504,612 ","1,480,212 ","2,646,254 ","1,339,727 ","1,306,527 ","306,672 ","148,113 ","158,559 ","31,898 ","16,772 ","15,126 "
22,"2,618,388 ","1,311,881 ","1,306,507 ","2,296,936 ","1,157,044 ","1,139,892 ","290,283 ","138,848 ","151,435 ","31,169 ","15,989 ","15,180 "
23,"2,460,044 ","1,227,339 ","1,232,705 ","2,151,301 ","1,079,783 ","1,071,518 ","277,287 ","131,833 ","145,454 ","31,456 ","15,723 ","15,733 "
24,"2,358,554 ","1,170,731 ","1,187,823 ","2,066,395 ","1,032,431 ","1,033,964 ","261,490 ","123,609 ","137,881 ","30,669 ","14,691 ","15,978 "
25,"2,308,915 ","1,143,312 ","1,165,603 ","2,027,933 ","1,011,340 ","1,016,593 ","253,812 ","119,094 ","134,718 ","27,170 ","12,878 ","14,292 "
26,"2,265,698 ","1,121,690 ","1,144,008 ","1,992,192 ","993,731 ","998,461 ","247,318 ","115,710 ","131,608 ","26,188 ","12,249 ","13,939 "
27,"2,209,452 ","1,093,200 ","1,116,252 ","1,940,354 ","967,702 ","972,652 ","243,897 ","113,769 ","130,128 ","25,201 ","11,729 ","13,472 "
28,"2,191,294 ","1,085,371 ","1,105,923 ","1,929,887 ","963,644 ","966,243 ","236,535 ","109,999 ","126,536 ","24,872 ","11,728 ","13,144 "
29,"2,192,610 ","1,086,948 ","1,105,662 ","1,925,010 ","961,821 ","963,189 ","237,333 ","110,789 ","126,544 ","30,267 ","14,338 ","15,929 "
30,"2,187,051 ","1,086,010 ","1,101,041 ","1,911,693 ","957,395 ","954,298 ","246,774 ","114,944 ","131,830 ","28,584 ","13,671 ","14,913 "
31,"2,184,852 ","1,086,597 ","1,098,255 ","1,916,335 ","961,198 ","955,137 ","237,130 ","110,255 ","126,875 ","31,387 ","15,144 ","16,243 "
32,"2,246,695 ","1,116,145 ","1,130,550 ","1,970,858 ","987,376 ","983,482 ","243,439 ","113,081 ","130,358 ","32,398 ","15,688 ","16,710 "
33,"2,277,689 ","1,128,861 ","1,148,828 ","2,000,850 ","999,789 ","1,001,061 ","244,519 ","113,526 ","130,993 ","32,320 ","15,546 ","16,774 "
34,"2,332,045 ","1,151,905 ","1,180,140 ","2,049,504 ","1,020,327 ","1,029,177 ","250,907 ","116,551 ","134,356 ","31,634 ","15,027 ","16,607 "
35,"2,372,325 ","1,169,053 ","1,203,272 ","2,093,423 ","1,039,100 ","1,054,323 ","249,135 ","115,931 ","133,204 ","29,767 ","14,022 ","15,745 "
36,"2,413,578 ","1,186,315 ","1,227,263 ","2,134,998 ","1,056,397 ","1,078,601 ","250,078 ","116,581 ","133,497 ","28,502 ","13,337 ","15,165 "
37,"2,446,394 ","1,199,631 ","1,246,763 ","2,169,280 ","1,070,240 ","1,099,040 ","249,689 ","116,509 ","133,180 ","27,425 ","12,882 ","14,543 "
38,"2,470,780 ","1,209,440 ","1,261,340 ","2,196,129 ","1,081,078 ","1,115,051 ","248,000 ","115,650 ","132,350 ","26,651 ","12,712 ","13,939 "
39,"2,492,463 ","1,218,396 ","1,274,067 ","2,220,601 ","1,091,278 ","1,129,323 ","245,849 ","114,463 ","131,386 ","26,013 ","12,655 ","13,358 "
40,"2,513,549 ","1,227,073 ","1,286,476 ","2,244,497 ","1,101,136 ","1,143,361 ","243,759 ","113,366 ","130,393 ","25,293 ","12,571 ","12,722 "
41,"2,518,435 ","1,228,440 ","1,289,995 ","2,253,481 ","1,104,307 ","1,149,174 ","240,547 ","111,763 ","128,784 ","24,407 ","12,370 ","12,037 "
42,"2,494,560 ","1,216,687 ","1,277,873 ","2,235,961 ","1,095,380 ","1,140,581 ","235,373 ","109,387 ","125,986 ","23,226 ","11,920 ","11,306 "
43,"2,446,979 ","1,193,976 ","1,253,003 ","2,196,474 ","1,076,214 ","1,120,260 ","228,693 ","106,494 ","122,199 ","21,812 ","11,268 ","10,544 "
44,"2,392,579 ","1,167,959 ","1,224,620 ","2,150,563 ","1,053,847 ","1,096,716 ","221,643 ","103,528 ","118,115 ","20,373 ","10,584 ","9,789 "
45,"2,334,084 ","1,140,073 ","1,194,011 ","2,101,009 ","1,029,889 ","1,071,120 ","214,129 ","100,292 ","113,837 ","18,946 ","9,892 ","9,054 "
46,"2,282,131 ","1,115,483 ","1,166,648 ","2,056,458 ","1,008,460 ","1,047,998 ","207,894 ","97,668 ","110,226 ","17,779 ","9,355 ","8,424 "
47,"2,243,234 ","1,097,203 ","1,146,031 ","2,022,194 ","991,985 ","1,030,209 ","203,989 ","96,106 ","107,883 ","17,051 ","9,112 ","7,939 "
48,"2,212,608 ","1,082,908 ","1,129,700 ","1,994,343 ","978,644 ","1,015,699 ","201,614 ","95,182 ","106,432 ","16,651 ","9,082 ","7,569 "
49,"2,177,806 ","1,066,553 ","1,111,253 ","1,962,590 ","963,454 ","999,136 ","198,931 ","94,033 ","104,898 ","16,285 ","9,066 ","7,219 "
50,"2,139,217 ","1,047,970 ","1,091,247 ","1,927,282 ","946,126 ","981,156 ","196,000 ","92,791 ","103,209 ","15,935 ","9,053 ","6,882 "
51,"2,095,845 ","1,026,374 ","1,069,471 ","1,888,542 ","926,532 ","962,010 ","191,748 ","90,833 ","100,915 ","15,555 ","9,009 ","6,546 "
52,"2,058,466 ","1,006,851 ","1,051,615 ","1,856,185 ","909,246 ","946,939 ","187,028 ","88,645 ","98,383 ","15,253 ","8,960 ","6,293 "
53,"2,030,287 ","991,098 ","1,039,189 ","1,832,586 ","895,523 ","937,063 ","182,597 ","86,628 ","95,969 ","15,104 ","8,947 ","6,157 "
54,"2,006,453 ","977,227 ","1,029,226 ","1,812,666 ","883,368 ","929,298 ","178,734 ","84,883 ","93,851 ","15,053 ","8,976 ","6,077 "
55,"1,982,543 ","963,031 ","1,019,512 ","1,792,622 ","870,915 ","921,707 ","174,987 ","83,143 ","91,844 ","14,934 ","8,973 ","5,961 "
56,"1,950,542 ","945,189 ","1,005,353 ","1,764,359 ","854,761 ","909,598 ","171,190 ","81,417 ","89,773 ","14,993 ","9,011 ","5,982 "
57,"1,889,533 ","913,353 ","976,180 ","1,710,637 ","826,423 ","884,214 ","163,887 ","77,964 ","85,923 ","15,009 ","8,966 ","6,043 "
58,"1,800,029 ","867,880 ","932,149 ","1,632,498 ","786,497 ","846,001 ","152,770 ","72,624 ","80,146 ","14,761 ","8,759 ","6,002 "
59,"1,702,226 ","818,382 ","883,844 ","1,547,618 ","743,315 ","804,303 ","140,386 ","66,640 ","73,746 ","14,222 ","8,427 ","5,795 "
60,"1,608,903 ","771,059 ","837,844 ","1,466,170 ","701,752 ","764,418 ","129,045 ","61,196 ","67,849 ","13,688 ","8,111 ","5,577 "
61,"1,524,071 ","727,739 ","796,332 ","1,392,789 ","663,960 ","728,829 ","118,358 ","56,095 ","62,263 ","12,924 ","7,684 ","5,240 "
62,"1,464,853 ","695,727 ","769,126 ","1,339,802 ","635,138 ","704,664 ","112,909 ","53,374 ","59,535 ","12,142 ","7,215 ","4,927 "
63,"1,430,865 ","674,655 ","756,210 ","1,306,003 ","614,604 ","691,399 ","113,362 ","53,290 ","60,072 ","11,500 ","6,761 ","4,739 "
64,"1,403,994 ","656,218 ","747,776 ","1,276,825 ","595,733 ","681,092 ","116,234 ","54,178 ","62,056 ","10,935 ","6,307 ","4,628 "
65,"1,372,266 ","635,435 ","736,831 ","1,243,536 ","574,899 ","668,637 ","118,460 ","54,737 ","63,723 ","10,270 ","5,799 ","4,471 "
66,"1,338,071 ","613,111 ","724,960 ","1,209,473 ","553,557 ","655,916 ","119,235 ","54,355 ","64,880 ","9,363 ","5,199 ","4,164 "
67,"1,301,962 ","591,498 ","710,464 ","1,177,421 ","534,414 ","643,007 ","116,146 ","52,467 ","63,679 ","8,395 ","4,617 ","3,778 "
68,"1,261,738 ","569,880 ","691,858 ","1,145,439 ","516,755 ","628,684 ","108,791 ","49,020 ","59,771 ","7,508 ","4,105 ","3,403 "
69,"1,217,757 ","547,352 ","670,405 ","1,111,705 ","498,936 ","612,769 ","99,447 ","44,830 ","54,617 ","6,605 ","3,586 ","3,019 "
70,"1,176,674 ","526,665 ","650,009 ","1,079,025 ","482,010 ","597,015 ","91,784 ","41,511 ","50,273 ","5,865 ","3,144 ","2,721 "
