Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1957",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"171,984,130 ","85,248,426 ","86,735,704 ","152,768,656 ","75,859,479 ","76,909,177 ","19,215,474 ","9,388,947 ","9,826,527 "
,,,,,,,,,
0,"4,035,155 ","2,053,879 ","1,981,276 ","3,443,933 ","1,758,628 ","1,685,305 ","591,222 ","295,251 ","295,971 "
1,"3,923,917 ","1,997,197 ","1,926,720 ","3,363,955 ","1,716,431 ","1,647,524 ","559,962 ","280,766 ","279,196 "
2,"3,912,759 ","1,990,517 ","1,922,242 ","3,353,999 ","1,711,429 ","1,642,570 ","558,760 ","279,088 ","279,672 "
3,"3,847,648 ","1,954,122 ","1,893,526 ","3,313,455 ","1,688,226 ","1,625,229 ","534,193 ","265,896 ","268,297 "
4,"3,774,329 ","1,922,689 ","1,851,640 ","3,262,682 ","1,665,872 ","1,596,810 ","511,647 ","256,817 ","254,830 "
5,"3,679,934 ","1,873,133 ","1,806,801 ","3,187,076 ","1,627,975 ","1,559,101 ","492,858 ","245,158 ","247,700 "
6,"3,582,421 ","1,819,059 ","1,763,362 ","3,090,062 ","1,574,016 ","1,516,046 ","492,359 ","245,043 ","247,316 "
7,"3,474,852 ","1,769,867 ","1,704,985 ","3,005,474 ","1,535,245 ","1,470,229 ","469,378 ","234,622 ","234,756 "
8,"3,449,670 ","1,754,686 ","1,694,984 ","2,996,671 ","1,527,486 ","1,469,185 ","452,999 ","227,200 ","225,799 "
9,"3,437,541 ","1,751,716 ","1,685,825 ","3,007,265 ","1,535,510 ","1,471,755 ","430,276 ","216,206 ","214,070 "
10,"3,742,297 ","1,908,105 ","1,834,192 ","3,312,894 ","1,692,463 ","1,620,431 ","429,403 ","215,642 ","213,761 "
