table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Mexico: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,819,017","1,821,204","1,831,690","1,855,309","1,877,574","1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802","2,059,179","2,065,932"
.Under 5 years,"130,623","130,452","130,070","131,960","133,694","135,585","137,770","139,625","142,494","144,238","145,824","144,981","145,049"
.5 to 9 years,"141,160","140,258","135,987","132,909","129,822","129,024","129,432","130,787","133,352","136,296","139,965","143,308","143,881"
.10 to 14 years,"147,304","147,881","147,770","147,664","147,369","146,363","144,457","142,775","141,142","139,938","140,310","141,691","142,095"
.15 to 19 years,"145,746","145,935","146,931","148,291","149,018","149,741","150,703","151,293","151,177","151,343","150,733","149,861","149,560"
.20 to 24 years,"121,295","121,615","127,139","133,071","138,117","142,365","143,178","142,672","142,475","141,128","141,048","142,370","143,013"
.25 to 29 years,"115,390","114,557","112,250","113,618","116,611","120,629","126,048","130,857","134,930","136,330","139,109","139,678","139,913"
.30 to 34 years,"118,718","118,449","117,051","117,703","117,589","117,410","116,328","116,588","117,810","120,107","122,951","127,567","128,250"
.35 to 39 years,"140,385","139,909","134,011","129,231","124,318","121,945","121,570","122,313","123,823","123,684","123,792","123,303","123,067"
.40 to 44 years,"141,633","141,996","142,839","143,128","143,314","142,883","141,131","137,620","133,261","128,457","125,765","125,220","125,460"
.45 to 49 years,"131,000","131,568","133,427","136,696","138,980","140,944","143,442","146,405","146,768","147,252","146,234","144,839","144,817"
.50 to 54 years,"114,808","115,809","122,342","124,019","127,353","130,540","133,750","137,282","141,154","143,585","145,585","147,170","147,976"
.55 to 59 years,"87,136","87,579","90,433","98,798","104,315","111,190","118,741","126,591","129,100","132,123","134,673","136,799","137,771"
.60 to 64 years,"71,605","71,873","74,041","76,918","81,150","84,793","88,705","92,997","101,811","107,807","114,596","120,137","121,508"
.65 to 69 years,"63,215","63,384","64,107","65,072","66,801","69,037","71,522","74,570","77,420","81,451","85,190","87,890","88,528"
.70 to 74 years,"54,518","54,735","55,517","56,467","56,995","57,558","58,729","60,178","61,142","62,684","64,604","65,904","66,216"
.75 to 79 years,"43,728","43,994","44,437","44,763","45,522","45,563","46,687","47,788","48,733","49,102","49,767","50,230","50,204"
.80 to 84 years,"27,444","27,764","29,114","30,514","31,569","32,826","33,644","34,239","34,569","35,220","35,516","36,238","36,302"
.85 years and over,"23,309","23,446","24,224","24,487","25,037","25,412","26,437","27,557","28,909","29,917","31,140","31,993","32,322"
.,,,,,,,,,,,,,
.Under 18 years,"508,548","508,132","503,404","502,779","500,777","501,184","502,612","505,125","508,725","511,214","515,470","518,672","519,574"
.Under 5 years,"130,623","130,452","130,070","131,960","133,694","135,585","137,770","139,625","142,494","144,238","145,824","144,981","145,049"
.5 to 13 years,"258,815","258,541","254,095","251,321","247,730","245,170","244,027","244,322","245,451","247,865","252,071","256,968","258,030"
.14 to 17 years,"119,110","119,139","119,239","119,498","119,353","120,429","120,815","121,178","120,780","119,111","117,575","116,723","116,495"
.18 to 64 years,"1,098,255","1,099,749","1,110,887","1,131,227","1,150,873","1,172,228","1,192,643","1,212,680","1,230,572","1,241,074","1,255,115","1,268,252","1,272,786"
.18 to 24 years,"177,580","178,009","184,493","191,116","197,243","201,894","202,928","202,027","201,915","201,729","202,410","203,539","204,024"
.25 to 44 years,"516,126","514,911","506,151","503,680","501,832","502,867","505,077","507,378","509,824","508,578","511,617","515,768","516,690"
.45 to 64 years,"404,549","406,829","420,243","436,431","451,798","467,467","484,638","503,275","518,833","530,767","541,088","548,945","552,072"
.65 years and over,"212,214","213,323","217,399","221,303","225,924","230,396","237,019","244,332","250,773","258,374","266,217","272,255","273,572"
.,,,,,,,,,,,,,
.16 years and over,"1,370,125","1,372,573","1,388,305","1,412,839","1,437,264","1,463,006","1,489,999","1,518,541","1,543,267","1,560,475","1,581,708","1,600,398","1,606,048"
.18 years and over,"1,310,469","1,313,072","1,328,286","1,352,530","1,376,797","1,402,624","1,429,662","1,457,012","1,481,345","1,499,448","1,521,332","1,540,507","1,546,358"
.15 to 44 years,"783,167","782,461","780,221","785,042","788,967","794,973","798,958","801,343","803,476","801,049","803,398","807,999","809,263"
.,,,,,,,,,,,,,
.Median age (years),34.6,34.6,34.9,35.1,35.3,35.5,35.7,36.1,36.3,36.5,36.6,36.7,36.7
MALE,"894,335","895,580","901,303","913,453","925,271","939,070","953,754","968,168","982,148","992,084","1,005,564","1,017,421","1,020,992"
.Under 5 years,"66,190","66,097","65,944","66,939","67,710","68,616","69,637","70,688","72,320","73,519","74,352","74,078","74,110"
.5 to 9 years,"71,772","71,329","69,244","67,671","65,970","65,704","65,881","66,526","67,889","69,309","71,114","72,736","73,018"
.10 to 14 years,"75,254","75,534","75,221","75,074","74,972","74,453","73,548","72,793","71,792","71,173","71,419","72,021","72,222"
.15 to 19 years,"74,743","74,869","75,784","76,775","76,985","77,131","77,608","77,528","77,366","77,431","77,162","76,792","76,640"
.20 to 24 years,"61,351","61,497","64,657","67,750","71,108","73,820","74,508","74,201","73,906","72,706","72,240","72,974","73,301"
.25 to 29 years,"57,659","57,230","56,260","57,170","58,904","60,924","63,751","66,335","68,247","69,093","71,112","71,419","71,586"
.30 to 34 years,"59,156","59,019","58,350","58,580","58,594","58,635","58,308","58,426","59,397","60,619","62,000","64,586","64,955"
.35 to 39 years,"69,416","69,200","66,170","63,591","61,219","60,205","60,074","60,492","61,197","61,096","61,320","61,392","61,297"
.40 to 44 years,"69,491","69,692","70,104","70,452","70,412","70,307","69,574","67,856","65,777","63,493","62,353","62,249","62,381"
.45 to 49 years,"63,691","64,022","64,806","66,678","67,978","69,033","70,209","71,749","72,190","72,379","72,022","71,419","71,454"
.50 to 54 years,"56,231","56,749","60,064","60,555","62,105","63,452","64,790","66,252","68,319","69,470","70,700","71,383","71,787"
.55 to 59 years,"41,946","42,189","43,670","47,949","50,569","54,054","57,913","61,562","62,424","63,861","64,722","65,567","66,052"
.60 to 64 years,"34,243","34,394","35,367","36,659","38,850","40,633","42,573","44,758","49,238","51,974","55,417","58,201","58,877"
.65 to 69 years,"30,121","30,213","30,612","31,044","31,868","32,776","33,980","35,458","36,769","38,896","40,621","41,962","42,297"
.70 to 74 years,"25,098","25,239","25,743","26,304","26,696","27,040","27,570","28,398","28,818","29,474","30,295","30,879","31,049"
.75 to 79 years,"19,027","19,164","19,351","19,599","19,950","20,160","20,984","21,533","22,040","22,379","22,669","22,883","22,880"
.80 to 84 years,"11,329","11,475","12,004","12,550","13,018","13,523","13,774","14,002","14,374","14,668","15,013","15,504","15,565"
.85 years and over,"7,617","7,668","7,952","8,113","8,363","8,604","9,072","9,611","10,085","10,544","11,033","11,376","11,521"
.,,,,,,,,,,,,,
.Under 18 years,"259,240","259,027","256,444","256,009","254,772","254,940","255,619","256,874","258,769","260,348","262,704","264,329","264,783"
.Under 5 years,"66,190","66,097","65,944","66,939","67,710","68,616","69,637","70,688","72,320","73,519","74,352","74,078","74,110"
.5 to 13 years,"131,864","131,737","129,226","127,818","126,002","124,740","124,367","124,416","124,812","126,081","128,135","130,544","131,081"
.14 to 17 years,"61,186","61,193","61,274","61,252","61,060","61,584","61,615","61,770","61,637","60,748","60,217","59,707","59,592"
.18 to 64 years,"541,903","542,794","549,197","559,834","570,604","582,027","592,755","602,292","611,293","615,775","623,229","630,488","632,897"
.18 to 24 years,"90,070","90,299","94,406","98,200","101,973","104,784","105,563","104,862","104,504","103,790","103,583","104,272","104,508"
.25 to 44 years,"255,722","255,141","250,884","249,793","249,129","250,071","251,707","253,109","254,618","254,301","256,785","259,646","260,219"
.45 to 64 years,"196,111","197,354","203,907","211,841","219,502","227,172","235,485","244,321","252,171","257,684","262,861","266,570","268,170"
.65 years and over,"93,192","93,759","95,662","97,610","99,895","102,103","105,380","109,002","112,086","115,961","119,631","122,604","123,312"
.,,,,,,,,,,,,,
.16 years and over,"665,852","667,217","675,780","688,378","701,583","715,116","729,043","742,771","754,926","762,826","773,895","783,804","786,833"
.18 years and over,"635,095","636,553","644,859","657,444","670,499","684,130","698,135","711,294","723,379","731,736","742,860","753,092","756,209"
.15 to 44 years,"391,816","391,507","391,325","394,318","397,222","401,022","403,823","404,838","405,890","404,438","406,187","409,412","410,160"
.,,,,,,,,,,,,,
.Median age (years),33.4,33.5,33.7,33.8,34.0,34.2,34.5,34.8,35.0,35.2,35.3,35.3,35.4
FEMALE,"924,682","925,624","930,387","941,856","952,303","964,738","978,520","993,969","1,007,922","1,018,578","1,031,238","1,041,758","1,044,940"
.Under 5 years,"64,433","64,355","64,126","65,021","65,984","66,969","68,133","68,937","70,174","70,719","71,472","70,903","70,939"
.5 to 9 years,"69,388","68,929","66,743","65,238","63,852","63,320","63,551","64,261","65,463","66,987","68,851","70,572","70,863"
.10 to 14 years,"72,050","72,347","72,549","72,590","72,397","71,910","70,909","69,982","69,350","68,765","68,891","69,670","69,873"
.15 to 19 years,"71,003","71,066","71,147","71,516","72,033","72,610","73,095","73,765","73,811","73,912","73,571","73,069","72,920"
.20 to 24 years,"59,944","60,118","62,482","65,321","67,009","68,545","68,670","68,471","68,569","68,422","68,808","69,396","69,712"
.25 to 29 years,"57,731","57,327","55,990","56,448","57,707","59,705","62,297","64,522","66,683","67,237","67,997","68,259","68,327"
.30 to 34 years,"59,562","59,430","58,701","59,123","58,995","58,775","58,020","58,162","58,413","59,488","60,951","62,981","63,295"
.35 to 39 years,"70,969","70,709","67,841","65,640","63,099","61,740","61,496","61,821","62,626","62,588","62,472","61,911","61,770"
.40 to 44 years,"72,142","72,304","72,735","72,676","72,902","72,576","71,557","69,764","67,484","64,964","63,412","62,971","63,079"
.45 to 49 years,"67,309","67,546","68,621","70,018","71,002","71,911","73,233","74,656","74,578","74,873","74,212","73,420","73,363"
.50 to 54 years,"58,577","59,060","62,278","63,464","65,248","67,088","68,960","71,030","72,835","74,115","74,885","75,787","76,189"
.55 to 59 years,"45,190","45,390","46,763","50,849","53,746","57,136","60,828","65,029","66,676","68,262","69,951","71,232","71,719"
.60 to 64 years,"37,362","37,479","38,674","40,259","42,300","44,160","46,132","48,239","52,573","55,833","59,179","61,936","62,631"
.65 to 69 years,"33,094","33,171","33,495","34,028","34,933","36,261","37,542","39,112","40,651","42,555","44,569","45,928","46,231"
.70 to 74 years,"29,420","29,496","29,774","30,163","30,299","30,518","31,159","31,780","32,324","33,210","34,309","35,025","35,167"
.75 to 79 years,"24,701","24,830","25,086","25,164","25,572","25,403","25,703","26,255","26,693","26,723","27,098","27,347","27,324"
.80 to 84 years,"16,115","16,289","17,110","17,964","18,551","19,303","19,870","20,237","20,195","20,552","20,503","20,734","20,737"
.85 years and over,"15,692","15,778","16,272","16,374","16,674","16,808","17,365","17,946","18,824","19,373","20,107","20,617","20,801"
.,,,,,,,,,,,,,
.Under 18 years,"249,308","249,105","246,960","246,770","246,005","246,244","246,993","248,251","249,956","250,866","252,766","254,343","254,791"
.Under 5 years,"64,433","64,355","64,126","65,021","65,984","66,969","68,133","68,937","70,174","70,719","71,472","70,903","70,939"
.5 to 13 years,"126,951","126,804","124,869","123,503","121,728","120,430","119,660","119,906","120,639","121,784","123,936","126,424","126,949"
