table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Florida: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.5 to 9 years,"529,058","527,185","522,575","519,824","516,732","518,972","524,558","535,352","539,472","544,143","545,133","551,053","551,869"
.10 to 14 years,"541,734","545,536","559,850","572,903","582,201","588,908","590,420","590,238","585,943","580,873","577,977","578,689","578,912"
.15 to 19 years,"521,484","524,153","537,673","552,234","566,201","586,980","608,537","625,951","635,456","639,022","636,223","631,287","628,900"
.20 to 24 years,"475,196","480,070","507,085","528,063","551,102","574,582","590,942","605,681","617,224","619,325","621,502","627,063","629,685"
.25 to 29 years,"504,212","501,903","491,733","492,339","500,362","518,962","542,871","567,809","581,846","590,131","594,070","594,897","596,891"
.30 to 34 years,"549,084","549,882","553,416","558,391","559,151","559,662","555,526","547,635","541,739","540,314","545,181","555,239","558,795"
.35 to 39 years,"631,133","630,901","625,816","616,555","605,347","599,362","602,707","609,502","610,737","605,337","595,468","585,141","582,820"
.40 to 44 years,"606,598","610,056","628,880","643,292","654,428","669,532","677,668","675,201","661,308","644,202","627,779","623,330","623,706"
.45 to 49 years,"530,078","534,798","554,351","578,076","600,321","622,535","646,702","667,861","678,374","685,241","690,815","691,335","690,084"
.50 to 54 years,"475,151","481,662","507,575","513,095","525,305","544,199","567,060","586,241","604,927","621,810","636,242","650,033","652,291"
.55 to 59 years,"388,160","391,947","408,293","445,621","467,750","493,455","521,581","546,041","545,842","548,631","557,806","569,009","572,444"
.60 to 64 years,"344,559","347,291","358,563","372,773","394,258","415,133","434,740","449,882","480,352","498,906","515,650","533,868","539,506"
.65 to 69 years,"339,435","339,204","340,215","344,589","352,693","365,882","377,884","386,148","398,041","419,192","436,187","448,193","451,324"
.70 to 74 years,"329,101","329,739","332,698","332,624","331,647","330,189","331,153","330,376","334,056","341,726","351,220","357,908","359,953"
.75 to 79 years,"268,114","269,014","270,302","272,672","276,171","279,332","282,871","282,901","282,279","281,806","279,404","280,087","280,229"
.80 to 84 years,"167,804","169,210","175,486","181,145","184,840","189,569","193,347","193,266","196,110","200,321","203,715","205,925","206,766"
.85 years and over,"112,162","112,657","114,276","116,885","120,451","124,101","129,047","134,426","140,644","146,721","153,311","158,313","159,893"
.,,,,,,,,,,,,,
.Under 18 years,"1,871,022","1,875,055","1,904,451","1,934,478","1,958,121","1,993,184","2,032,228","2,059,455","2,062,420","2,055,727","2,045,095","2,046,991","2,046,937"
.Under 5 years,"484,771","484,993","495,403","506,555","517,552","531,516","546,474","552,399","554,905","554,325","550,672","547,985","547,932"
.5 to 13 years,"964,013","965,964","974,354","980,950","982,021","984,804","992,850","1,004,382","1,004,755","1,006,030","1,005,646","1,012,560","1,014,382"
.14 to 17 years,"422,238","424,098","434,694","446,973","458,548","476,864","492,904","502,674","502,760","495,372","488,777","486,446","484,623"
.18 to 64 years,"4,710,196","4,735,322","4,846,762","4,965,243","5,082,589","5,230,614","5,377,558","5,500,338","5,575,705","5,616,533","5,649,423","5,691,938","5,706,898"
.18 to 24 years,"681,221","686,882","718,135","745,101","775,667","807,774","828,703","850,166","870,580","881,961","886,412","889,086","890,361"
.25 to 44 years,"2,291,027","2,292,742","2,299,845","2,310,577","2,319,288","2,347,518","2,378,772","2,400,147","2,395,630","2,379,984","2,362,498","2,358,607","2,362,212"
.45 to 64 years,"1,737,948","1,755,698","1,828,782","1,909,565","1,987,634","2,075,322","2,170,083","2,250,025","2,309,495","2,354,588","2,400,513","2,444,245","2,454,325"
.65 years and over,"1,216,616","1,219,824","1,232,977","1,247,915","1,265,802","1,289,073","1,314,302","1,327,117","1,351,130","1,389,766","1,423,837","1,450,426","1,458,165"
.,,,,,,,,,,,,,
.16 years and over,"6,136,327","6,165,167","6,297,367","6,437,787","6,575,844","6,753,352","6,935,962","7,083,766","7,185,726","7,260,280","7,323,855","7,391,989","7,413,563"
.18 years and over,"5,926,812","5,955,146","6,079,739","6,213,158","6,348,391","6,519,687","6,691,860","6,827,455","6,926,835","7,006,299","7,073,260","7,142,364","7,165,063"
.15 to 44 years,"3,287,707","3,296,965","3,344,603","3,390,874","3,436,591","3,509,080","3,578,251","3,631,779","3,648,310","3,638,331","3,620,223","3,616,957","3,620,797"
.,,,,,,,,,,,,,
.Median age (years),37.3,37.4,37.6,37.9,38.1,38.3,38.4,38.4,38.6,38.8,39.2,39.4,39.4
FEMALE,"8,184,737","8,217,314","8,372,776","8,541,734","8,697,573","8,902,447","9,117,950","9,280,080","9,378,587","9,465,279","9,534,289","9,611,955","9,631,326"
.Under 5 years,"461,062","461,502","472,586","484,243","493,883","508,653","523,463","528,797","531,335","531,254","528,150","525,521","525,522"
.5 to 9 years,"502,688","500,945","495,894","493,783","492,381","494,082","499,982","512,542","517,919","521,635","523,793","529,202","529,969"
.10 to 14 years,"515,311","519,225","534,396","546,312","553,452","561,087","562,526","561,580","557,447","554,017","550,166","552,158","552,489"
.15 to 19 years,"492,601","495,050","503,097","514,448","529,737","548,497","570,551","588,718","598,036","602,359","601,533","597,095","594,665"
.20 to 24 years,"453,128","457,916","487,665","512,509","530,781","550,803","565,124","574,546","581,327","588,573","593,146","601,695","604,142"
.25 to 29 years,"491,161","489,401","479,386","480,557","487,620","505,597","530,397","559,213","574,020","580,545","584,670","584,330","584,720"
.30 to 34 years,"539,681","540,874","547,242","554,273","556,149","557,992","556,169","546,998","539,721","539,511","544,804","555,079","558,299"
.35 to 39 years,"629,936","629,834","625,870","620,018","610,302","603,011","606,421","614,409","615,417","610,846","602,090","593,326","590,605"
.40 to 44 years,"617,648","621,309","639,464","652,256","663,557","679,610","687,836","683,854","670,131","653,223","634,780","629,457","629,614"
.45 to 49 years,"555,355","560,100","580,233","605,368","626,757","647,869","670,504","689,780","696,883","702,862","709,933","709,867","708,230"
.50 to 54 years,"508,949","515,762","544,902","551,940","566,460","586,819","610,896","630,041","648,702","664,919","678,203","690,258","692,613"
.55 to 59 years,"433,377","437,355","453,587","491,653","514,072","542,579","574,777","604,100","605,250","610,741","621,274","633,409","637,062"
.60 to 64 years,"392,930","395,710","407,632","424,164","448,990","472,611","492,519","508,285","540,353","559,556","579,869","601,382","607,621"
.65 to 69 years,"388,039","387,384","389,423","394,205","402,182","415,844","429,198","438,173","453,789","478,877","498,816","511,040","514,174"
.70 to 74 years,"395,545","395,058","393,460","389,117","385,484","381,032","381,383","380,480","384,562","393,147","403,465","410,799","412,666"
.75 to 79 years,"348,560","349,101","348,874","349,651","350,885","350,789","350,019","346,254","341,814","339,810","335,262","335,427","335,104"
.80 to 84 years,"239,642","241,059","248,098","255,098","259,231","266,452","270,786","269,970","271,900","274,744","275,559","276,098","276,198"
.85 years and over,"219,124","219,729","220,967","222,139","225,650","229,120","235,399","242,340","249,981","258,660","268,776","275,812","277,633"
.,,,,,,,,,,,,,
.Under 18 years,"1,775,383","1,779,825","1,809,988","1,840,146","1,862,755","1,897,550","1,935,950","1,963,457","1,968,678","1,962,645","1,952,188","1,955,100","1,955,050"
.Under 5 years,"461,062","461,502","472,586","484,243","493,883","508,653","523,463","528,797","531,335","531,254","528,150","525,521","525,522"
.5 to 13 years,"917,108","919,105","926,902","932,933","935,344","937,426","945,173","958,622","960,751","962,002","961,935","969,618","971,332"
.14 to 17 years,"397,213","399,218","410,500","422,970","433,528","451,471","467,314","476,038","476,592","469,389","462,103","459,961","458,196"
.18 to 64 years,"4,818,444","4,845,158","4,961,966","5,091,378","5,211,386","5,361,660","5,515,215","5,639,406","5,707,863","5,757,396","5,800,223","5,847,679","5,860,501"
.18 to 24 years,"649,407","654,813","683,650","711,149","737,479","765,572","785,696","802,726","817,386","835,193","844,600","850,571","851,737"
.25 to 44 years,"2,278,426","2,281,418","2,291,962","2,307,104","2,317,628","2,346,210","2,380,823","2,404,474","2,399,289","2,384,125","2,366,344","2,362,192","2,363,238"
.45 to 64 years,"1,890,611","1,908,927","1,986,354","2,073,125","2,156,279","2,249,878","2,348,696","2,432,206","2,491,188","2,538,078","2,589,279","2,634,916","2,645,526"
.65 years and over,"1,590,910","1,592,331","1,600,822","1,610,210","1,623,432","1,643,237","1,666,785","1,677,217","1,702,046","1,745,238","1,781,878","1,809,176","1,815,775"
.,,,,,,,,,,,,,
.16 years and over,"6,605,626","6,634,272","6,767,068","6,912,004","7,048,704","7,225,581","7,411,389","7,557,275","7,654,940","7,742,578","7,817,125","7,891,277","7,909,493"
.18 years and over,"6,409,354","6,437,489","6,562,788","6,701,588","6,834,818","7,004,897","7,182,000","7,316,623","7,409,909","7,502,634","7,582,101","7,656,855","7,676,276"
.15 to 44 years,"3,224,155","3,234,384","3,282,724","3,334,061","3,378,146","3,445,510","3,516,498","3,567,738","3,578,652","3,575,057","3,561,023","3,560,982","3,562,045"
.,,,,,,,,,,,,,
.Median age (years),40.1,40.1,40.3,40.5,40.7,40.9,41.1,41.2,41.4,41.7,42.0,42.1,42.2
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Florida: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-12)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
