table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Wisconsin: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,363,757","5,373,999","5,406,835","5,445,162","5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264","5,686,986","5,691,047"
.Under 5 years,"342,341","342,343","343,418","344,897","346,753","349,102","349,484","350,890","355,343","357,921","358,370","358,443","357,892"
.5 to 9 years,"379,480","378,057","371,313","365,759","360,517","358,123","357,345","359,682","361,374","364,638","368,030","368,617","368,620"
.10 to 14 years,"403,077","404,990","405,683","405,387","404,209","400,900","394,312","388,191","383,257","378,544","376,577","375,927","375,702"
.15 to 19 years,"407,189","408,587","415,104","416,509","415,257","415,552","415,890","414,706","412,836","410,087","404,881","399,209","397,204"
.20 to 24 years,"357,294","359,318","366,528","377,978","389,113","394,437","398,373","399,903","394,654","390,094","388,316","386,552","387,530"
.25 to 29 years,"333,915","331,605","321,159","318,159","320,370","325,685","330,720","340,183","352,979","363,474","369,013","372,347","373,301"
.30 to 34 years,"372,255","372,507","371,041","367,381","361,224","353,980","347,477","337,939","335,350","338,218","344,706","349,347","351,732"
.35 to 39 years,"435,248","433,526","421,120","409,753","397,051","385,542","379,329","376,007","370,002","361,620","352,114","345,328","342,821"
.40 to 44 years,"440,273","441,231","448,007","449,471","448,010","445,558","437,608","425,318","413,367","399,370","386,971","380,338","379,913"
.45 to 49 years,"397,690","400,058","409,232","417,670","426,297","433,557","440,433","446,692","448,284","447,417","444,284","437,627","435,630"
.50 to 54 years,"334,604","337,938","357,871","363,810","374,088","385,152","396,444","405,963","414,618","423,776","430,967","436,126","436,814"
.55 to 59 years,"252,749","254,472","261,591","282,950","294,825","311,885","331,101","350,824","356,728","366,886","377,794","385,986","388,020"
.60 to 64 years,"205,011","206,020","209,863","216,927","228,351","236,262","243,626","250,399","271,115","283,089","299,305","313,825","316,485"
.65 to 69 years,"182,145","181,586","180,700","181,790","184,803","189,490","192,439","196,194","203,054","213,709","221,279","227,029","228,239"
.70 to 74 years,"173,217","173,017","172,735","170,366","167,886","165,130","163,599","163,347","164,340","167,097","171,459","173,467","174,156"
.75 to 79 years,"146,693","146,959","146,628","147,535","147,986","147,480","147,951","148,427","146,580","144,492","142,128","141,252","140,872"
.80 to 84 years,"104,949","105,684","107,607","109,692","111,138","112,876","114,483","114,663","115,786","116,703","116,685","117,061","116,982"
.85 years and over,"95,627","96,101","97,235","99,128","101,325","103,315","105,552","108,327","111,108","113,861","116,385","118,505","119,134"
.,,,,,,,,,,,,,
.Under 18 years,"1,368,750","1,370,440","1,367,593","1,365,315","1,358,505","1,354,643","1,349,866","1,348,785","1,348,901","1,345,573","1,342,411","1,339,492","1,337,800"
.Under 5 years,"342,341","342,343","343,418","344,897","346,753","349,102","349,484","350,890","355,343","357,921","358,370","358,443","357,892"
.5 to 13 years,"700,337","700,948","695,537","690,174","683,369","675,199","669,517","667,509","665,224","665,749","667,871","668,995","669,239"
.14 to 17 years,"326,072","327,149","328,638","330,244","328,383","330,342","330,865","330,386","328,334","321,903","316,170","312,054","310,669"
.18 to 64 years,"3,292,376","3,300,212","3,334,337","3,371,336","3,407,560","3,441,092","3,472,276","3,497,912","3,521,006","3,539,561","3,558,917","3,570,180","3,573,864"
.18 to 24 years,"520,631","522,855","534,453","545,215","557,344","563,471","565,538","564,587","558,563","555,711","553,763","549,256","549,148"
.25 to 44 years,"1,581,691","1,578,869","1,561,327","1,544,764","1,526,655","1,510,765","1,495,134","1,479,447","1,471,698","1,462,682","1,452,804","1,447,360","1,447,767"
.45 to 64 years,"1,190,054","1,198,488","1,238,557","1,281,357","1,323,561","1,366,856","1,411,604","1,453,878","1,490,745","1,521,168","1,552,350","1,573,564","1,576,949"
.65 years and over,"702,631","703,347","704,905","708,511","713,138","718,291","724,024","730,958","740,868","755,862","767,936","777,314","779,383"
.,,,,,,,,,,,,,
.16 years and over,"4,156,693","4,165,511","4,203,681","4,247,004","4,286,323","4,323,984","4,360,741","4,396,152","4,429,925","4,460,085","4,488,436","4,506,907","4,511,730"
.18 years and over,"3,995,007","4,003,559","4,039,242","4,079,847","4,120,698","4,159,383","4,196,300","4,228,870","4,261,874","4,295,423","4,326,853","4,347,494","4,353,247"
.15 to 44 years,"2,346,174","2,346,774","2,342,959","2,339,251","2,331,025","2,320,754","2,309,397","2,294,056","2,279,188","2,262,863","2,246,001","2,233,121","2,232,501"
.,,,,,,,,,,,,,
.Median age (years),36.0,36.1,36.4,36.6,36.9,37.2,37.4,37.6,37.8,38.1,38.3,38.5,38.5
MALE,"2,649,094","2,654,764","2,673,188","2,693,465","2,712,302","2,731,348","2,749,105","2,765,379","2,782,993","2,798,728","2,813,161","2,822,400","2,824,977"
.Under 5 years,"175,041","175,013","175,506","175,732","176,827","178,218","178,489","179,235","181,689","183,032","183,374","183,391","183,088"
.5 to 9 years,"194,508","193,784","190,231","187,502","184,370","183,016","182,652","183,632","184,194","186,057","187,886","188,286","188,302"
.10 to 14 years,"206,668","207,620","208,289","208,052","207,624","205,629","202,239","198,906","196,275","193,400","192,458","192,232","192,089"
.15 to 19 years,"208,780","209,717","212,414","213,333","212,881","213,436","213,692","213,226","212,148","210,767","207,817","204,803","203,777"
.20 to 24 years,"182,375","183,404","187,673","193,737","199,614","201,423","203,073","203,355","201,142","198,389","197,808","196,897","197,401"
.25 to 29 years,"170,015","168,886","164,038","162,627","164,088","167,627","170,588","175,463","181,565","186,775","188,025","189,349","190,105"
.30 to 34 years,"188,414","188,558","187,839","186,003","182,907","179,232","175,883","171,295","170,060","171,790","175,760","178,120","179,312"
.35 to 39 years,"217,660","216,850","211,201","205,886","199,874","194,371","191,855","190,187","187,241","183,016","178,063","174,619","173,400"
.40 to 44 years,"221,430","221,881","224,635","224,953","224,222","222,874","219,058","213,233","207,470","200,726","194,594","191,738","191,542"
.45 to 49 years,"200,620","201,824","206,077","210,300","214,229","218,061","221,338","223,777","224,227","223,670","221,964","218,539","217,609"
.50 to 54 years,"168,081","169,766","180,118","183,224","188,499","193,654","199,139","203,585","207,873","212,101","215,768","218,303","218,630"
.55 to 59 years,"124,368","125,248","129,230","140,321","146,514","155,655","165,476","175,730","178,757","183,962","189,099","192,952","193,978"
.60 to 64 years,"99,581","100,110","102,177","105,671","111,237","115,138","118,864","122,609","133,425","139,828","148,377","155,756","157,080"
.65 to 69 years,"85,787","85,576","85,403","86,187","87,894","90,463","92,040","94,003","97,264","102,449","106,217","109,168","109,777"
.70 to 74 years,"78,623","78,651","78,513","77,516","76,708","75,602","75,197","75,240","76,052","77,508","79,939","81,067","81,434"
.75 to 79 years,"61,133","61,310","61,650","62,641","63,161","63,539","64,032","64,541","63,927","63,294","62,355","62,181","62,079"
.80 to 84 years,"38,759","39,114","40,137","40,926","41,942","42,962","44,104","44,670","45,900","46,679","47,192","47,549","47,627"
.85 years and over,"27,251","27,452","28,057","28,854","29,711","30,448","31,386","32,692","33,784","35,285","36,465","37,450","37,747"
.,,,,,,,,,,,,,
.Under 18 years,"701,706","702,539","700,864","699,592","696,167","694,166","691,721","690,739","690,534","688,631","686,992","685,590","684,709"
.Under 5 years,"175,041","175,013","175,506","175,732","176,827","178,218","178,489","179,235","181,689","183,032","183,374","183,391","183,088"
