Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1977",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,,,,
All ages,"220,239,425 ","107,334,548 ","112,904,877 ","190,648,946 ","93,202,287 ","97,446,659 ","25,559,193 ","12,158,361 ","13,400,832 ","4,031,286 ","1,973,900 ","2,057,386 "
,,,,,,,,,,,,
0,"3,278,804 ","1,679,661 ","1,599,143 ","2,717,720 ","1,395,724 ","1,321,996 ","485,192 ","245,367 ","239,825 ","75,892 ","38,570 ","37,322 "
1,"3,031,462 ","1,548,926 ","1,482,536 ","2,512,481 ","1,287,605 ","1,224,876 ","445,762 ","224,173 ","221,589 ","73,219 ","37,148 ","36,071 "
2,"3,063,419 ","1,567,180 ","1,496,239 ","2,533,546 ","1,299,702 ","1,233,844 ","454,693 ","229,218 ","225,475 ","75,180 ","38,260 ","36,920 "
3,"3,034,854 ","1,551,964 ","1,482,890 ","2,502,143 ","1,283,188 ","1,218,955 ","455,830 ","230,112 ","225,718 ","76,881 ","38,664 ","38,217 "
4,"3,155,120 ","1,610,944 ","1,544,176 ","2,595,291 ","1,328,778 ","1,266,513 ","482,981 ","243,078 ","239,903 ","76,848 ","39,088 ","37,760 "
5,"3,333,554 ","1,701,703 ","1,631,851 ","2,750,301 ","1,408,437 ","1,341,864 ","503,807 ","253,490 ","250,317 ","79,446 ","39,776 ","39,670 "
6,"3,644,207 ","1,862,542 ","1,781,665 ","3,035,641 ","1,556,125 ","1,479,516 ","531,662 ","267,333 ","264,329 ","76,904 ","39,084 ","37,820 "
7,"3,625,593 ","1,850,960 ","1,774,633 ","3,040,142 ","1,557,151 ","1,482,991 ","512,669 ","257,198 ","255,471 ","72,782 ","36,611 ","36,171 "
8,"3,435,855 ","1,753,341 ","1,682,514 ","2,870,436 ","1,469,746 ","1,400,690 ","496,534 ","248,681 ","247,853 ","68,885 ","34,914 ","33,971 "
9,"3,490,526 ","1,780,461 ","1,710,065 ","2,903,272 ","1,485,944 ","1,417,328 ","514,322 ","257,595 ","256,727 ","72,932 ","36,922 ","36,010 "
10,"3,656,833 ","1,866,707 ","1,790,126 ","3,047,754 ","1,559,939 ","1,487,815 ","530,521 ","266,781 ","263,740 ","78,558 ","39,987 ","38,571 "
11,"3,695,735 ","1,886,591 ","1,809,144 ","3,062,932 ","1,567,715 ","1,495,217 ","553,805 ","278,583 ","275,222 ","78,998 ","40,293 ","38,705 "
12,"3,891,370 ","1,983,142 ","1,908,228 ","3,248,698 ","1,659,068 ","1,589,630 ","567,822 ","285,840 ","281,982 ","74,850 ","38,234 ","36,616 "
13,"4,081,028 ","2,086,076 ","1,994,952 ","3,424,737 ","1,754,837 ","1,669,900 ","581,856 ","293,125 ","288,731 ","74,435 ","38,114 ","36,321 "
14,"4,178,966 ","2,131,155 ","2,047,811 ","3,520,581 ","1,799,425 ","1,721,156 ","584,167 ","293,686 ","290,481 ","74,218 ","38,044 ","36,174 "
15,"4,264,166 ","2,176,820 ","2,087,346 ","3,588,804 ","1,836,215 ","1,752,589 ","594,745 ","299,046 ","295,699 ","80,617 ","41,559 ","39,058 "
16,"4,333,169 ","2,206,848 ","2,126,321 ","3,648,812 ","1,862,935 ","1,785,877 ","603,013 ","302,144 ","300,869 ","81,344 ","41,769 ","39,575 "
17,"4,268,477 ","2,171,505 ","2,096,972 ","3,596,587 ","1,834,831 ","1,761,756 ","592,632 ","296,006 ","296,626 ","79,258 ","40,668 ","38,590 "
18,"4,257,434 ","2,158,589 ","2,098,845 ","3,591,823 ","1,826,098 ","1,765,725 ","585,826 ","291,513 ","294,313 ","79,785 ","40,978 ","38,807 "
19,"4,417,073 ","2,242,052 ","2,175,021 ","3,746,705 ","1,906,859 ","1,839,846 ","587,233 ","292,374 ","294,859 ","83,135 ","42,819 ","40,316 "
20,"4,400,497 ","2,236,042 ","2,164,455 ","3,734,634 ","1,904,120 ","1,830,514 ","580,165 ","287,550 ","292,615 ","85,698 ","44,372 ","41,326 "
21,"4,149,501 ","2,102,784 ","2,046,717 ","3,531,417 ","1,797,485 ","1,733,932 ","535,073 ","262,728 ","272,345 ","83,011 ","42,571 ","40,440 "
22,"4,056,115 ","2,041,230 ","2,014,885 ","3,464,293 ","1,755,089 ","1,709,204 ","511,341 ","245,838 ","265,503 ","80,481 ","40,303 ","40,178 "
23,"3,964,026 ","1,984,536 ","1,979,490 ","3,402,045 ","1,715,559 ","1,686,486 ","482,460 ","229,970 ","252,490 ","79,521 ","39,007 ","40,514 "
24,"3,929,083 ","1,967,682 ","1,961,401 ","3,384,348 ","1,707,947 ","1,676,401 ","464,591 ","221,173 ","243,418 ","80,144 ","38,562 ","41,582 "
25,"3,826,800 ","1,917,930 ","1,908,870 ","3,297,191 ","1,667,332 ","1,629,859 ","448,429 ","212,066 ","236,363 ","81,180 ","38,532 ","42,648 "
26,"3,693,845 ","1,848,204 ","1,845,641 ","3,168,564 ","1,600,651 ","1,567,913 ","443,045 ","208,927 ","234,118 ","82,236 ","38,626 ","43,610 "
27,"3,589,831 ","1,787,145 ","1,802,686 ","3,078,283 ","1,548,052 ","1,530,231 ","426,321 ","200,159 ","226,162 ","85,227 ","38,934 ","46,293 "
28,"3,494,422 ","1,735,305 ","1,759,117 ","3,022,259 ","1,515,513 ","1,506,746 ","390,526 ","182,600 ","207,926 ","81,637 ","37,192 ","44,445 "
29,"3,672,595 ","1,826,754 ","1,845,841 ","3,211,995 ","1,612,019 ","1,599,976 ","379,822 ","177,749 ","202,073 ","80,778 ","36,986 ","43,792 "
30,"4,000,734 ","1,999,444 ","2,001,290 ","3,538,947 ","1,783,587 ","1,755,360 ","383,643 ","179,157 ","204,486 ","78,144 ","36,700 ","41,444 "
31,"2,815,514 ","1,401,181 ","1,414,333 ","2,451,740 ","1,232,794 ","1,218,946 ","298,361 ","138,033 ","160,328 ","65,413 ","30,354 ","35,059 "
32,"2,880,847 ","1,423,372 ","1,457,475 ","2,488,511 ","1,242,659 ","1,245,852 ","321,100 ","147,767 ","173,333 ","71,236 ","32,946 ","38,290 "
33,"2,887,476 ","1,420,466 ","1,467,010 ","2,494,379 ","1,238,844 ","1,255,535 ","321,898 ","148,452 ","173,446 ","71,199 ","33,170 ","38,029 "
34,"3,136,162 ","1,546,988 ","1,589,174 ","2,766,663 ","1,376,030 ","1,390,633 ","306,785 ","141,415 ","165,370 ","62,714 ","29,543 ","33,171 "
35,"2,722,642 ","1,345,672 ","1,376,970 ","2,376,639 ","1,185,554 ","1,191,085 ","289,642 ","133,318 ","156,324 ","56,361 ","26,800 ","29,561 "
36,"2,528,601 ","1,245,611 ","1,282,990 ","2,192,552 ","1,091,726 ","1,100,826 ","282,023 ","128,402 ","153,621 ","54,026 ","25,483 ","28,543 "
37,"2,400,270 ","1,176,678 ","1,223,592 ","2,076,430 ","1,029,174 ","1,047,256 ","271,037 ","122,696 ","148,341 ","52,803 ","24,808 ","27,995 "
38,"2,332,394 ","1,142,294 ","1,190,100 ","2,038,948 ","1,008,705 ","1,030,243 ","245,687 ","111,160 ","134,527 ","47,759 ","22,429 ","25,330 "
39,"2,369,817 ","1,160,299 ","1,209,518 ","2,073,748 ","1,025,311 ","1,048,437 ","247,961 ","112,387 ","135,574 ","48,108 ","22,601 ","25,507 "
40,"2,331,327 ","1,143,244 ","1,188,083 ","2,035,396 ","1,008,044 ","1,027,352 ","249,115 ","113,177 ","135,938 ","46,816 ","22,023 ","24,793 "
41,"2,251,042 ","1,103,131 ","1,147,911 ","1,962,320 ","971,038 ","991,282 ","243,418 ","110,739 ","132,679 ","45,304 ","21,354 ","23,950 "
42,"2,230,600 ","1,096,365 ","1,134,235 ","1,940,256 ","962,612 ","977,644 ","243,586 ","111,533 ","132,053 ","46,758 ","22,220 ","24,538 "
43,"2,171,159 ","1,064,894 ","1,106,265 ","1,884,884 ","933,735 ","951,149 ","238,917 ","108,747 ","130,170 ","47,358 ","22,412 ","24,946 "
44,"2,224,619 ","1,087,887 ","1,136,732 ","1,932,588 ","953,784 ","978,804 ","243,223 ","111,225 ","131,998 ","48,808 ","22,878 ","25,930 "
45,"2,209,811 ","1,079,531 ","1,130,280 ","1,942,663 ","957,601 ","985,062 ","222,832 ","101,436 ","121,396 ","44,316 ","20,494 ","23,822 "
46,"2,253,199 ","1,102,380 ","1,150,819 ","1,988,067 ","980,417 ","1,007,650 ","223,792 ","103,142 ","120,650 ","41,340 ","18,821 ","22,519 "
47,"2,377,766 ","1,157,794 ","1,219,972 ","2,096,201 ","1,029,240 ","1,066,961 ","240,546 ","110,103 ","130,443 ","41,019 ","18,451 ","22,568 "
48,"2,284,194 ","1,104,687 ","1,179,507 ","2,016,099 ","982,788 ","1,033,311 ","230,283 ","104,998 ","125,285 ","37,812 ","16,901 ","20,911 "
49,"2,376,177 ","1,146,494 ","1,229,683 ","2,110,257 ","1,026,347 ","1,083,910 ","228,333 ","103,088 ","125,245 ","37,587 ","17,059 ","20,528 "
50,"2,294,077 ","1,105,292 ","1,188,785 ","2,050,456 ","995,683 ","1,054,773 ","208,175 ","93,437 ","114,738 ","35,446 ","16,172 ","19,274 "
51,"2,383,193 ","1,142,330 ","1,240,863 ","2,114,055 ","1,021,126 ","1,092,929 ","233,620 ","104,799 ","128,821 ","35,518 ","16,405 ","19,113 "
52,"2,424,062 ","1,157,446 ","1,266,616 ","2,158,898 ","1,037,353 ","1,121,545 ","229,603 ","103,443 ","126,160 ","35,561 ","16,650 ","18,911 "
53,"2,401,390 ","1,146,038 ","1,255,352 ","2,147,273 ","1,031,029 ","1,116,244 ","220,881 ","99,364 ","121,517 ","33,236 ","15,645 ","17,591 "
54,"2,366,486 ","1,127,439 ","1,239,047 ","2,118,669 ","1,014,782 ","1,103,887 ","215,222 ","97,148 ","118,074 ","32,595 ","15,509 ","17,086 "
55,"2,369,269 ","1,131,316 ","1,237,953 ","2,132,143 ","1,023,481 ","1,108,662 ","206,799 ","93,147 ","113,652 ","30,327 ","14,688 ","15,639 "
56,"2,287,932 ","1,091,284 ","1,196,648 ","2,055,463 ","983,802 ","1,071,661 ","204,090 ","93,531 ","110,559 ","28,379 ","13,951 ","14,428 "
57,"2,310,159 ","1,097,108 ","1,213,051 ","2,068,167 ","985,234 ","1,082,933 ","214,161 ","98,280 ","115,881 ","27,831 ","13,594 ","14,237 "
58,"2,154,049 ","1,010,201 ","1,143,848 ","1,932,425 ","908,542 ","1,023,883 ","196,300 ","89,365 ","106,935 ","25,324 ","12,294 ","13,030 "
59,"2,070,191 ","971,123 ","1,099,068 ","1,874,769 ","882,123 ","992,646 ","172,075 ","77,678 ","94,397 ","23,347 ","11,322 ","12,025 "
60,"1,893,305 ","886,044 ","1,007,261 ","1,730,941 ","813,705 ","917,236 ","142,019 ","62,514 ","79,505 ","20,345 ","9,825 ","10,520 "
61,"1,955,363 ","916,932 ","1,038,431 ","1,772,184 ","834,921 ","937,263 ","161,425 ","71,431 ","89,994 ","21,754 ","10,580 ","11,174 "
62,"1,963,589 ","912,479 ","1,051,110 ","1,770,744 ","825,222 ","945,522 ","171,572 ","76,718 ","94,854 ","21,273 ","10,539 ","10,734 "
63,"1,909,245 ","884,269 ","1,024,976 ","1,720,705 ","798,019 ","922,686 ","168,365 ","76,334 ","92,031 ","20,175 ","9,916 ","10,259 "
64,"1,866,559 ","851,027 ","1,015,532 ","1,673,098 ","764,777 ","908,321 ","174,153 ","76,463 ","97,690 ","19,308 ","9,787 ","9,521 "
65,"1,798,332 ","811,707 ","986,625 ","1,619,927 ","732,877 ","887,050 ","159,695 ","69,122 ","90,573 ","18,710 ","9,708 ","9,002 "
66,"1,751,748 ","779,215 ","972,533 ","1,552,637 ","691,421 ","861,216 ","180,945 ","77,847 ","103,098 ","18,166 ","9,947 ","8,219 "
67,"1,758,964 ","780,124 ","978,840 ","1,571,339 ","696,615 ","874,724 ","170,481 ","74,268 ","96,213 ","17,144 ","9,241 ","7,903 "
68,"1,631,626 ","710,755 ","920,871 ","1,469,377 ","640,959 ","828,418 ","146,819 ","61,581 ","85,238 ","15,430 ","8,215 ","7,215 "
69,"1,549,926 ","672,465 ","877,461 ","1,413,965 ","613,971 ","799,994 ","121,273 ","50,765 ","70,508 ","14,688 ","7,729 ","6,959 "
70,"1,340,517 ","573,232 ","767,285 ","1,224,838 ","523,787 ","701,051 ","102,051 ","42,216 ","59,835 ","13,628 ","7,229 ","6,399 "
