table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Vermont: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.55 to 59 years,"32,583","32,775","33,948","37,165","38,942","41,230","43,254","45,735","46,134","47,032","47,765","48,739","48,924"
.60 to 64 years,"24,300","24,404","25,307","26,477","28,496","30,214","31,663","32,699","35,627","37,395","39,659","41,234","41,530"
.65 to 69 years,"21,120","21,090","21,048","21,214","21,783","22,349","22,870","23,734","24,918","26,738","28,266","29,390","29,521"
.70 to 74 years,"19,552","19,559","19,492","19,420","18,985","18,792","18,752","18,870","18,966","19,504","19,874","20,148","20,210"
.75 to 79 years,"15,925","15,981","16,078","16,191","16,306","16,263","16,248","16,300","16,247","16,006","15,915","15,960","15,892"
.80 to 84 years,"10,899","11,004","11,294","11,574","11,737","12,106","12,369","12,573","12,814","12,831","12,698","12,783","12,754"
.85 years and over,"9,994","10,060","10,193","10,318","10,602","10,749","10,947","11,410","11,741","12,163","12,562","12,797","12,861"
.,,,,,,,,,,,,,
.Under 18 years,"147,464","147,549","146,040","144,441","142,718","141,068","138,933","136,731","134,695","132,600","130,450","129,233","129,201"
.Under 5 years,"33,979","33,946","33,529","33,139","33,081","33,044","32,956","32,473","32,575","32,344","32,012","31,952","31,913"
.5 to 13 years,"77,394","77,423","76,107","74,617","72,863","70,969","69,102","67,847","66,565","65,783","65,086","64,689","64,782"
.14 to 17 years,"36,091","36,180","36,404","36,685","36,774","37,055","36,875","36,411","35,555","34,473","33,352","32,592","32,506"
.18 to 64 years,"383,659","384,375","388,078","392,284","395,727","398,593","401,096","403,274","404,100","404,309","405,052","405,430","405,521"
.18 to 24 years,"56,575","56,798","58,845","60,590","62,583","63,919","64,910","65,566","65,359","65,116","65,131","64,873","64,972"
.25 to 44 years,"176,407","175,916","172,405","169,409","165,614","161,932","158,855","155,997","153,309","151,259","149,150","147,981","147,816"
.45 to 64 years,"150,677","151,661","156,828","162,285","167,530","172,742","177,331","181,711","185,432","187,934","190,771","192,576","192,733"
.65 years and over,"77,490","77,694","78,105","78,717","79,413","80,259","81,186","82,887","84,686","87,242","89,315","91,078","91,238"
.,,,,,,,,,,,,,
.16 years and over,"479,103","480,039","484,416","489,354","493,463","497,261","500,786","504,781","507,193","509,339","511,445","513,248","513,424"
.18 years and over,"461,149","462,069","466,183","471,001","475,140","478,852","482,282","486,161","488,786","491,551","494,367","496,508","496,759"
.15 to 44 years,"260,009","259,859","258,566","257,571","255,741","253,646","251,688","249,366","245,902","242,735","239,737","237,844","237,729"
.,,,,,,,,,,,,,
.Median age (years),37.7,37.8,38.2,38.5,39.0,39.4,39.8,40.2,40.6,41.0,41.3,41.5,41.5
MALE,"298,240","298,769","300,444","302,483","303,652","304,840","305,793","306,602","306,943","307,429","307,689","308,206","308,367"
.Under 5 years,"17,444","17,423","17,125","16,939","17,001","17,088","17,013","16,737","16,856","16,694","16,403","16,339","16,315"
.5 to 9 years,"20,992","20,902","20,225","19,628","19,041","18,591","18,164","18,052","17,803","17,978","17,961","17,854","17,865"
.10 to 14 years,"23,413","23,499","23,559","23,347","23,037","22,552","21,878","21,164","20,577","19,938","19,562","19,351","19,363"
.15 to 19 years,"23,543","23,646","24,343","24,850","25,094","25,209","25,321","25,371","25,055","24,697","24,098","23,659","23,591"
.20 to 24 years,"19,387","19,485","20,046","20,709","21,412","21,986","22,531","22,771","22,581","22,571","22,768","22,682","22,769"
.25 to 29 years,"17,017","16,845","16,023","15,775","15,670","15,614","15,821","16,150","16,763","17,036","17,319","17,713","17,839"
.30 to 34 years,"19,723","19,706","19,571","19,510","19,113","18,542","17,818","17,065","16,433","16,504","16,634","16,908","16,991"
.35 to 39 years,"24,071","23,966","23,137","22,414","21,469","20,660","20,356","20,196","19,870","19,395","18,781","17,982","17,792"
.40 to 44 years,"25,756","25,796","25,913","25,825","25,427","25,039","24,514","23,661","22,755","21,771","20,872","20,603","20,535"
.45 to 49 years,"24,544","24,677","25,038","25,375","25,605","25,797","25,778","25,777","25,656","25,354","24,989","24,514","24,363"
.50 to 54 years,"21,956","22,159","23,378","23,380","23,538","23,916","24,388","24,848","25,202","25,464","25,646","25,773","25,771"
.55 to 59 years,"16,244","16,346","16,901","18,533","19,479","20,543","21,624","22,835","22,924","23,200","23,480","23,905","23,997"
.60 to 64 years,"11,916","11,972","12,432","13,051","14,087","15,031","15,778","16,274","17,732","18,633","19,778","20,609","20,756"
.65 to 69 years,"10,034","10,026","10,068","10,208","10,571","10,815","11,108","11,497","12,086","13,029","13,869","14,386","14,453"
.70 to 74 years,"8,795","8,811","8,874","8,813","8,570","8,649","8,663","8,808","8,924","9,255","9,382","9,534","9,567"
.75 to 79 years,"6,625","6,656","6,695","6,807","7,005","7,017","7,020","7,104","7,081","6,980","7,078","7,108","7,082"
.80 to 84 years,"4,014","4,061","4,274","4,393","4,489","4,616","4,762","4,833","5,043","5,148","5,134","5,183","5,184"
.85 years and over,"2,766","2,793","2,842","2,926","3,044","3,175","3,256","3,459","3,602","3,782","3,935","4,103","4,134"
.,,,,,,,,,,,,,
.Under 18 years,"75,706","75,747","74,995","74,185","73,319","72,607","71,579","70,383","69,259","68,168","66,928","66,348","66,326"
.Under 5 years,"17,444","17,423","17,125","16,939","17,001","17,088","17,013","16,737","16,856","16,694","16,403","16,339","16,315"
.5 to 13 years,"39,742","39,757","39,083","38,212","37,328","36,335","35,354","34,824","34,028","33,720","33,447","33,222","33,266"
.14 to 17 years,"18,520","18,567","18,787","19,034","18,990","19,184","19,212","18,822","18,375","17,754","17,078","16,787","16,745"
.18 to 64 years,"190,300","190,675","192,696","195,151","196,654","197,961","199,405","200,518","200,948","201,067","201,363","201,544","201,621"
.18 to 24 years,"29,073","29,208","30,303","31,288","32,266","32,819","33,328","33,712","33,613","33,710","33,864","33,537","33,577"
.25 to 44 years,"86,567","86,313","84,644","83,524","81,679","79,855","78,509","77,072","75,821","74,706","73,606","73,206","73,157"
.45 to 64 years,"74,660","75,154","77,749","80,339","82,709","85,287","87,568","89,734","91,514","92,651","93,893","94,801","94,887"
.65 years and over,"32,234","32,347","32,753","33,147","33,679","34,272","34,809","35,701","36,736","38,194","39,398","40,314","40,420"
.,,,,,,,,,,,,,
.16 years and over,"231,666","232,164","234,873","237,812","239,773","241,806","243,869","245,885","247,293","248,405","249,524","250,500","250,649"
.18 years and over,"222,534","223,022","225,449","228,298","230,333","232,233","234,214","236,219","237,684","239,261","240,761","241,858","242,041"
.15 to 44 years,"129,497","129,444","129,033","129,083","128,185","127,050","126,361","125,214","123,457","121,974","120,472","119,547","119,517"
.,,,,,,,,,,,,,
.Median age (years),36.6,36.7,37.1,37.5,37.8,38.2,38.6,38.9,39.4,39.7,40.1,40.4,40.4
FEMALE,"310,373","310,849","311,779","312,959","314,206","315,080","315,422","316,290","316,538","316,722","317,128","317,535","317,593"
.Under 5 years,"16,535","16,523","16,404","16,200","16,080","15,956","15,943","15,736","15,719","15,650","15,609","15,613","15,598"
.5 to 9 years,"20,092","20,007","19,336","18,706","18,215","17,757","17,181","17,062","17,001","16,955","16,795","16,800","16,808"
.10 to 14 years,"21,961","22,050","22,075","22,049","21,800","21,329","20,831","20,177","19,505","19,025","18,664","18,286","18,311"
.15 to 19 years,"22,215","22,263","23,190","23,639","23,587","23,732","23,687","23,597","23,455","23,196","22,699","22,353","22,293"
.20 to 24 years,"18,457","18,549","18,582","18,964","20,034","20,787","21,294","21,630","21,502","21,012","21,022","21,169","21,260"
.25 to 29 years,"17,160","16,997","16,144","15,791","15,523","15,378","15,324","15,815","16,325","17,092","17,802","17,728","17,790"
.30 to 34 years,"20,659","20,661","20,392","20,089","19,577","19,002","18,426","17,672","17,261","17,110","17,117","17,273","17,369"
.35 to 39 years,"25,292","25,168","24,283","23,436","22,495","21,636","21,152","20,917","20,339","19,612","18,871","18,376","18,173"
.40 to 44 years,"26,729","26,777","26,942","26,569","26,340","26,061","25,444","24,521","23,563","22,739","21,754","21,398","21,327"
.45 to 49 years,"25,541","25,684","25,857","26,316","26,632","26,749","26,737","26,960","26,630","26,220","25,985","25,596","25,419"
.50 to 54 years,"21,753","21,962","23,300","23,572","24,317","24,836","25,511","25,692","26,183","26,469","26,727","26,720","26,726"
.55 to 59 years,"16,339","16,429","17,047","18,632","19,463","20,687","21,630","22,900","23,210","23,832","24,285","24,834","24,927"
.60 to 64 years,"12,384","12,432","12,875","13,426","14,409","15,183","15,885","16,425","17,895","18,762","19,881","20,625","20,774"
.65 to 69 years,"11,086","11,064","10,980","11,006","11,212","11,534","11,762","12,237","12,832","13,709","14,397","15,004","15,068"
.70 to 74 years,"10,757","10,748","10,618","10,607","10,415","10,143","10,089","10,062","10,042","10,249","10,492","10,614","10,643"
.75 to 79 years,"9,300","9,325","9,383","9,384","9,301","9,246","9,228","9,196","9,166","9,026","8,837","8,852","8,810"
.80 to 84 years,"6,885","6,943","7,020","7,181","7,248","7,490","7,607","7,740","7,771","7,683","7,564","7,600","7,570"
.85 years and over,"7,228","7,267","7,351","7,392","7,558","7,574","7,691","7,951","8,139","8,381","8,627","8,694","8,727"
.,,,,,,,,,,,,,
.Under 18 years,"71,758","71,802","71,045","70,256","69,399","68,461","67,354","66,348","65,436","64,432","63,522","62,885","62,875"
.Under 5 years,"16,535","16,523","16,404","16,200","16,080","15,956","15,943","15,736","15,719","15,650","15,609","15,613","15,598"
.5 to 13 years,"37,652","37,666","37,024","36,405","35,535","34,634","33,748","33,023","32,537","32,063","31,639","31,467","31,516"
.14 to 17 years,"17,571","17,613","17,617","17,651","17,784","17,871","17,663","17,589","17,180","16,719","16,274","15,805","15,761"
.18 to 64 years,"193,359","193,700","195,382","197,133","199,073","200,632","201,691","202,756","203,152","203,242","203,689","203,886","203,900"
.18 to 24 years,"27,502","27,590","28,542","29,302","30,317","31,100","31,582","31,854","31,746","31,406","31,267","31,336","31,395"
.25 to 44 years,"89,840","89,603","87,761","85,885","83,935","82,077","80,346","78,925","77,488","76,553","75,544","74,775","74,659"
.45 to 64 years,"76,017","76,507","79,079","81,946","84,821","87,455","89,763","91,977","93,918","95,283","96,878","97,775","97,846"
.65 years and over,"45,256","45,347","45,352","45,570","45,734","45,987","46,377","47,186","47,950","49,048","49,917","50,764","50,818"
.,,,,,,,,,,,,,
.16 years and over,"247,437","247,875","249,543","251,542","253,690","255,455","256,917","258,896","259,900","260,934","261,921","262,748","262,775"
.18 years and over,"238,615","239,047","240,734","242,703","244,807","246,619","248,068","249,942","251,102","252,290","253,606","254,650","254,718"
.15 to 44 years,"130,512","130,415","129,533","128,488","127,556","126,596","125,327","124,152","122,445","120,761","119,265","118,297","118,212"
.,,,,,,,,,,,,,
.Median age (years),38.7,38.7,39.1,39.5,40.0,40.4,40.8,41.2,41.6,42.1,42.4,42.7,42.7
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Vermont: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-50)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
