table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Tennessee: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.65 to 69 years,"204,583","204,592","208,855","210,773","216,352","222,368","229,285","237,951","248,826","262,563","273,338","280,538","282,245"
.70 to 74 years,"178,295","178,461","178,051","178,936","178,913","179,985","182,678","188,981","191,581","197,317","202,744","206,536","207,537"
.75 to 79 years,"144,857","145,416","145,915","145,742","147,023","146,276","147,467","149,766","150,965","152,105","153,016","154,517","154,327"
.80 to 84 years,"94,149","94,954","97,172","100,066","102,298","104,588","106,671","108,412","109,192","110,739","110,844","111,954","111,985"
.85 years and over,"81,463","81,957","82,348","82,020","82,319","83,468","85,755","89,250","92,178","94,272","97,402","99,917","100,570"
.,,,,,,,,,,,,,
.Under 18 years,"1,398,584","1,399,685","1,407,578","1,414,857","1,424,861","1,433,343","1,449,326","1,470,166","1,482,747","1,494,354","1,494,687","1,496,001","1,495,071"
.Under 5 years,"374,897","374,667","378,216","381,193","385,343","388,506","392,265","395,602","401,096","406,969","407,229","407,813","407,733"
.5 to 13 years,"712,618","712,900","716,225","717,307","718,164","716,395","719,736","729,878","735,333","743,072","745,606","747,755","748,394"
.14 to 17 years,"311,069","312,118","313,137","316,357","321,354","328,442","337,325","344,686","346,318","344,313","341,852","340,433","338,944"
.18 to 64 years,"3,587,496","3,598,654","3,630,870","3,663,524","3,696,046","3,740,781","3,789,875","3,844,240","3,900,238","3,936,061","3,973,988","3,996,642","4,005,162"
.18 to 24 years,"548,802","552,574","563,268","567,742","569,833","575,572","577,652","572,909","584,262","589,192","601,552","606,364","606,845"
.25 to 44 years,"1,718,482","1,715,304","1,699,828","1,685,039","1,675,364","1,675,964","1,679,791","1,690,961","1,697,092","1,691,716","1,684,731","1,678,127","1,679,997"
.45 to 64 years,"1,320,212","1,330,776","1,367,774","1,410,743","1,450,849","1,489,245","1,532,432","1,580,370","1,618,884","1,655,153","1,687,705","1,712,151","1,718,320"
.65 years and over,"703,347","705,380","712,341","717,537","726,905","736,685","751,856","774,360","792,742","816,996","837,344","853,462","856,664"
.,,,,,,,,,,,,,
.16 years and over,"4,446,078","4,459,556","4,499,927","4,539,855","4,582,163","4,637,973","4,707,450","4,791,500","4,869,490","4,929,265","4,985,489","5,022,781","5,033,545"
.18 years and over,"4,290,843","4,304,034","4,343,211","4,381,061","4,422,951","4,477,466","4,541,731","4,618,600","4,692,980","4,753,057","4,811,332","4,850,104","4,861,826"
.15 to 44 years,"2,499,969","2,501,762","2,498,453","2,490,048","2,484,252","2,494,961","2,509,385","2,523,806","2,543,723","2,542,328","2,544,422","2,541,557","2,542,967"
.,,,,,,,,,,,,,
.Median age (years),35.9,36.0,36.2,36.5,36.7,36.8,36.9,37.2,37.3,37.6,37.8,38.0,38.1
MALE,"2,770,311","2,777,586","2,802,368","2,824,045","2,846,829","2,882,878","2,922,618","2,967,311","3,013,447","3,044,296","3,074,250","3,093,504","3,099,292"
.Under 5 years,"192,289","192,141","193,741","195,043","196,767","198,020","199,788","201,254","204,372","207,673","207,509","208,119","208,054"
.5 to 9 years,"203,339","202,432","200,011","198,027","197,231","198,098","199,903","204,269","206,748","209,276","209,864","210,090","210,203"
.10 to 14 years,"202,785","203,759","207,752","210,944","213,657","213,575","213,528","213,649","212,990","213,296","214,344","215,039","214,942"
.15 to 19 years,"202,550","203,517","202,363","202,146","203,071","207,023","212,235","217,209","221,317","223,585","223,787","223,002","221,938"
.20 to 24 years,"194,698","196,217","203,343","206,097","205,513","209,098","209,466","205,209","208,913","206,187","211,011","212,905","213,732"
.25 to 29 years,"203,103","201,647","194,207","190,384","189,477","193,625","198,535","204,431","209,620","208,280","208,945","206,997","208,045"
.30 to 34 years,"205,960","205,908","207,533","208,299","207,258","205,829","201,643","196,637","195,450","195,781","198,381","201,529","203,113"
.35 to 39 years,"223,115","222,481","219,611","215,196","210,724","207,942","208,715","212,569","216,171","216,110","214,124","209,760","208,527"
.40 to 44 years,"219,818","220,481","222,211","222,025","222,129","223,836","224,051","223,055","220,582","217,030","213,224","213,014","212,966"
.45 to 49 years,"201,434","202,827","206,250","210,790","214,916","217,163","220,298","223,908","225,138","226,862","228,553","228,086","227,359"
.50 to 54 years,"183,508","185,631","194,086","192,370","193,487","197,041","201,159","206,011","211,471","217,022","219,504","222,283","222,885"
.55 to 59 years,"142,378","143,468","146,840","159,200","166,842","174,188","182,352","191,889","190,828","192,289","195,832","198,721","199,986"
.60 to 64 years,"113,436","114,118","116,796","122,158","128,480","133,997","139,229","143,981","156,239","164,233","171,613","177,924","179,785"
.65 to 69 years,"93,265","93,330","95,821","97,010","100,062","103,496","107,091","111,483","117,120","124,061","129,301","133,139","133,986"
.70 to 74 years,"77,218","77,418","77,732","78,452","78,890","79,478","80,938","84,320","85,847","89,002","92,161","94,112","94,622"
.75 to 79 years,"56,973","57,252","57,834","58,330","59,368","59,884","60,922","62,381","63,362","64,328","64,809","65,637","65,615"
.80 to 84 years,"32,598","32,949","33,949","35,285","36,395","37,408","38,655","39,671","40,666","41,579","42,335","43,111","43,222"
.85 years and over,"21,844","22,010","22,288","22,289","22,562","23,177","24,110","25,385","26,613","27,702","28,953","30,036","30,312"
.,,,,,,,,,,,,,
.Under 18 years,"718,570","719,125","722,697","725,736","730,282","734,636","742,682","752,916","759,063","764,626","763,997","765,181","764,674"
.Under 5 years,"192,289","192,141","193,741","195,043","196,767","198,020","199,788","201,254","204,372","207,673","207,509","208,119","208,054"
.5 to 13 years,"365,927","366,102","367,954","368,221","368,626","367,834","369,262","374,381","376,182","379,812","380,918","382,074","382,398"
.14 to 17 years,"160,354","160,882","161,002","162,472","164,889","168,782","173,632","177,281","178,509","177,141","175,570","174,988","174,222"
.18 to 64 years,"1,769,843","1,775,502","1,792,047","1,806,943","1,819,270","1,844,799","1,868,220","1,891,155","1,920,776","1,932,998","1,952,694","1,962,288","1,966,861"
.18 to 24 years,"277,091","278,941","284,513","286,521","285,957","291,178","292,238","288,674","295,277","295,391","302,518","303,974","304,195"
.25 to 44 years,"851,996","850,517","843,562","835,904","829,588","831,232","832,944","836,692","841,823","837,201","834,674","831,300","832,651"
.45 to 64 years,"640,756","646,044","663,972","684,518","703,725","722,389","743,038","765,789","783,676","800,406","815,502","827,014","830,015"
.65 years and over,"281,898","282,959","287,624","291,366","297,277","303,443","311,716","323,240","333,608","346,672","357,559","366,035","367,757"
.,,,,,,,,,,,,,
.16 years and over,"2,132,148","2,139,037","2,160,539","2,179,913","2,198,144","2,230,760","2,265,116","2,303,396","2,345,542","2,370,250","2,399,716","2,417,135","2,422,952"
.18 years and over,"2,051,741","2,058,461","2,079,671","2,098,309","2,116,547","2,148,242","2,179,936","2,214,395","2,254,384","2,279,670","2,310,253","2,328,323","2,334,618"
.15 to 44 years,"1,249,244","1,250,251","1,249,268","1,244,147","1,238,172","1,247,353","1,254,645","1,259,110","1,272,053","1,266,973","1,269,472","1,267,207","1,268,321"
.,,,,,,,,,,,,,
.Median age (years),34.5,34.6,34.8,35.0,35.3,35.4,35.6,35.9,36.1,36.4,36.6,36.7,36.7
FEMALE,"2,919,116","2,926,133","2,948,421","2,971,873","3,000,983","3,027,931","3,068,439","3,121,455","3,162,280","3,203,115","3,231,769","3,252,601","3,257,605"
.Under 5 years,"182,608","182,526","184,475","186,150","188,576","190,486","192,477","194,348","196,724","199,296","199,720","199,694","199,679"
.5 to 9 years,"192,483","191,579","189,780","187,695","187,701","188,015","190,273","194,557","197,867","200,867","201,754","202,091","202,186"
.10 to 14 years,"192,395","193,364","196,462","199,731","201,874","201,724","201,415","202,153","201,677","202,526","203,357","203,902","203,882"
.15 to 19 years,"192,629","193,277","191,120","191,120","193,403","197,422","202,438","207,130","210,989","213,859","214,436","214,184","213,133"
.20 to 24 years,"191,610","193,447","201,799","205,646","206,901","205,454","205,455","203,297","205,412","206,981","210,457","213,339","214,167"
.25 to 29 years,"200,719","199,237","192,078","189,123","190,333","195,625","201,337","210,502","213,936","214,503","212,247","210,686","211,068"
.30 to 34 years,"206,127","205,980","206,887","207,995","207,606","204,939","202,205","197,632","196,038","197,701","202,288","204,785","206,398"
.35 to 39 years,"230,226","229,420","225,565","220,666","215,754","210,806","210,271","214,474","217,647","218,774","216,741","213,862","212,446"
.40 to 44 years,"229,414","230,150","231,736","231,351","232,083","233,362","233,034","231,661","227,648","223,537","218,781","217,494","217,434"
.45 to 49 years,"211,287","212,695","217,520","222,282","226,500","228,610","231,460","235,059","236,271","238,184","239,754","239,001","238,128"
.50 to 54 years,"190,710","192,852","201,393","201,715","204,613","208,243","213,984","220,567","226,262","232,030","234,718","237,066","237,760"
.55 to 59 years,"151,580","152,657","156,012","168,049","175,071","183,723","193,244","203,572","204,895","208,467","212,340","216,270","217,616"
.60 to 64 years,"125,879","126,528","128,877","134,179","140,940","146,280","150,706","155,383","167,780","176,066","185,391","192,800","194,801"
.65 to 69 years,"111,318","111,262","113,034","113,763","116,290","118,872","122,194","126,468","131,706","138,502","144,037","147,399","148,259"
.70 to 74 years,"101,077","101,043","100,319","100,484","100,023","100,507","101,740","104,661","105,734","108,315","110,583","112,424","112,915"
.75 to 79 years,"87,884","88,164","88,081","87,412","87,655","86,392","86,545","87,385","87,603","87,777","88,207","88,880","88,712"
.80 to 84 years,"61,551","62,005","63,223","64,781","65,903","67,180","68,016","68,741","68,526","69,160","68,509","68,843","68,763"
.85 years and over,"59,619","59,947","60,060","59,731","59,757","60,291","61,645","63,865","65,565","66,570","68,449","69,881","70,258"
.,,,,,,,,,,,,,
.Under 18 years,"680,014","680,560","684,881","689,121","694,579","698,707","706,644","717,250","723,684","729,728","730,690","730,820","730,397"
.Under 5 years,"182,608","182,526","184,475","186,150","188,576","190,486","192,477","194,348","196,724","199,296","199,720","199,694","199,679"
.5 to 13 years,"346,691","346,798","348,271","349,086","349,538","348,561","350,474","355,497","359,151","363,260","364,688","365,681","365,996"
.14 to 17 years,"150,715","151,236","152,135","153,885","156,465","159,660","163,693","167,405","167,809","167,172","166,282","165,445","164,722"
.18 to 64 years,"1,817,653","1,823,152","1,838,823","1,856,581","1,876,776","1,895,982","1,921,655","1,953,085","1,979,462","2,003,063","2,021,294","2,034,354","2,038,301"
.18 to 24 years,"271,711","273,633","278,755","281,221","283,876","284,394","285,414","284,235","288,985","293,801","299,034","302,390","302,650"
.25 to 44 years,"866,486","864,787","856,266","849,135","845,776","844,732","846,847","854,269","855,269","854,515","850,057","846,827","847,346"
.45 to 64 years,"679,456","684,732","703,802","726,225","747,124","766,856","789,394","814,581","835,208","854,747","872,203","885,137","888,305"
.65 years and over,"421,449","422,421","424,717","426,171","429,628","433,242","440,140","451,120","459,134","470,324","479,785","487,427","488,907"
.,,,,,,,,,,,,,
.16 years and over,"2,313,930","2,320,519","2,339,388","2,359,942","2,384,019","2,407,213","2,442,334","2,488,104","2,523,948","2,559,015","2,585,773","2,605,646","2,610,593"
.18 years and over,"2,239,102","2,245,573","2,263,540","2,282,752","2,306,404","2,329,224","2,361,795","2,404,205","2,438,596","2,473,387","2,501,079","2,521,781","2,527,208"
.15 to 44 years,"1,250,725","1,251,511","1,249,185","1,245,901","1,246,080","1,247,608","1,254,740","1,264,696","1,271,670","1,275,355","1,274,950","1,274,350","1,274,646"
.,,,,,,,,,,,,,
.Median age (years),37.2,37.3,37.5,37.8,38.0,38.2,38.3,38.5,38.6,38.8,39.0,39.2,39.3
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Tennessee: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-47)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
