Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1943",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"136,739,353 ","68,545,741 ","68,193,612 ","122,605,238 ","61,567,825 ","61,037,413 ","14,134,115 ","6,977,916 ","7,156,199 "
,,,,,,,,,
0,"2,692,725 ","1,379,259 ","1,313,466 ","2,399,773 ","1,231,336 ","1,168,437 ","292,952 ","147,923 ","145,029 "
1,"2,371,411 ","1,207,195 ","1,164,216 ","2,093,232 ","1,067,889 ","1,025,343 ","278,179 ","139,306 ","138,873 "
2,"2,388,589 ","1,211,805 ","1,176,784 ","2,082,768 ","1,060,111 ","1,022,657 ","305,821 ","151,694 ","154,127 "
3,"2,297,887 ","1,164,397 ","1,133,490 ","1,997,800 ","1,016,047 ","981,753 ","300,087 ","148,350 ","151,737 "
4,"2,265,745 ","1,151,098 ","1,114,647 ","1,971,098 ","1,003,520 ","967,578 ","294,647 ","147,578 ","147,069 "
5,"2,212,045 ","1,121,478 ","1,090,567 ","1,922,727 ","977,083 ","945,644 ","289,318 ","144,395 ","144,923 "
6,"2,115,201 ","1,067,372 ","1,047,829 ","1,839,893 ","931,170 ","908,723 ","275,308 ","136,202 ","139,106 "
7,"2,112,215 ","1,071,335 ","1,040,880 ","1,837,837 ","933,759 ","904,078 ","274,378 ","137,576 ","136,802 "
8,"2,005,936 ","1,009,125 ","996,811 ","1,749,553 ","882,276 ","867,277 ","256,383 ","126,849 ","129,534 "
9,"1,993,445 ","1,003,426 ","990,019 ","1,740,614 ","878,660 ","861,954 ","252,831 ","124,766 ","128,065 "
10,"2,107,267 ","1,076,736 ","1,030,531 ","1,836,440 ","941,742 ","894,698 ","270,827 ","134,994 ","135,833 "
