table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Texas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Under 18 years,"5,886,808","5,906,301","5,980,187","6,060,372","6,132,980","6,208,259","6,290,970","6,446,798","6,565,872","6,675,917","6,792,907","6,865,824","6,888,687"
.Under 5 years,"1,624,636","1,628,590","1,669,530","1,711,032","1,753,005","1,795,044","1,827,344","1,863,053","1,892,086","1,917,615","1,929,162","1,928,473","1,933,297"
.5 to 13 years,"2,960,845","2,969,955","2,989,145","3,007,821","3,024,385","3,030,578","3,057,614","3,140,184","3,206,820","3,281,621","3,373,720","3,438,990","3,457,637"
.14 to 17 years,"1,301,327","1,307,756","1,321,512","1,341,519","1,355,590","1,382,637","1,406,012","1,443,561","1,466,966","1,476,681","1,490,025","1,498,361","1,497,753"
.18 to 64 years,"12,892,263","12,957,155","13,232,770","13,496,485","13,727,991","13,976,579","14,229,339","14,583,131","14,878,014","15,169,134","15,466,109","15,677,851","15,748,694"
.18 to 24 years,"2,198,897","2,213,745","2,283,119","2,340,371","2,386,950","2,420,595","2,434,329","2,463,849","2,477,138","2,511,528","2,548,560","2,572,969","2,583,334"
.25 to 44 years,"6,484,244","6,495,058","6,529,822","6,552,685","6,556,417","6,589,095","6,634,314","6,742,164","6,835,875","6,921,332","7,007,959","7,071,855","7,094,738"
.45 to 64 years,"4,209,122","4,248,352","4,419,829","4,603,429","4,784,624","4,966,889","5,160,696","5,377,118","5,565,001","5,736,274","5,909,590","6,033,027","6,070,622"
.65 years and over,"2,071,957","2,081,043","2,106,665","2,133,468","2,169,960","2,209,185","2,257,814","2,329,651","2,388,097","2,463,988","2,542,745","2,601,886","2,619,733"
.,,,,,,,,,,,,,
.16 years and over,"15,617,264","15,692,904","16,002,815","16,305,109","16,577,217","16,871,755","17,182,599","17,635,487","18,004,716","18,377,285","18,761,201","19,035,255","19,122,836"
.18 years and over,"14,964,220","15,038,198","15,339,435","15,629,953","15,897,951","16,185,764","16,487,153","16,912,782","17,266,111","17,633,122","18,008,854","18,279,737","18,368,427"
.15 to 44 years,"9,659,911","9,691,433","9,805,863","9,901,602","9,960,341","10,039,110","10,122,865","10,289,492","10,418,485","10,545,524","10,680,386","10,772,058","10,805,685"
.,,,,,,,,,,,,,
.Median age (years),32.3,32.4,32.5,32.6,32.8,33.0,33.1,33.2,33.3,33.4,33.5,33.6,33.6
MALE,"10,352,481","10,399,343","10,588,432","10,775,672","10,934,978","11,115,621","11,307,684","11,588,337","11,821,411","12,059,103","12,301,611","12,472,280","12,530,309"
.Under 5 years,"830,750","832,702","853,059","875,024","895,509","917,049","933,497","951,974","966,261","979,733","985,232","984,149","986,529"
.5 to 9 years,"844,959","843,123","840,706","836,997","836,279","837,001","847,610","878,381","904,537","930,996","964,071","983,814","988,890"
.10 to 14 years,"834,529","841,165","854,881","869,866","882,019","891,635","894,335","910,849","919,420","931,718","946,539","962,866","966,780"
.15 to 19 years,"847,475","852,451","863,975","872,355","877,810","887,634","900,604","921,405","937,530","951,822","965,143","968,686","968,429"
.20 to 24 years,"794,805","800,392","831,084","862,352","881,073","895,229","903,404","912,078","912,078","915,520","923,165","932,353","938,242"
.25 to 29 years,"810,943","808,832","802,799","801,781","800,789","812,073","831,599","859,198","886,786","914,368","931,677","938,966","943,090"
.30 to 34 years,"798,033","800,108","815,703","830,843","834,467","835,692","832,317","832,898","836,572","846,513","865,169","882,887","889,465"
.35 to 39 years,"849,252","849,511","838,077","824,582","810,425","805,739","814,427","835,581","856,728","870,224","876,816","876,139","875,518"
.40 to 44 years,"819,328","824,149","840,565","848,170","853,873","859,456","854,464","850,455","843,415","837,059","838,307","846,865","849,925"
.45 to 49 years,"702,056","707,923","732,005","759,370","781,472","801,275","821,256","843,598","855,251","866,060","876,029","874,863","875,864"
.50 to 54 years,"587,758","595,453","629,111","635,997","655,537","677,517","703,036","731,308","761,793","787,240","810,065","827,933","833,102"
.55 to 59 years,"436,084","440,052","457,096","498,052","525,660","553,723","585,006","620,616","629,158","648,713","671,711","691,275","696,979"
.60 to 64 years,"334,630","337,024","347,992","363,632","384,108","404,637","423,900","442,934","484,166","512,040","541,181","565,820","572,887"
.65 to 69 years,"283,421","284,046","288,004","292,419","300,086","308,739","316,504","330,797","346,709","368,206","389,015","403,269","406,938"
.70 to 74 years,"234,870","235,951","239,061","241,511","243,805","246,446","251,494","257,672","262,639","270,591","278,900","283,865","286,162"
.75 to 79 years,"175,267","176,475","179,112","181,253","183,749","186,451","191,166","196,521","199,029","202,056","204,914","208,530","209,264"
.80 to 84 years,"100,110","101,303","106,133","111,720","116,262","121,053","124,310","128,474","131,143","133,381","136,120","139,029","139,986"
.85 years and over,"68,211","68,683","69,069","69,748","72,055","74,272","78,755","83,598","88,196","92,863","97,557","100,971","102,259"
.,,,,,,,,,,,,,
.Under 18 years,"3,014,754","3,024,581","3,060,487","3,101,111","3,137,360","3,175,626","3,218,291","3,298,792","3,358,980","3,414,302","3,473,887","3,510,249","3,521,886"
.Under 5 years,"830,750","832,702","853,059","875,024","895,509","917,049","933,497","951,974","966,261","979,733","985,232","984,149","986,529"
.5 to 13 years,"1,513,291","1,517,945","1,527,590","1,536,657","1,545,165","1,547,971","1,562,582","1,605,303","1,639,596","1,676,632","1,723,547","1,756,573","1,766,174"
.14 to 17 years,"670,713","673,934","679,838","689,430","696,686","710,606","722,212","741,515","753,123","757,937","765,108","769,527","769,183"
.18 to 64 years,"6,475,848","6,508,304","6,646,566","6,777,910","6,881,661","7,003,034","7,127,164","7,292,483","7,434,715","7,577,704","7,721,218","7,826,367","7,863,814"
.18 to 24 years,"1,137,764","1,145,252","1,183,218","1,215,483","1,235,330","1,252,922","1,261,159","1,275,895","1,280,846","1,295,487","1,310,263","1,321,619","1,326,984"
.25 to 44 years,"3,277,556","3,282,600","3,297,144","3,305,376","3,299,554","3,312,960","3,332,807","3,378,132","3,423,501","3,468,164","3,511,969","3,544,857","3,557,998"
.45 to 64 years,"2,060,528","2,080,452","2,166,204","2,257,051","2,346,777","2,437,152","2,533,198","2,638,456","2,730,368","2,814,053","2,898,986","2,959,891","2,978,832"
.65 years and over,"861,879","866,458","881,379","896,651","915,957","936,961","962,229","997,062","1,027,716","1,067,097","1,106,506","1,135,664","1,144,609"
.,,,,,,,,,,,,,
.16 years and over,"7,676,476","7,714,367","7,870,872","8,023,044","8,148,217","8,293,846","8,448,256","8,662,649","8,843,221","9,028,109","9,215,173","9,350,891","9,396,799"
.18 years and over,"7,337,727","7,374,762","7,527,945","7,674,561","7,797,618","7,939,995","8,089,393","8,289,545","8,462,431","8,644,801","8,827,724","8,962,031","9,008,423"
.15 to 44 years,"4,919,836","4,935,443","4,992,203","5,040,083","5,058,437","5,095,823","5,136,815","5,211,615","5,273,109","5,335,506","5,400,277","5,445,896","5,464,669"
.,,,,,,,,,,,,,
.Median age (years),31.3,31.3,31.5,31.6,31.8,32.0,32.1,32.2,32.3,32.4,32.5,32.6,32.6
FEMALE,"10,498,547","10,545,156","10,731,190","10,914,653","11,095,953","11,278,402","11,470,439","11,771,243","12,010,572","12,249,936","12,500,150","12,673,281","12,726,805"
.Under 5 years,"793,886","795,888","816,471","836,008","857,496","877,995","893,847","911,079","925,825","937,882","943,930","944,324","946,768"
.5 to 9 years,"809,233","807,542","805,119","802,047","800,031","800,862","810,168","839,625","864,468","892,835","924,615","944,420","949,275"
.10 to 14 years,"796,681","803,251","817,029","831,884","844,672","854,297","857,291","871,411","879,889","890,089","904,653","919,017","922,832"
.15 to 19 years,"788,775","792,477","799,652","806,897","815,867","827,325","841,038","862,229","878,939","894,736","909,426","914,438","913,999"
.20 to 24 years,"744,612","751,055","781,330","807,313","829,174","839,827","843,505","851,616","854,063","862,114","874,693","884,726","890,277"
.25 to 29 years,"780,554","779,057","772,457","774,359","777,053","790,265","810,798","845,320","871,577","895,746","910,067","914,073","916,158"
.30 to 34 years,"772,508","774,843","795,457","812,665","822,546","825,093","822,980","824,461","831,034","839,275","859,156","877,547","883,715"
.35 to 39 years,"839,608","839,635","828,457","814,988","803,342","798,736","808,021","837,317","861,877","878,126","886,544","887,448","886,322"
.40 to 44 years,"814,018","818,923","836,307","845,297","853,922","862,041","859,708","856,934","847,886","840,021","840,223","847,930","850,545"
.45 to 49 years,"714,124","719,719","742,705","770,144","791,427","808,455","826,714","849,988","861,714","873,014","884,886","885,604","885,914"
.50 to 54 years,"607,201","614,936","650,246","658,262","678,888","702,599","726,764","755,537","786,113","810,070","830,458","846,936","852,053"
.55 to 59 years,"460,379","464,141","480,389","522,524","551,852","581,677","615,699","655,562","666,115","687,559","712,749","731,649","737,360"
.60 to 64 years,"366,890","369,104","380,285","395,448","415,680","437,006","458,321","477,575","520,691","551,578","582,511","608,947","616,463"
.65 to 69 years,"326,807","327,237","331,152","335,250","342,877","351,475","358,583","374,167","389,787","411,121","433,412","449,831","453,503"
.70 to 74 years,"297,136","297,702","297,812","298,236","299,510","300,645","303,803","311,276","315,323","322,714","330,923","335,291","337,540"
.75 to 79 years,"248,623","249,881","252,465","253,778","255,561","256,047","259,524","262,961","263,573","264,938","266,452","268,715","269,242"
.80 to 84 years,"167,795","169,286","174,513","180,763","185,491","192,253","196,550","201,315","203,488","205,270","206,242","208,177","208,838"
.85 years and over,"169,717","170,479","169,344","168,790","170,564","171,804","177,125","182,870","188,210","192,848","199,210","204,208","206,001"
.,,,,,,,,,,,,,
.Under 18 years,"2,872,054","2,881,720","2,919,700","2,959,261","2,995,620","3,032,633","3,072,679","3,148,006","3,206,892","3,261,615","3,319,020","3,355,575","3,366,801"
.Under 5 years,"793,886","795,888","816,471","836,008","857,496","877,995","893,847","911,079","925,825","937,882","943,930","944,324","946,768"
.5 to 13 years,"1,447,554","1,452,010","1,461,555","1,471,164","1,479,220","1,482,607","1,495,032","1,534,881","1,567,224","1,604,989","1,650,173","1,682,417","1,691,463"
.14 to 17 years,"630,614","633,822","641,674","652,089","658,904","672,031","683,800","702,046","713,843","718,744","724,917","728,834","728,570"
.18 to 64 years,"6,416,415","6,448,851","6,586,204","6,718,575","6,846,330","6,973,545","7,102,175","7,290,648","7,443,299","7,591,430","7,744,891","7,851,484","7,884,880"
.18 to 24 years,"1,061,133","1,068,493","1,099,901","1,124,888","1,151,620","1,167,673","1,173,170","1,187,954","1,196,292","1,216,041","1,238,297","1,251,350","1,256,350"
.25 to 44 years,"3,206,688","3,212,458","3,232,678","3,247,309","3,256,863","3,276,135","3,301,507","3,364,032","3,412,374","3,453,168","3,495,990","3,526,998","3,536,740"
.45 to 64 years,"2,148,594","2,167,900","2,253,625","2,346,378","2,437,847","2,529,737","2,627,498","2,738,662","2,834,633","2,922,221","3,010,604","3,073,136","3,091,790"
.65 years and over,"1,210,078","1,214,585","1,225,286","1,236,817","1,254,003","1,272,224","1,295,585","1,332,589","1,360,381","1,396,891","1,436,239","1,466,222","1,475,124"
.,,,,,,,,,,,,,
.16 years and over,"7,940,788","7,978,537","8,131,943","8,282,065","8,429,000","8,577,909","8,734,343","8,972,838","9,161,495","9,349,176","9,546,028","9,684,364","9,726,037"
.18 years and over,"7,626,493","7,663,436","7,811,490","7,955,392","8,100,333","8,245,769","8,397,760","8,623,237","8,803,680","8,988,321","9,181,130","9,317,706","9,360,004"
.15 to 44 years,"4,740,075","4,755,990","4,813,660","4,861,519","4,901,904","4,943,287","4,986,050","5,077,877","5,145,376","5,210,018","5,280,109","5,326,162","5,341,016"
.,,,,,,,,,,,,,
.Median age (years),33.4,33.5,33.5,33.6,33.8,34.0,34.2,34.3,34.4,34.5,34.6,34.6,34.7
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Texas: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-48)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
