table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.60 to 64 years,"30,772","30,924","31,326","32,199","33,594","35,218","36,262","37,322","40,437","42,488","44,880","47,051","47,475"
.65 to 69 years,"27,729","27,642","27,341","27,201","27,569","27,881","28,176","28,607","29,506","30,708","32,239","33,056","33,267"
.70 to 74 years,"25,337","25,332","25,208","25,010","24,373","24,088","24,127","23,986","24,109","24,490","24,861","25,108","25,243"
.75 to 79 years,"20,323","20,375","20,565","20,641","20,835","20,673","20,643","20,629","20,556","20,255","20,121","20,206","20,183"
.80 to 84 years,"12,685","12,804","13,220","13,593","13,769","14,254","14,642","14,912","15,000","15,274","15,190","15,243","15,279"
.85 years and over,"9,562","9,642","9,805","9,964","10,195","10,291","10,588","11,000","11,539","11,899","12,493","12,790","12,904"
.,,,,,,,,,,,,,
.Under 18 years,"230,372","230,454","229,430","229,189","229,007","229,637","229,921","230,776","231,518","232,618","233,755","235,149","235,283"
.Under 5 years,"59,678","59,640","60,007","60,810","62,216","63,664","64,742","65,528","66,246","66,968","67,124","67,630","67,624"
.5 to 13 years,"115,679","115,672","114,652","114,011","113,011","111,927","111,284","111,345","111,873","113,237","114,751","116,097","116,371"
.14 to 17 years,"55,015","55,142","54,771","54,368","53,780","54,046","53,895","53,903","53,399","52,413","51,880","51,422","51,288"
.18 to 64 years,"517,319","518,591","523,059","527,891","533,533","538,562","543,932","548,096","551,106","555,320","560,405","564,744","566,354"
.18 to 24 years,"89,012","89,460","91,423","93,360","95,262","96,533","97,418","96,752","94,763","94,535","93,835","93,320","93,441"
.25 to 44 years,"246,656","246,194","242,568","239,580","237,367","235,085","233,269","232,382","232,780","232,979","234,914","236,924","237,629"
.45 to 64 years,"181,651","182,937","189,068","194,951","200,904","206,944","213,245","218,962","223,563","227,806","231,656","234,500","235,284"
.65 years and over,"95,636","95,795","96,139","96,409","96,741","97,187","98,176","99,134","100,710","102,626","104,904","106,403","106,876"
.,,,,,,,,,,,,,
.16 years and over,"640,674","642,127","647,084","652,113","657,491","662,661","668,824","674,545","679,059","684,743","691,693","697,101","699,088"
.18 years and over,"612,955","614,386","619,198","624,300","630,274","635,749","642,108","647,230","651,816","657,946","665,309","671,147","673,230"
.15 to 44 years,"377,191","377,357","375,451","374,229","373,170","371,983","371,362","369,963","368,204","367,434","367,991","369,189","369,944"
.,,,,,,,,,,,,,
.Median age (years),34.0,34.0,34.2,34.3,34.3,34.5,34.6,34.8,34.9,34.9,34.9,35.0,35.0
FEMALE,"867,903","868,980","871,208","874,803","879,362","883,984","889,468","894,687","900,106","905,814","913,619","920,045","921,916"
.Under 5 years,"57,362","57,349","57,733","58,384","59,523","60,614","61,509","62,025","62,871","63,156","63,751","64,278","64,302"
.5 to 9 years,"60,445","60,168","59,116","58,464","57,993","57,943","57,923","58,554","59,106","60,690","61,964","63,040","63,160"
.10 to 14 years,"62,753","62,982","62,704","62,748","62,362","62,284","61,412","60,614","60,023","59,799","59,948","60,020","60,113"
.15 to 19 years,"65,673","65,804","66,928","66,606","65,985","65,068","64,914","64,478","64,297","63,772","63,547","62,897","62,707"
.20 to 24 years,"59,031","59,301","59,920","61,225","63,289","64,582","65,729","65,865","64,680","63,839","63,068","63,044","63,306"
.25 to 29 years,"54,676","54,280","52,864","52,233","52,237","52,502","52,838","54,583","56,973","59,572","61,675","63,185","63,354"
