Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1958",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"174,881,904 ","86,605,105 ","88,276,799 ","155,199,538 ","76,996,151 ","78,203,387 ","19,682,366 ","9,608,954 ","10,073,412 "
,,,,,,,,,
0,"4,073,113 ","2,072,535 ","2,000,578 ","3,476,688 ","1,774,228 ","1,702,460 ","596,425 ","298,307 ","298,118 "
1,"4,081,641 ","2,078,037 ","2,003,604 ","3,495,102 ","1,784,027 ","1,711,075 ","586,539 ","294,010 ","292,529 "
2,"3,955,569 ","2,010,345 ","1,945,224 ","3,382,926 ","1,724,074 ","1,658,852 ","572,643 ","286,271 ","286,372 "
3,"3,911,814 ","1,988,848 ","1,922,966 ","3,358,173 ","1,712,860 ","1,645,313 ","553,641 ","275,988 ","277,653 "
4,"3,864,465 ","1,966,943 ","1,897,522 ","3,328,235 ","1,698,544 ","1,629,691 ","536,230 ","268,399 ","267,831 "
5,"3,776,286 ","1,921,033 ","1,855,253 ","3,262,476 ","1,664,008 ","1,598,468 ","513,810 ","257,025 ","256,785 "
6,"3,670,427 ","1,866,260 ","1,804,167 ","3,175,574 ","1,620,400 ","1,555,174 ","494,853 ","245,860 ","248,993 "
7,"3,608,923 ","1,833,828 ","1,775,095 ","3,107,600 ","1,583,903 ","1,523,697 ","501,323 ","249,925 ","251,398 "
8,"3,439,532 ","1,751,074 ","1,688,458 ","2,976,318 ","1,518,806 ","1,457,512 ","463,214 ","232,268 ","230,946 "
9,"3,445,744 ","1,754,000 ","1,691,744 ","2,990,230 ","1,525,311 ","1,464,919 ","455,514 ","228,689 ","226,825 "
10,"3,473,006 ","1,769,366 ","1,703,640 ","3,031,653 ","1,547,367 ","1,484,286 ","441,353 ","221,999 ","219,354 "
