table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Washington: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.5 to 13 years,"773,505","774,297","771,230","767,894","762,974","758,607","754,887","757,296","758,477","764,220","773,528","780,528","782,906"
.14 to 17 years,"346,048","347,296","349,345","352,324","354,342","360,261","365,380","369,705","371,686","367,255","364,070","361,169","360,532"
.18 to 64 years,"3,718,215","3,730,379","3,798,239","3,857,244","3,902,128","3,958,887","4,019,844","4,099,876","4,159,072","4,224,436","4,286,407","4,315,509","4,328,494"
.18 to 24 years,"559,354","563,285","586,456","602,467","613,184","617,717","622,059","628,998","629,091","642,409","652,077","650,053","651,030"
.25 to 44 years,"1,816,260","1,814,246","1,805,606","1,792,653","1,774,739","1,771,863","1,774,193","1,791,998","1,803,331","1,819,408","1,835,742","1,842,086","1,846,080"
.45 to 64 years,"1,342,601","1,352,848","1,406,177","1,462,124","1,514,205","1,569,307","1,623,592","1,678,880","1,726,650","1,762,619","1,798,588","1,823,370","1,831,384"
.65 years and over,"662,198","663,772","669,956","677,450","687,110","699,007","713,571","733,951","752,933","777,493","806,616","827,677","832,650"
.,,,,,,,,,,,,,
.16 years and over,"4,552,771","4,566,853","4,643,504","4,712,559","4,766,606","4,836,079","4,914,439","5,020,016","5,100,912","5,190,007","5,280,285","5,327,767","5,345,164"
.18 years and over,"4,380,413","4,394,151","4,468,195","4,534,694","4,589,238","4,657,894","4,733,415","4,833,827","4,912,005","5,001,929","5,093,023","5,143,186","5,161,144"
.15 to 44 years,"2,634,415","2,637,654","2,655,083","2,659,969","2,653,395","2,657,531","2,670,438","2,699,507","2,713,867","2,741,492","2,764,020","2,765,726","2,770,351"
.,,,,,,,,,,,,,
.Median age (years),35.3,35.4,35.6,35.8,36.0,36.3,36.5,36.7,37.0,37.1,37.2,37.3,37.3
MALE,"2,934,382","2,942,778","2,983,642","3,015,607","3,038,376","3,070,830","3,111,909","3,170,058","3,213,787","3,269,069","3,323,506","3,349,707","3,360,190"
.Under 5 years,"202,069","202,280","203,312","203,337","203,270","205,417","206,129","209,506","214,633","219,644","223,929","225,088","225,188"
.5 to 9 years,"218,499","217,763","213,844","210,334","207,318","206,993","207,502","210,187","211,732","213,549","217,435","219,702","220,310"
.10 to 14 years,"222,940","224,029","226,327","228,710","229,888","229,691","226,454","224,667","222,758","222,091","223,127","224,717","225,155"
.15 to 19 years,"220,419","221,655","224,081","224,878","225,741","228,095","231,427","235,011","238,146","240,297","239,910","237,577","236,925"
.20 to 24 years,"200,807","202,350","214,348","222,381","226,944","226,435","231,092","234,643","232,404","236,926","239,913","238,131","239,120"
.25 to 29 years,"206,796","205,384","201,193","199,796","200,538","203,954","210,173","221,000","227,503","238,717","245,262","245,014","246,218"
.30 to 34 years,"223,413","223,666","227,676","228,725","224,191","219,129","213,407","211,118","211,917","217,426","225,092","229,863","231,610"
.35 to 39 years,"244,038","243,338","238,540","232,358","226,637","224,625","227,621","232,882","235,502","233,999","230,630","226,850","225,903"
.40 to 44 years,"246,280","247,098","249,292","248,526","246,621","246,314","243,229","239,072","234,304","231,239","230,911","232,587","232,987"
.45 to 49 years,"225,514","227,023","232,474","237,869","241,197","243,512","245,857","248,610","248,921","248,530","248,790","246,507","246,064"
.50 to 54 years,"195,060","197,124","207,434","208,033","213,332","219,181","224,963","231,038","237,341","241,592","243,965","245,997","246,880"
.55 to 59 years,"142,517","143,563","149,536","164,693","172,747","182,766","194,001","204,943","206,289","211,689","217,069","221,321","222,867"
.60 to 64 years,"104,020","104,642","109,144","115,337","123,789","131,966","139,127","145,729","160,410","168,471","178,093","186,378","188,398"
.65 to 69 years,"84,305","84,224","85,109","87,168","90,590","94,455","98,595","104,043","109,880","118,075","125,835","131,064","132,110"
.70 to 74 years,"72,637","72,740","73,287","73,551","73,708","74,150","75,502","77,022","79,043","82,267","85,978","88,760","89,454"
.75 to 79 years,"60,157","60,376","60,143","59,670","59,798","59,926","60,473","61,687","62,385","62,549","63,268","64,325","64,551"
.80 to 84 years,"38,695","39,078","40,416","41,987","42,604","43,706","44,278","44,788","44,699","44,803","45,377","45,743","45,947"
.85 years and over,"26,216","26,445","27,486","28,254","29,463","30,515","32,079","34,112","35,920","37,205","38,922","40,083","40,503"
.,,,,,,,,,,,,,
.Under 18 years,"777,070","778,330","778,849","778,439","776,664","779,838","781,420","787,766","794,272","799,345","806,765","810,202","811,197"
.Under 5 years,"202,069","202,280","203,312","203,337","203,270","205,417","206,129","209,506","214,633","219,644","223,929","225,088","225,188"
.5 to 13 years,"396,842","397,273","395,966","394,156","391,541","388,905","387,212","387,803","387,894","390,637","395,553","399,541","400,767"
.14 to 17 years,"178,159","178,777","179,571","180,946","181,853","185,516","188,079","190,457","191,745","189,064","187,283","185,573","185,242"
.18 to 64 years,"1,875,302","1,881,585","1,918,352","1,946,538","1,965,549","1,988,240","2,019,562","2,060,640","2,087,588","2,124,825","2,157,361","2,169,530","2,176,428"
.18 to 24 years,"287,664","289,747","303,063","311,201","316,497","316,793","321,184","326,248","325,401","333,162","337,549","335,013","335,501"
.25 to 44 years,"920,527","919,486","916,701","909,405","897,987","894,022","894,430","904,072","909,226","921,381","931,895","934,314","936,718"
.45 to 64 years,"667,111","672,352","698,588","725,932","751,065","777,425","803,948","830,320","852,961","870,282","887,917","900,203","904,209"
.65 years and over,"282,010","282,863","286,441","290,630","296,163","302,752","310,927","321,652","331,927","344,899","359,380","369,975","372,565"
.,,,,,,,,,,,,,
.16 years and over,"2,246,421","2,253,738","2,295,347","2,328,577","2,352,655","2,382,551","2,423,581","2,478,356","2,516,897","2,566,496","2,613,316","2,634,593","2,643,820"
.18 years and over,"2,157,312","2,164,448","2,204,793","2,237,168","2,261,712","2,290,992","2,330,489","2,382,292","2,419,515","2,469,724","2,516,741","2,539,505","2,548,993"
.15 to 44 years,"1,341,753","1,343,491","1,355,130","1,356,664","1,350,672","1,348,552","1,356,949","1,373,726","1,379,776","1,398,604","1,411,718","1,410,022","1,412,763"
.,,,,,,,,,,,,,
.Median age (years),34.4,34.4,34.6,34.8,35.0,35.3,35.6,35.8,36.1,36.1,36.1,36.2,36.2
FEMALE,"2,959,899","2,967,734","3,002,080","3,036,742","3,065,739","3,107,815","3,145,396","3,200,695","3,247,800","3,293,162","3,343,920","3,374,833","3,384,306"
.Under 5 years,"192,246","192,488","193,640","194,100","194,291","196,466","197,494","200,419","204,786","209,183","212,876","214,569","214,726"
.5 to 9 years,"207,415","206,700","202,739","199,485","197,322","197,447","197,431","200,494","202,685","204,824","208,083","210,175","210,741"
.10 to 14 years,"211,898","212,978","214,644","216,840","217,316","216,786","214,694","213,142","211,543","211,336","212,752","213,516","213,991"
.15 to 19 years,"207,558","208,330","209,424","210,211","211,711","214,735","217,240","220,504","223,307","225,345","225,775","224,551","223,917"
.20 to 24 years,"189,371","191,073","201,624","209,846","214,260","216,403","216,486","217,351","216,679","219,516","222,680","223,381","224,309"
.25 to 29 years,"196,872","195,659","191,553","191,650","194,797","201,080","209,159","219,940","227,415","232,390","235,295","235,384","235,887"
.30 to 34 years,"214,067","214,244","216,844","217,442","214,088","211,298","205,982","203,878","205,402","210,488","217,649","223,520","225,252"
.35 to 39 years,"239,918","239,209","233,122","227,198","221,573","219,488","221,773","226,319","228,546","227,483","225,296","221,757","220,750"
.40 to 44 years,"244,876","245,648","247,386","246,958","246,294","245,975","242,849","237,789","232,742","227,666","225,607","227,111","227,473"
.45 to 49 years,"228,714","230,134","234,687","240,222","242,986","245,043","246,462","249,021","249,530","249,029","248,783","246,402","245,797"
.50 to 54 years,"196,700","198,748","210,252","211,383","217,383","224,604","231,063","236,942","243,260","246,273","247,831","249,299","250,217"
.55 to 59 years,"143,009","144,000","150,838","166,978","176,867","187,671","199,362","212,015","214,102","220,146","226,959","231,757","233,327"
.60 to 64 years,"107,067","107,614","111,812","117,609","125,904","134,564","142,757","150,582","166,797","176,889","187,098","195,709","197,834"
.65 to 69 years,"91,944","91,801","92,646","94,442","97,475","101,071","105,080","110,336","115,960","124,245","133,303","139,410","140,446"
.70 to 74 years,"88,319","88,228","87,191","86,298","85,679","85,435","85,957","87,426","89,242","91,891","95,250","97,986","98,650"
.75 to 79 years,"82,560","82,736","81,929","81,276","80,497","79,430","78,812","78,502","77,589","77,310","77,364","77,743","77,874"
.80 to 84 years,"59,497","59,928","62,481","64,328","65,310","66,655","67,206","67,365","67,231","66,277","65,571","65,375","65,429"
.85 years and over,"57,868","58,216","59,268","60,476","61,986","63,664","65,589","68,670","70,984","72,871","75,748","77,188","77,686"
.,,,,,,,,,,,,,
.Under 18 years,"736,798","738,031","738,678","739,216","738,213","740,913","742,470","749,160","755,310","760,957","767,638","771,152","772,155"
.Under 5 years,"192,246","192,488","193,640","194,100","194,291","196,466","197,494","200,419","204,786","209,183","212,876","214,569","214,726"
.5 to 13 years,"376,663","377,024","375,264","373,738","371,433","369,702","367,675","369,493","370,583","373,583","377,975","380,987","382,139"
.14 to 17 years,"167,889","168,519","169,774","171,378","172,489","174,745","177,301","179,248","179,941","178,191","176,787","175,596","175,290"
.18 to 64 years,"1,842,913","1,848,794","1,879,887","1,910,706","1,936,579","1,970,647","2,000,282","2,039,236","2,071,484","2,099,611","2,129,046","2,145,979","2,152,066"
.18 to 24 years,"271,690","273,538","283,393","291,266","296,687","300,924","300,875","302,750","303,690","309,247","314,528","315,040","315,529"
.25 to 44 years,"895,733","894,760","888,905","883,248","876,752","877,841","879,763","887,926","894,105","898,027","903,847","907,772","909,362"
.45 to 64 years,"675,490","680,496","707,589","736,192","763,140","791,882","819,644","848,560","873,689","892,337","910,671","923,167","927,175"
.65 years and over,"380,188","380,909","383,515","386,820","390,947","396,255","402,644","412,299","421,006","432,594","447,236","457,702","460,085"
.,,,,,,,,,,,,,
.16 years and over,"2,306,350","2,313,115","2,348,157","2,383,982","2,413,951","2,453,528","2,490,858","2,541,660","2,584,015","2,623,511","2,666,969","2,693,174","2,701,344"
.18 years and over,"2,223,101","2,229,703","2,263,402","2,297,526","2,327,526","2,366,902","2,402,926","2,451,535","2,492,490","2,532,205","2,576,282","2,603,681","2,612,151"
.15 to 44 years,"1,292,662","1,294,163","1,299,953","1,303,305","1,302,723","1,308,979","1,313,489","1,325,781","1,334,091","1,342,888","1,352,302","1,355,704","1,357,588"
.,,,,,,,,,,,,,
.Median age (years),36.3,36.4,36.6,36.9,37.1,37.3,37.5,37.7,37.8,38.0,38.2,38.3,38.3
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Washington: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-53)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
