Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1976",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,,,,
All ages,"218,035,164 ","106,308,604 ","111,726,560 ","189,074,304 ","92,466,252 ","96,608,052 ","25,157,029 ","11,975,906 ","13,181,123 ","3,803,831 ","1,866,446 ","1,937,385 "
,,,,,,,,,,,,
0,"3,115,391 ","1,592,844 ","1,522,547 ","2,587,709 ","1,326,564 ","1,261,145 ","455,155 ","229,325 ","225,830 ","72,527 ","36,955 ","35,572 "
1,"3,079,357 ","1,574,751 ","1,504,606 ","2,559,259 ","1,312,262 ","1,246,997 ","449,768 ","226,609 ","223,159 ","70,330 ","35,880 ","34,450 "
2,"2,986,220 ","1,528,249 ","1,457,971 ","2,464,943 ","1,265,028 ","1,199,915 ","447,756 ","226,185 ","221,571 ","73,521 ","37,036 ","36,485 "
3,"3,100,598 ","1,582,492 ","1,518,106 ","2,553,127 ","1,306,599 ","1,246,528 ","472,800 ","237,913 ","234,887 ","74,671 ","37,980 ","36,691 "
4,"3,335,549 ","1,702,437 ","1,633,112 ","2,758,240 ","1,412,104 ","1,346,136 ","501,655 ","252,348 ","249,307 ","75,654 ","37,985 ","37,669 "
5,"3,634,324 ","1,858,764 ","1,775,560 ","3,022,124 ","1,550,372 ","1,471,752 ","535,342 ","269,638 ","265,704 ","76,858 ","38,754 ","38,104 "
6,"3,560,219 ","1,814,421 ","1,745,798 ","2,983,876 ","1,525,804 ","1,458,072 ","506,812 ","253,546 ","253,266 ","69,531 ","35,071 ","34,460 "
7,"3,526,690 ","1,799,189 ","1,727,501 ","2,954,390 ","1,512,464 ","1,441,926 ","504,999 ","252,833 ","252,166 ","67,301 ","33,892 ","33,409 "
8,"3,387,656 ","1,729,528 ","1,658,128 ","2,836,597 ","1,453,128 ","1,383,469 ","485,345 ","243,075 ","242,270 ","65,714 ","33,325 ","32,389 "
9,"3,562,384 ","1,814,684 ","1,747,700 ","2,972,533 ","1,518,891 ","1,453,642 ","518,881 ","259,853 ","259,028 ","70,970 ","35,940 ","35,030 "
10,"3,756,460 ","1,919,281 ","1,837,179 ","3,122,919 ","1,599,535 ","1,523,384 ","555,146 ","279,745 ","275,401 ","78,395 ","40,001 ","38,394 "
11,"3,900,197 ","1,987,259 ","1,912,938 ","3,253,122 ","1,661,703 ","1,591,419 ","572,831 ","287,802 ","285,029 ","74,244 ","37,754 ","36,490 "
12,"4,055,659 ","2,072,455 ","1,983,204 ","3,405,794 ","1,744,026 ","1,661,768 ","577,950 ","291,620 ","286,330 ","71,915 ","36,809 ","35,106 "
13,"4,132,265 ","2,109,328 ","2,022,937 ","3,477,999 ","1,779,550 ","1,698,449 ","582,539 ","293,084 ","289,455 ","71,727 ","36,694 ","35,033 "
14,"4,243,008 ","2,162,627 ","2,080,381 ","3,583,919 ","1,831,109 ","1,752,810 ","587,312 ","294,808 ","292,504 ","71,777 ","36,710 ","35,067 "
15,"4,340,062 ","2,215,743 ","2,124,319 ","3,664,858 ","1,875,771 ","1,789,087 ","597,161 ","299,842 ","297,319 ","78,043 ","40,130 ","37,913 "
16,"4,259,631 ","2,167,686 ","2,091,945 ","3,592,446 ","1,833,133 ","1,759,313 ","591,746 ","295,983 ","295,763 ","75,439 ","38,570 ","36,869 "
17,"4,275,907 ","2,172,544 ","2,103,363 ","3,607,711 ","1,837,602 ","1,770,109 ","591,969 ","295,904 ","296,065 ","76,227 ","39,038 ","37,189 "
18,"4,265,516 ","2,164,399 ","2,101,117 ","3,619,273 ","1,841,003 ","1,778,270 ","570,363 ","284,432 ","285,931 ","75,880 ","38,964 ","36,916 "
19,"4,393,025 ","2,228,971 ","2,164,054 ","3,729,883 ","1,898,304 ","1,831,579 ","582,503 ","289,283 ","293,220 ","80,639 ","41,384 ","39,255 "
20,"4,243,079 ","2,153,490 ","2,089,589 ","3,606,169 ","1,836,565 ","1,769,604 ","556,478 ","275,306 ","281,172 ","80,432 ","41,619 ","38,813 "
21,"4,093,340 ","2,075,205 ","2,018,135 ","3,497,601 ","1,781,515 ","1,716,086 ","518,973 ","254,322 ","264,651 ","76,766 ","39,368 ","37,398 "
22,"3,970,413 ","1,995,727 ","1,974,686 ","3,405,180 ","1,723,168 ","1,682,012 ","490,063 ","235,133 ","254,930 ","75,170 ","37,426 ","37,744 "
23,"3,852,956 ","1,929,992 ","1,922,964 ","3,320,251 ","1,674,955 ","1,645,296 ","458,076 ","218,675 ","239,401 ","74,629 ","36,362 ","38,267 "
24,"3,826,361 ","1,916,771 ","1,909,590 ","3,304,719 ","1,669,749 ","1,634,970 ","445,955 ","211,072 ","234,883 ","75,687 ","35,950 ","39,737 "
25,"3,721,512 ","1,862,718 ","1,858,794 ","3,199,341 ","1,615,424 ","1,583,917 ","444,665 ","210,571 ","234,094 ","77,506 ","36,723 ","40,783 "
26,"3,545,226 ","1,768,962 ","1,776,264 ","3,052,258 ","1,538,190 ","1,514,068 ","414,189 ","194,753 ","219,436 ","78,779 ","36,019 ","42,760 "
27,"3,585,646 ","1,783,184 ","1,802,462 ","3,094,409 ","1,553,864 ","1,540,545 ","411,177 ","192,960 ","218,217 ","80,060 ","36,360 ","43,700 "
28,"3,490,185 ","1,737,125 ","1,753,060 ","3,047,967 ","1,530,949 ","1,517,018 ","367,942 ","172,170 ","195,772 ","74,276 ","34,006 ","40,270 "
29,"3,931,716 ","1,960,519 ","1,971,197 ","3,487,633 ","1,753,451 ","1,734,182 ","369,527 ","172,585 ","196,942 ","74,556 ","34,483 ","40,073 "
30,"2,912,673 ","1,451,995 ","1,460,678 ","2,532,592 ","1,275,119 ","1,257,473 ","315,474 ","146,628 ","168,846 ","64,607 ","30,248 ","34,359 "
31,"2,860,541 ","1,418,130 ","1,442,411 ","2,491,178 ","1,247,346 ","1,243,832 ","304,684 ","140,567 ","164,117 ","64,679 ","30,217 ","34,462 "
32,"2,914,670 ","1,438,603 ","1,476,067 ","2,535,738 ","1,263,017 ","1,272,721 ","312,818 ","144,544 ","168,274 ","66,114 ","31,042 ","35,072 "
33,"3,043,499 ","1,501,253 ","1,542,246 ","2,657,393 ","1,322,532 ","1,334,861 ","319,838 ","147,407 ","172,431 ","66,268 ","31,314 ","34,954 "
34,"2,753,188 ","1,356,780 ","1,396,408 ","2,402,354 ","1,194,537 ","1,207,817 ","293,614 ","135,079 ","158,535 ","57,220 ","27,164 ","30,056 "
35,"2,562,647 ","1,264,785 ","1,297,862 ","2,230,108 ","1,111,425 ","1,118,683 ","280,702 ","128,618 ","152,084 ","51,837 ","24,742 ","27,095 "
36,"2,396,170 ","1,177,075 ","1,219,095 ","2,082,579 ","1,033,869 ","1,048,710 ","264,247 ","119,906 ","144,341 ","49,344 ","23,300 ","26,044 "
37,"2,363,665 ","1,156,831 ","1,206,834 ","2,052,251 ","1,015,085 ","1,037,166 ","262,726 ","118,868 ","143,858 ","48,688 ","22,878 ","25,810 "
38,"2,308,235 ","1,129,991 ","1,178,244 ","2,018,873 ","998,453 ","1,020,420 ","244,657 ","110,613 ","134,044 ","44,705 ","20,925 ","23,780 "
39,"2,296,776 ","1,123,915 ","1,172,861 ","2,011,203 ","993,847 ","1,017,356 ","241,330 ","109,369 ","131,961 ","44,243 ","20,699 ","23,544 "
40,"2,304,558 ","1,129,362 ","1,175,196 ","2,014,904 ","997,114 ","1,017,790 ","246,071 ","111,840 ","134,231 ","43,583 ","20,408 ","23,175 "
41,"2,228,690 ","1,096,034 ","1,132,656 ","1,939,914 ","963,208 ","976,706 ","243,993 ","111,625 ","132,368 ","44,783 ","21,201 ","23,582 "
42,"2,192,835 ","1,075,874 ","1,116,961 ","1,906,426 ","944,761 ","961,665 ","240,472 ","109,363 ","131,109 ","45,937 ","21,750 ","24,187 "
43,"2,211,075 ","1,082,569 ","1,128,506 ","1,919,704 ","948,505 ","971,199 ","244,360 ","111,888 ","132,472 ","47,011 ","22,176 ","24,835 "
44,"2,229,200 ","1,093,594 ","1,135,606 ","1,954,793 ","967,625 ","987,168 ","229,000 ","104,675 ","124,325 ","45,407 ","21,294 ","24,113 "
45,"2,266,037 ","1,108,311 ","1,157,726 ","1,995,740 ","984,183 ","1,011,557 ","227,935 ","104,616 ","123,319 ","42,362 ","19,512 ","22,850 "
46,"2,378,001 ","1,159,010 ","1,218,991 ","2,092,128 ","1,027,205 ","1,064,923 ","244,942 ","113,218 ","131,724 ","40,931 ","18,587 ","22,344 "
47,"2,315,799 ","1,126,282 ","1,189,517 ","2,056,217 ","1,007,874 ","1,048,343 ","222,220 ","101,486 ","120,734 ","37,362 ","16,922 ","20,440 "
48,"2,320,528 ","1,122,750 ","1,197,778 ","2,056,363 ","1,001,999 ","1,054,364 ","228,618 ","104,653 ","123,965 ","35,547 ","16,098 ","19,449 "
49,"2,371,690 ","1,141,942 ","1,229,748 ","2,112,679 ","1,024,819 ","1,087,860 ","223,568 ","100,887 ","122,681 ","35,443 ","16,236 ","19,207 "
50,"2,335,316 ","1,122,078 ","1,213,238 ","2,084,018 ","1,008,575 ","1,075,443 ","217,407 ","97,725 ","119,682 ","33,891 ","15,778 ","18,113 "
51,"2,440,346 ","1,168,579 ","1,271,767 ","2,171,825 ","1,045,980 ","1,125,845 ","234,363 ","106,449 ","127,914 ","34,158 ","16,150 ","18,008 "
52,"2,403,540 ","1,147,631 ","1,255,909 ","2,151,550 ","1,033,892 ","1,117,658 ","219,343 ","98,389 ","120,954 ","32,647 ","15,350 ","17,297 "
53,"2,390,178 ","1,140,373 ","1,249,805 ","2,132,255 ","1,023,026 ","1,109,229 ","226,302 ","102,140 ","124,162 ","31,621 ","15,207 ","16,414 "
54,"2,400,661 ","1,149,527 ","1,251,134 ","2,163,271 ","1,040,553 ","1,122,718 ","207,443 ","94,406 ","113,037 ","29,947 ","14,568 ","15,379 "
55,"2,303,077 ","1,102,293 ","1,200,784 ","2,073,492 ","997,331 ","1,076,161 ","202,186 ","91,671 ","110,515 ","27,399 ","13,291 ","14,108 "
56,"2,329,991 ","1,110,195 ","1,219,796 ","2,075,705 ","991,977 ","1,083,728 ","226,650 ","104,548 ","122,102 ","27,636 ","13,670 ","13,966 "
57,"2,179,968 ","1,031,161 ","1,148,807 ","1,968,661 ","933,458 ","1,035,203 ","187,506 ","85,975 ","101,531 ","23,801 ","11,728 ","12,073 "
58,"2,059,645 ","970,546 ","1,089,099 ","1,860,751 ","879,335 ","981,416 ","176,508 ","80,330 ","96,178 ","22,386 ","10,881 ","11,505 "
59,"2,011,432 ","944,683 ","1,066,749 ","1,825,841 ","860,849 ","964,992 ","164,500 ","73,425 ","91,075 ","21,091 ","10,409 ","10,682 "
60,"1,901,134 ","891,513 ","1,009,621 ","1,737,961 ","818,202 ","919,759 ","143,572 ","63,651 ","79,921 ","19,601 ","9,660 ","9,941 "
61,"1,970,410 ","925,398 ","1,045,012 ","1,780,918 ","839,052 ","941,866 ","168,811 ","76,046 ","92,765 ","20,681 ","10,300 ","10,381 "
62,"1,921,812 ","895,572 ","1,026,240 ","1,737,480 ","811,443 ","926,037 ","165,030 ","74,427 ","90,603 ","19,302 ","9,702 ","9,600 "
63,"1,887,693 ","870,859 ","1,016,834 ","1,696,463 ","784,125 ","912,338 ","172,137 ","76,991 ","95,146 ","19,093 ","9,743 ","9,350 "
64,"1,820,831 ","831,159 ","989,672 ","1,637,195 ","748,211 ","888,984 ","165,828 ","73,553 ","92,275 ","17,808 ","9,395 ","8,413 "
65,"1,779,323 ","801,253 ","978,070 ","1,585,623 ","715,003 ","870,620 ","176,110 ","76,663 ","99,447 ","17,590 ","9,587 ","8,003 "
66,"1,801,871 ","803,146 ","998,725 ","1,602,608 ","714,767 ","887,841 ","182,503 ","79,015 ","103,488 ","16,760 ","9,364 ","7,396 "
67,"1,666,707 ","734,266 ","932,441 ","1,503,858 ","663,063 ","840,795 ","147,832 ","63,017 ","84,815 ","15,017 ","8,186 ","6,831 "
68,"1,599,695 ","698,043 ","901,652 ","1,439,420 ","628,788 ","810,632 ","146,219 ","61,529 ","84,690 ","14,056 ","7,726 ","6,330 "
69,"1,470,385 ","638,650 ","831,735 ","1,345,868 ","584,966 ","760,902 ","110,826 ","46,421 ","64,405 ","13,691 ","7,263 ","6,428 "
70,"1,322,033 ","567,126 ","754,907 ","1,203,848 ","515,314 ","688,534 ","104,731 ","44,652 ","60,079 ","13,454 ","7,160 ","6,294 "
