table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Louisiana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,469,035","4,471,885","4,477,875","4,497,267","4,521,042","4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648","4,533,372","4,544,228"
.Under 5 years,"317,399","316,350","316,761","318,825","320,356","322,285","323,078","288,282","299,258","309,766","313,165","314,260","314,643"
.5 to 9 years,"336,778","334,124","325,487","318,495","314,111","311,293","310,508","288,596","295,668","298,906","303,467","306,362","306,568"
.10 to 14 years,"347,918","348,959","346,178","344,486","345,042","341,716","336,469","306,045","305,481","305,089","304,767","306,836","306,841"
.15 to 19 years,"365,965","366,564","360,696","356,661","352,068","350,733","349,258","326,381","329,415","331,587","329,869","326,779","325,206"
.20 to 24 years,"325,577","327,788","341,040","351,069","358,093","363,077","360,516","329,137","333,395","332,518","336,142","338,309","340,005"
.25 to 29 years,"296,163","293,761","284,976","284,105","287,659","298,790","311,895","300,741","313,172","323,053","330,375","332,925","334,225"
.30 to 34 years,"305,005","304,326","302,237","300,674","297,079","293,053","287,648","259,521","262,684","269,714","283,132","295,508","298,067"
.35 to 39 years,"343,143","341,618","331,691","321,883","312,469","305,567","301,269","281,618","282,805","280,917","277,930","276,479","275,114"
.40 to 44 years,"348,845","349,404","349,800","347,575","345,547","343,836","337,146","310,162","303,577","296,066","290,216","288,120","288,143"
.45 to 49 years,"315,770","317,304","323,567","331,266","337,580","341,201","344,385","328,225","329,081","329,184","328,422","325,046","324,299"
.50 to 54 years,"270,514","273,221","287,939","289,887","295,902","304,112","312,768","304,278","313,654","321,251","325,704","329,329","330,589"
.55 to 59 years,"208,758","209,857","213,980","230,446","241,293","253,241","266,874","268,931","270,966","277,450","285,992","292,567","294,569"
.60 to 64 years,"170,290","170,890","174,623","180,351","188,104","194,085","199,873","194,988","211,429","222,222","233,325","242,995","245,799"
.65 to 69 years,"148,001","147,829","148,083","148,652","151,457","154,990","157,997","155,046","160,615","167,737","173,942","178,365","179,474"
.70 to 74 years,"134,916","134,864","133,663","132,763","131,401","129,479","129,813","124,472","125,151","128,055","131,622","133,629","134,285"
.75 to 79 years,"106,818","107,141","107,742","108,526","109,255","109,490","109,569","103,659","103,649","103,217","102,399","102,876","102,838"
.80 to 84 years,"68,507","68,999","71,103","73,494","75,064","76,380","76,869","73,879","74,806","76,169","76,921","77,301","77,367"
.85 years and over,"58,668","58,886","58,309","58,109","58,562","58,910","60,693","58,704","60,775","62,685","64,258","65,686","66,196"
.,,,,,,,,,,,,,
.Under 18 years,"1,219,821","1,217,670","1,204,187","1,194,819","1,188,070","1,182,731","1,177,954","1,078,779","1,096,642","1,108,728","1,114,228","1,118,015","1,117,854"
.Under 5 years,"317,399","316,350","316,761","318,825","320,356","322,285","323,078","288,282","299,258","309,766","313,165","314,260","314,643"
.5 to 13 years,"613,073","611,747","602,218","595,398","589,559","583,051","578,051","531,506","537,896","541,683","547,149","552,742","553,386"
.14 to 17 years,"289,349","289,573","285,208","280,596","278,155","277,395","276,825","258,991","259,488","257,279","253,914","251,013","249,825"
.18 to 64 years,"2,732,304","2,736,496","2,754,788","2,780,904","2,807,233","2,840,258","2,863,733","2,708,126","2,753,943","2,788,995","2,828,278","2,857,500","2,866,214"
.18 to 24 years,"473,816","476,115","485,975","494,717","501,600","506,373","501,875","459,662","466,575","469,138","473,182","474,531","475,409"
.25 to 44 years,"1,293,156","1,289,109","1,268,704","1,254,237","1,242,754","1,241,246","1,237,958","1,152,042","1,162,238","1,169,750","1,181,653","1,193,032","1,195,549"
.45 to 64 years,"965,332","971,272","1,000,109","1,031,950","1,062,879","1,092,639","1,123,900","1,096,422","1,125,130","1,150,107","1,173,443","1,189,937","1,195,256"
.65 years and over,"516,910","517,719","518,900","521,544","525,739","529,249","534,941","515,760","524,996","537,863","549,142","557,857","560,160"
.,,,,,,,,,,,,,
.16 years and over,"3,394,901","3,399,730","3,418,238","3,445,997","3,473,687","3,507,230","3,536,525","3,355,462","3,411,153","3,457,823","3,507,478","3,544,274","3,554,562"
.18 years and over,"3,249,214","3,254,215","3,273,688","3,302,448","3,332,972","3,369,507","3,398,674","3,223,886","3,278,939","3,326,858","3,377,420","3,415,357","3,426,374"
.15 to 44 years,"1,984,698","1,983,461","1,970,440","1,961,967","1,952,915","1,955,056","1,947,732","1,807,560","1,825,048","1,833,855","1,847,664","1,858,120","1,860,760"
.,,,,,,,,,,,,,
.Median age (years),34.0,34.1,34.4,34.6,34.8,34.9,35.1,35.9,35.9,35.9,35.9,35.8,35.9
MALE,"2,162,942","2,164,907","2,169,812","2,181,743","2,193,889","2,213,485","2,227,187","2,098,593","2,136,456","2,165,956","2,196,449","2,219,292","2,225,055"
.Under 5 years,"161,800","161,221","161,373","162,646","163,713","164,572","165,029","147,038","152,845","158,158","159,770","160,136","160,327"
.5 to 9 years,"172,765","171,408","166,665","162,766","160,055","158,704","158,213","146,482","150,534","152,865","154,706","156,386","156,492"
.10 to 14 years,"177,702","178,189","176,858","176,148","176,874","175,194","172,735","156,515","156,251","155,661","155,837","156,872","156,852"
.15 to 19 years,"184,388","184,827","182,424","180,981","178,305","177,757","177,103","165,476","166,835","168,230","167,210","165,747","164,987"
.20 to 24 years,"161,178","162,266","169,082","174,268","177,621","181,049","180,247","165,288","167,683","165,807","168,143","169,290","170,125"
.25 to 29 years,"145,336","144,215","140,080","139,890","141,586","147,566","154,030","149,565","155,529","160,744","165,040","166,926","167,834"
.30 to 34 years,"149,468","149,199","148,186","147,723","145,793","144,233","141,612","128,806","130,626","134,224","141,553","148,120","149,428"
.35 to 39 years,"166,587","165,933","161,498","156,975","152,442","150,070","148,048","138,969","139,997","139,193","137,877","137,544","136,936"
.40 to 44 years,"170,767","171,092","171,045","169,466","167,842","166,999","164,056","151,591","148,618","145,115","142,860","142,158","142,188"
.45 to 49 years,"153,616","154,434","157,987","162,263","165,524","167,411","168,822","161,244","161,283","160,783","160,452","159,073","158,745"
.50 to 54 years,"131,596","132,973","140,129","140,727","143,794","147,920","151,974","148,785","153,518","157,308","159,343","161,186","161,804"
.55 to 59 years,"99,639","100,211","102,199","110,774","116,487","122,504","129,490","131,006","131,614","134,774","138,820","141,798","142,763"
.60 to 64 years,"79,817","80,149","81,897","84,607","88,390","91,432","94,377","92,359","100,805","106,351","111,956","116,767","118,107"
.65 to 69 years,"66,650","66,623","67,200","67,920","69,432","71,359","72,911","71,958","74,554","77,833","80,931","83,130","83,662"
.70 to 74 years,"58,149","58,219","57,705","57,451","57,246","56,421","56,877","55,135","55,771","57,270","59,184","60,121","60,453"
.75 to 79 years,"42,902","43,072","43,655","44,025","44,519","44,920","45,191","42,859","43,034","42,991","42,799","43,236","43,251"
