Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1955",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"165,931,202 ","82,363,638 ","83,567,564 ","147,652,501 ","73,419,797 ","74,232,704 ","18,278,701 ","8,943,841 ","9,334,860 "
,,,,,,,,,
0,"3,777,404 ","1,923,184 ","1,854,220 ","3,237,773 ","1,654,220 ","1,583,553 ","539,631 ","268,964 ","270,667 "
1,"3,764,469 ","1,918,117 ","1,846,352 ","3,249,524 ","1,659,718 ","1,589,806 ","514,945 ","258,399 ","256,546 "
2,"3,744,444 ","1,903,425 ","1,841,019 ","3,228,153 ","1,645,480 ","1,582,673 ","516,291 ","257,945 ","258,346 "
3,"3,676,466 ","1,869,138 ","1,807,328 ","3,182,149 ","1,624,022 ","1,558,127 ","494,317 ","245,116 ","249,201 "
4,"3,603,530 ","1,835,232 ","1,768,298 ","3,109,883 ","1,587,718 ","1,522,165 ","493,647 ","247,514 ","246,133 "
5,"3,449,161 ","1,756,241 ","1,692,920 ","2,989,385 ","1,526,605 ","1,462,780 ","459,776 ","229,636 ","230,140 "
6,"3,452,324 ","1,755,105 ","1,697,219 ","3,001,197 ","1,529,766 ","1,471,431 ","451,127 ","225,339 ","225,788 "
7,"3,465,773 ","1,767,723 ","1,698,050 ","3,034,443 ","1,551,715 ","1,482,728 ","431,330 ","216,008 ","215,322 "
8,"3,698,230 ","1,883,933 ","1,814,297 ","3,282,869 ","1,676,044 ","1,606,825 ","415,361 ","207,889 ","207,472 "
9,"2,683,429 ","1,365,725 ","1,317,704 ","2,343,326 ","1,196,090 ","1,147,236 ","340,103 ","169,635 ","170,468 "
10,"2,769,205 ","1,412,355 ","1,356,850 ","2,408,084 ","1,231,258 ","1,176,826 ","361,121 ","181,097 ","180,024 "
