table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Oklahoma: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"3,450,451","3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572","3,751,351","3,761,702"
.Under 5 years,"236,345","235,972","237,028","240,542","242,206","243,053","246,095","249,721","254,043","257,816","262,627","264,126","264,361"
.5 to 9 years,"244,509","243,036","238,386","234,909","234,251","234,422","236,418","241,469","246,929","250,053","254,971","259,336","259,961"
.10 to 14 years,"252,017","252,853","252,253","253,759","253,716","251,632","248,298","247,289","245,909","247,181","250,861","253,664","254,004"
.15 to 19 years,"269,410","270,083","269,131","265,914","262,211","260,984","261,395","262,785","264,947","266,021","266,142","264,484","263,428"
.20 to 24 years,"247,148","248,181","258,034","267,356","273,593","278,008","276,800","275,212","272,430","268,392","267,959","269,242","270,352"
.25 to 29 years,"229,013","227,038","220,737","219,360","218,606","223,161","228,706","239,618","250,291","257,363","263,418","265,737","266,889"
.30 to 34 years,"222,622","222,361","225,157","228,261","228,494","227,492","226,186","223,686","224,067","226,970","234,800","241,018","243,098"
.35 to 39 years,"259,118","258,091","247,904","238,201","228,992","223,013","222,127","227,010","230,872","232,049","232,715","232,742","231,667"
.40 to 44 years,"264,368","264,936","266,637","265,966","264,608","262,477","256,296","248,316","240,393","232,854","228,443","228,195","228,394"
.45 to 49 years,"240,783","242,120","246,890","252,798","256,975","258,903","261,641","265,270","265,257","265,234","265,048","261,242","260,625"
.50 to 54 years,"212,928","215,138","224,488","223,414","227,321","232,445","238,920","245,396","252,376","257,970","261,428","264,369","265,368"
.55 to 59 years,"173,176","174,245","176,712","189,534","196,449","203,186","211,190","221,709","220,985","225,193","230,986","235,969","237,641"
.60 to 64 years,"143,100","143,741","146,482","151,281","157,490","163,364","167,756","171,562","184,489","191,645","198,523","204,513","206,849"
