Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1950",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"152,271,417 ","75,849,012 ","76,422,405 ","135,983,517 ","67,848,105 ","68,135,412 ","16,287,900 ","8,000,907 ","8,286,993 "
43,"2,010,872 ","1,003,072 ","1,007,800 ","1,811,158 ","903,819 ","907,339 ","199,714 ","99,253 ","100,461 "
44,"1,963,179 ","979,327 ","983,852 ","1,766,572 ","881,660 ","884,912 ","196,607 ","97,667 ","98,940 "
45,"1,920,595 ","958,232 ","962,363 ","1,727,134 ","862,118 ","865,016 ","193,461 ","96,114 ","97,347 "
46,"1,861,858 ","929,587 ","932,271 ","1,671,950 ","835,265 ","836,685 ","189,908 ","94,322 ","95,586 "
47,"1,823,655 ","910,998 ","912,657 ","1,637,817 ","818,615 ","819,202 ","185,838 ","92,383 ","93,455 "
48,"1,792,824 ","896,270 ","896,554 ","1,612,405 ","806,291 ","806,114 ","180,419 ","89,979 ","90,440 "
49,"1,743,067 ","870,660 ","872,407 ","1,569,414 ","783,646 ","785,768 ","173,653 ","87,014 ","86,639 "
50,"1,730,428 ","863,972 ","866,456 ","1,563,843 ","780,169 ","783,674 ","166,585 ","83,803 ","82,782 "
51,"1,705,308 ","850,731 ","854,577 ","1,545,558 ","770,064 ","775,494 ","159,750 ","80,667 ","79,083 "
52,"1,668,072 ","832,246 ","835,826 ","1,515,801 ","755,046 ","760,755 ","152,271 ","77,200 ","75,071 "
53,"1,623,091 ","810,278 ","812,813 ","1,479,201 ","737,016 ","742,185 ","143,890 ","73,262 ","70,628 "
54,"1,584,046 ","791,911 ","792,135 ","1,448,966 ","722,828 ","726,138 ","135,080 ","69,083 ","65,997 "
55,"1,544,901 ","773,102 ","771,799 ","1,418,292 ","708,053 ","710,239 ","126,609 ","65,049 ","61,560 "
56,"1,499,706 ","751,306 ","748,400 ","1,381,312 ","690,197 ","691,115 ","118,394 ","61,109 ","57,285 "
57,"1,456,723 ","730,445 ","726,278 ","1,346,141 ","673,171 ","672,970 ","110,582 ","57,274 ","53,308 "
58,"1,419,461 ","712,369 ","707,092 ","1,316,001 ","658,687 ","657,314 ","103,460 ","53,682 ","49,778 "
59,"1,372,293 ","689,227 ","683,066 ","1,275,170 ","638,812 ","636,358 ","97,123 ","50,415 ","46,708 "
60,"1,308,533 ","657,759 ","650,774 ","1,217,654 ","610,552 ","607,102 ","90,879 ","47,207 ","43,672 "
61,"1,261,628 ","634,954 ","626,674 ","1,177,474 ","591,166 ","586,308 ","84,154 ","43,788 ","40,366 "
62,"1,219,039 ","612,700 ","606,339 ","1,138,624 ","571,030 ","567,594 ","80,415 ","41,670 ","38,745 "
63,"1,176,591 ","588,345 ","588,246 ","1,095,493 ","546,883 ","548,610 ","81,098 ","41,462 ","39,636 "
64,"1,137,232 ","564,192 ","573,040 ","1,052,904 ","521,850 ","531,054 ","84,328 ","42,342 ","41,986 "
65,"1,102,643 ","542,146 ","560,497 ","1,015,395 ","499,079 ","516,316 ","87,248 ","43,067 ","44,181 "
66,"1,068,359 ","519,906 ","548,453 ","977,372 ","475,758 ","501,614 ","90,987 ","44,148 ","46,839 "
