table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Kansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"2,688,925","2,693,681","2,702,162","2,713,535","2,723,004","2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704","2,853,118","2,859,169"
.Under 5 years,"188,742","188,781","188,589","190,497","192,184","192,750","192,997","193,207","196,241","199,486","202,767","205,492","205,461"
.5 to 9 years,"195,609","194,851","192,889","190,379","189,235","189,166","189,816","191,333","195,350","198,314","200,644","202,447","202,810"
.10 to 14 years,"204,039","204,968","204,021","203,075","202,543","200,231","197,574","196,898","195,701","195,555","197,613","198,884","199,123"
.15 to 19 years,"210,144","210,971","213,126","212,019","210,314","209,161","209,082","207,663","207,485","206,346","205,242","203,821","203,094"
.20 to 24 years,"190,239","191,190","195,149","201,799","206,499","210,364","211,859","212,607","206,987","207,304","204,481","204,454","205,221"
.25 to 29 years,"173,031","171,830","166,480","164,712","163,042","164,576","165,291","172,701","180,879","188,733","194,192","197,783","198,501"
.30 to 34 years,"175,926","176,022","177,007","178,102","178,068","176,147","173,232","170,436","170,408","172,155","176,764","179,937","181,388"
.35 to 39 years,"207,576","206,639","198,391","189,700","181,070","175,638","174,349","175,758","176,255","176,599","174,177","172,388","171,495"
.40 to 44 years,"212,830","213,334","214,009","212,385","210,436","208,227","202,696","194,812","187,085","179,723","175,183","174,285","174,424"
.45 to 49 years,"192,703","193,867","198,465","203,215","206,310","207,160","208,165","208,950","208,241","206,631","205,510","201,830","201,299"
.50 to 54 years,"161,495","163,119","172,443","173,713","177,954","183,650","189,633","193,700","198,668","201,782","203,177","204,434","205,119"
.55 to 59 years,"121,659","122,471","125,198","135,862","142,209","149,143","157,780","166,960","168,544","172,798","178,442","182,512","183,713"
.60 to 64 years,"98,636","99,110","100,792","103,693","108,502","112,414","115,840","118,498","129,429","135,325","142,409","148,735","150,130"
.65 to 69 years,"90,116","89,772","89,249","88,791","89,473","90,882","91,826","93,711","96,493","100,982","104,922","107,755","108,397"
.70 to 74 years,"85,839","85,671","84,664","83,382","82,025","80,878","80,301","79,965","79,909","80,550","81,958","82,634","83,023"
.75 to 79 years,"75,140","75,253","74,660","74,028","74,081","73,270","72,841","72,373","71,474","70,536","69,656","69,466","69,335"
.80 to 84 years,"53,429","53,783","54,986","56,156","56,518","57,584","57,781","57,740","57,576","57,493","56,881","56,943","56,943"
.85 years and over,"51,772","52,049","52,044","52,027","52,541","53,132","54,236","55,619","57,060","57,764","58,686","59,318","59,693"
.,,,,,,,,,,,,,
.Under 18 years,"713,092","713,887","710,923","709,416","707,847","705,456","704,689","705,277","711,005","714,689","721,841","726,939","727,239"
.Under 5 years,"188,742","188,781","188,589","190,497","192,184","192,750","192,997","193,207","196,241","199,486","202,767","205,492","205,461"
.5 to 13 years,"358,249","358,487","355,771","353,144","350,794","347,405","347,443","347,913","351,438","354,870","358,765","361,812","362,600"
.14 to 17 years,"166,101","166,619","166,563","165,775","164,869","165,301","164,249","164,157","163,326","160,333","160,309","159,635","159,178"
.18 to 64 years,"1,619,537","1,623,266","1,635,636","1,649,735","1,660,519","1,673,171","1,683,625","1,698,246","1,710,268","1,726,062","1,738,760","1,750,063","1,754,539"
.18 to 24 years,"275,681","276,874","282,851","288,353","292,928","296,216","296,639","296,431","290,759","292,316","288,906","288,159","288,470"
.25 to 44 years,"769,363","767,825","755,887","744,899","732,616","724,588","715,568","713,707","714,627","717,210","720,316","724,393","725,808"
.45 to 64 years,"574,493","578,567","596,898","616,483","634,975","652,367","671,418","688,108","704,882","716,536","729,538","737,511","740,261"
.65 years and over,"356,296","356,528","355,603","354,384","354,638","355,746","356,985","359,408","362,512","367,325","372,103","376,116","377,391"
.,,,,,,,,,,,,,
.16 years and over,"2,058,899","2,062,974","2,075,222","2,088,375","2,098,458","2,111,096","2,122,767","2,141,354","2,155,778","2,174,859","2,192,131","2,206,600","2,212,013"
.18 years and over,"1,975,833","1,979,794","1,991,239","2,004,119","2,015,157","2,028,917","2,040,610","2,057,654","2,072,780","2,093,387","2,110,863","2,126,179","2,131,930"
.15 to 44 years,"1,169,746","1,169,986","1,164,162","1,158,717","1,149,429","1,144,113","1,136,509","1,133,977","1,129,099","1,130,860","1,130,039","1,132,668","1,134,123"
.,,,,,,,,,,,,,
.Median age (years),35.2,35.2,35.4,35.5,35.6,35.7,35.9,36.0,36.1,36.1,36.1,36.0,36.0
MALE,"1,328,727","1,331,181","1,336,196","1,341,637","1,345,589","1,351,977","1,357,341","1,368,839","1,378,080","1,392,513","1,404,565","1,415,408","1,418,722"
.Under 5 years,"97,030","97,040","96,919","97,613","98,519","98,575","98,265","98,459","99,996","101,598","103,275","104,888","104,856"
