Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1908",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"88,710,000 ","45,594,000 ","43,116,000 ","78,658,000 ","40,542,000 ","38,116,000 ","10,052,000 ","5,052,000 ","5,000,000 "
,,,,,,,,,
48,"825,000 ","440,000 ","385,000 ","748,000 ","399,000 ","349,000 ","77,000 ","41,000 ","36,000 "
49,"810,000 ","434,000 ","376,000 ","734,000 ","393,000 ","341,000 ","76,000 ","41,000 ","35,000 "
50,"793,000 ","427,000 ","366,000 ","720,000 ","387,000 ","333,000 ","73,000 ","40,000 ","33,000 "
51,"780,000 ","422,000 ","358,000 ","708,000 ","382,000 ","326,000 ","72,000 ","40,000 ","32,000 "
52,"758,000 ","411,000 ","347,000 ","688,000 ","372,000 ","316,000 ","70,000 ","39,000 ","31,000 "
53,"717,000 ","388,000 ","329,000 ","651,000 ","351,000 ","300,000 ","66,000 ","37,000 ","29,000 "
54,"664,000 ","358,000 ","306,000 ","605,000 ","325,000 ","280,000 ","59,000 ","33,000 ","26,000 "
55,"613,000 ","329,000 ","284,000 ","561,000 ","300,000 ","261,000 ","52,000 ","29,000 ","23,000 "
56,"563,000 ","301,000 ","262,000 ","517,000 ","275,000 ","242,000 ","46,000 ","26,000 ","20,000 "
57,"521,000 ","277,000 ","244,000 ","480,000 ","254,000 ","226,000 ","41,000 ","23,000 ","18,000 "
58,"496,000 ","262,000 ","234,000 ","456,000 ","240,000 ","216,000 ","40,000 ","22,000 ","18,000 "
59,"483,000 ","254,000 ","229,000 ","443,000 ","232,000 ","211,000 ","40,000 ","22,000 ","18,000 "
60,"467,000 ","245,000 ","222,000 ","427,000 ","223,000 ","204,000 ","40,000 ","22,000 ","18,000 "
61,"455,000 ","238,000 ","217,000 ","413,000 ","215,000 ","198,000 ","42,000 ","23,000 ","19,000 "
62,"436,000 ","227,000 ","209,000 ","396,000 ","205,000 ","191,000 ","40,000 ","22,000 ","18,000 "
63,"416,000 ","216,000 ","200,000 ","378,000 ","195,000 ","183,000 ","38,000 ","21,000 ","17,000 "
64,"390,000 ","202,000 ","188,000 ","356,000 ","183,000 ","173,000 ","34,000 ","19,000 ","15,000 "
65,"366,000 ","189,000 ","177,000 ","335,000 ","172,000 ","163,000 ","31,000 ","17,000 ","14,000 "
66,"345,000 ","178,000 ","167,000 ","316,000 ","162,000 ","154,000 ","29,000 ","16,000 ","13,000 "
67,"321,000 ","165,000 ","156,000 ","296,000 ","151,000 ","145,000 ","25,000 ","14,000 ","11,000 "
68,"299,000 ","153,000 ","146,000 ","277,000 ","141,000 ","136,000 ","22,000 ","12,000 ","10,000 "
69,"276,000 ","141,000 ","135,000 ","256,000 ","130,000 ","126,000 ","20,000 ","11,000 ","9,000 "
70,"255,000 ","130,000 ","125,000 ","237,000 ","120,000 ","117,000 ","18,000 ","10,000 ","8,000 "
71,"234,000 ","119,000 ","115,000 ","217,000 ","110,000 ","107,000 ","17,000 ","9,000 ","8,000 "
72,"213,000 ","107,000 ","106,000 ","197,000 ","99,000 ","98,000 ","16,000 ","8,000 ","8,000 "
73,"193,000 ","97,000 ","96,000 ","177,000 ","89,000 ","88,000 ","16,000 ","8,000 ","8,000 "
74,"174,000 ","87,000 ","87,000 ","157,000 ","79,000 ","78,000 ","17,000 ","8,000 ","9,000 "
75+,"1,103,000 ","536,000 ","567,000 ","1,006,000 ","490,000 ","516,000 ","97,000 ","46,000 ","51,000 "
,,,,,,,,,
"Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979",,,,,,,,,
,,,,,,,,,
"The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.",,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Population Division",,,,,,,,,
"Internet Release date:  October 1, 2004",,,,,,,,,
