Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1903",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"80,632,000 ","41,262,000 ","39,370,000 ","71,084,000 ","36,471,000 ","34,613,000 ","9,548,000 ","4,791,000 ","4,757,000 "
,,,,,,,,,
0,"1,930,000 ","978,000 ","952,000 ","1,678,000 ","852,000 ","826,000 ","252,000 ","126,000 ","126,000 "
1,"1,938,000 ","980,000 ","958,000 ","1,681,000 ","852,000 ","829,000 ","257,000 ","128,000 ","129,000 "
2,"1,938,000 ","978,000 ","960,000 ","1,678,000 ","849,000 ","829,000 ","260,000 ","129,000 ","131,000 "
3,"1,927,000 ","972,000 ","955,000 ","1,667,000 ","843,000 ","824,000 ","260,000 ","129,000 ","131,000 "
4,"1,912,000 ","964,000 ","948,000 ","1,652,000 ","835,000 ","817,000 ","260,000 ","129,000 ","131,000 "
5,"1,889,000 ","952,000 ","937,000 ","1,631,000 ","824,000 ","807,000 ","258,000 ","128,000 ","130,000 "
6,"1,864,000 ","940,000 ","924,000 ","1,608,000 ","813,000 ","795,000 ","256,000 ","127,000 ","129,000 "
7,"1,834,000 ","925,000 ","909,000 ","1,581,000 ","799,000 ","782,000 ","253,000 ","126,000 ","127,000 "
8,"1,801,000 ","909,000 ","892,000 ","1,553,000 ","785,000 ","768,000 ","248,000 ","124,000 ","124,000 "
9,"1,767,000 ","893,000 ","874,000 ","1,524,000 ","771,000 ","753,000 ","243,000 ","122,000 ","121,000 "
10,"1,733,000 ","876,000 ","857,000 ","1,494,000 ","756,000 ","738,000 ","239,000 ","120,000 ","119,000 "
11,"1,695,000 ","858,000 ","837,000 ","1,463,000 ","741,000 ","722,000 ","232,000 ","117,000 ","115,000 "
